,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,30.45,$15.45,1.97,0.0,0.0,$6.68,4.56,$2.71,11.24,$0.00B,$0.00B,0.0,$0.00B,$1.49B,0.0,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$0.29B,inf%,$0.00B,$0.26B,inf%,$0.26B,$1.49B,17.04%,$0.26B,$1.49B,17.04%,$0.26B,$1.49B,17.03%,$0.00B,$1.49B,0.00%,$0,$0,$0,$0,$0,$0,$0,$73,$73,$7,$66,$66,$66,$0,$0,$97,98,$0.68,$0.68,$0,$0,$0,$0,$0,$1489,$0,$0,$1489,$1489,$0,$0,$1,$1,$1,$1558,$0,$-38,$1489,$1489,$183,$0,$31,$31,$0,$0,$0,$-1,$-1,$213,$0,$0,$0,$0,$-11,$-11,$0,$-11,$0,$0,$0,$11,$11,$0,$-213,$-203,$0,$0,$0
1,2018-06-30,27.93,$15.65,1.78,0.0,0.0,$6.15,4.54,$2.49,11.22,$0.00B,$0.00B,0.0,$0.00B,$1.53B,0.0,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$0.27B,inf%,$0.00B,$0.24B,inf%,$0.24B,$1.53B,15.66%,$0.24B,$1.53B,15.66%,$0.24B,$1.54B,15.65%,$0.00B,$1.53B,0.00%,$0,$0,$0,$0,$0,$0,$0,$65,$65,$7,$58,$58,$58,$0,$0,$98,99,$0.59,$0.59,$0,$0,$0,$0,$0,$1535,$0,$0,$1535,$1535,$0,$0,$1,$1,$1,$1603,$0,$-37,$1534,$1535,$117,$0,$37,$37,$0,$0,$0,$-1,$-1,$153,$0,$0,$0,$0,$-8,$-8,$0,$-8,$0,$0,$0,$8,$8,$0,$-153,$-145,$0,$0,$0
2,2018-03-31,25.57,$15.98,1.6,0.0,0.0,$5.73,4.46,$2.33,10.97,$0.00B,$0.00B,0.0,$0.00B,$1.56B,0.0,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$0.25B,inf%,$0.00B,$0.22B,inf%,$0.22B,$1.56B,14.83%,$0.22B,$1.56B,14.83%,$0.22B,$1.56B,14.83%,$0.00B,$1.56B,0.00%,$0,$0,$0,$0,$0,$0,$0,$66,$66,$8,$58,$58,$58,$0,$0,$97,97,$0.60,$0.60,$0,$0,$0,$0,$0,$1561,$0,$0,$1561,$1561,$0,$0,$0,$0,$0,$1611,$0,$-30,$1561,$1561,$58,$0,$23,$23,$0,$0,$0,$-1,$-1,$80,$0,$0,$0,$0,$-4,$-4,$0,$-4,$0,$0,$0,$4,$4,$0,$-80,$-76,$0,$0,$0
3,2017-12-31,23.14,$16.00,1.45,0.0,0.0,$5.57,4.15,$2.19,10.56,$0.00B,$0.00B,0.0,$0.00B,$1.54B,0.0,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$0.23B,inf%,$0.00B,$0.21B,inf%,$0.21B,$1.54B,14.01%,$0.21B,$1.54B,14.01%,$0.21B,$1.55B,14.01%,$0.00B,$1.54B,0.00%,$0,$0,$0,$0,$0,$0,$0,$86,$86,$7,$79,$79,$79,$0,$0,$95,95,$0.84,$0.84,$0,$0,$0,$0,$0,$1545,$0,$0,$1545,$1545,$0,$0,$1,$1,$1,$1592,$0,$-33,$1544,$1545,$207,$0,$-6,$-6,$0,$0,$0,$1,$1,$202,$0,$0,$0,$0,$-20,$-20,$0,$-20,$0,$0,$0,$0,$0,$0,$-182,$-182,$0,$0,$0
4,2017-09-30,22.01,$15.40,1.43,0.0,0.0,$5.18,4.25,$2.12,10.38,$0.00B,$0.00B,0.0,$0.00B,$1.44B,0.0,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$0.23B,inf%,$0.00B,$0.20B,inf%,$0.20B,$1.44B,13.62%,$0.20B,$1.44B,13.62%,$0.20B,$1.44B,13.61%,$0.00B,$1.44B,0.00%,$0,$0,$0,$0,$0,$0,$0,$49,$49,$6,$43,$43,$43,$0,$0,$93,94,$0.46,$0.46,$0,$0,$0,$0,$0,$1442,$0,$0,$1442,$1442,$0,$0,$0,$0,$0,$1491,$0,$-33,$1441,$1442,$129,$0,$26,$26,$0,$0,$0,$-0,$-0,$155,$0,$0,$0,$0,$-18,$-18,$0,$-18,$0,$0,$0,$18,$18,$0,$-155,$-137,$0,$0,$0
5,2017-06-30,21.0,$15.41,1.36,0.0,0.0,$4.85,4.33,$2.18,9.63,$0.00B,$0.00B,0.0,$0.00B,$1.44B,0.0,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$0.23B,inf%,$0.00B,$0.21B,inf%,$0.21B,$1.44B,14.01%,$0.21B,$1.44B,14.01%,$0.21B,$1.44B,14.01%,$0.00B,$1.44B,0.00%,$0,$0,$0,$0,$0,$0,$0,$48,$48,$6,$42,$42,$42,$0,$0,$96,96,$0.43,$0.43,$0,$0,$0,$0,$0,$1441,$0,$0,$1441,$1441,$0,$0,$1,$1,$1,$1495,$0,$-36,$1441,$1441,$86,$0,$23,$23,$0,$0,$0,$-0,$-0,$109,$0,$0,$0,$0,$-9,$-9,$0,$-9,$0,$0,$0,$9,$9,$0,$-109,$-100,$0,$0,$0
6,2017-03-31,19.84,$15.67,1.27,0.0,0.0,$4.62,4.29,$2.16,9.19,$0.00B,$0.00B,0.0,$0.00B,$1.51B,0.0,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$0.23B,inf%,$0.00B,$0.21B,inf%,$0.21B,$1.51B,13.63%,$0.21B,$1.51B,13.63%,$0.21B,$1.51B,13.63%,$0.00B,$1.51B,0.00%,$0,$0,$0,$0,$0,$0,$0,$50,$50,$6,$44,$44,$44,$0,$0,$96,97,$0.46,$0.46,$0,$0,$0,$0,$0,$1512,$0,$0,$1512,$1512,$0,$0,$0,$0,$0,$1567,$0,$-39,$1512,$1512,$44,$0,$21,$21,$0,$0,$0,$-0,$-0,$64,$0,$0,$0,$0,$-4,$-4,$0,$-4,$0,$0,$0,$4,$4,$0,$-64,$-60,$0,$0,$0
7,2016-12-31,19.81,$15.93,1.24,0.0,0.0,$4.52,4.39,$2.26,8.76,$0.00B,$0.00B,0.0,$0.00B,$1.54B,0.0,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$0.24B,inf%,$0.00B,$0.22B,inf%,$0.22B,$1.54B,14.24%,$0.22B,$1.54B,14.24%,$0.22B,$1.54B,14.22%,$0.00B,$1.54B,0.00%,$0,$0,$0,$0,$0,$0,$0,$79,$79,$6,$73,$73,$73,$0,$0,$97,97,$0.77,$0.76,$0,$0,$0,$0,$0,$1541,$0,$0,$1541,$1541,$0,$0,$1,$1,$1,$1594,$0,$-42,$1540,$1541,$217,$0,$-47,$-47,$0,$0,$0,$0,$0,$170,$0,$0,$0,$0,$-6,$-6,$0,$-6,$0,$0,$0,$0,$0,$0,$-163,$-163,$0,$0,$0
8,2016-09-30,18.85,$15.55,1.21,0.0,0.0,$4.69,4.02,$2.02,9.33,$0.00B,$0.00B,0.0,$0.00B,$1.48B,0.0,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$0.22B,inf%,$0.00B,$0.19B,inf%,$0.19B,$1.48B,12.66%,$0.19B,$1.48B,12.66%,$0.19B,$1.48B,12.64%,$0.00B,$1.48B,0.00%,$0,$0,$0,$0,$0,$0,$0,$56,$56,$6,$50,$50,$50,$0,$0,$96,96,$0.52,$0.52,$0,$0,$0,$0,$0,$1475,$0,$0,$1475,$1475,$0,$0,$0,$0,$0,$1519,$0,$-33,$1475,$1475,$144,$0,$-17,$-17,$0,$0,$0,$-0,$-0,$127,$0,$0,$0,$0,$-2,$-2,$0,$-2,$0,$0,$0,$2,$2,$-127,$0,$-125,$0,$0,$-127
9,2016-06-30,18.92,$15.73,1.2,0.0,0.0,$4.87,3.89,$1.93,9.8,$0.00B,$0.00B,0.0,$0.00B,$1.52B,0.0,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$0.21B,inf%,$0.00B,$0.19B,inf%,$0.19B,$1.52B,12.03%,$0.19B,$1.52B,12.03%,$0.19B,$1.52B,12.02%,$0.00B,$1.52B,0.00%,$0,$0,$0,$0,$0,$0,$0,$45,$45,$6,$39,$39,$39,$0,$0,$97,98,$0.40,$0.40,$0,$0,$0,$0,$0,$1519,$0,$0,$1519,$1519,$0,$0,$0,$0,$0,$1562,$0,$-34,$1519,$1519,$94,$0,$-5,$-5,$0,$0,$0,$-0,$-0,$88,$0,$0,$0,$0,$-2,$-2,$0,$-2,$0,$0,$0,$2,$2,$0,$-88,$-86,$0,$0,$0
