,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,4.57,$0.97,4.71,$0.90,5.09,$0.46,10.03,$0.20,22.85,$6.66B,$6.49B,1.03,$0.85B,$15.25B,0.06,$14.23B,$8.99B,63.19%,$14.23B,$4.97B,34.90%,$14.23B,$4.97B,34.90%,$14.23B,$6.00B,42.13%,$14.23B,$3.97B,27.90%,$14.23B,$3.11B,21.85%,$3.11B,$15.25B,20.56%,$3.11B,$4.95B,71.78%,$3.11B,$24.31B,12.17%,$4.97B,$16.10B,30.82%,$2810,$1110,$1700,$0,$891,$1955,$856,$-156,$700,$-35,$735,$735,$719,$1084,$856,$15720,15847,$0.05,$0.05,$3411,$1359,$234,$6655,$4997,$840,$10295,$447,$17651,$24306,$6492,$853,$1059,$2568,$9060,$14658,$17943,$-17626,$15246,$24306,$2010,$727,$628,$1355,$108,$-251,$-481,$0,$-624,$2318,$-553,$0,$-42,$-10,$0,$-10,$0,$-605,$541,$-2,$539,$3,$3,$-936,$-925,$-1318,$470,$0,$-936
1,2018-06-30,4.63,$0.95,4.89,$0.95,4.88,$0.48,9.57,$0.15,30.87,$7.35B,$7.61B,0.97,$0.93B,$14.87B,0.06,$15.02B,$9.47B,63.06%,$15.02B,$5.26B,35.03%,$15.02B,$5.26B,35.03%,$15.02B,$6.36B,42.36%,$15.02B,$4.20B,27.97%,$15.02B,$2.39B,15.92%,$2.39B,$14.87B,15.74%,$2.39B,$4.34B,57.53%,$2.39B,$25.30B,9.18%,$5.26B,$15.80B,32.36%,$3203,$1221,$1982,$0,$1044,$2187,$1016,$-291,$725,$50,$675,$675,$645,$1247,$1016,$15719,15847,$0.04,$0.04,$3274,$1373,$333,$7350,$5221,$134,$10535,$488,$17954,$25303,$7613,$929,$1126,$2818,$10431,$16061,$546,$-19695,$14872,$25303,$1398,$499,$589,$1088,$-56,$-164,$-579,$0,$-799,$1076,$-346,$0,$-30,$-1,$0,$-1,$-8,$-385,$544,$-1,$543,$1,$1,$-319,$-936,$-711,$74,$0,$-319
2,2018-03-31,7.21,$0.98,7.38,$0.95,7.6,$0.50,14.44,$0.15,48.04,$6.65B,$7.05B,0.94,$1.04B,$15.34B,0.07,$15.01B,$9.43B,62.79%,$15.01B,$5.19B,34.58%,$15.01B,$5.19B,34.58%,$15.01B,$6.33B,42.14%,$15.01B,$4.21B,28.01%,$15.01B,$2.37B,15.80%,$2.37B,$15.34B,15.46%,$2.37B,$4.31B,57.66%,$2.37B,$25.40B,9.03%,$5.19B,$16.38B,31.88%,$3589,$1375,$2213,$0,$1131,$2429,$1160,$-168,$992,$191,$801,$801,$776,$1428,$1160,$15713,15843,$0.05,$0.05,$2569,$1457,$398,$6647,$5635,$132,$11037,$445,$18750,$25397,$7045,$1040,$1236,$3009,$10054,$17792,$666,$-22922,$15344,$25397,$801,$268,$365,$633,$267,$-143,$-774,$0,$-650,$244,$-145,$0,$-949,$-2,$0,$-2,$0,$-1097,$596,$-1,$595,$-1,$-1,$-339,$-95,$161,$-740,$0,$-339
3,2017-12-31,6.38,$0.96,6.68,$0.95,6.74,$0.52,12.24,$0.15,42.56,$7.74B,$8.99B,0.86,$1.14B,$15.03B,0.08,$15.00B,$9.35B,62.34%,$15.00B,$5.15B,34.30%,$15.00B,$5.15B,34.30%,$15.00B,$6.28B,41.83%,$15.00B,$4.05B,27.00%,$15.00B,$2.30B,15.30%,$2.30B,$15.03B,14.93%,$2.30B,$3.73B,56.06%,$2.30B,$27.20B,8.72%,$5.15B,$16.17B,31.78%,$4629,$1531,$3098,$0,$1288,$2695,$1934,$-380,$1554,$529,$1024,$1024,$969,$2237,$1934,$15706,15838,$-0.00,$-0.00,$3356,$1353,$428,$7742,$5895,$124,$11299,$634,$19460,$27202,$8985,$1143,$1316,$3189,$12174,$18045,$2712,$0,$15028,$27202,$2459,$1131,$2886,$4018,$-83,$-20,$-33,$0,$-136,$5598,$-971,$0,$-105,$87,$0,$87,$27,$-962,$-795,$-3,$-798,$-12,$-12,$-2762,$-457,$-4029,$775,$0,$-2762
4,2017-09-30,6.42,$0.99,6.51,$0.90,7.11,$0.38,16.85,$0.18,35.64,$7.03B,$7.43B,0.95,$1.17B,$15.48B,0.08,$14.28B,$8.81B,61.69%,$14.28B,$5.07B,35.51%,$14.28B,$5.07B,35.51%,$14.28B,$6.10B,42.75%,$14.28B,$4.08B,28.58%,$14.28B,$2.68B,18.80%,$2.68B,$15.48B,17.94%,$2.68B,$4.24B,68.05%,$2.68B,$26.26B,10.50%,$5.07B,$16.65B,32.46%,$3594,$1418,$2176,$0,$1107,$2444,$1150,$-221,$928,$885,$43,$43,$0,$1448,$1150,$15708,15835,$0.06,$0.06,$2722,$1383,$332,$7032,$5845,$125,$11236,$635,$19228,$26259,$7427,$1174,$1458,$3352,$10780,$18223,$20880,$-24184,$15480,$26259,$1440,$828,$1973,$2801,$319,$-27,$-1127,$0,$-835,$2838,$-634,$0,$-105,$89,$0,$89,$27,$-623,$-576,$-2,$-578,$-14,$-14,$-1222,$-175,$-1989,$147,$0,$-1222
5,2017-06-30,5.34,$0.99,5.42,$0.88,6.08,$0.28,19.43,$0.24,22.27,$7.18B,$8.11B,0.89,$0.41B,$15.50B,0.03,$13.92B,$8.56B,61.54%,$13.92B,$4.89B,35.12%,$13.92B,$4.89B,35.12%,$13.92B,$5.93B,42.57%,$13.92B,$3.89B,27.98%,$13.92B,$3.63B,26.07%,$3.63B,$15.50B,24.37%,$3.63B,$4.18B,90.19%,$3.63B,$26.22B,14.46%,$4.89B,$15.92B,31.79%,$3201,$1262,$1939,$0,$1051,$2253,$947,$-216,$731,$69,$662,$662,$627,$1214,$947,$15706,15834,$0.04,$0.04,$2813,$1454,$390,$7182,$5809,$134,$11326,$649,$19039,$26221,$8109,$414,$1491,$2611,$10720,$17958,$20567,$-23636,$15501,$26221,$1376,$530,$791,$1321,$331,$-89,$-1216,$0,$-975,$1374,$-400,$0,$-103,$91,$0,$91,$0,$-413,$-109,$-1,$-110,$-10,$-10,$-379,$-224,$-723,$266,$0,$-379
6,2017-03-31,5.56,$0.99,5.64,$0.86,6.43,$0.18,31.11,$0.24,23.15,$6.78B,$7.61B,0.89,$0.53B,$15.50B,0.03,$13.68B,$8.48B,61.96%,$13.68B,$4.89B,35.74%,$13.68B,$4.89B,35.74%,$13.68B,$5.94B,43.40%,$13.68B,$3.85B,28.13%,$13.68B,$3.59B,26.21%,$3.59B,$15.50B,25.07%,$3.59B,$4.24B,94.14%,$3.59B,$25.70B,14.93%,$4.89B,$16.03B,32.97%,$3578,$1440,$2139,$0,$1108,$2464,$1114,$-277,$837,$108,$729,$729,$700,$1377,$1114,$15690,15821,$0.05,$0.05,$2360,$1436,$361,$6779,$5939,$144,$11260,$650,$18919,$25698,$7609,$529,$1356,$2594,$10202,$18339,$21144,$-24571,$15495,$25698,$729,$263,$465,$729,$458,$-64,$-862,$0,$-468,$632,$-175,$0,$-106,$87,$0,$87,$1,$-193,$-78,$-1,$-79,$-15,$-15,$-360,$-137,$-591,$-206,$0,$-360
7,2016-12-31,4.72,$0.85,5.54,$0.82,5.72,$0.10,45.98,$0.23,20.51,$6.85B,$8.25B,0.83,$0.51B,$13.38B,0.04,$13.07B,$8.29B,63.42%,$13.07B,$4.90B,37.51%,$13.07B,$4.90B,37.51%,$13.07B,$5.91B,45.21%,$13.07B,$3.84B,29.38%,$13.07B,$3.60B,27.50%,$3.60B,$13.38B,26.49%,$3.60B,$3.12B,100.44%,$3.60B,$24.04B,15.81%,$4.90B,$13.88B,34.73%,$3904,$1351,$2553,$0,$1076,$2046,$1859,$-275,$1584,$179,$1405,$1405,$1357,$2065,$1859,$15697,15823,$0.09,$0.09,$2396,$1246,$399,$6848,$5491,$121,$10252,$575,$17189,$24037,$8249,$506,$1239,$2413,$10662,$16518,$2781,$0,$13375,$24037,$3751,$1007,$771,$1777,$-166,$-125,$-162,$0,$-453,$3539,$-1147,$0,$-534,$-11,$0,$-11,$0,$-1691,$544,$-1,$543,$0,$0,$-2962,$-920,$-3339,$-1646,$0,$-2962
8,2016-09-30,5.72,$0.97,5.92,$0.84,6.8,$0.31,18.7,$0.21,27.24,$6.17B,$6.75B,0.91,$0.52B,$15.17B,0.03,$13.34B,$8.58B,64.30%,$13.34B,$5.01B,37.54%,$13.34B,$5.01B,37.54%,$13.34B,$6.12B,45.89%,$13.34B,$3.91B,29.28%,$13.34B,$3.38B,25.35%,$3.38B,$15.17B,24.03%,$3.38B,$4.56B,86.94%,$3.38B,$24.41B,14.32%,$5.01B,$15.69B,34.15%,$3234,$1300,$1933,$0,$1067,$2266,$968,$-226,$742,$-240,$982,$982,$944,$1269,$968,$15736,15854,$0.06,$0.06,$2397,$1319,$298,$6167,$5658,$154,$10611,$626,$18238,$24406,$6749,$522,$1432,$2489,$9238,$17774,$20511,$-23653,$15167,$24406,$2545,$801,$703,$1503,$130,$-99,$-1062,$0,$-1030,$1361,$-829,$0,$-548,$-18,$0,$-18,$0,$-1395,$309,$-1,$309,$-1,$-1,$-1341,$-823,$-1856,$-2025,$0,$-1341
9,2016-06-30,5.51,$0.84,6.58,$0.83,6.64,$0.44,12.46,$0.20,27.57,$5.30B,$6.25B,0.85,$0.56B,$13.16B,0.04,$13.18B,$8.65B,65.61%,$13.18B,$5.25B,39.81%,$13.18B,$5.25B,39.81%,$13.18B,$6.22B,47.18%,$13.18B,$4.28B,32.47%,$13.18B,$3.28B,24.90%,$3.28B,$13.16B,23.65%,$3.28B,$3.32B,87.55%,$3.28B,$21.89B,13.78%,$5.25B,$13.72B,36.23%,$2964,$1112,$1851,$0,$998,$2015,$948,$-263,$685,$65,$620,$620,$584,$1226,$948,$15737,15854,$0.04,$0.04,$1798,$1258,$338,$5301,$5215,$138,$9837,$547,$16592,$21893,$6253,$562,$1293,$2484,$8738,$16455,$792,$-21905,$13155,$21893,$1447,$499,$627,$1126,$182,$-117,$-1287,$0,$-1222,$-38,$-517,$0,$-523,$-11,$0,$-11,$0,$-1052,$105,$-0,$105,$-1,$-1,$-624,$-553,$-1074,$-2303,$0,$-624
