,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,73.36,$17.59,4.17,$17.24,4.26,$6.05,12.13,$0.48,152.83,$18.20B,$12.78B,1.42,$19.28B,$30.90B,0.62,$30.40B,$17.68B,58.14%,$30.40B,$3.30B,10.85%,$30.40B,$3.30B,10.85%,$30.40B,$6.76B,22.24%,$30.40B,$2.50B,8.22%,$30.40B,$0.89B,2.91%,$0.89B,$30.90B,2.85%,$0.89B,$-12.00B,-6.69%,$0.89B,$71.64B,1.23%,$3.30B,$50.18B,6.23%,$7656,$3166,$4490,$574,$2377,$6661,$995,$-277,$718,$166,$552,$552,$563,$1808,$995,$1760,1772,$0.32,$0.32,$7550,$3781,$12,$18196,$7448,$971,$42893,$19,$53441,$71637,$12776,$19284,$0,$27963,$40739,$23428,$24144,$-7009,$30898,$71637,$1714,$2547,$396,$2943,$-280,$-450,$0,$0,$-730,$4535,$-927,$0,$48,$-23,$0,$-23,$42,$-860,$-4268,$22,$-4246,$110,$110,$-1479,$0,$-5615,$-2038,$396,$-1479
1,2018-06-30,60.72,$17.54,3.46,$16.81,3.61,$5.80,10.46,$0.50,121.44,$14.12B,$8.95B,1.58,$19.82B,$30.77B,0.64,$29.58B,$17.14B,57.95%,$29.58B,$3.07B,10.39%,$29.58B,$3.07B,10.39%,$29.58B,$6.50B,21.96%,$29.58B,$2.41B,8.14%,$29.58B,$0.93B,3.13%,$0.93B,$30.77B,2.95%,$0.93B,$-13.02B,-7.50%,$0.93B,$68.42B,1.29%,$3.07B,$50.60B,5.66%,$7767,$3282,$4485,$575,$2466,$6885,$882,$-105,$777,$59,$718,$718,$733,$1732,$882,$1758,1769,$0.42,$0.41,$3264,$3714,$17,$14122,$7432,$940,$43795,$121,$54293,$68415,$8951,$19823,$0,$28690,$37641,$23317,$24080,$-6913,$30774,$68415,$1151,$1734,$313,$2047,$-137,$-336,$0,$0,$-473,$2352,$-573,$0,$48,$-42,$0,$-42,$30,$-537,$-7280,$140,$-7140,$39,$39,$-985,$0,$-8086,$-6342,$313,$-985
2,2018-03-31,59.37,$18.02,3.29,$16.21,3.66,$5.60,10.61,$0.25,237.48,$14.96B,$9.01B,1.66,$21.15B,$31.60B,0.67,$28.45B,$16.10B,56.61%,$28.45B,$2.58B,9.06%,$28.45B,$2.58B,9.06%,$28.45B,$6.23B,21.89%,$28.45B,$1.93B,6.77%,$28.45B,$0.48B,1.67%,$0.48B,$31.60B,1.50%,$0.48B,$-13.57B,-4.20%,$0.48B,$70.91B,0.66%,$2.58B,$52.76B,4.64%,$7390,$3067,$4323,$589,$2542,$6782,$608,$-177,$431,$22,$409,$409,$418,$1492,$608,$1753,1765,$0.24,$0.23,$4042,$3826,$20,$14964,$7659,$913,$45170,$120,$55944,$70908,$9010,$21154,$0,$30297,$39307,$23223,$23856,$-5733,$31601,$70908,$418,$884,$212,$1096,$-53,$-171,$0,$0,$-224,$1108,$-275,$0,$0,$0,$-5,$-5,$42,$-238,$-5979,$6,$-5973,$9,$9,$-491,$0,$-6455,$-5550,$212,$-491
3,2017-12-31,56.28,$17.84,3.16,$15.68,3.59,$5.30,10.62,$0.26,216.46,$20.15B,$8.91B,2.26,$27.21B,$31.10B,0.88,$27.39B,$15.05B,54.96%,$27.39B,$1.73B,6.30%,$27.39B,$1.73B,6.30%,$27.39B,$5.66B,20.66%,$27.39B,$2.23B,8.15%,$27.39B,$0.48B,1.74%,$0.48B,$31.10B,1.51%,$0.48B,$-14.40B,-4.65%,$0.48B,$76.25B,0.66%,$1.73B,$58.31B,3.07%,$7589,$3210,$4379,$594,$2412,$6776,$813,$-239,$574,$1438,$-864,$-864,$-828,$1728,$813,$1740,1749,$-0.47,$-0.47,$9610,$3601,$20,$20147,$7607,$883,$45493,$176,$56103,$76250,$8912,$27210,$0,$36240,$45152,$23206,$23978,$-6062,$31098,$76250,$477,$3933,$-755,$3178,$-207,$249,$0,$109,$1915,$5570,$-1135,$0,$-8437,$0,$-81,$-81,$35,$-9618,$-1908,$-1034,$-2942,$233,$-477,$-1849,$-13,$-5281,$-9213,$406,$-1849
4,2017-09-30,52.37,$18.51,2.83,$14.94,3.51,$4.17,12.57,$1.27,41.23,$21.38B,$7.94B,2.69,$23.31B,$32.22B,0.72,$25.13B,$13.70B,54.49%,$25.13B,$1.86B,7.40%,$25.13B,$1.86B,7.40%,$25.13B,$5.36B,21.34%,$25.13B,$2.53B,10.07%,$25.13B,$2.10B,8.37%,$2.10B,$32.22B,7.23%,$2.10B,$-8.43B,-46.38%,$2.10B,$72.25B,3.15%,$1.86B,$55.53B,3.58%,$6829,$2876,$3953,$568,$2115,$6060,$769,$-143,$626,$65,$561,$561,$603,$1543,$769,$1744,1754,$0.34,$0.34,$11199,$3483,$0,$21377,$7219,$1386,$40644,$57,$50871,$72248,$7935,$23310,$0,$32095,$40030,$23118,$25320,$-6116,$32218,$72248,$1305,$3018,$-825,$2193,$-169,$39,$0,$0,$-130,$3930,$-790,$0,$-7585,$-98,$0,$-98,$2007,$-6466,$-2508,$-1424,$-3932,$169,$169,$-1385,$-21,$-5169,$-7608,$338,$-1385
5,2017-06-30,47.45,$18.30,2.59,$14.63,3.24,$3.21,14.78,$0.71,66.83,$19.98B,$6.80B,2.94,$23.81B,$31.79B,0.75,$23.61B,$12.76B,54.05%,$23.61B,$1.99B,8.43%,$23.61B,$1.99B,8.43%,$23.61B,$5.06B,21.42%,$23.61B,$1.73B,7.32%,$23.61B,$1.17B,4.96%,$1.17B,$31.79B,4.46%,$1.17B,$-9.00B,-359.48%,$1.17B,$71.15B,2.00%,$1.99B,$55.60B,4.44%,$6637,$3189,$3448,$520,$2150,$6251,$386,$-91,$295,$25,$270,$270,$283,$1464,$386,$1741,1749,$0.16,$0.16,$9835,$3603,$0,$19983,$7286,$1545,$40785,$0,$51168,$71151,$6803,$23810,$0,$32560,$39363,$23012,$25202,$-6250,$31788,$71151,$702,$2244,$-888,$1356,$-56,$-127,$0,$0,$-183,$1925,$-527,$0,$-5632,$-28,$0,$-28,$27,$-6160,$-2507,$-1429,$-3936,$88,$88,$-922,$-13,$-4783,$-8945,$263,$-922
6,2017-03-31,43.08,$18.18,2.37,$14.44,2.98,$2.63,16.37,$0.96,44.88,$19.33B,$6.65B,2.91,$23.76B,$31.55B,0.75,$22.30B,$12.36B,55.41%,$22.30B,$2.42B,10.85%,$22.30B,$2.42B,10.85%,$22.30B,$4.76B,21.32%,$22.30B,$2.15B,9.63%,$22.30B,$1.50B,6.74%,$1.50B,$31.55B,6.40%,$1.50B,$-9.21B,44.78%,$1.50B,$70.89B,2.96%,$2.42B,$55.31B,6.43%,$6335,$3062,$3273,$553,$2440,$6577,$-242,$978,$736,$350,$386,$386,$419,$924,$-242,$1727,1735,$0.24,$0.24,$8860,$3995,$0,$19329,$7265,$1756,$40758,$0,$51558,$70887,$6646,$23764,$0,$32694,$39340,$22886,$25387,$-6532,$31547,$70887,$419,$1166,$-980,$186,$30,$-162,$0,$0,$-132,$574,$-272,$0,$-7555,$0,$-15,$-15,$1688,$-6154,$-2505,$-1455,$-3960,$34,$34,$-460,$-13,$-4399,$-9914,$171,$-460
7,2016-12-31,37.03,$14.07,2.63,$14.08,2.63,$2.23,16.59,$0.93,39.81,$26.78B,$6.66B,4.02,$20.68B,$20.72B,1.0,$20.85B,$11.83B,56.73%,$20.85B,$3.19B,15.27%,$20.85B,$3.19B,15.27%,$20.85B,$4.70B,22.55%,$20.85B,$1.41B,6.78%,$20.85B,$1.40B,6.71%,$1.40B,$20.72B,6.73%,$1.40B,$8.50B,19.83%,$1.40B,$52.67B,3.26%,$3.19B,$41.40B,10.45%,$5333,$2312,$3021,$343,$1609,$4385,$948,$-73,$875,$110,$765,$765,$798,$1432,$948,$1477,1483,$0.54,$0.54,$18775,$2434,$513,$26776,$5705,$2947,$12222,$2753,$25890,$52666,$6660,$20681,$59,$25289,$31949,$13027,$25565,$-7263,$20717,$52666,$1400,$1518,$1798,$3316,$-177,$-98,$0,$113,$-1513,$3203,$-1121,$0,$-55,$0,$886,$886,$42,$-248,$14922,$-1767,$13155,$-274,$-274,$-1539,$-195,$11147,$13619,$310,$-1539
8,2016-09-30,40.51,$14.19,2.85,$13.93,2.91,$2.06,19.67,$0.91,44.51,$12.98B,$8.32B,1.56,$5.98B,$20.90B,0.29,$20.71B,$11.79B,56.93%,$20.71B,$3.05B,14.74%,$20.71B,$3.05B,14.74%,$20.71B,$4.45B,21.50%,$20.71B,$1.37B,6.61%,$20.71B,$1.37B,6.61%,$1.37B,$20.90B,6.53%,$1.37B,$8.41B,21.16%,$1.37B,$39.50B,3.42%,$3.05B,$26.87B,11.34%,$5302,$2285,$3017,$352,$1628,$4405,$897,$-1076,$-179,$178,$-357,$-357,$-329,$1237,$897,$1476,1476,$-0.22,$-0.22,$4507,$2613,$552,$12978,$5734,$2997,$12486,$2779,$26519,$39497,$8321,$5975,$60,$10280,$18601,$12939,$25162,$-6533,$20896,$39497,$602,$1034,$1666,$2700,$-116,$-152,$0,$0,$-268,$2033,$-802,$0,$-48,$0,$-982,$-982,$34,$-1798,$-11,$-682,$-693,$-316,$-316,$-1153,$-195,$-2357,$-2501,$263,$-1153
9,2016-06-30,37.42,$14.15,2.65,$13.76,2.72,$2.07,18.05,$1.51,24.78,$12.99B,$8.67B,1.5,$6.02B,$20.80B,0.29,$20.56B,$11.68B,56.83%,$20.56B,$2.87B,13.95%,$20.56B,$2.87B,13.95%,$20.56B,$4.31B,20.97%,$20.56B,$2.26B,11.00%,$20.56B,$2.28B,11.08%,$2.28B,$20.80B,10.82%,$2.28B,$5.73B,39.46%,$2.28B,$39.83B,5.61%,$2.87B,$26.81B,10.62%,$5333,$2287,$3046,$348,$1737,$4517,$816,$-101,$715,$116,$599,$599,$615,$1163,$816,$1475,1480,$0.41,$0.41,$4438,$2813,$66,$12988,$5826,$3339,$15063,$2,$26843,$39831,$8673,$6016,$0,$10363,$19036,$12835,$25884,$-7223,$20795,$39831,$931,$694,$666,$1360,$-150,$-149,$0,$0,$-299,$816,$-490,$0,$18,$-800,$0,$-800,$28,$-1244,$-10,$-285,$-295,$-390,$-390,$-769,$-157,$-1611,$-2423,$214,$-769
