,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.26,$2.39,0.94,$19.56,0.12,$4.12,0.55,$-7.53,0.0,$0.52B,$0.33B,1.55,$0.30B,$0.07B,4.08,$0.69B,$0.10B,14.06%,$0.69B,$-0.30B,-42.75%,$0.69B,$-0.30B,-42.75%,$0.69B,$-0.26B,-36.96%,$0.69B,$-0.31B,-45.36%,$0.69B,$-0.34B,-48.99%,$-0.34B,$0.07B,-175.81%,$-0.34B,$-0.16B,302.46%,$-0.34B,$0.78B,-39.91%,$-0.30B,$0.38B,-65.05%,$164,$139,$25,$2,$37,$178,$-13,$-6,$-19,$2,$-21,$-21,$-21,$-3,$-13,$35,35,$-0.59,$-0.59,$53,$157,$0,$517,$14,$0,$230,$15,$258,$775,$334,$301,$64,$367,$701,$0,$-148,$-1,$74,$775,$-21,$10,$-1,$9,$-45,$-20,$17,$-2,$-35,$-46,$-0,$-1,$0,$0,$2,$2,$0,$1,$-4,$0,$-4,$0,$0,$0,$0,$-4,$-49,$-0,$0
1,2018-06-30,3.35,$3.10,1.08,$20.18,0.17,$6.64,0.5,$-6.93,0.0,$0.50B,$0.30B,1.66,$0.30B,$0.10B,3.18,$0.71B,$0.11B,15.75%,$0.71B,$-0.28B,-38.68%,$0.71B,$-0.28B,-38.68%,$0.71B,$-0.24B,-33.05%,$0.71B,$-0.29B,-41.07%,$0.71B,$-0.32B,-44.59%,$-0.32B,$0.10B,-114.86%,$-0.32B,$-0.14B,320.20%,$-0.32B,$0.77B,-34.92%,$-0.28B,$0.40B,-50.81%,$169,$159,$10,$2,$35,$196,$-27,$-4,$-31,$75,$-106,$-106,$-106,$-17,$-27,$35,35,$-3.03,$-3.03,$104,$137,$0,$503,$14,$0,$236,$14,$264,$767,$303,$303,$65,$369,$672,$0,$-127,$-1,$95,$767,$-316,$40,$275,$315,$32,$-0,$17,$1,$102,$102,$-6,$-1,$0,$0,$-1,$-1,$0,$-8,$-43,$0,$-43,$1,$1,$-6,$0,$-49,$45,$8,$-6
2,2018-03-31,7.58,$6.60,1.15,$21.35,0.35,$5.22,1.45,$-5.89,0.0,$0.49B,$0.44B,1.12,$0.13B,$0.20B,0.63,$0.74B,$0.14B,18.86%,$0.74B,$-0.24B,-32.70%,$0.74B,$-0.24B,-32.70%,$0.74B,$-0.20B,-26.59%,$0.74B,$-0.26B,-35.01%,$0.74B,$-0.21B,-28.36%,$-0.21B,$0.20B,-59.12%,$-0.21B,$-0.04B,224.73%,$-0.21B,$0.83B,-21.33%,$-0.24B,$0.33B,-38.39%,$186,$158,$28,$2,$28,$445,$-259,$-4,$-263,$-66,$-197,$-197,$-197,$-249,$-259,$35,35,$-5.57,$-5.57,$65,$142,$0,$488,$14,$0,$243,$16,$344,$831,$435,$129,$64,$193,$628,$0,$-20,$2,$203,$831,$-210,$30,$179,$209,$-1,$-3,$34,$-3,$57,$56,$-5,$-1,$0,$0,$-1,$-1,$0,$-6,$-39,$0,$-39,$1,$1,$-6,$0,$-45,$6,$6,$-6
3,2017-12-31,10.21,$12.91,0.79,$21.49,0.48,$4.62,2.21,$-0.16,0.0,$0.48B,$0.24B,2.0,$0.31B,$0.40B,0.79,$0.74B,$0.15B,20.65%,$0.74B,$0.03B,4.18%,$0.74B,$0.03B,4.18%,$0.74B,$0.08B,10.26%,$0.74B,$0.01B,1.89%,$0.74B,$-0.01B,-0.81%,$-0.01B,$0.40B,-1.49%,$-0.01B,$-0.11B,5.17%,$-0.01B,$1.02B,-0.58%,$0.03B,$0.71B,4.23%,$171,$137,$34,$2,$28,$167,$4,$-4,$-0,$13,$-14,$-14,$-14,$14,$4,$35,35,$-0.39,$-0.39,$68,$148,$0,$477,$13,$0,$507,$15,$538,$1015,$239,$312,$67,$379,$618,$0,$178,$-1,$397,$1015,$-13,$20,$9,$29,$17,$-10,$16,$-1,$31,$47,$-3,$-1,$0,$0,$-1,$-1,$0,$-5,$-31,$0,$-31,$1,$1,$-4,$0,$-34,$9,$5,$-4
4,2017-09-30,11.03,$13.38,0.82,$20.81,0.53,$4.02,2.74,$0.21,52.54,$0.47B,$0.23B,2.06,$0.32B,$0.41B,0.78,$0.70B,$0.15B,21.55%,$0.70B,$0.03B,4.02%,$0.70B,$0.03B,4.02%,$0.70B,$0.07B,9.91%,$0.70B,$0.01B,1.87%,$0.70B,$0.01B,1.01%,$0.01B,$0.41B,1.74%,$0.01B,$-0.11B,-5.60%,$0.01B,$1.02B,0.67%,$0.03B,$0.73B,3.75%,$185,$145,$40,$2,$31,$178,$7,$-5,$2,$2,$0,$0,$0,$17,$7,$35,35,$0.01,$0.01,$75,$135,$0,$468,$12,$0,$514,$13,$550,$1018,$227,$317,$64,$382,$609,$0,$194,$-3,$409,$1018,$0,$10,$3,$13,$21,$2,$8,$-1,$31,$44,$-2,$-0,$0,$0,$-1,$-1,$0,$-3,$-24,$0,$-24,$0,$0,$-2,$0,$-26,$16,$3,$-2
5,2017-06-30,15.09,$13.46,1.12,$19.85,0.76,$3.16,4.78,$0.35,43.1,$0.49B,$0.24B,2.04,$0.34B,$0.41B,0.84,$0.64B,$0.14B,22.07%,$0.64B,$0.03B,4.69%,$0.64B,$0.03B,4.69%,$0.64B,$0.07B,10.17%,$0.64B,$0.02B,2.82%,$0.64B,$0.01B,1.72%,$0.01B,$0.41B,2.91%,$0.01B,$-0.12B,-19.05%,$0.01B,$1.06B,1.19%,$0.03B,$0.74B,4.45%,$195,$158,$37,$3,$27,$187,$7,$-4,$3,$1,$2,$2,$2,$22,$7,$32,33,$0.06,$0.06,$58,$136,$0,$488,$10,$0,$522,$15,$567,$1055,$239,$339,$64,$410,$650,$0,$196,$-5,$405,$1055,$11,$35,$5,$40,$-34,$-3,$-3,$3,$-6,$45,$-2,$-3,$-270,$0,$-1,$-1,$0,$-276,$232,$0,$232,$1,$1,$-8,$-5,$220,$-11,$7,$-8
6,2017-03-31,15.37,$13.36,1.15,$18.46,0.83,$2.89,5.32,$0.52,29.55,$0.48B,$0.23B,2.07,$0.35B,$0.40B,0.88,$0.58B,$0.14B,23.83%,$0.58B,$0.04B,6.04%,$0.58B,$0.04B,6.04%,$0.58B,$0.06B,10.36%,$0.58B,$0.03B,4.32%,$0.58B,$0.02B,2.76%,$0.02B,$0.40B,4.53%,$0.02B,$-0.13B,145.45%,$0.02B,$1.06B,2.01%,$0.04B,$0.76B,5.90%,$190,$148,$42,$3,$27,$177,$13,$-5,$9,$3,$6,$6,$6,$23,$13,$35,35,$0.16,$0.16,$62,$140,$0,$481,$10,$0,$535,$16,$578,$1059,$232,$353,$63,$424,$656,$0,$198,$-9,$402,$1059,$9,$20,$5,$25,$-13,$-4,$19,$-0,$-3,$32,$-1,$-3,$-270,$0,$-1,$-1,$0,$-276,$248,$0,$248,$1,$1,$-6,$-5,$238,$-7,$5,$-6
7,2016-12-31,21.26,$13.16,1.62,$18.38,1.16,$2.57,8.26,$0.71,29.95,$0.46B,$0.21B,2.21,$0.37B,$0.40B,0.93,$0.55B,$0.13B,24.50%,$0.55B,$0.04B,6.95%,$0.55B,$0.04B,6.95%,$0.55B,$0.06B,10.60%,$0.55B,$0.03B,5.85%,$0.55B,$0.02B,3.66%,$0.02B,$0.40B,6.11%,$0.02B,$-0.15B,24.62%,$0.02B,$1.05B,2.99%,$0.04B,$0.77B,7.47%,$126,$95,$31,$1,$28,$124,$1,$-2,$-1,$-0,$-1,$-1,$-1,$7,$1,$30,30,$-0.02,$-0.02,$70,$145,$0,$459,$10,$0,$542,$16,$585,$1045,$208,$368,$64,$441,$648,$0,$195,$-9,$396,$1045,$4,$10,$3,$13,$23,$-9,$-2,$-0,$3,$20,$-1,$-3,$-270,$0,$-1,$-1,$0,$-275,$265,$0,$265,$1,$1,$-4,$-5,$257,$1,$4,$-4
8,2016-09-30,18.32,$10.31,1.78,$18.65,0.98,$2.45,7.49,$1.01,18.14,$0.36B,$0.09B,3.82,$0.12B,$0.31B,0.39,$0.55B,$0.14B,25.14%,$0.55B,$0.05B,9.22%,$0.55B,$0.05B,9.22%,$0.55B,$0.07B,12.48%,$0.55B,$0.05B,8.32%,$0.55B,$0.03B,5.24%,$0.03B,$0.31B,9.67%,$0.03B,$0.16B,19.14%,$0.03B,$0.55B,5.38%,$0.05B,$0.43B,12.21%,$128,$97,$31,$1,$21,$119,$9,$-2,$7,$2,$4,$4,$4,$13,$9,$30,30,$0.15,$0.15,$75,$104,$0,$356,$10,$0,$146,$15,$189,$545,$93,$120,$13,$142,$235,$0,$197,$-6,$310,$545,$4,$5,$3,$7,$10,$-6,$3,$-1,$-1,$11,$-1,$-2,$0,$0,$-1,$-1,$0,$-3,$-0,$0,$-0,$0,$0,$-2,$0,$-1,$6,$2,$-2
9,2016-06-30,21.05,$10.29,2.05,$18.90,1.11,$2.20,9.57,$1.18,17.84,$0.35B,$0.10B,3.57,$0.12B,$0.30B,0.39,$0.56B,$0.14B,25.58%,$0.56B,$0.06B,10.38%,$0.56B,$0.06B,10.38%,$0.56B,$0.08B,13.42%,$0.56B,$0.05B,9.66%,$0.56B,$0.03B,6.08%,$0.03B,$0.30B,11.79%,$0.03B,$0.16B,24.42%,$0.03B,$0.54B,6.47%,$0.06B,$0.42B,14.36%,$135,$101,$34,$2,$20,$123,$12,$-2,$10,$3,$7,$7,$7,$17,$12,$29,30,$0.23,$0.23,$68,$98,$0,$353,$10,$0,$147,$13,$188,$541,$99,$119,$10,$137,$236,$0,$195,$-6,$304,$541,$35,$16,$5,$21,$-6,$-2,$-9,$1,$-24,$32,$-1,$-11,$0,$0,$2,$2,$0,$-10,$37,$0,$37,$14,$14,$-7,$-33,$11,$33,$7,$-7
