,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,19.65,$12.67,1.55,$12.65,1.55,$6.86,2.86,$-3.19,0.0,$0.55B,$0.14B,4.03,$0.34B,$0.60B,0.57,$0.59B,$0.46B,78.31%,$0.59B,$-0.13B,-22.20%,$0.59B,$-0.13B,-22.20%,$0.59B,$-0.10B,-17.12%,$0.59B,$-0.15B,-25.25%,$0.59B,$-0.15B,-24.92%,$-0.15B,$0.60B,-25.83%,$-0.15B,$-0.11B,100.51%,$-0.15B,$1.31B,-11.89%,$-0.13B,$0.94B,-14.46%,$143,$25,$117,$23,$44,$115,$28,$-4,$24,$38,$-14,$-14,$-14,$34,$28,$47,47,$-0.29,$-0.29,$461,$11,$7,$547,$52,$0,$712,$0,$764,$1311,$136,$341,$165,$577,$712,$0,$-403,$4,$599,$1311,$24,$20,$73,$93,$30,$27,$0,$-5,$46,$163,$-23,$-0,$0,$-139,$0,$-139,$0,$-162,$-1,$0,$-1,$13,$13,$0,$0,$13,$14,$16,$0
1,2018-06-30,28.7,$12.87,2.23,$12.69,2.26,$4.46,6.44,$-3.45,0.0,$0.50B,$0.12B,4.09,$0.34B,$0.61B,0.56,$0.59B,$0.46B,77.55%,$0.59B,$-0.16B,-27.38%,$0.59B,$-0.16B,-27.38%,$0.59B,$-0.13B,-21.94%,$0.59B,$-0.18B,-30.44%,$0.59B,$-0.16B,-26.87%,$-0.16B,$0.61B,-26.81%,$-0.16B,$-0.11B,80.82%,$-0.16B,$1.25B,-12.69%,$-0.16B,$0.95B,-17.41%,$153,$31,$122,$26,$44,$94,$59,$-4,$55,$8,$46,$46,$46,$66,$59,$47,47,$0.99,$0.98,$392,$21,$2,$495,$43,$0,$713,$1,$756,$1251,$121,$338,$147,$523,$644,$0,$-390,$5,$607,$1251,$38,$15,$18,$32,$17,$16,$0,$-2,$15,$85,$-11,$-0,$0,$-148,$0,$-148,$0,$-159,$-1,$0,$-1,$11,$11,$0,$0,$10,$-64,$11,$0
2,2018-03-31,23.65,$11.79,2.01,$12.48,1.9,$2.36,10.01,$-4.61,0.0,$0.43B,$0.12B,3.65,$0.34B,$0.55B,0.61,$0.57B,$0.44B,77.35%,$0.57B,$-0.22B,-37.80%,$0.57B,$-0.22B,-37.80%,$0.57B,$-0.18B,-31.71%,$0.57B,$-0.24B,-41.29%,$0.57B,$-0.21B,-36.93%,$-0.21B,$0.55B,-34.75%,$-0.21B,$-0.17B,83.88%,$-0.21B,$1.19B,-16.75%,$-0.22B,$0.89B,-23.02%,$106,$21,$85,$31,$48,$106,$0,$-5,$-5,$3,$-8,$-8,$-8,$8,$0,$47,47,$-0.18,$-0.18,$334,$28,$1,$428,$39,$0,$719,$0,$759,$1187,$117,$337,$158,$520,$637,$0,$-436,$9,$550,$1187,$-8,$7,$9,$16,$31,$10,$0,$-1,$21,$29,$-5,$-0,$0,$-107,$0,$-107,$0,$-112,$-1,$0,$-1,$2,$2,$0,$0,$2,$-81,$6,$0
3,2017-12-31,21.45,$11.20,1.92,$12.80,1.68,$1.17,18.34,$-4.84,0.0,$0.44B,$0.14B,3.07,$0.33B,$0.52B,0.64,$0.59B,$0.45B,77.17%,$0.59B,$-0.23B,-39.52%,$0.59B,$-0.23B,-39.52%,$0.59B,$-0.20B,-33.56%,$0.59B,$-0.25B,-42.93%,$0.59B,$-0.22B,-37.99%,$-0.22B,$0.52B,-34.76%,$-0.22B,$-0.20B,75.27%,$-0.22B,$1.20B,-17.17%,$-0.23B,$0.85B,-23.88%,$188,$50,$138,$35,$40,$406,$-218,$-5,$-223,$-52,$-171,$-171,$-171,$-209,$-218,$46,46,$-3.72,$-3.72,$307,$38,$2,$442,$37,$0,$717,$1,$756,$1198,$144,$334,$154,$534,$678,$0,$-455,$7,$520,$1198,$-223,$35,$312,$347,$-29,$6,$0,$0,$-27,$97,$-14,$-1,$4,$0,$0,$0,$0,$-11,$-2,$0,$-2,$10,$10,$0,$54,$62,$149,$33,$0
4,2017-09-30,23.65,$14.56,1.62,$11.81,2.0,$0.01,1791.67,$-1.21,0.0,$0.30B,$0.11B,2.77,$0.33B,$0.68B,0.49,$0.54B,$0.43B,78.70%,$0.54B,$-0.01B,-2.41%,$0.54B,$-0.01B,-2.41%,$0.54B,$0.02B,3.89%,$0.54B,$-0.03B,-5.74%,$0.54B,$-0.06B,-10.19%,$-0.06B,$0.68B,-8.12%,$-0.06B,$-0.31B,16.33%,$-0.06B,$1.35B,-4.12%,$-0.01B,$1.01B,-1.29%,$141,$30,$111,$33,$41,$143,$-2,$-4,$-6,$19,$-25,$-25,$-25,$6,$-2,$46,46,$-0.55,$-0.55,$193,$40,$7,$303,$36,$0,$990,$9,$1042,$1345,$110,$332,$100,$555,$665,$0,$-284,$7,$680,$1345,$-52,$26,$99,$125,$-2,$3,$0,$-8,$-36,$37,$-10,$-0,$0,$0,$0,$0,$0,$-11,$-2,$0,$-2,$7,$7,$0,$3,$7,$34,$25,$0
5,2017-06-30,19.7,$14.79,1.33,$11.74,1.68,$-0.60,0.0,$-0.94,0.0,$0.26B,$0.11B,2.39,$0.33B,$0.69B,0.48,$0.54B,$0.42B,78.88%,$0.54B,$-0.02B,-2.99%,$0.54B,$-0.02B,-2.99%,$0.54B,$0.02B,3.36%,$0.54B,$-0.04B,-6.54%,$0.54B,$-0.04B,-8.04%,$-0.04B,$0.69B,-6.38%,$-0.04B,$-0.34B,12.25%,$-0.04B,$1.33B,-3.24%,$-0.02B,$1.02B,-1.61%,$139,$30,$110,$51,$49,$137,$3,$-5,$-3,$5,$-8,$-8,$-8,$13,$3,$46,46,$-0.18,$-0.18,$141,$44,$5,$256,$37,$0,$1025,$9,$1077,$1332,$107,$328,$100,$536,$643,$0,$-259,$-0,$690,$1332,$-27,$18,$34,$53,$-3,$-1,$0,$-4,$-41,$-15,$-9,$-0,$0,$0,$0,$0,$0,$-9,$-2,$0,$-2,$5,$5,$0,$3,$6,$-17,$19,$0
6,2017-03-31,21.0,$14.46,1.45,$11.51,1.82,$-0.19,0.0,$-1.16,0.0,$0.25B,$0.12B,2.08,$0.33B,$0.68B,0.48,$0.52B,$0.41B,78.97%,$0.52B,$-0.03B,-6.31%,$0.52B,$-0.03B,-6.31%,$0.52B,$-0.00B,-0.19%,$0.52B,$-0.05B,-9.94%,$0.52B,$-0.05B,-10.13%,$-0.05B,$0.68B,-7.88%,$-0.05B,$-0.34B,14.90%,$-0.05B,$1.32B,-3.98%,$-0.03B,$1.00B,-3.36%,$119,$25,$94,$46,$52,$135,$-15,$-5,$-20,$-1,$-19,$-19,$-19,$-7,$-15,$46,46,$-0.41,$-0.41,$134,$46,$5,$248,$37,$0,$1019,$9,$1072,$1320,$119,$326,$92,$524,$644,$0,$-251,$-10,$676,$1320,$-19,$8,$14,$22,$2,$-3,$0,$-5,$-29,$-25,$-6,$-0,$0,$0,$0,$0,$0,$-6,$-2,$0,$-2,$5,$5,$0,$3,$6,$-25,$8,$0
7,2016-12-31,18.8,$14.54,1.29,$11.49,1.64,$0.61,30.64,$-0.76,0.0,$0.27B,$0.15B,1.84,$0.32B,$0.66B,0.49,$0.52B,$0.41B,79.23%,$0.52B,$-0.04B,-6.73%,$0.52B,$-0.04B,-6.73%,$0.52B,$-0.01B,-0.96%,$0.52B,$-0.04B,-8.08%,$0.52B,$-0.04B,-6.73%,$-0.04B,$0.66B,-5.19%,$-0.04B,$-0.36B,13.86%,$-0.04B,$1.34B,-2.68%,$-0.04B,$0.99B,-3.59%,$141,$30,$110,$54,$59,$140,$1,$-3,$-2,$1,$-3,$-3,$-3,$9,$1,$45,45,$-0.07,$-0.07,$159,$43,$6,$273,$34,$0,$1023,$6,$1070,$1342,$148,$324,$81,$530,$678,$0,$-244,$-13,$664,$1342,$-36,$32,$24,$56,$-20,$-7,$0,$4,$15,$35,$-6,$-1,$-266,$200,$0,$200,$0,$-74,$0,$0,$0,$76,$76,$0,$-30,$46,$5,$36,$0
8,2016-09-30,20.88,$14.45,1.44,$11.39,1.83,$0.72,29.17,$-0.48,0.0,$0.24B,$0.12B,2.01,$0.30B,$0.67B,0.45,$0.51B,$0.41B,79.61%,$0.51B,$-0.03B,-6.27%,$0.51B,$-0.03B,-6.27%,$0.51B,$-0.00B,-0.59%,$0.51B,$-0.04B,-7.65%,$0.51B,$-0.02B,-4.51%,$-0.02B,$0.67B,-3.49%,$-0.02B,$-0.37B,13.90%,$-0.02B,$1.32B,-1.84%,$-0.03B,$0.96B,-3.36%,$136,$28,$108,$55,$55,$141,$-5,$-5,$-10,$3,$-13,$-13,$-13,$3,$-5,$45,45,$-0.28,$-0.28,$128,$41,$5,$238,$36,$0,$1033,$6,$1080,$1318,$118,$297,$110,$533,$652,$0,$-241,$-4,$667,$1318,$-33,$23,$18,$42,$-17,$-4,$0,$6,$-6,$3,$-5,$-0,$-268,$200,$0,$200,$0,$-73,$0,$0,$0,$75,$75,$0,$-30,$45,$-25,$27,$0
9,2016-06-30,25.51,$14.79,1.72,$11.81,2.16,$1.01,25.23,$-0.11,0.0,$0.26B,$0.14B,1.93,$0.30B,$0.68B,0.43,$0.52B,$0.42B,80.65%,$0.52B,$-0.00B,-0.19%,$0.52B,$-0.00B,-0.19%,$0.52B,$0.03B,4.98%,$0.52B,$-0.01B,-1.34%,$0.52B,$-0.01B,-1.15%,$-0.01B,$0.68B,-0.94%,$-0.01B,$-0.35B,7.16%,$-0.01B,$1.35B,-0.50%,$-0.00B,$0.98B,-0.11%,$127,$27,$101,$50,$63,$141,$-14,$-6,$-20,$-1,$-19,$-19,$-18,$-6,$-14,$45,45,$-0.40,$-0.40,$137,$56,$6,$263,$37,$0,$1036,$6,$1083,$1347,$136,$295,$107,$529,$665,$0,$-228,$-5,$682,$1347,$-19,$15,$4,$19,$-14,$-19,$0,$4,$-2,$-3,$-3,$-0,$-275,$207,$0,$207,$0,$-71,$0,$0,$0,$74,$74,$0,$-16,$58,$-16,$17,$0
