,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,11.96,$4.00,2.99,$0.39,31.04,$-0.97,0.0,$1.73,6.91,$0.04B,$0.00B,12.12,$0.00B,$0.08B,0.0,$0.01B,$0.00B,57.14%,$0.01B,$-0.02B,-214.29%,$0.01B,$-0.02B,-214.29%,$0.01B,$-0.01B,-185.71%,$0.01B,$0.05B,742.86%,$0.01B,$0.04B,514.29%,$0.04B,$0.08B,46.30%,$0.04B,$0.08B,46.30%,$0.04B,$0.08B,43.11%,$-0.02B,$0.08B,-19.29%,$5,$1,$4,$0,$3,$5,$0,$9,$9,$4,$6,$6,$6,$0,$0,$20,20,$0.28,$0.28,$32,$0,$0,$39,$0,$5,$0,$2,$44,$83,$3,$0,$0,$0,$4,$0,$11,$0,$80,$83,$28,$0,$-33,$-33,$0,$0,$-0,$-1,$-0,$-4,$-0,$0,$0,$0,$-1,$-1,$34,$33,$0,$0,$0,$-12,$-12,$-15,$0,$-27,$1,$2,$-15
1,2018-06-30,11.11,$4.01,2.77,$0.37,29.96,$-1.19,0.0,$1.73,6.42,$0.04B,$0.00B,9.85,$0.00B,$0.08B,0.0,$0.01B,$0.00B,42.86%,$0.01B,$-0.02B,-228.57%,$0.01B,$-0.02B,-228.57%,$0.01B,$-0.01B,-200.00%,$0.01B,$0.05B,742.86%,$0.01B,$0.04B,514.29%,$0.04B,$0.08B,47.06%,$0.04B,$0.08B,47.06%,$0.04B,$0.09B,42.35%,$-0.02B,$0.08B,-20.92%,$4,$1,$4,$0,$4,$6,$-2,$16,$14,$-1,$15,$15,$15,$-1,$-2,$20,20,$0.76,$0.75,$32,$0,$0,$39,$0,$5,$0,$2,$46,$85,$4,$0,$0,$0,$4,$0,$10,$0,$81,$85,$23,$0,$-28,$-27,$-0,$0,$0,$1,$1,$-3,$-0,$0,$0,$0,$0,$0,$25,$25,$0,$0,$0,$-9,$-9,$-10,$0,$-20,$1,$1,$-10
2,2018-03-31,10.93,$3.72,2.94,$1.41,7.76,$-1.31,0.0,$1.27,8.61,$0.04B,$0.01B,7.81,$0.00B,$0.08B,0.0,$0.03B,$0.00B,10.00%,$0.03B,$-0.01B,-46.67%,$0.03B,$-0.01B,-46.67%,$0.03B,$-0.01B,-43.33%,$0.03B,$0.05B,160.00%,$0.03B,$0.03B,90.00%,$0.03B,$0.08B,36.12%,$0.03B,$0.08B,36.12%,$0.03B,$0.08B,30.95%,$-0.01B,$0.08B,-18.73%,$4,$1,$3,$0,$3,$6,$-2,$12,$10,$3,$8,$8,$8,$-2,$-2,$21,21,$0.37,$0.37,$35,$0,$0,$41,$0,$3,$0,$2,$42,$83,$5,$0,$0,$0,$6,$0,$-5,$0,$77,$83,$8,$0,$-10,$-10,$-0,$0,$0,$3,$3,$0,$-0,$0,$0,$0,$0,$0,$11,$11,$0,$0,$0,$-2,$-2,$-5,$0,$-7,$4,$0,$-5
3,2017-12-31,8.99,$3.54,2.54,$1.63,5.51,$-1.45,0.0,$1.29,6.97,$0.04B,$0.01B,5.36,$0.00B,$0.07B,0.0,$0.04B,$0.00B,8.57%,$0.04B,$-0.01B,-40.00%,$0.04B,$-0.01B,-40.00%,$0.04B,$-0.01B,-34.29%,$0.04B,$0.05B,148.57%,$0.04B,$0.03B,80.00%,$0.03B,$0.07B,36.48%,$0.03B,$0.07B,36.48%,$0.03B,$0.08B,30.19%,$-0.01B,$0.07B,-18.24%,$-6,$1,$-7,$-0,$3,$5,$-11,$29,$19,$12,$7,$7,$7,$-10,$-11,$21,21,$0.34,$0.33,$31,$0,$0,$37,$0,$4,$0,$2,$46,$83,$7,$0,$2,$2,$9,$0,$-15,$0,$73,$83,$28,$1,$-52,$-50,$7,$0,$-1,$22,$11,$-12,$-0,$0,$0,$0,$-0,$-0,$49,$48,$0,$0,$0,$-17,$-17,$-16,$-0,$-33,$4,$2,$-16
4,2017-09-30,9.98,$3.54,2.82,$2.07,4.83,$-1.71,0.0,$4.35,2.29,$0.03B,$0.01B,2.69,$0.00B,$0.08B,0.0,$0.05B,$0.01B,22.22%,$0.05B,$-0.01B,-17.78%,$0.05B,$-0.01B,-17.78%,$0.05B,$-0.01B,-11.11%,$0.05B,$0.05B,104.44%,$0.05B,$0.10B,215.56%,$0.10B,$0.08B,125.16%,$0.10B,$0.08B,125.16%,$0.10B,$0.09B,98.23%,$-0.01B,$0.08B,-10.32%,$5,$2,$3,$0,$3,$6,$-1,$11,$9,$4,$6,$6,$6,$-1,$-1,$21,21,$0.28,$0.28,$27,$0,$0,$33,$0,$3,$0,$2,$56,$89,$12,$0,$2,$2,$15,$0,$-22,$0,$75,$89,$21,$1,$-34,$-33,$7,$0,$-1,$9,$3,$-9,$-0,$0,$0,$0,$-0,$-0,$33,$33,$0,$0,$0,$-14,$-14,$-10,$0,$-24,$-0,$2,$-10
5,2017-06-30,8.12,$3.50,2.32,$2.53,3.21,$-1.97,0.0,$4.50,1.8,$0.04B,$0.02B,2.03,$0.00B,$0.07B,0.0,$0.06B,$0.01B,16.07%,$0.06B,$-0.01B,-17.86%,$0.06B,$-0.01B,-17.86%,$0.06B,$-0.01B,-12.50%,$0.06B,$0.05B,85.71%,$0.06B,$0.10B,180.36%,$0.10B,$0.07B,171.91%,$0.10B,$0.07B,171.91%,$0.10B,$0.09B,116.43%,$-0.01B,$0.07B,-17.02%,$27,$23,$4,$0,$2,$27,$0,$10,$10,$4,$6,$6,$6,$0,$0,$22,22,$0.29,$0.29,$29,$0,$0,$35,$0,$4,$0,$2,$59,$94,$17,$0,$3,$3,$20,$0,$-28,$0,$74,$94,$15,$1,$-25,$-24,$7,$0,$-0,$-2,$3,$-6,$-0,$0,$0,$0,$0,$0,$22,$22,$0,$0,$0,$-13,$-13,$0,$0,$-13,$2,$1,$0
6,2017-03-31,8.23,$3.86,2.13,$1.69,4.88,$-2.08,0.0,$4.56,1.81,$0.04B,$0.02B,2.84,$0.00B,$0.09B,0.0,$0.04B,$0.01B,21.05%,$0.04B,$-0.02B,-39.47%,$0.04B,$-0.02B,-39.47%,$0.04B,$-0.01B,-26.32%,$0.04B,$0.05B,121.05%,$0.04B,$0.10B,271.05%,$0.10B,$0.09B,272.85%,$0.10B,$0.09B,272.85%,$0.10B,$0.11B,142.07%,$-0.02B,$0.09B,-39.74%,$9,$6,$3,$0,$3,$11,$-2,$16,$14,$5,$9,$9,$9,$-1,$-2,$22,22,$0.39,$0.39,$37,$0,$0,$42,$1,$4,$0,$2,$62,$105,$15,$0,$5,$5,$19,$0,$-35,$0,$85,$105,$9,$0,$-16,$-16,$7,$0,$-1,$-1,$5,$-3,$-0,$0,$0,$0,$0,$0,$13,$13,$0,$0,$0,$-0,$-0,$0,$0,$-0,$10,$1,$0
7,2016-12-31,7.97,$3.46,2.31,$2.28,3.49,$-2.03,0.0,$4.37,1.82,$0.04B,$0.02B,1.64,$0.00B,$0.08B,0.0,$0.05B,$0.01B,19.61%,$0.05B,$-0.02B,-31.37%,$0.05B,$-0.02B,-31.37%,$0.05B,$-0.01B,-23.53%,$0.05B,$0.04B,70.59%,$0.05B,$0.10B,192.16%,$0.10B,$0.08B,852.17%,$0.10B,$0.08B,852.17%,$0.10B,$0.11B,172.69%,$-0.02B,$0.08B,-139.13%,$4,$3,$0,$0,$3,$9,$-5,$19,$14,$-62,$76,$76,$76,$-3,$-5,$22,22,$3.40,$3.36,$27,$0,$0,$39,$1,$4,$0,$2,$68,$107,$24,$0,$7,$7,$31,$0,$-43,$0,$76,$107,$98,$5,$-108,$-103,$-0,$0,$-4,$-1,$-13,$-18,$-0,$0,$0,$0,$2,$2,$38,$40,$0,$-14,$-14,$-0,$-0,$0,$-1,$-16,$6,$3,$0
8,2016-09-30,6.49,$-0.01,-491.64,$2.73,2.38,$-2.55,0.0,$0.85,7.63,$0.03B,$0.03B,0.95,$0.00B,$0.00B,0.0,$0.06B,$0.02B,26.67%,$0.06B,$-0.02B,-30.00%,$0.06B,$-0.02B,-30.00%,$0.06B,$-0.01B,-21.67%,$0.06B,$0.02B,31.67%,$0.06B,$0.02B,31.67%,$0.02B,$0.00B,-138.18%,$0.02B,$0.00B,-138.18%,$0.02B,$0.04B,41.99%,$-0.02B,$0.00B,175.61%,$16,$13,$2,$-1,$4,$19,$-3,$13,$10,$1,$10,$10,$10,$-3,$-3,$22,22,$0.44,$0.43,$12,$0,$0,$28,$1,$6,$0,$6,$13,$41,$29,$0,$12,$12,$41,$0,$-119,$0,$-0,$41,$22,$2,$-31,$-29,$-4,$0,$-4,$0,$-8,$-15,$-0,$0,$0,$0,$2,$2,$25,$26,$-14,$0,$-14,$-0,$-0,$0,$-1,$-15,$-5,$2,$0
9,2016-06-30,8.11,$-0.48,-16.98,$2.61,3.11,$-2.49,0.0,$0.02,405.6,$0.02B,$0.03B,0.63,$0.00B,$-0.01B,0.0,$0.06B,$0.02B,28.07%,$0.06B,$-0.03B,-43.86%,$0.06B,$-0.03B,-43.86%,$0.06B,$-0.02B,-33.33%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.00B,$-0.01B,0.00%,$0.00B,$-0.01B,0.00%,$0.00B,$0.04B,0.00%,$-0.03B,$-0.01B,200.00%,$9,$6,$3,$-0,$5,$14,$-5,$13,$8,$0,$8,$8,$8,$-3,$-5,$22,22,$0.36,$0.35,$7,$0,$0,$19,$1,$6,$0,$10,$17,$37,$30,$0,$17,$17,$47,$0,$-129,$0,$-10,$37,$12,$2,$-18,$-16,$-1,$0,$-3,$-0,$-5,$-9,$-0,$0,$0,$0,$2,$2,$15,$17,$-14,$0,$-14,$-0,$-0,$0,$-1,$-15,$-8,$2,$0
