,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2013-03-31,7.92,$0.00,0.0,$0.12,68.34,0.0,0.0,$0.03,264.15,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$0.02B,80.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.02B,80.00%,$0.02B,$0.01B,45.00%,$0.01B,$0.00B,1.58%,$0.01B,$0.00B,1.58%,$0.01B,$0.00B,1.55%,$0.02B,$0.00B,2.81%,$4,$0,$4,$0,$0,$0,$4,$0,$4,$0,$4,$-1,$-1,$0,$0,$57,57,$-0.01,$-0.01,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
1,2012-12-31,7.12,$0.00,0.0,$0.11,65.91,0.0,0.0,$0.08,88.95,$0.00B,$0.01B,0.16,$0.00B,$1.16B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$0.02B,80.95%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.02B,80.95%,$0.02B,$0.01B,61.90%,$0.01B,$1.16B,2.28%,$0.01B,$1.16B,2.28%,$0.01B,$1.18B,2.23%,$0.02B,$1.16B,2.98%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$1,$0,$0,$1,$0,$1172,$0,$6,$1178,$1178,$5,$0,$17,$17,$23,$0,$145,$0,$1156,$1178,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,2012-06-30,6.71,$0.00,0.0,$0.18,38.24,0.0,0.0,$0.13,51.65,$0.00B,$0.00B,0.06,$0.00B,$1.13B,0.0,$0.03B,$0.03B,100.00%,$0.03B,$0.02B,85.19%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.02B,85.19%,$0.03B,$0.02B,62.96%,$0.02B,$1.13B,6.04%,$0.02B,$1.13B,6.04%,$0.02B,$1.15B,5.91%,$0.02B,$1.13B,8.18%,$11,$0,$11,$0,$4,$4,$7,$0,$7,$0,$7,$7,$7,$0,$0,$0,0,$0.00,$0.00,$0,$0,$0,$0,$0,$1145,$0,$5,$1150,$1150,$4,$0,$21,$21,$25,$0,$134,$0,$1125,$1150,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,2009-06-30,4.55,$0.00,0.0,$0.26,17.5,0.0,0.0,$0.20,22.77,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$0.02B,100.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.02B,100.00%,$0.02B,$0.02B,68.18%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$5,$0,$5,$0,$0,$0,$5,$0,$5,$0,$5,$3,$3,$0,$0,$95,95,$0.04,$0.04,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
4,2009-03-31,4.05,$0.00,0.0,$0.28,14.34,0.0,0.0,$0.22,18.42,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$0.02B,100.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.02B,100.00%,$0.02B,$0.02B,75.00%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$5,$0,$5,$0,$0,$0,$5,$0,$5,$0,$5,$3,$3,$0,$0,$87,87,$0.04,$0.04,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
5,2008-12-31,4.3,$0.00,0.0,$0.32,13.61,0.0,0.0,$0.25,17.19,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$0.03B,$0.03B,100.00%,$0.03B,$0.03B,100.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.03B,100.00%,$0.03B,$0.02B,80.77%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$0.03B,$0.00B,inf%,$6,$0,$6,$0,$0,$0,$6,$0,$6,$0,$6,$4,$4,$0,$0,$87,87,$0.05,$0.05,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
6,2008-09-30,5.41,$0.00,0.0,$0.30,17.82,0.0,0.0,$0.24,22.54,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$0.03B,$0.03B,100.00%,$0.03B,$0.03B,100.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.03B,100.00%,$0.03B,$0.02B,84.00%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$0.03B,$0.00B,inf%,$6,$0,$6,$0,$0,$0,$6,$0,$6,$0,$6,$5,$5,$0,$0,$75,75,$0.07,$0.07,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
7,2008-06-30,5.93,$0.00,0.0,$0.31,19.27,0.0,0.0,$0.24,24.69,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$0.03B,$0.03B,100.00%,$0.03B,$0.03B,100.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.03B,100.00%,$0.03B,$0.02B,84.62%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$0.02B,$0.00B,inf%,$0.03B,$0.00B,inf%,$7,$0,$7,$0,$0,$0,$7,$0,$7,$0,$7,$6,$6,$0,$0,$97,97,$0.06,$0.06,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2008-03-31,6.23,$0.00,0.0,$0.37,16.84,0.0,0.0,$0.30,20.77,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$0.03B,$0.03B,100.00%,$0.03B,$0.03B,100.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.03B,100.00%,$0.03B,$0.03B,87.10%,$0.03B,$0.00B,inf%,$0.03B,$0.00B,inf%,$0.03B,$0.00B,inf%,$0.03B,$0.00B,inf%,$7,$0,$7,$0,$0,$0,$7,$0,$7,$0,$7,$6,$6,$0,$0,$81,81,$0.07,$0.07,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
9,2007-12-31,7.01,$0.00,0.0,$0.37,18.81,0.0,0.0,$0.30,23.35,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$0.03B,$0.03B,100.00%,$0.03B,$0.03B,100.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.03B,100.00%,$0.03B,$0.03B,87.10%,$0.03B,$0.00B,inf%,$0.03B,$0.00B,inf%,$0.03B,$0.00B,inf%,$0.03B,$0.00B,inf%,$5,$0,$5,$0,$0,$0,$5,$0,$5,$0,$5,$4,$4,$0,$0,$95,95,$0.04,$0.04,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
