,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,60.79,$37.83,1.61,$115.88,0.52,$-5.73,0.0,$2.88,21.11,$3.79B,$2.66B,1.43,$1.70B,$2.97B,0.57,$9.29B,$1.99B,21.41%,$9.29B,$0.47B,5.08%,$9.29B,$0.47B,5.08%,$9.29B,$0.77B,8.25%,$9.29B,$0.34B,3.66%,$9.29B,$0.23B,2.48%,$0.23B,$2.97B,7.55%,$0.23B,$0.88B,25.62%,$0.23B,$7.92B,2.84%,$0.47B,$4.67B,9.83%,$2215,$1741,$474,$0,$261,$2103,$111,$-26,$85,$24,$61,$71,$71,$182,$111,$79,80,$0.90,$0.89,$293,$2102,$402,$3789,$1368,$419,$2085,$147,$4128,$7917,$2659,$1699,$245,$2289,$4948,$1,$4405,$-1582,$2969,$7917,$186,$219,$9,$229,$-60,$-398,$-18,$4,$-416,$-4,$-136,$0,$0,$0,$-6,$-6,$0,$-141,$216,$0,$216,$-84,$-84,$-36,$-5,$92,$-75,$33,$-36
1,2018-06-30,60.56,$37.89,1.6,$112.86,0.54,$-6.03,0.0,$2.75,22.02,$3.84B,$2.70B,1.42,$1.73B,$3.00B,0.58,$9.06B,$1.94B,21.46%,$9.06B,$0.46B,5.06%,$9.06B,$0.46B,5.06%,$9.06B,$0.75B,8.30%,$9.06B,$0.32B,3.55%,$9.06B,$0.22B,2.43%,$0.22B,$3.00B,7.15%,$0.22B,$0.89B,24.23%,$0.22B,$8.02B,2.70%,$0.46B,$4.73B,9.35%,$2538,$1981,$556,$0,$272,$2370,$168,$-48,$120,$39,$81,$90,$91,$242,$168,$79,80,$1.15,$1.14,$281,$2132,$384,$3844,$1393,$411,$2112,$154,$4180,$8024,$2701,$1728,$244,$2326,$5026,$1,$4346,$-1534,$2998,$8024,$115,$149,$-5,$144,$-83,$-396,$8,$-0,$-465,$-204,$-88,$0,$0,$0,$-6,$-6,$0,$-93,$282,$0,$282,$-34,$-34,$-24,$-4,$221,$-87,$23,$-24
2,2018-03-31,64.53,$39.22,1.65,$108.25,0.6,$-4.35,0.0,$2.75,23.47,$4.06B,$2.72B,1.5,$1.99B,$3.12B,0.64,$8.69B,$1.86B,21.45%,$8.69B,$0.44B,5.04%,$8.69B,$0.44B,5.04%,$8.69B,$0.73B,8.36%,$8.69B,$0.32B,3.70%,$8.69B,$0.22B,2.54%,$0.22B,$3.12B,7.20%,$0.22B,$0.92B,23.90%,$0.22B,$8.45B,2.74%,$0.44B,$5.11B,8.94%,$2008,$1580,$428,$0,$265,$1957,$51,$-22,$29,$11,$17,$25,$24,$126,$51,$80,81,$0.31,$0.30,$348,$2283,$406,$4061,$1487,$422,$2204,$157,$4388,$8449,$2716,$1989,$248,$2614,$5330,$1,$4267,$-1350,$3119,$8449,$25,$75,$-2,$73,$6,$-398,$66,$-25,$-459,$-361,$-45,$0,$0,$0,$0,$0,$0,$-44,$402,$0,$402,$-7,$-7,$-12,$-3,$379,$-20,$9,$-12
3,2017-12-31,70.93,$38.91,1.82,$103.78,0.68,$-3.18,0.0,$2.32,30.57,$3.63B,$2.65B,1.37,$1.62B,$3.10B,0.52,$8.31B,$1.77B,21.25%,$8.31B,$0.40B,4.85%,$8.31B,$0.40B,4.85%,$8.31B,$0.68B,8.24%,$8.31B,$0.28B,3.42%,$8.31B,$0.19B,2.25%,$0.19B,$3.10B,6.22%,$0.19B,$0.91B,20.36%,$0.19B,$7.97B,2.39%,$0.40B,$4.71B,8.41%,$2527,$1996,$531,$0,$280,$2385,$142,$-37,$106,$69,$37,$45,$44,$216,$142,$80,80,$0.56,$0.55,$368,$1873,$368,$3628,$1485,$409,$2190,$147,$4344,$7972,$2651,$1618,$230,$2226,$4876,$1,$4254,$-1362,$3095,$7972,$189,$281,$65,$346,$-35,$-196,$124,$-2,$40,$578,$-200,$0,$-293,$0,$-1,$-1,$0,$-494,$-126,$0,$-126,$0,$0,$-45,$-6,$-177,$-62,$38,$-45
4,2017-09-30,73.1,$38.88,1.88,$97.90,0.75,$-5.80,0.0,$2.54,28.78,$3.84B,$2.55B,1.51,$1.95B,$3.09B,0.63,$7.87B,$1.65B,21.01%,$7.87B,$0.35B,4.47%,$7.87B,$0.35B,4.47%,$7.87B,$0.63B,8.03%,$7.87B,$0.25B,3.15%,$7.87B,$0.21B,2.60%,$0.21B,$3.09B,6.96%,$0.21B,$0.93B,22.65%,$0.21B,$8.17B,2.69%,$0.35B,$5.04B,7.45%,$1986,$1558,$429,$0,$233,$1889,$97,$-30,$67,$17,$50,$61,$61,$168,$97,$80,80,$0.76,$0.76,$313,$2065,$414,$3839,$1440,$466,$2168,$163,$4335,$8174,$2548,$1950,$197,$2534,$5081,$1,$4221,$-1323,$3093,$8174,$144,$207,$17,$223,$-81,$-425,$100,$-61,$-399,$-29,$-136,$0,$-188,$0,$-1,$-1,$0,$-325,$250,$0,$250,$0,$0,$-33,$-6,$211,$-117,$31,$-33
5,2017-06-30,66.64,$37.38,1.78,$94.94,0.7,$-6.94,0.0,$2.28,29.23,$3.59B,$2.36B,1.52,$1.77B,$2.97B,0.6,$7.65B,$1.58B,20.64%,$7.65B,$0.31B,4.11%,$7.65B,$0.31B,4.11%,$7.65B,$0.59B,7.73%,$7.65B,$0.23B,2.98%,$7.65B,$0.18B,2.41%,$0.18B,$2.97B,6.32%,$0.18B,$0.95B,20.42%,$0.18B,$7.69B,2.47%,$0.31B,$4.74B,6.72%,$2165,$1690,$475,$0,$235,$2017,$148,$-29,$119,$37,$83,$92,$92,$217,$148,$80,80,$1.15,$1.14,$318,$1885,$368,$3590,$1391,$441,$2019,$154,$4102,$7693,$2359,$1772,$203,$2362,$4721,$1,$4171,$-1388,$2971,$7693,$83,$136,$18,$154,$-94,$-317,$121,$-25,$-305,$-66,$-91,$0,$0,$0,$-1,$-1,$0,$-92,$55,$0,$55,$0,$0,$-22,$-4,$29,$-112,$23,$-22
6,2017-03-31,59.38,$36.19,1.64,$92.21,0.64,$-6.64,0.0,$1.75,33.93,$3.36B,$2.17B,1.55,$1.78B,$2.88B,0.62,$7.48B,$1.53B,20.47%,$7.48B,$0.29B,3.81%,$7.48B,$0.29B,3.81%,$7.48B,$0.56B,7.51%,$7.48B,$0.20B,2.67%,$7.48B,$0.14B,1.90%,$0.14B,$2.88B,4.87%,$0.14B,$0.89B,14.42%,$0.14B,$7.40B,1.95%,$0.29B,$4.66B,6.23%,$1628,$1297,$330,$0,$223,$1612,$16,$-24,$-8,$11,$-19,$-8,$-10,$84,$16,$80,80,$-0.13,$-0.13,$290,$1775,$371,$3360,$1370,$430,$1985,$149,$4035,$7395,$2165,$1781,$194,$2353,$4519,$1,$4091,$-1394,$2876,$7395,$-8,$68,$4,$72,$-17,$-234,$64,$-49,$-315,$-251,$-56,$0,$0,$0,$-1,$-1,$0,$-57,$177,$0,$177,$0,$0,$-11,$-3,$163,$-140,$12,$-11
7,2016-12-31,56.97,$35.70,1.6,$90.50,0.63,$-7.38,0.0,$1.97,28.92,$3.17B,$2.15B,1.48,$1.61B,$2.84B,0.57,$7.41B,$1.52B,20.46%,$7.41B,$0.29B,3.89%,$7.41B,$0.29B,3.89%,$7.41B,$0.56B,7.61%,$7.41B,$0.21B,2.78%,$7.41B,$0.16B,2.16%,$0.16B,$2.84B,5.46%,$0.16B,$0.85B,14.97%,$0.16B,$7.17B,2.23%,$0.29B,$4.45B,6.46%,$2094,$1674,$420,$0,$225,$2003,$91,$-22,$70,$18,$51,$61,$62,$164,$91,$81,82,$0.77,$0.76,$430,$1515,$331,$3166,$1361,$415,$1984,$143,$4003,$7168,$2145,$1610,$194,$2186,$4331,$1,$4114,$-1442,$2837,$7168,$160,$276,$26,$302,$-5,$-33,$63,$-166,$-94,$370,$-199,$0,$-384,$0,$-16,$-16,$0,$-598,$496,$0,$496,$-213,$-213,$-43,$-4,$236,$3,$18,$-43
8,2016-09-30,48.44,$36.90,1.31,$87.36,0.55,$-5.86,0.0,$1.93,25.1,$3.43B,$2.16B,1.59,$1.88B,$2.96B,0.63,$7.28B,$1.49B,20.52%,$7.28B,$0.28B,3.88%,$7.28B,$0.28B,3.88%,$7.28B,$0.55B,7.59%,$7.28B,$0.19B,2.60%,$7.28B,$0.16B,2.20%,$0.16B,$2.96B,5.44%,$0.16B,$0.91B,13.66%,$0.16B,$7.54B,2.28%,$0.28B,$4.84B,6.56%,$1762,$1408,$354,$0,$214,$1703,$59,$-12,$47,$20,$28,$39,$40,$127,$59,$81,81,$0.50,$0.50,$298,$1781,$295,$3429,$1388,$435,$2054,$148,$4112,$7541,$2158,$1876,$205,$2421,$4579,$1,$4062,$-1310,$2962,$7541,$99,$203,$27,$230,$-132,$-251,$-11,$-57,$-456,$-127,$-132,$0,$-384,$0,$-14,$-14,$0,$-528,$716,$0,$716,$-170,$-170,$-32,$-2,$512,$-129,$19,$-32
9,2016-06-30,46.16,$36.77,1.26,$85.59,0.54,$-3.51,0.0,$2.20,20.98,$3.31B,$2.15B,1.54,$1.38B,$2.98B,0.46,$7.25B,$1.51B,20.76%,$7.25B,$0.30B,4.17%,$7.25B,$0.30B,4.17%,$7.25B,$0.57B,7.85%,$7.25B,$0.21B,2.94%,$7.25B,$0.19B,2.58%,$0.19B,$2.98B,6.35%,$0.19B,$1.29B,14.65%,$0.19B,$7.02B,2.71%,$0.30B,$4.36B,7.29%,$1996,$1569,$427,$0,$218,$1877,$119,$-28,$91,$55,$36,$49,$50,$187,$119,$82,82,$0.61,$0.61,$325,$1764,$271,$3306,$1355,$425,$1697,$145,$3710,$7016,$2146,$1379,$196,$1887,$4033,$1,$4033,$-1301,$2983,$7016,$60,$135,$24,$159,$-61,$-263,$81,$-40,$-283,$-65,$-71,$0,$-39,$0,$-12,$-12,$0,$-121,$214,$0,$214,$-120,$-120,$-22,$-2,$70,$-102,$11,$-22
