,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,53.24,$66.89,0.8,$51.76,1.03,$-10.65,0.0,$-6.71,0.0,$52.16B,$291.39B,0.18,$34.59B,$59.18B,0.59,$47.46B,$7.72B,16.26%,$47.46B,$1.67B,3.51%,$47.46B,$2.86B,6.02%,$47.46B,$7.74B,16.30%,$47.46B,$1.83B,3.85%,$47.46B,$-6.04B,-12.73%,$-6.04B,$59.18B,-9.67%,$-6.04B,$59.18B,-9.67%,$-6.04B,$504.86B,-1.21%,$1.67B,$93.77B,1.74%,$11486,$11570,$-84,$0,$1118,$13014,$-1528,$1,$-1527,$-307,$-1220,$-1220,$-1259,$-173,$-1202,$895,895,$-1.41,$-1.41,$2741,$0,$0,$52157,$0,$318587,$0,$106345,$452703,$504860,$291391,$34594,$119698,$154292,$445683,$4766,$21749,$-536,$59177,$504860,$621,$3813,$955,$4768,$-1089,$0,$0,$-4562,$-5427,$-38,$0,$0,$-5042,$4729,$-3512,$1217,$2908,$-917,$6417,$0,$6417,$-994,$-994,$-858,$-3232,$1333,$386,$0,$-858
1,2018-06-30,53.02,$69.35,0.76,$51.86,1.02,$-20.36,0.0,$-7.21,0.0,$47.49B,$283.44B,0.17,$33.78B,$61.80B,0.55,$47.73B,$6.21B,13.02%,$47.73B,$0.41B,0.85%,$47.73B,$1.56B,3.27%,$47.73B,$6.22B,13.03%,$47.73B,$0.55B,1.15%,$47.73B,$-6.52B,-13.67%,$-6.52B,$61.80B,-9.89%,$-6.52B,$61.80B,-9.89%,$-6.52B,$496.83B,-1.31%,$0.41B,$95.58B,0.41%,$11631,$8763,$2868,$0,$1337,$10399,$1232,$20,$1252,$321,$931,$931,$937,$2933,$1531,$903,917,$1.04,$1.02,$2135,$0,$0,$47492,$0,$322207,$0,$100380,$449337,$496829,$283443,$33784,$117805,$151589,$435032,$4766,$23318,$230,$61797,$496829,$1880,$2784,$221,$3005,$-1400,$0,$0,$-4388,$-5225,$-340,$0,$0,$10,$-25637,$17831,$-7806,$6326,$-1470,$5400,$0,$5400,$-646,$-646,$-575,$-2756,$1423,$-357,$0,$-575
2,2018-03-31,54.1,$70.58,0.77,$52.35,1.03,$-29.52,0.0,$-7.04,0.0,$47.95B,$284.66B,0.17,$33.62B,$63.36B,0.53,$48.60B,$6.48B,13.32%,$48.60B,$0.90B,1.85%,$48.60B,$2.05B,4.21%,$48.60B,$6.29B,12.94%,$48.60B,$0.97B,1.99%,$48.60B,$-6.33B,-13.03%,$-6.33B,$63.36B,-9.16%,$-6.33B,$63.36B,-9.16%,$-6.33B,$499.14B,-1.27%,$0.90B,$96.98B,0.89%,$11712,$8854,$2858,$0,$1358,$10481,$1231,$-4,$1227,$277,$950,$950,$938,$2890,$1508,$908,925,$1.03,$1.01,$2103,$0,$0,$47954,$0,$324765,$0,$100235,$451189,$499143,$284657,$33619,$117510,$151129,$435786,$4766,$22671,$2220,$63357,$499143,$949,$1382,$164,$1546,$-1306,$0,$0,$-2377,$-3433,$-938,$0,$0,$6,$-2039,$-357,$-2396,$418,$-1972,$4621,$0,$4621,$-298,$-298,$-289,$-1548,$2486,$-366,$0,$-289
3,2017-12-31,58.89,$73.09,0.81,$52.26,1.13,$-38.79,0.0,$-6.87,0.0,$45.63B,$282.11B,0.16,$31.64B,$65.71B,0.48,$49.52B,$6.85B,13.83%,$49.52B,$1.39B,2.81%,$49.52B,$2.56B,5.17%,$49.52B,$6.44B,12.99%,$49.52B,$1.47B,2.96%,$49.52B,$-6.08B,-12.29%,$-6.08B,$65.71B,-8.46%,$-6.08B,$65.71B,-8.46%,$-6.08B,$498.30B,-1.22%,$1.39B,$97.35B,1.35%,$12635,$10561,$2074,$0,$1153,$11902,$733,$142,$875,$7544,$-6669,$-6669,$-6660,$2089,$1021,$931,931,$-7.06,$-7.00,$2362,$0,$0,$45634,$0,$324648,$0,$102992,$452667,$498301,$282105,$31640,$118848,$150488,$432593,$4766,$21457,$5465,$65708,$498301,$-6056,$3874,$-145,$3729,$-10460,$0,$0,$-2779,$-6258,$-8585,$0,$0,$792,$5890,$2589,$8479,$5400,$14671,$1781,$0,$1781,$-6275,$-6275,$-1172,$-31,$-5697,$494,$0,$-1172
4,2017-09-30,60.36,$81.23,0.74,$50.61,1.19,$-27.38,0.0,$-2.51,0.0,$48.02B,$282.47B,0.17,$31.04B,$73.01B,0.43,$49.90B,$-3.26B,-6.54%,$49.90B,$-5.99B,-12.01%,$49.90B,$-4.81B,-9.64%,$49.90B,$-0.73B,-1.46%,$49.90B,$-2.86B,-5.74%,$49.90B,$-2.47B,-4.94%,$-2.47B,$73.01B,-3.30%,$-2.47B,$73.01B,-3.30%,$-2.47B,$503.07B,-0.49%,$-5.99B,$104.05B,-5.66%,$11751,$13338,$-1587,$0,$912,$14540,$-2789,$-14,$-2803,$-1091,$-1712,$-1712,$-1739,$-1695,$-2499,$909,909,$-1.91,$-1.91,$2433,$0,$0,$48018,$0,$323539,$0,$99624,$455055,$503073,$282469,$31039,$116553,$147592,$430061,$4766,$28389,$5939,$73012,$503073,$616,$2806,$662,$3468,$-12405,$0,$0,$-33,$-12946,$-8862,$0,$0,$605,$5107,$6198,$11305,$2565,$14475,$1455,$0,$1455,$-6275,$-6275,$-884,$578,$-5126,$598,$0,$-884
5,2017-06-30,61.14,$82.27,0.74,$49.33,1.24,$-16.04,0.0,$-0.18,0.0,$47.95B,$277.57B,0.17,$31.81B,$74.32B,0.43,$51.00B,$0.27B,0.52%,$51.00B,$-2.61B,-5.12%,$51.00B,$-1.39B,-2.72%,$51.00B,$2.44B,4.78%,$51.00B,$0.68B,1.33%,$51.00B,$-0.26B,-0.52%,$-0.26B,$74.32B,-0.34%,$-0.26B,$74.32B,-0.34%,$-0.26B,$499.76B,-0.05%,$-2.61B,$106.14B,-2.37%,$12502,$9372,$3130,$0,$1115,$10779,$1723,$-56,$1667,$557,$1110,$1110,$1130,$3005,$2015,$926,948,$1.22,$1.19,$2517,$0,$0,$47948,$0,$323083,$0,$97497,$451814,$499762,$277574,$31812,$116052,$147864,$425438,$4766,$30420,$4962,$74324,$499762,$2329,$2002,$-270,$1732,$-12537,$0,$0,$-1229,$-13097,$-9036,$0,$0,$538,$-25259,$32664,$7405,$6782,$14725,$1614,$0,$1614,$-6000,$-6000,$-597,$-44,$-5027,$703,$0,$-597
6,2017-03-31,60.75,$79.22,0.77,$49.06,1.24,$-6.01,0.0,$0.31,195.96,$47.19B,$274.97B,0.17,$30.75B,$74.67B,0.41,$53.22B,$1.44B,2.71%,$53.22B,$-1.69B,-3.18%,$53.22B,$-0.44B,-0.83%,$53.22B,$3.01B,5.66%,$53.22B,$1.87B,3.51%,$53.22B,$0.52B,0.98%,$0.52B,$74.67B,0.63%,$0.52B,$74.67B,0.63%,$0.52B,$500.16B,0.10%,$-1.69B,$105.41B,-1.48%,$12632,$9400,$3232,$0,$1108,$10906,$1726,$1,$1727,$516,$1211,$1211,$1185,$3036,$2024,$981,1005,$1.21,$1.18,$1918,$0,$0,$47188,$0,$317891,$0,$103111,$452974,$500162,$274967,$30747,$119781,$150528,$425495,$4766,$29591,$3781,$74667,$500162,$1211,$1012,$-175,$837,$-12426,$0,$0,$-404,$-12384,$-10336,$0,$0,$24,$1953,$11003,$12956,$1519,$14499,$-131,$0,$-131,$-3585,$-3585,$-307,$-25,$-4048,$33,$0,$-307
7,2016-12-31,63.23,$77.22,0.82,$46.68,1.35,$3.44,18.39,$-1.03,0.0,$34.23B,$275.12B,0.12,$30.91B,$76.86B,0.4,$52.37B,$2.65B,5.06%,$52.37B,$-0.55B,-1.04%,$52.37B,$0.72B,1.37%,$52.37B,$4.81B,9.18%,$52.37B,$-0.07B,-0.14%,$52.37B,$-0.85B,-1.62%,$-0.85B,$76.86B,-0.98%,$-0.85B,$76.86B,-0.98%,$-0.85B,$498.26B,-0.17%,$-0.55B,$107.77B,-0.46%,$13010,$21049,$-8039,$0,$896,$19664,$-6654,$3199,$-3455,$-985,$-2470,$-2470,$-3041,$-5073,$-6349,$1091,1091,$-2.77,$-2.72,$1868,$0,$0,$34234,$0,$330670,$0,$100986,$464030,$498264,$275120,$30912,$115374,$146286,$421406,$4766,$28711,$3230,$76858,$498264,$-349,$4090,$113,$4203,$-1268,$0,$0,$105,$-1471,$2383,$0,$0,$2809,$1075,$-8059,$-6984,$8919,$4744,$5931,$0,$5931,$-11460,$-11460,$-1372,$68,$-6833,$239,$0,$-1372
8,2016-09-30,57.16,$85.50,0.67,$45.12,1.27,$3.41,16.76,$0.44,129.92,$35.81B,$278.61B,0.13,$32.28B,$89.17B,0.36,$53.19B,$6.37B,11.97%,$53.19B,$0.23B,0.43%,$53.19B,$1.49B,2.80%,$53.19B,$5.43B,10.21%,$53.19B,$0.45B,0.84%,$53.19B,$0.35B,0.66%,$0.35B,$89.17B,0.39%,$0.35B,$89.17B,0.39%,$0.35B,$514.57B,0.07%,$0.23B,$121.44B,0.19%,$12854,$10912,$1942,$0,$1018,$12259,$595,$142,$737,$304,$433,$433,$462,$1468,$924,$1071,1102,$0.43,$0.42,$2498,$0,$0,$35810,$0,$348976,$0,$100833,$478758,$514568,$278608,$32277,$114518,$146795,$425403,$4766,$32077,$9057,$89165,$514568,$2157,$2814,$-2626,$188,$-887,$0,$0,$-667,$-592,$1753,$0,$0,$0,$1955,$-8106,$-6151,$6476,$325,$7345,$0,$7345,$-8506,$-8506,$-1051,$915,$-1297,$869,$0,$-1051
9,2016-06-30,50.67,$83.62,0.61,$43.49,1.17,$3.57,14.21,$-0.16,0.0,$35.30B,$278.52B,0.13,$33.33B,$90.54B,0.37,$53.16B,$6.26B,11.77%,$53.16B,$-0.13B,-0.25%,$53.16B,$1.12B,2.11%,$53.16B,$5.14B,9.66%,$53.16B,$-0.40B,-0.76%,$53.16B,$-0.34B,-0.64%,$-0.34B,$90.54B,-0.37%,$-0.34B,$90.54B,-0.37%,$-0.34B,$510.35B,-0.07%,$-0.13B,$123.87B,-0.11%,$14724,$10419,$4305,$0,$1345,$12084,$2640,$218,$2858,$924,$1934,$1934,$1913,$3583,$2960,$1114,1140,$1.72,$1.68,$1784,$0,$0,$35303,$0,$353257,$0,$92760,$475046,$510349,$278518,$33329,$107965,$141294,$419812,$4766,$31951,$8259,$90537,$510349,$1721,$2270,$928,$3198,$-1602,$0,$0,$-3496,$-4348,$571,$0,$0,$0,$-29709,$22171,$-7538,$7274,$-264,$6521,$0,$6521,$-6248,$-6248,$-713,$250,$-190,$155,$0,$-713
