,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,4.9,$1.39,3.53,$20.95,0.23,$1.09,4.48,$0.14,35.0,$2.17B,$1.07B,2.03,$2.04B,$0.44B,4.65,$6.64B,$0.71B,10.74%,$6.64B,$0.19B,2.82%,$6.64B,$0.19B,2.80%,$6.64B,$0.44B,6.63%,$6.64B,$0.02B,0.24%,$6.64B,$-0.03B,-0.38%,$-0.03B,$0.44B,-6.93%,$-0.03B,$0.44B,-6.93%,$-0.03B,$4.49B,-0.56%,$0.19B,$2.47B,7.69%,$1736,$1486,$249,$0,$80,$1621,$115,$-29,$86,$1,$85,$85,$67,$177,$115,$315,316,$0.21,$0.21,$47,$1346,$79,$2172,$1909,$0,$0,$406,$2316,$4488,$1070,$2035,$148,$2980,$4050,$3,$-2725,$-68,$438,$4488,$202,$189,$-100,$90,$0,$0,$0,$-11,$-11,$250,$-101,$0,$0,$0,$0,$0,$0,$-101,$0,$-85,$-85,$0,$0,$0,$-55,$-140,$9,$0,$0
1,2018-06-30,4.34,$1.18,3.69,$20.18,0.22,$0.83,5.23,$-0.09,0.0,$2.11B,$1.05B,2.01,$2.04B,$0.37B,5.49,$6.40B,$0.66B,10.27%,$6.40B,$0.14B,2.16%,$6.40B,$0.14B,2.14%,$6.40B,$0.39B,6.16%,$6.40B,$-0.03B,-0.48%,$6.40B,$-0.07B,-1.09%,$-0.07B,$0.37B,-23.71%,$-0.07B,$0.37B,-32.26%,$-0.07B,$4.45B,-1.57%,$0.14B,$2.41B,5.79%,$1747,$1513,$234,$0,$80,$1647,$100,$-28,$72,$-1,$72,$72,$57,$162,$100,$315,316,$0.18,$0.18,$46,$1311,$98,$2108,$1931,$0,$0,$406,$2337,$4445,$1051,$2037,$146,$3024,$4075,$3,$-2793,$-67,$371,$4445,$117,$127,$-58,$69,$0,$0,$0,$29,$29,$187,$-64,$0,$0,$0,$0,$0,$0,$-64,$0,$-80,$-80,$0,$0,$0,$-36,$-116,$8,$0,$0
2,2018-03-31,4.53,$1.05,4.3,$19.53,0.23,$0.91,4.96,$-0.08,0.0,$2.10B,$1.00B,2.09,$2.10B,$0.33B,6.34,$6.21B,$0.66B,10.63%,$6.21B,$0.16B,2.50%,$6.21B,$0.15B,2.48%,$6.21B,$0.41B,6.57%,$6.21B,$-0.01B,-0.16%,$6.21B,$-0.05B,-0.81%,$-0.05B,$0.33B,-20.08%,$-0.05B,$0.33B,-29.28%,$-0.05B,$4.46B,-1.15%,$0.16B,$2.44B,6.89%,$1659,$1464,$195,$0,$77,$1595,$64,$-24,$40,$-5,$45,$45,$29,$129,$64,$315,316,$0.09,$0.09,$45,$1334,$96,$2095,$1951,$412,$0,$0,$2363,$4458,$1002,$2103,$151,$3123,$4126,$3,$-2849,$-56,$332,$4458,$45,$65,$-21,$44,$0,$0,$0,$-10,$-10,$66,$-38,$0,$0,$0,$0,$0,$0,$-38,$0,$-10,$-10,$0,$0,$0,$-11,$-21,$7,$0,$0
3,2017-12-31,5.66,$0.95,5.93,$18.99,0.3,$0.84,6.77,$0.02,283.0,$2.07B,$1.00B,2.07,$2.11B,$0.30B,7.02,$6.08B,$0.72B,11.88%,$6.08B,$0.22B,3.63%,$6.08B,$0.22B,3.62%,$6.08B,$0.47B,7.75%,$6.08B,$0.05B,0.84%,$6.08B,$0.01B,0.08%,$0.01B,$0.30B,2.50%,$0.01B,$0.30B,4.12%,$0.01B,$4.48B,0.12%,$0.22B,$2.41B,10.55%,$1496,$1461,$35,$0,$77,$1588,$-93,$-89,$-182,$-17,$-165,$-165,$-178,$-29,$-93,$314,320,$-0.57,$-0.55,$38,$1385,$130,$2071,$1986,$0,$0,$418,$2404,$4475,$1001,$2110,$169,$3173,$4174,$3,$-2877,$-50,$301,$4475,$68,$250,$-87,$163,$-34,$2,$46,$-46,$-32,$199,$-153,$0,$-360,$0,$0,$0,$4,$-509,$-168,$450,$282,$0,$0,$0,$-107,$175,$-135,$0,$0
4,2017-09-30,5.59,$0.56,9.97,$20.48,0.27,$1.46,3.83,$0.14,39.93,$1.93B,$1.00B,1.92,$2.10B,$0.18B,11.89,$6.00B,$0.93B,15.43%,$6.00B,$0.30B,5.03%,$6.00B,$0.30B,5.03%,$6.00B,$0.55B,9.11%,$6.00B,$0.18B,3.05%,$6.00B,$0.12B,2.02%,$0.12B,$0.18B,82.17%,$0.12B,$-0.14B,199.18%,$0.12B,$4.46B,2.91%,$0.30B,$2.28B,15.34%,$1494,$1302,$193,$0,$68,$1428,$66,$-27,$39,$-0,$39,$39,$22,$131,$66,$314,317,$0.07,$0.07,$69,$1184,$116,$1932,$2025,$0,$313,$190,$2527,$4459,$1004,$2098,$168,$3278,$4283,$3,$-2947,$-111,$177,$4459,$232,$186,$-112,$74,$0,$0,$0,$-156,$-156,$154,$-89,$0,$-361,$0,$0,$0,$4,$-445,$-142,$415,$273,$0,$0,$0,$-86,$188,$-104,$0,$0
5,2017-06-30,6.57,$0.59,11.15,$21.85,0.3,$2.12,3.1,$0.37,17.76,$1.85B,$0.93B,2.0,$1.69B,$0.19B,9.1,$5.96B,$0.99B,16.64%,$5.96B,$0.37B,6.16%,$5.96B,$0.37B,6.16%,$5.96B,$0.61B,10.15%,$5.96B,$0.23B,3.82%,$5.96B,$0.15B,2.52%,$0.15B,$0.19B,437.96%,$0.15B,$0.19B,576.92%,$0.15B,$4.01B,3.73%,$0.37B,$1.88B,20.04%,$1557,$1320,$237,$0,$66,$1441,$117,$-24,$93,$0,$92,$92,$77,$176,$117,$314,319,$0.25,$0.24,$136,$1104,$84,$1854,$1946,$0,$0,$205,$2151,$4006,$927,$1690,$146,$2893,$3820,$3,$-2941,$-106,$186,$4006,$193,$122,$-55,$67,$0,$0,$0,$-57,$-57,$203,$-52,$0,$0,$0,$0,$0,$3,$-49,$-138,$0,$-138,$0,$0,$0,$-53,$-191,$-37,$0,$0
6,2017-03-31,7.19,$0.43,16.79,$23.84,0.3,$2.65,2.71,$0.26,27.65,$1.92B,$1.04B,1.85,$1.69B,$0.14B,12.5,$5.90B,$0.92B,15.64%,$5.90B,$0.31B,5.31%,$5.90B,$0.31B,5.31%,$5.90B,$0.55B,9.34%,$5.90B,$0.16B,2.68%,$5.90B,$0.09B,1.53%,$0.09B,$0.14B,-102.86%,$0.09B,$0.14B,-93.99%,$0.09B,$4.10B,2.25%,$0.31B,$1.82B,17.32%,$1533,$1277,$257,$0,$72,$1404,$130,$-29,$101,$0,$101,$101,$84,$192,$130,$314,326,$0.27,$0.26,$186,$1106,$108,$1924,$1976,$0,$0,$205,$2181,$4104,$1038,$1685,$170,$2932,$3970,$3,$-3002,$-86,$135,$4104,$101,$62,$-15,$48,$0,$0,$0,$-104,$-104,$36,$-33,$0,$0,$0,$0,$0,$2,$-31,$33,$0,$33,$0,$0,$0,$-25,$7,$13,$0,$0
7,2016-12-31,10.21,$0.29,35.37,$27.69,0.37,$3.25,3.14,$-0.01,0.0,$1.82B,$0.87B,2.11,$1.82B,$0.09B,20.03,$5.88B,$0.82B,13.90%,$5.88B,$0.23B,3.93%,$5.88B,$0.23B,3.93%,$5.88B,$0.47B,7.92%,$5.88B,$0.06B,1.05%,$5.88B,$-0.01B,-0.14%,$-0.01B,$0.09B,2.92%,$-0.01B,$0.06B,2.83%,$-0.01B,$4.04B,-0.20%,$0.23B,$1.91B,12.95%,$1419,$1180,$239,$0,$72,$1430,$-11,$-39,$-50,$-1,$-49,$-49,$-62,$48,$-11,$230,230,$-0.24,$-0.24,$173,$1114,$95,$1824,$2014,$0,$33,$165,$2212,$4036,$865,$1817,$170,$3080,$3945,$3,$-3065,$-64,$91,$4036,$58,$235,$75,$310,$0,$112,$-143,$-33,$-63,$305,$-128,$0,$0,$0,$0,$0,$2,$-125,$-13,$-550,$-563,$600,$600,$0,$-100,$-63,$117,$0,$0
8,2016-09-30,4.83,$-1.16,-4.18,$30.23,0.16,$3.05,1.58,$-0.62,0.0,$1.70B,$0.93B,1.82,$2.00B,$-0.28B,-7.27,$6.01B,$0.80B,13.35%,$6.01B,$0.21B,3.46%,$6.01B,$0.21B,3.46%,$6.01B,$0.44B,7.27%,$6.01B,$0.01B,0.10%,$6.01B,$-0.09B,-1.51%,$-0.09B,$-0.28B,20.40%,$-0.09B,$-0.28B,20.40%,$-0.09B,$3.92B,-2.29%,$0.21B,$1.73B,11.91%,$1453,$1194,$259,$0,$80,$1322,$131,$-47,$84,$15,$69,$69,$51,$189,$131,$238,238,$0.21,$0.21,$58,$1088,$66,$1701,$2028,$0,$0,$192,$2220,$3921,$934,$2000,$130,$3262,$4196,$2,$-3002,$-164,$-275,$3921,$107,$176,$-80,$96,$0,$0,$0,$38,$38,$288,$-82,$0,$0,$0,$0,$0,$2,$-80,$-13,$-360,$-373,$249,$249,$0,$-84,$-207,$1,$0,$0
9,2016-06-30,4.66,$-1.26,-3.69,$33.77,0.14,$2.92,1.6,$-0.79,0.0,$1.55B,$0.89B,1.75,$2.08B,$-0.30B,-6.91,$6.26B,$0.73B,11.64%,$6.26B,$0.16B,2.51%,$6.26B,$0.16B,2.51%,$6.26B,$0.39B,6.19%,$6.26B,$-0.04B,-0.57%,$6.26B,$-0.14B,-2.16%,$-0.14B,$-0.30B,27.08%,$-0.14B,$-0.30B,27.08%,$-0.14B,$3.92B,-3.33%,$0.16B,$1.78B,8.77%,$1492,$1325,$167,$0,$62,$1430,$63,$-39,$23,$-11,$34,$34,$17,$122,$63,$216,217,$0.08,$0.08,$56,$978,$69,$1552,$2029,$0,$0,$338,$2367,$3918,$887,$2078,$132,$3332,$4219,$2,$-3053,$-146,$-301,$3918,$38,$118,$-47,$71,$0,$0,$0,$122,$122,$273,$-54,$0,$0,$0,$0,$0,$-133,$-187,$121,$-400,$-279,$249,$249,$0,$-57,$-86,$-0,$0,$0
