,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,16.65,$4.18,3.99,$0.02,1037.9,$-9.51,0.0,$-3.57,0.0,$0.47B,$0.03B,15.34,$0.18B,$0.18B,0.97,$0.00B,0,0.00%,$0.00B,$-0.26B,-26400.00%,$0.00B,$-0.26B,-26400.00%,$0.00B,$-0.26B,-26100.00%,$0.00B,$-0.27B,-27000.00%,$0.00B,$-0.31B,-30500.00%,$-0.31B,$0.29B,-93.49%,$-0.31B,$0.29B,-93.49%,$-0.31B,$0.50B,-62.66%,$-0.26B,$0.46B,-57.61%,$0,$0,$0,$48,$11,$58,$-58,$-2,$-61,$0,$-61,$-61,$-62,$-58,$-58,$68,68,$-0.91,$-0.91,$460,$0,$0,$467,$5,$22,$0,$3,$30,$497,$30,$179,$2,$181,$212,$0,$-884,$-2,$285,$497,$-216,$2,$27,$29,$0,$0,$8,$4,$10,$-178,$-1,$0,$0,$0,$-180,$-180,$0,$-181,$278,$0,$278,$1,$99,$0,$0,$377,$18,$20,$0
1,2018-06-30,15.8,$5.00,3.16,$0.02,984.92,$-9.56,0.0,$-4.49,0.0,$0.32B,$0.03B,10.88,$0.18B,$0.24B,0.74,$0.00B,0,0.00%,$0.00B,$-0.27B,-26600.00%,$0.00B,$-0.27B,-26600.00%,$0.00B,$-0.26B,-26300.00%,$0.00B,$-0.27B,-26800.00%,$0.00B,$-0.30B,-30300.00%,$-0.30B,$0.34B,-89.98%,$-0.30B,$0.34B,-89.98%,$-0.30B,$0.55B,-66.74%,$-0.27B,$0.52B,-62.74%,$0,$0,$0,$53,$12,$65,$-65,$-3,$-68,$0,$-68,$-68,$-71,$-64,$-65,$68,68,$-1.04,$-1.04,$314,$0,$0,$321,$5,$218,$0,$5,$227,$548,$30,$176,$2,$178,$208,$0,$-823,$-1,$341,$548,$-155,$2,$18,$20,$0,$0,$8,$3,$9,$-127,$-0,$0,$0,$0,$-211,$-211,$0,$-211,$278,$0,$278,$1,$99,$0,$0,$377,$39,$13,$0
2,2018-03-31,12.7,$5.90,2.15,$0.03,429.26,$-10.23,0.0,$-4.93,0.0,$0.34B,$0.03B,13.31,$0.17B,$0.30B,0.57,$0.00B,0,0.00%,$0.00B,$-0.28B,-13800.00%,$0.00B,$-0.28B,-13800.00%,$0.00B,$-0.27B,-13650.00%,$0.00B,$-0.27B,-13700.00%,$0.00B,$-0.31B,-15350.00%,$-0.31B,$0.40B,-100.24%,$-0.31B,$0.40B,-100.24%,$-0.31B,$0.60B,-80.68%,$-0.28B,$0.57B,-78.97%,$0,$0,$0,$74,$12,$86,$-86,$-1,$-87,$0,$-87,$-87,$-118,$-85,$-86,$68,68,$-1.73,$-1.73,$333,$0,$0,$341,$5,$246,$0,$8,$259,$599,$26,$173,$0,$174,$199,$0,$-755,$-1,$400,$599,$-87,$1,$7,$8,$0,$0,$5,$4,$5,$-74,$-0,$0,$0,$0,$-176,$-176,$0,$-176,$278,$0,$278,$0,$98,$0,$0,$375,$125,$6,$0
3,2017-12-31,11.45,$4.12,2.78,$0.03,387.01,$-10.37,0.0,$-5.19,0.0,$0.29B,$0.02B,12.29,$0.00B,$0.28B,0.0,$0.00B,0,0.00%,$0.00B,$-0.29B,-14550.00%,$0.00B,$-0.29B,-14550.00%,$0.00B,$-0.29B,-14400.00%,$0.00B,$-0.29B,-14350.00%,$0.00B,$-0.29B,-14450.00%,$-0.29B,$0.28B,-103.86%,$-0.29B,$0.28B,-103.86%,$-0.29B,$0.30B,-93.15%,$-0.29B,$0.28B,-104.58%,$1,$1,$0,$45,$10,$56,$-55,$1,$-54,$0,$-54,$-54,$-54,$-54,$-55,$58,58,$-0.56,$-0.56,$276,$0,$0,$287,$6,$0,$0,$10,$16,$303,$23,$0,$0,$0,$24,$0,$-668,$-0,$279,$303,$-289,$3,$23,$26,$0,$1,$-2,$37,$36,$-227,$-2,$0,$0,$0,$36,$36,$0,$34,$0,$0,$0,$163,$163,$0,$0,$163,$-29,$22,$0
4,2017-09-30,12.25,$4.83,2.54,$0.01,904.46,$-9.89,0.0,$-5.36,0.0,$0.35B,$0.04B,9.03,$0.00B,$0.33B,0.0,$0.00B,0,0.00%,$0.00B,$-0.29B,-28500.00%,$0.00B,$-0.29B,-28500.00%,$0.00B,$-0.28B,-28300.00%,$0.00B,$-0.28B,-28200.00%,$0.00B,$-0.28B,-28400.00%,$-0.28B,$0.33B,-93.34%,$-0.28B,$0.33B,-93.34%,$-0.28B,$0.37B,-84.34%,$-0.29B,$0.33B,-93.67%,$0,$0,$0,$52,$8,$60,$-60,$1,$-59,$0,$-59,$-60,$-60,$-60,$-60,$65,65,$-0.92,$-0.92,$331,$1,$0,$349,$6,$0,$0,$10,$17,$366,$39,$0,$0,$0,$39,$0,$-613,$-0,$327,$366,$-235,$2,$17,$20,$0,$0,$13,$31,$44,$-171,$-2,$0,$0,$0,$-8,$-8,$0,$-10,$0,$0,$0,$162,$162,$0,$0,$162,$-19,$17,$0
5,2017-06-30,11.45,$4.35,2.63,$0.01,845.39,$-9.47,0.0,$-5.14,0.0,$0.25B,$0.03B,7.23,$0.00B,$0.22B,0.0,$0.00B,0,0.00%,$0.00B,$-0.26B,-26100.00%,$0.00B,$-0.26B,-26100.00%,$0.00B,$-0.26B,-25800.00%,$0.00B,$-0.26B,-25800.00%,$0.00B,$-0.26B,-25900.00%,$-0.26B,$0.22B,-78.66%,$-0.26B,$0.22B,-78.66%,$-0.26B,$0.25B,-72.70%,$-0.26B,$0.22B,-79.27%,$1,$1,$0,$65,$10,$76,$-75,$0,$-74,$0,$-74,$-75,$-75,$-74,$-75,$50,50,$-1.48,$-1.48,$224,$1,$0,$247,$7,$1,$0,$0,$7,$254,$34,$0,$0,$0,$35,$0,$-554,$-0,$219,$254,$-175,$1,$11,$13,$0,$0,$10,$27,$36,$-126,$-2,$0,$0,$0,$139,$139,$0,$137,$0,$0,$0,$1,$1,$0,$0,$1,$12,$11,$0
6,2017-03-31,20.8,$5.71,3.64,$0.00,0.0,$-8.29,0.0,$-4.45,0.0,$0.31B,$0.03B,10.47,$0.00B,$0.29B,0.0,$0.00B,0,nan%,$0.00B,$-0.23B,inf%,$0.00B,$-0.23B,inf%,$0.00B,$-0.22B,inf%,$0.00B,$-0.22B,inf%,$0.00B,$-0.22B,inf%,$-0.22B,$0.29B,-57.33%,$-0.22B,$0.29B,-57.33%,$-0.22B,$0.32B,-54.22%,$-0.23B,$0.29B,-57.84%,$0,$0,$0,$91,$10,$101,$-101,$0,$-100,$0,$-100,$-100,$-100,$-100,$-101,$50,50,$-1.99,$-1.99,$290,$1,$0,$310,$7,$1,$0,$0,$8,$318,$30,$0,$0,$0,$30,$0,$-479,$0,$288,$318,$-100,$1,$6,$6,$0,$0,$10,$29,$33,$-61,$-1,$0,$0,$0,$26,$26,$0,$25,$0,$0,$0,$0,$0,$0,$0,$0,$-37,$5,$0
7,2016-12-31,20.8,$7.60,2.74,$0.00,0.0,$-7.70,0.0,$-3.22,0.0,$0.39B,$0.03B,15.19,$0.00B,$0.38B,0.0,$0.00B,0,nan%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$-0.16B,$0.38B,-38.38%,$-0.16B,$0.38B,-38.38%,$-0.16B,$0.41B,-36.73%,$-0.16B,$0.38B,-38.87%,$0,$0,$0,$42,$7,$49,$-49,$0,$-49,$0,$-49,$-49,$-49,$-49,$-49,$48,48,$-0.98,$-0.98,$352,$1,$0,$393,$7,$1,$0,$8,$16,$409,$26,$0,$0,$0,$26,$0,$-379,$-0,$383,$409,$-156,$2,$13,$15,$0,$-1,$5,$-31,$-19,$-160,$-7,$0,$0,$0,$-61,$-61,$0,$-68,$0,$0,$0,$137,$137,$0,$0,$137,$-90,$14,$0
8,2016-09-30,32.77,$8.49,3.86,$0.00,0.0,$-6.30,0.0,$-2.85,0.0,$0.43B,$0.02B,25.55,$0.00B,$0.43B,0.0,$0.00B,0,nan%,$0.00B,$-0.14B,inf%,$0.00B,$-0.14B,inf%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$-0.13B,$0.43B,-32.62%,$-0.13B,$0.43B,-32.62%,$-0.13B,$0.44B,-31.48%,$-0.14B,$0.43B,-33.11%,$0,$0,$0,$29,$6,$36,$-36,$1,$-35,$0,$-35,$-35,$-35,$-35,$-36,$50,50,$-0.70,$-0.70,$403,$1,$0,$428,$7,$1,$0,$8,$16,$444,$17,$0,$0,$0,$17,$0,$-330,$0,$427,$444,$-107,$1,$9,$10,$0,$-1,$1,$-14,$-11,$-108,$-6,$0,$0,$0,$-58,$-58,$0,$-64,$0,$0,$0,$136,$136,$0,$0,$136,$-36,$10,$0
9,2016-06-30,24.97,$9.13,2.73,$0.00,0.0,$-5.31,0.0,$-2.77,0.0,$0.46B,$0.02B,28.7,$0.00B,$0.46B,0.0,$0.00B,0,nan%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$0.00B,$-0.13B,inf%,$-0.13B,$0.46B,-30.94%,$-0.13B,$0.46B,-30.94%,$-0.13B,$0.47B,-29.90%,$-0.13B,$0.46B,-31.19%,$0,$0,$0,$34,$6,$39,$-39,$0,$-39,$0,$-39,$-39,$-39,$-39,$-39,$49,49,$-0.79,$-0.79,$447,$1,$0,$464,$5,$4,$0,$1,$10,$474,$16,$0,$0,$0,$16,$0,$-295,$0,$458,$474,$-72,$1,$5,$6,$0,$-1,$3,$0,$2,$-64,$-3,$0,$0,$0,$-45,$-45,$0,$-48,$0,$0,$0,$136,$136,$0,$0,$136,$24,$6,$0
