,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.64,$3.16,0.52,$4.27,0.38,$0.50,3.28,$0.07,23.43,$0.06B,$0.05B,1.24,$0.17B,$0.17B,0.98,$0.23B,$0.12B,53.71%,$0.23B,$0.02B,10.48%,$0.23B,$0.02B,10.48%,$0.23B,$0.06B,24.45%,$0.23B,$0.01B,4.80%,$0.23B,$0.00B,1.75%,$0.00B,$0.17B,2.46%,$0.00B,$0.17B,2.46%,$0.00B,$0.45B,0.89%,$0.02B,$0.33B,7.25%,$58,$27,$31,$0,$17,$52,$6,$-3,$3,$1,$2,$2,$2,$13,$6,$53,54,$0.03,$0.03,$19,$7,$0,$61,$369,$0,$0,$19,$389,$450,$50,$165,$65,$232,$282,$1,$9,$-2,$168,$450,$7,$23,$6,$29,$0,$0,$0,$10,$10,$47,$-27,$0,$0,$0,$0,$0,$-1,$-29,$-15,$0,$-15,$0,$0,$0,$-0,$-15,$3,$1,$0
1,2018-06-30,1.77,$3.11,0.57,$4.25,0.42,$0.20,8.66,$0.05,35.4,$0.06B,$0.05B,1.36,$0.17B,$0.17B,1.05,$0.23B,$0.12B,53.51%,$0.23B,$0.02B,9.65%,$0.23B,$0.02B,9.65%,$0.23B,$0.06B,24.12%,$0.23B,$0.01B,3.51%,$0.23B,$0.00B,0.88%,$0.00B,$0.17B,1.25%,$0.00B,$0.17B,1.25%,$0.00B,$0.45B,0.45%,$0.02B,$0.34B,6.68%,$60,$27,$33,$0,$17,$51,$8,$-3,$5,$1,$3,$3,$3,$16,$8,$53,54,$0.06,$0.06,$12,$7,$0,$64,$368,$0,$0,$19,$388,$452,$47,$173,$64,$240,$287,$1,$7,$-2,$166,$452,$5,$16,$3,$19,$0,$0,$0,$-2,$-2,$22,$-19,$0,$0,$0,$0,$0,$-1,$-20,$-7,$0,$-7,$0,$0,$0,$-0,$-7,$-4,$1,$0
2,2018-03-31,1.8,$3.04,0.59,$4.26,0.42,$0.22,8.08,$-0.06,0.0,$0.07B,$0.06B,1.2,$0.17B,$0.16B,1.04,$0.23B,$0.12B,53.30%,$0.23B,$0.02B,8.81%,$0.23B,$0.02B,8.81%,$0.23B,$0.05B,23.35%,$0.23B,0,0.00%,$0.23B,$-0.00B,-1.76%,$-0.00B,$0.16B,-2.55%,$-0.00B,$0.16B,-2.55%,$-0.00B,$0.45B,-0.90%,$0.02B,$0.33B,6.13%,$56,$26,$30,$0,$16,$51,$5,$-3,$2,$-0,$2,$2,$2,$14,$5,$53,54,$0.04,$0.04,$17,$6,$0,$66,$366,$0,$0,$12,$380,$447,$55,$168,$61,$230,$285,$1,$3,$-2,$162,$447,$2,$8,$1,$9,$0,$0,$0,$2,$2,$13,$-9,$0,$0,$0,$0,$0,$-2,$-10,$-2,$0,$-2,$0,$0,$0,$-0,$-2,$1,$0,$0
3,2017-12-31,2.68,$2.94,0.91,$4.31,0.62,$0.14,19.46,$-0.11,0.0,$0.06B,$0.06B,1.08,$0.17B,$0.16B,1.09,$0.23B,$0.12B,53.95%,$0.23B,$0.02B,8.77%,$0.23B,$0.02B,8.77%,$0.23B,$0.05B,23.25%,$0.23B,$-0.00B,-1.75%,$0.23B,$-0.01B,-3.07%,$-0.01B,$0.16B,-4.49%,$-0.01B,$0.16B,-4.49%,$-0.01B,$0.44B,-1.51%,$0.02B,$0.32B,5.71%,$55,$26,$29,$0,$15,$50,$5,$-3,$1,$4,$-3,$-3,$-3,$13,$5,$52,52,$-0.07,$-0.07,$16,$7,$0,$62,$366,$0,$0,$11,$381,$443,$57,$169,$61,$231,$288,$1,$-4,$-2,$155,$443,$-6,$35,$17,$52,$0,$0,$0,$-15,$-15,$30,$-31,$0,$0,$0,$0,$0,$-1,$-33,$1,$0,$1,$0,$0,$0,$-6,$-5,$-7,$2,$0
4,2017-09-30,2.27,$2.98,0.76,$4.37,0.52,$0.17,13.42,$-0.02,0.0,$0.06B,$0.06B,1.03,$0.17B,$0.16B,1.09,$0.23B,$0.13B,54.98%,$0.23B,$0.02B,9.52%,$0.23B,$0.02B,9.52%,$0.23B,$0.06B,24.24%,$0.23B,$-0.00B,-0.87%,$0.23B,$-0.00B,-0.87%,$-0.00B,$0.16B,-1.27%,$-0.00B,$0.16B,-1.27%,$-0.00B,$0.45B,-0.43%,$0.02B,$0.33B,6.22%,$57,$27,$30,$0,$17,$53,$4,$-4,$-0,$-0,$0,$0,$0,$12,$4,$52,54,$0.01,$0.01,$23,$6,$0,$61,$366,$0,$0,$2,$384,$446,$59,$170,$60,$230,$289,$1,$-1,$-2,$156,$446,$-3,$26,$10,$37,$0,$0,$0,$-8,$-8,$26,$-22,$0,$0,$0,$0,$0,$-1,$-23,$3,$0,$3,$0,$0,$0,$-6,$-3,$0,$1,$0
5,2017-06-30,2.2,$2.97,0.74,$4.39,0.5,$0.09,23.97,$-0.02,0.0,$0.06B,$0.05B,1.17,$0.17B,$0.16B,1.1,$0.23B,$0.13B,55.65%,$0.23B,$0.02B,9.57%,$0.23B,$0.02B,9.57%,$0.23B,$0.06B,24.78%,$0.23B,$-0.00B,-0.87%,$0.23B,$-0.00B,-0.87%,$-0.00B,$0.16B,-1.27%,$-0.00B,$0.16B,-1.27%,$-0.00B,$0.44B,-0.43%,$0.02B,$0.33B,6.20%,$59,$26,$32,$0,$17,$53,$6,$-9,$-3,$-1,$-3,$-3,$-3,$14,$6,$52,52,$-0.05,$-0.05,$25,$6,$0,$60,$361,$0,$0,$2,$379,$439,$51,$172,$61,$233,$284,$1,$-1,$-3,$155,$439,$-4,$18,$9,$27,$0,$0,$0,$-6,$-6,$17,$-13,$0,$0,$0,$0,$0,$-0,$-13,$4,$0,$4,$0,$0,$0,$-6,$-2,$2,$1,$0
6,2017-03-31,1.85,$3.03,0.61,$4.35,0.42,$-0.02,0.0,$0.04,46.25,$0.15B,$0.05B,3.28,$0.27B,$0.16B,1.67,$0.23B,$0.13B,55.95%,$0.23B,$0.02B,8.81%,$0.23B,$0.02B,8.81%,$0.23B,$0.06B,24.67%,$0.23B,$0.00B,0.88%,$0.23B,$0.00B,0.44%,$0.00B,$0.16B,0.64%,$0.00B,$0.16B,0.64%,$0.00B,$0.53B,0.22%,$0.02B,$0.42B,5.62%,$57,$25,$32,$0,$18,$52,$5,$-6,$-2,$-1,$-1,$-1,$-1,$14,$5,$52,52,$-0.01,$-0.01,$108,$5,$0,$149,$364,$0,$0,$2,$381,$529,$45,$265,$61,$326,$371,$1,$1,$-3,$158,$529,$-1,$9,$3,$12,$0,$0,$0,$-6,$-6,$5,$-5,$0,$0,$0,$0,$0,$-1,$-7,$92,$0,$92,$0,$0,$0,$-6,$86,$85,$1,$0
7,2016-12-31,1.64,$3.09,0.53,$4.35,0.38,$0.05,36.28,$0.05,32.8,$0.06B,$0.04B,1.33,$0.18B,$0.16B,1.12,$0.23B,$0.13B,55.31%,$0.23B,$0.02B,8.41%,$0.23B,$0.02B,8.41%,$0.23B,$0.06B,24.34%,$0.23B,$0.00B,1.77%,$0.23B,$0.00B,0.88%,$0.00B,$0.16B,1.28%,$0.00B,$0.16B,1.28%,$0.00B,$0.44B,0.45%,$0.02B,$0.34B,5.71%,$58,$25,$33,$0,$17,$51,$7,$-4,$3,$1,$2,$2,$2,$16,$7,$51,52,$0.03,$0.03,$23,$5,$0,$59,$367,$0,$0,$2,$383,$442,$44,$178,$62,$239,$283,$1,$1,$-3,$159,$442,$2,$35,$6,$41,$0,$0,$0,$-6,$-6,$37,$-37,$0,$0,$0,$0,$0,$-1,$-38,$-14,$0,$-14,$0,$0,$0,$-1,$-14,$-15,$3,$0
8,2016-09-30,1.72,$3.05,0.56,$4.35,0.4,$-0.56,0.0,$0.03,57.33,$0.06B,$0.05B,1.21,$0.18B,$0.16B,1.12,$0.23B,$0.12B,54.67%,$0.23B,$0.02B,7.56%,$0.23B,$0.02B,7.56%,$0.23B,$0.05B,23.11%,$0.23B,$0.00B,0.89%,$0.23B,0,0.00%,$0.00B,$0.16B,0.00%,$0.00B,$0.16B,0.00%,$0.00B,$0.44B,0.00%,$0.02B,$0.33B,5.11%,$56,$25,$31,$0,$18,$52,$4,$-4,$0,$-0,$0,$0,$0,$13,$4,$51,52,$0.01,$0.01,$24,$5,$0,$56,$367,$0,$0,$2,$384,$441,$47,$175,$62,$238,$284,$1,$-1,$-3,$157,$441,$1,$26,$3,$29,$0,$0,$0,$-2,$-2,$28,$-29,$0,$0,$0,$0,$0,$-1,$-30,$-13,$0,$-13,$0,$0,$0,$-0,$-13,$-14,$2,$0
9,2016-06-30,1.7,$3.03,0.56,$4.33,0.39,$-1.06,0.0,$0.04,42.5,$0.06B,$0.05B,1.22,$0.18B,$0.16B,1.13,$0.22B,$0.12B,54.46%,$0.22B,$0.02B,9.38%,$0.22B,$0.02B,9.38%,$0.22B,$0.06B,25.00%,$0.22B,$0.00B,1.79%,$0.22B,$0.00B,0.45%,$0.00B,$0.16B,0.65%,$0.00B,$0.16B,0.65%,$0.00B,$0.44B,0.22%,$0.02B,$0.33B,6.27%,$56,$26,$31,$0,$18,$52,$4,$-4,$1,$0,$0,$0,$0,$13,$4,$51,52,$0.01,$0.01,$24,$5,$0,$57,$367,$0,$0,$2,$384,$441,$46,$175,$64,$239,$286,$1,$-1,$-3,$155,$441,$0,$17,$2,$20,$0,$0,$0,$-1,$-1,$19,$-20,$0,$0,$0,$0,$0,$-1,$-21,$-12,$0,$-12,$0,$0,$0,$-0,$-12,$-14,$1,$0
