,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,136.72,$73.87,1.85,$42.98,3.18,$49.19,2.78,$12.77,10.71,$1.12B,$2.30B,0.49,$0.31B,$4.32B,0.07,$2.42B,$2.42B,100.00%,$2.42B,$0.83B,34.13%,$2.42B,$0.83B,34.13%,$2.42B,$0.95B,39.10%,$2.42B,$1.04B,43.07%,$2.42B,$0.71B,29.38%,$0.71B,$4.32B,16.06%,$0.71B,$0.32B,201.70%,$0.71B,$8.54B,8.28%,$0.83B,$4.63B,14.98%,$601,$0,$601,$0,$356,$402,$199,$51,$250,$49,$202,$202,$125,$235,$199,$53,55,$2.35,$2.34,$448,$144,$0,$1117,$105,$3312,$4006,$0,$7422,$8539,$2296,$307,$167,$1921,$4218,$1,$4044,$-60,$4321,$8539,$631,$93,$311,$404,$0,$0,$-27,$-133,$-159,$876,$-14,$0,$0,$0,$-7,$-7,$0,$-21,$-12,$0,$-12,$-516,$-516,$-49,$-266,$-842,$9,$77,$-49
1,2018-06-30,148.38,$74.49,1.99,$42.17,3.52,$47.11,3.15,$12.65,11.73,$0.88B,$0.66B,1.33,$1.88B,$4.36B,0.43,$2.40B,$2.40B,100.00%,$2.40B,$0.84B,35.14%,$2.40B,$0.84B,35.14%,$2.40B,$0.95B,39.72%,$2.40B,$1.07B,44.71%,$2.40B,$0.71B,29.56%,$0.71B,$4.36B,15.99%,$0.71B,$0.32B,207.60%,$0.71B,$8.49B,8.24%,$0.84B,$6.24B,14.77%,$600,$0,$600,$0,$346,$386,$214,$25,$239,$34,$205,$205,$117,$243,$214,$54,54,$2.17,$2.16,$393,$0,$0,$879,$109,$3461,$4042,$0,$7612,$8491,$663,$1883,$162,$3470,$4133,$1,$3936,$-7,$4357,$8491,$429,$58,$259,$316,$0,$0,$-103,$-66,$-168,$577,$-10,$0,$0,$0,$-15,$-15,$0,$-26,$25,$0,$25,$-371,$-371,$-33,$-218,$-596,$-47,$50,$-33
2,2018-03-31,188.86,$75.60,2.5,$40.82,4.63,$44.09,4.28,$12.71,14.86,$0.87B,$0.67B,1.3,$1.86B,$4.42B,0.42,$2.37B,$2.37B,100.00%,$2.37B,$0.83B,34.93%,$2.37B,$0.83B,34.93%,$2.37B,$0.94B,39.49%,$2.37B,$1.10B,46.44%,$2.37B,$0.72B,30.30%,$0.72B,$4.42B,16.18%,$0.72B,$0.31B,221.23%,$0.72B,$8.58B,8.31%,$0.83B,$6.28B,14.41%,$612,$0,$612,$0,$373,$414,$199,$89,$288,$64,$224,$224,$153,$227,$199,$55,57,$2.80,$2.77,$334,$0,$0,$866,$111,$3496,$4110,$0,$7718,$8584,$667,$1862,$216,$3494,$4162,$1,$3835,$-1,$4423,$8584,$224,$29,$174,$203,$0,$0,$-128,$-94,$-222,$205,$-6,$0,$0,$0,$2,$2,$0,$-4,$5,$0,$5,$-178,$-178,$-16,$-123,$-313,$-105,$30,$-16
3,2017-12-31,204.14,$78.27,2.61,$39.28,5.2,$42.58,4.79,$12.07,16.91,$0.95B,$2.36B,0.4,$0.30B,$4.58B,0.07,$2.31B,$2.31B,100.00%,$2.31B,$0.81B,34.92%,$2.31B,$0.81B,34.92%,$2.31B,$0.91B,39.57%,$2.31B,$1.07B,46.29%,$2.31B,$0.69B,29.89%,$0.69B,$4.58B,15.55%,$0.69B,$0.47B,222.08%,$0.69B,$8.70B,7.96%,$0.81B,$4.88B,14.41%,$604,$0,$604,$0,$360,$391,$213,$51,$264,$-130,$394,$394,$315,$240,$213,$56,59,$5.65,$5.46,$440,$78,$0,$951,$111,$3528,$4112,$0,$7751,$8702,$2358,$304,$182,$1766,$4124,$1,$3699,$-22,$4579,$8702,$1009,$107,$68,$175,$0,$30,$52,$-95,$-13,$1170,$-19,$0,$0,$0,$32,$32,$0,$14,$-260,$0,$-260,$-517,$-517,$-45,$-368,$-1190,$9,$90,$-45
4,2017-09-30,188.6,$75.29,2.51,$38.62,4.88,$41.00,4.6,$9.24,20.41,$0.96B,$1.57B,0.61,$1.05B,$4.40B,0.24,$2.25B,$2.25B,100.00%,$2.25B,$0.63B,28.12%,$2.25B,$0.63B,28.12%,$2.25B,$0.74B,32.96%,$2.25B,$1.09B,48.20%,$2.25B,$0.52B,23.28%,$0.52B,$4.40B,11.93%,$0.52B,$0.28B,194.80%,$0.52B,$8.70B,6.05%,$0.63B,$5.45B,10.95%,$586,$0,$586,$0,$331,$368,$218,$65,$283,$66,$217,$217,$125,$244,$218,$56,58,$2.25,$2.22,$375,$0,$0,$955,$112,$3451,$4129,$55,$7747,$8701,$1567,$1045,$178,$2730,$4297,$1,$3394,$-51,$4404,$8701,$615,$80,$258,$338,$0,$0,$-16,$-136,$-152,$801,$-14,$0,$0,$0,$19,$19,$0,$5,$-200,$0,$-200,$-355,$-355,$-34,$-283,$-872,$-56,$69,$-34
5,2017-06-30,164.61,$74.71,2.2,$38.20,4.31,$39.33,4.18,$9.02,18.25,$0.91B,$0.62B,1.47,$2.03B,$4.37B,0.47,$2.21B,$2.21B,100.00%,$2.21B,$0.65B,29.59%,$2.21B,$0.65B,29.59%,$2.21B,$0.77B,34.84%,$2.21B,$1.03B,46.52%,$2.21B,$0.51B,23.03%,$0.51B,$4.37B,11.84%,$0.51B,$0.25B,318.13%,$0.51B,$8.63B,5.94%,$0.65B,$6.40B,11.40%,$571,$0,$571,$0,$331,$372,$199,$68,$267,$63,$204,$204,$126,$226,$199,$56,59,$2.24,$2.22,$365,$104,$0,$909,$110,$3431,$4124,$60,$7724,$8632,$618,$2032,$204,$3644,$4262,$1,$3280,$-94,$4370,$8632,$398,$54,$207,$261,$0,$0,$-134,$-81,$-215,$444,$-7,$0,$0,$0,$8,$8,$0,$1,$-80,$0,$-80,$-218,$-218,$-23,$-197,$-517,$-66,$48,$-23
6,2017-03-31,162.49,$74.68,2.18,$38.25,4.25,$37.76,4.3,$8.77,18.53,$0.86B,$1.33B,0.65,$1.24B,$4.37B,0.28,$2.19B,$2.19B,100.00%,$2.19B,$0.70B,32.01%,$2.19B,$0.70B,32.01%,$2.19B,$0.83B,37.67%,$2.19B,$1.00B,45.46%,$2.19B,$0.49B,22.39%,$0.49B,$4.37B,11.82%,$0.49B,$0.25B,-3273.33%,$0.49B,$8.59B,5.83%,$0.70B,$5.61B,13.02%,$544,$0,$544,$0,$331,$369,$175,$78,$253,$60,$194,$194,$123,$202,$175,$57,59,$2.16,$2.13,$294,$116,$0,$858,$109,$3448,$4116,$59,$7732,$8590,$1325,$1242,$253,$2896,$4221,$1,$3165,$-109,$4369,$8590,$194,$27,$160,$187,$0,$0,$-180,$-78,$-258,$122,$-4,$0,$0,$0,$20,$20,$0,$16,$-85,$0,$-85,$-77,$-77,$-11,$-104,$-277,$-137,$26,$-11
7,2016-12-31,143.84,$75.67,1.9,$38.69,3.72,$36.15,3.98,$8.56,16.8,$0.94B,$1.60B,0.59,$1.24B,$4.43B,0.28,$2.19B,$2.19B,100.00%,$2.19B,$0.71B,32.18%,$2.19B,$0.71B,32.18%,$2.19B,$0.84B,38.10%,$2.19B,$0.98B,44.44%,$2.19B,$0.47B,21.51%,$0.47B,$4.43B,11.79%,$0.47B,$0.30B,-219.28%,$0.47B,$8.75B,5.69%,$0.71B,$5.67B,13.47%,$550,$0,$550,$0,$341,$509,$41,$241,$282,$76,$206,$206,$150,$70,$41,$54,57,$2.75,$2.67,$431,$0,$0,$937,$110,$3516,$4126,$61,$7813,$8749,$1598,$1241,$149,$2725,$4323,$1,$3054,$-123,$4427,$8749,$739,$130,$141,$271,$0,$83,$20,$-63,$40,$1050,$-20,$0,$0,$0,$-1312,$-1312,$0,$-1332,$225,$0,$225,$328,$328,$0,$-353,$201,$-131,$80,$0
8,2016-09-30,143.24,$71.07,2.02,$39.34,3.64,$38.62,3.71,$8.61,16.64,$1.02B,$1.45B,0.7,$1.24B,$4.03B,0.31,$2.23B,$2.23B,100.00%,$2.23B,$0.86B,38.41%,$2.23B,$0.86B,38.41%,$2.23B,$0.99B,44.18%,$2.23B,$0.98B,43.96%,$2.23B,$0.47B,20.90%,$0.47B,$4.03B,12.16%,$0.47B,$-0.16B,-106.86%,$0.47B,$8.32B,5.80%,$0.86B,$5.27B,16.90%,$545,$0,$545,$0,$338,$306,$239,$-12,$226,$50,$176,$176,$110,$272,$239,$54,57,$2.04,$2.02,$422,$0,$0,$1022,$113,$2940,$4191,$58,$7301,$8323,$1453,$1240,$170,$2841,$4294,$1,$2903,$-81,$4030,$8323,$533,$101,$207,$308,$0,$0,$-187,$30,$-157,$685,$-15,$0,$0,$0,$-854,$-854,$0,$-869,$230,$0,$230,$60,$60,$0,$-253,$37,$-167,$66,$0
9,2016-06-30,139.35,$67.82,2.05,$40.48,3.44,$41.37,3.37,$8.59,16.22,$1.04B,$1.48B,0.7,$1.24B,$3.79B,0.33,$2.30B,$2.30B,100.00%,$2.30B,$0.83B,36.23%,$2.30B,$0.83B,36.23%,$2.30B,$0.97B,42.05%,$2.30B,$1.01B,43.66%,$2.30B,$0.47B,20.20%,$0.47B,$3.79B,12.46%,$0.47B,$-0.45B,-79.90%,$0.47B,$8.04B,5.92%,$0.83B,$5.02B,16.65%,$554,$0,$554,$0,$329,$307,$247,$-11,$236,$52,$184,$184,$108,$282,$247,$54,57,$2.01,$1.98,$360,$0,$0,$1036,$112,$2593,$4238,$56,$6999,$8035,$1477,$1239,$180,$2774,$4250,$1,$2891,$-76,$3785,$8035,$357,$68,$151,$218,$0,$0,$-176,$-58,$-234,$341,$-9,$0,$0,$0,$-531,$-531,$0,$-540,$255,$0,$255,$-97,$-97,$0,$-172,$-14,$-229,$33,$0
