,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,207.29,$22.40,9.25,$33.98,6.1,$36.43,5.69,$3.70,56.02,$38.32B,$12.43B,3.08,$29.35B,$14.35B,2.05,$23.32B,$19.26B,82.57%,$23.32B,$10.13B,43.42%,$23.32B,$10.13B,43.42%,$23.32B,$12.03B,51.59%,$23.32B,$9.57B,41.06%,$23.32B,$2.20B,9.44%,$2.20B,$14.35B,12.56%,$2.20B,$-8.12B,-39.26%,$2.20B,$67.33B,3.08%,$10.13B,$43.70B,20.54%,$5904,$1037,$4867,$926,$1293,$3581,$2323,$-229,$2094,$235,$1859,$1859,$1859,$2824,$2323,$645,649,$2.88,$2.86,$29921,$3017,$1941,$38320,$4899,$0,$22466,$1648,$29013,$67333,$12432,$29350,$10224,$40552,$52984,$31145,$-15987,$-809,$14349,$67333,$6466,$1456,$342,$1798,$-234,$-93,$-311,$-110,$-162,$8102,$-513,$0,$197,$19323,$0,$19323,$-31,$18976,$-500,$0,$-500,$-15670,$-15670,$-2667,$-85,$-18922,$8156,$224,$-2667
1,2018-06-30,183.36,$22.97,7.98,$32.76,5.6,$35.18,5.21,$3.60,50.93,$37.97B,$11.21B,3.39,$30.21B,$14.91B,2.03,$23.19B,$19.17B,82.68%,$23.19B,$10.24B,44.17%,$23.19B,$10.24B,44.17%,$23.19B,$12.11B,52.23%,$23.19B,$9.86B,42.53%,$23.19B,$2.36B,10.19%,$2.36B,$14.91B,10.75%,$2.36B,$-8.26B,-164.82%,$2.36B,$67.68B,3.16%,$10.24B,$45.12B,18.66%,$6059,$1024,$5035,$869,$1353,$3227,$2832,$-185,$2647,$351,$2296,$2296,$2296,$3316,$2832,$656,660,$3.50,$3.48,$29395,$3063,$2008,$37970,$4922,$0,$23167,$1625,$29714,$67684,$11205,$30209,$10206,$41570,$52775,$31048,$-15266,$-873,$14909,$67684,$4607,$955,$67,$1022,$-348,$-135,$-329,$-232,$-800,$4829,$-342,$0,$197,$17983,$0,$17983,$6,$17844,$-500,$0,$-500,$-13941,$-13941,$-1816,$-85,$-16342,$6331,$147,$-1816
2,2018-03-31,168.07,$23.44,7.17,$31.45,5.34,$34.28,4.9,$3.03,55.47,$40.69B,$10.48B,3.88,$33.36B,$15.62B,2.14,$22.94B,$18.92B,82.49%,$22.94B,$10.11B,44.06%,$22.94B,$10.11B,44.06%,$22.94B,$12.01B,52.36%,$22.94B,$9.76B,42.53%,$22.94B,$2.22B,9.67%,$2.22B,$15.62B,8.47%,$2.22B,$-7.93B,89.51%,$2.22B,$71.16B,2.85%,$10.11B,$48.98B,16.86%,$5554,$944,$4610,$760,$1127,$2828,$2726,$-107,$2619,$308,$2311,$2311,$2311,$3197,$2726,$707,711,$3.27,$3.25,$32172,$2952,$1932,$40689,$4943,$0,$23550,$1982,$30475,$71164,$10479,$33358,$10492,$45065,$55544,$31001,$-14387,$-994,$15620,$71164,$2311,$471,$26,$497,$-384,$-107,$-278,$272,$-81,$2727,$-155,$0,$197,$14862,$0,$14862,$2,$14906,$0,$0,$0,$-10697,$-10697,$-951,$-44,$-11692,$5941,$54,$-951
3,2017-12-31,170.19,$34.95,4.87,$31.02,5.49,$33.66,5.06,$2.57,66.22,$49.48B,$9.02B,5.49,$34.19B,$25.24B,1.36,$22.85B,$18.78B,82.19%,$22.85B,$9.97B,43.65%,$22.85B,$9.97B,43.65%,$22.85B,$11.93B,52.20%,$22.85B,$9.60B,42.00%,$22.85B,$1.98B,8.66%,$1.98B,$25.24B,6.61%,$1.98B,$1.87B,33.25%,$1.98B,$79.95B,2.49%,$9.97B,$59.43B,15.85%,$5802,$1059,$4743,$1043,$1427,$3557,$2245,$-31,$2214,$6478,$-4264,$-4264,$-4264,$2694,$2245,$731,735,$-5.81,$-5.77,$41678,$2834,$1727,$49476,$4989,$0,$23370,$2119,$30478,$79954,$9020,$34190,$10337,$45693,$54713,$30992,$-5072,$-679,$25241,$79954,$1979,$1955,$-667,$1288,$-58,$133,$424,$-24,$7910,$11177,$-653,$0,$-19,$-3193,$0,$-3193,$-159,$-4024,$71,$0,$71,$-3160,$-3160,$-3365,$-140,$-6594,$559,$329,$-3365
4,2017-09-30,181.25,$44.36,4.09,$31.03,5.84,$32.20,5.63,$11.05,16.4,$49.75B,$8.19B,6.07,$33.78B,$32.23B,1.05,$23.01B,$18.94B,82.28%,$23.01B,$10.21B,44.38%,$23.01B,$10.21B,44.38%,$23.01B,$12.28B,53.35%,$23.01B,$9.67B,42.00%,$23.01B,$8.18B,35.54%,$8.18B,$32.23B,26.28%,$8.18B,$8.58B,122.16%,$8.18B,$80.33B,10.37%,$10.21B,$66.01B,16.19%,$5773,$990,$4783,$877,$1170,$3334,$2439,$-58,$2381,$360,$2021,$2021,$2021,$2903,$2439,$728,733,$2.78,$2.76,$41351,$2927,$2070,$49752,$4914,$0,$23649,$2016,$30579,$80331,$8193,$33777,$4001,$39909,$48102,$30898,$1774,$-443,$32229,$80331,$6243,$1506,$246,$1752,$-229,$-54,$-50,$-110,$170,$8165,$-511,$0,$0,$-3316,$0,$-3316,$-119,$-3946,$-920,$1499,$579,$-2371,$-2371,$-2531,$-137,$-4460,$-241,$244,$-2531
5,2017-06-30,166.3,$43.41,3.83,$30.87,5.39,$30.71,5.42,$10.97,15.16,$48.44B,$7.82B,6.2,$33.60B,$31.72B,1.06,$23.05B,$18.94B,82.15%,$23.05B,$10.30B,44.69%,$23.05B,$10.30B,44.69%,$23.05B,$12.41B,53.82%,$23.05B,$9.70B,42.10%,$23.05B,$8.17B,35.46%,$8.17B,$31.72B,26.58%,$8.17B,$7.40B,139.26%,$8.17B,$79.59B,10.44%,$10.30B,$65.33B,16.64%,$5810,$1024,$4786,$873,$1209,$3112,$2698,$-156,$2542,$391,$2151,$2151,$2151,$3216,$2698,$734,738,$2.93,$2.91,$39227,$2961,$2694,$48442,$4980,$0,$24327,$1838,$31145,$79587,$7815,$33603,$4148,$40050,$47865,$30793,$1378,$-449,$31722,$79587,$4222,$1042,$85,$1127,$-391,$-90,$-43,$-194,$-638,$4711,$-353,$0,$0,$-1535,$0,$-1535,$-82,$-1970,$-920,$959,$39,$-1562,$-1562,$-1693,$-137,$-3353,$-612,$156,$-1693
6,2017-03-31,157.29,$41.62,3.78,$30.53,5.15,$30.42,5.17,$10.53,14.94,$46.46B,$10.52B,4.42,$30.29B,$30.64B,0.99,$22.93B,$18.79B,81.94%,$22.93B,$9.98B,43.54%,$22.93B,$9.98B,43.54%,$22.93B,$12.09B,52.73%,$22.93B,$9.37B,40.85%,$22.93B,$7.89B,34.43%,$7.89B,$30.64B,26.00%,$7.89B,$5.96B,155.14%,$7.89B,$77.86B,10.21%,$9.98B,$60.93B,16.61%,$5464,$996,$4468,$769,$1064,$2873,$2591,$-131,$2460,$389,$2071,$2071,$2071,$3115,$2591,$737,741,$2.81,$2.79,$38398,$2871,$1939,$46456,$4960,$0,$24679,$1767,$31406,$77862,$10523,$30293,$4039,$36702,$47225,$30766,$233,$-362,$30637,$77862,$2071,$524,$-2,$522,$-47,$-125,$-20,$-408,$-208,$2385,$-168,$0,$0,$63,$0,$63,$-52,$-157,$-605,$0,$-605,$-586,$-586,$-847,$-73,$-2111,$117,$60,$-847
7,2016-12-31,139.21,$40.47,3.44,$30.42,4.58,$29.75,4.68,$10.24,13.6,$46.01B,$11.20B,4.11,$30.19B,$29.88B,1.01,$22.99B,$18.83B,81.90%,$22.99B,$9.79B,42.60%,$22.99B,$9.79B,42.60%,$22.99B,$11.90B,51.76%,$22.99B,$9.16B,39.85%,$22.99B,$7.72B,33.59%,$7.72B,$29.88B,25.86%,$7.72B,$4.85B,183.62%,$7.72B,$77.63B,10.08%,$9.79B,$60.07B,16.31%,$5965,$1067,$4898,$1078,$1323,$3480,$2485,$-202,$2283,$348,$1935,$1935,$1935,$3044,$2485,$748,754,$2.61,$2.59,$38085,$2745,$2015,$46010,$4961,$0,$25030,$1625,$31616,$77626,$11204,$30193,$3918,$36547,$47751,$30784,$-438,$-471,$29875,$77626,$7722,$2105,$526,$2631,$-214,$-80,$-44,$-128,$1,$10354,$-660,$0,$0,$-7677,$0,$-7677,$-321,$-8658,$3593,$0,$3593,$-2965,$-2965,$-2998,$-229,$-2599,$-903,$311,$-2998
8,2016-09-30,157.75,$41.32,3.82,$29.74,5.3,$29.17,5.41,$10.02,15.74,$45.84B,$10.54B,4.35,$30.53B,$30.77B,0.99,$22.56B,$18.40B,81.54%,$22.56B,$9.34B,41.41%,$22.56B,$9.34B,41.41%,$22.56B,$11.43B,50.66%,$22.56B,$8.79B,38.97%,$22.56B,$7.59B,33.63%,$7.59B,$30.77B,25.79%,$7.59B,$5.28B,222.62%,$7.59B,$78.15B,10.11%,$9.34B,$61.30B,15.74%,$5811,$1027,$4784,$990,$1244,$3284,$2527,$-109,$2418,$401,$2017,$2017,$2017,$3030,$2527,$747,753,$2.70,$2.68,$37980,$2681,$1997,$45844,$4912,$0,$25492,$1902,$32306,$78150,$10542,$30526,$3897,$36835,$47377,$30691,$221,$-139,$30773,$78150,$5787,$1546,$395,$1941,$-192,$-125,$-147,$-335,$-474,$7254,$-511,$0,$0,$-6678,$0,$-6678,$-247,$-7436,$3988,$0,$3988,$-1982,$-1982,$-2251,$-232,$-477,$-659,$222,$-2251
9,2016-06-30,143.07,$40.24,3.56,$29.51,4.85,$30.09,4.75,$9.78,14.63,$42.95B,$10.83B,3.97,$27.93B,$30.13B,0.93,$22.47B,$18.30B,81.43%,$22.47B,$9.15B,40.73%,$22.47B,$9.15B,40.73%,$22.47B,$11.26B,50.11%,$22.47B,$8.57B,38.12%,$22.47B,$7.43B,33.07%,$7.43B,$30.13B,25.88%,$7.43B,$4.27B,296.40%,$7.43B,$75.47B,10.12%,$9.15B,$58.06B,15.61%,$5688,$1050,$4638,$900,$1292,$3308,$2380,$-176,$2204,$334,$1870,$1870,$1870,$2902,$2380,$751,756,$2.49,$2.47,$35034,$2671,$2164,$42947,$4884,$0,$25867,$1773,$32524,$75471,$10830,$27928,$3982,$34508,$45338,$30595,$-356,$-106,$30133,$75471,$3770,$1043,$426,$1469,$-119,$-156,$-100,$-330,$-647,$4592,$-344,$-99,$0,$-4567,$0,$-4567,$-37,$-5047,$1908,$0,$1908,$-1218,$-1218,$-1504,$-245,$-1059,$-1514,$139,$-1504
