,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,147.66,$40.18,3.67,$84.37,1.75,$18.31,8.06,$11.62,12.71,$8.53B,$12.83B,0.67,$4.24B,$5.62B,0.76,$12.73B,$12.73B,100.00%,$12.73B,$2.66B,20.90%,$12.73B,$3.31B,25.98%,$12.73B,$3.52B,27.63%,$12.73B,$2.43B,19.06%,$12.73B,$1.74B,13.64%,$1.74B,$5.62B,30.08%,$1.74B,$5.62B,30.08%,$1.74B,$145.19B,1.20%,$2.66B,$9.86B,25.48%,$3292,$0,$3292,$0,$1722,$2654,$638,$-50,$588,$85,$503,$503,$503,$861,$816,$144,147,$3.48,$3.43,$2478,$0,$0,$8525,$0,$36920,$0,$96914,$136666,$145191,$12826,$4240,$122507,$126747,$139573,$3,$12498,$-244,$5618,$145191,$1559,$152,$103,$255,$-264,$-4,$-98,$-339,$-705,$1109,$-117,$0,$0,$0,$-190,$-190,$-42,$-349,$-2070,$0,$-2070,$-1190,$-1190,$-380,$2436,$-1204,$-447,$105,$-380
1,2018-06-30,138.99,$39.60,3.51,$81.30,1.71,$18.32,7.59,$11.43,12.16,$8.51B,$12.38B,0.69,$4.29B,$5.63B,0.76,$12.45B,$12.45B,100.00%,$12.45B,$2.71B,21.75%,$12.45B,$3.35B,26.92%,$12.45B,$3.57B,28.68%,$12.45B,$2.47B,19.85%,$12.45B,$1.74B,13.97%,$1.74B,$5.63B,29.28%,$1.74B,$5.63B,29.28%,$1.74B,$143.27B,1.20%,$2.71B,$9.92B,24.97%,$3196,$0,$3196,$0,$1690,$2568,$628,$-80,$548,$86,$462,$462,$462,$859,$808,$147,149,$3.14,$3.10,$2582,$0,$0,$8512,$0,$36594,$0,$95394,$134756,$143268,$12378,$4291,$120967,$125258,$137636,$3,$12126,$-179,$5632,$143268,$1056,$107,$98,$205,$-121,$110,$-220,$-469,$-700,$561,$-69,$0,$0,$0,$394,$394,$-109,$216,$-1560,$0,$-1560,$-827,$-827,$-253,$1493,$-1147,$-370,$69,$-253
2,2018-03-31,146.02,$40.27,3.63,$78.97,1.85,$19.24,7.59,$10.83,13.48,$8.08B,$12.05B,0.67,$5.06B,$5.84B,0.87,$12.27B,$12.27B,100.00%,$12.27B,$2.64B,21.54%,$12.27B,$3.28B,26.72%,$12.27B,$3.51B,28.57%,$12.27B,$2.44B,19.85%,$12.27B,$1.67B,13.62%,$1.67B,$5.84B,27.40%,$1.67B,$5.84B,27.40%,$1.67B,$144.76B,1.15%,$2.64B,$10.90B,23.53%,$3168,$0,$3168,$0,$1694,$2421,$747,$-51,$696,$102,$594,$594,$594,$944,$888,$150,152,$3.97,$3.91,$2201,$0,$0,$8081,$0,$37431,$0,$96532,$136681,$144762,$12050,$5055,$121817,$126872,$138922,$3,$11796,$-5,$5840,$144762,$594,$56,$140,$196,$-78,$-21,$-373,$-526,$-998,$-208,$-33,$0,$0,$0,$121,$121,$-1,$87,$-584,$0,$-584,$-423,$-423,$-122,$565,$-564,$-673,$32,$-122
3,2017-12-31,166.41,$40.88,4.07,$76.42,2.18,$20.65,8.06,$9.44,17.63,$8.41B,$12.48B,0.67,$5.10B,$6.00B,0.85,$12.03B,$12.03B,100.00%,$12.03B,$2.42B,20.13%,$12.03B,$3.08B,25.58%,$12.03B,$3.31B,27.53%,$12.03B,$2.21B,18.41%,$12.03B,$1.48B,12.31%,$1.48B,$6.00B,23.89%,$1.48B,$6.00B,23.89%,$1.48B,$147.48B,1.03%,$2.42B,$11.09B,21.28%,$3075,$0,$3075,$0,$1621,$2427,$648,$-53,$595,$418,$177,$177,$177,$853,$795,$154,157,$1.20,$1.16,$2620,$0,$0,$8407,$0,$38056,$0,$98341,$139073,$147480,$12478,$5097,$123910,$129007,$141485,$3,$11326,$229,$5995,$147480,$1480,$234,$342,$576,$-457,$4,$206,$-108,$-355,$1701,$-162,$0,$0,$0,$-624,$-624,$587,$-199,$-2179,$0,$-2179,$-1470,$-1470,$-491,$2355,$-1785,$-248,$121,$-491
4,2017-09-30,145.07,$42.50,3.41,$75.00,1.93,$24.27,5.98,$10.72,13.53,$8.26B,$12.36B,0.67,$5.17B,$6.31B,0.82,$12.01B,$12.01B,100.00%,$12.01B,$2.32B,19.34%,$12.01B,$2.99B,24.89%,$12.01B,$3.23B,26.86%,$12.01B,$2.09B,17.38%,$12.01B,$1.70B,14.18%,$1.70B,$6.31B,27.17%,$1.70B,$6.31B,27.17%,$1.70B,$145.49B,1.20%,$2.32B,$11.47B,20.22%,$3014,$0,$3014,$0,$1631,$2329,$685,$-52,$633,$126,$507,$507,$507,$916,$861,$153,155,$3.31,$3.26,$2504,$0,$0,$8255,$0,$38417,$0,$96153,$137231,$145486,$12356,$5169,$121656,$126825,$139181,$3,$11271,$312,$6305,$145486,$1303,$176,$35,$211,$-445,$-139,$-19,$268,$-335,$1179,$-125,$0,$0,$0,$27,$27,$-8,$-106,$-1600,$0,$-1600,$-1148,$-1148,$-368,$1830,$-1286,$-181,$91,$-368
5,2017-06-30,123.64,$41.58,2.97,$73.69,1.68,$29.29,4.22,$8.78,14.08,$8.08B,$12.00B,0.67,$5.22B,$6.25B,0.84,$12.00B,$12.00B,100.00%,$12.00B,$1.93B,16.07%,$12.00B,$2.58B,21.50%,$12.00B,$2.82B,23.52%,$12.00B,$1.69B,14.11%,$12.00B,$1.41B,11.76%,$1.41B,$6.25B,22.08%,$1.41B,$6.25B,22.08%,$1.41B,$143.14B,0.99%,$1.93B,$11.47B,16.44%,$3012,$0,$3012,$0,$1598,$2449,$563,$-52,$511,$118,$393,$393,$393,$792,$734,$155,158,$2.53,$2.50,$2563,$0,$0,$8082,$0,$38192,$0,$94233,$135062,$143144,$12000,$5216,$119678,$124894,$136894,$3,$10897,$299,$6250,$143144,$796,$121,$52,$173,$-168,$-107,$-137,$179,$-233,$736,$-72,$0,$0,$0,$526,$526,$-227,$227,$-1087,$0,$-1087,$-780,$-780,$-244,$1245,$-866,$118,$61,$-244
6,2017-03-31,125.15,$40.70,3.07,$71.44,1.75,$33.78,3.71,$8.25,15.17,$7.55B,$11.99B,0.63,$5.25B,$6.23B,0.84,$11.86B,$11.86B,100.00%,$11.86B,$1.83B,15.42%,$11.86B,$2.47B,20.81%,$11.86B,$2.71B,22.88%,$11.86B,$1.59B,13.43%,$11.86B,$1.35B,11.41%,$1.35B,$6.23B,20.50%,$1.35B,$6.23B,20.50%,$1.35B,$140.86B,0.95%,$1.83B,$11.48B,15.32%,$2926,$0,$2926,$0,$1600,$2401,$525,$-50,$475,$72,$403,$403,$403,$750,$687,$158,160,$2.56,$2.52,$2177,$0,$0,$7549,$0,$38020,$0,$92645,$133308,$140857,$11986,$5252,$117392,$122644,$134630,$3,$10633,$219,$6227,$140857,$403,$63,$65,$128,$-59,$-98,$-259,$-109,$-525,$6,$-33,$0,$0,$0,$237,$237,$7,$211,$-532,$0,$-532,$-430,$-430,$-117,$645,$-434,$-212,$31,$-117
7,2016-12-31,106.42,$40.66,2.62,$69.02,1.54,$37.32,2.85,$7.82,13.61,$7.80B,$11.96B,0.65,$5.24B,$6.29B,0.83,$11.70B,$11.70B,100.00%,$11.70B,$1.83B,15.67%,$11.70B,$2.46B,21.00%,$11.70B,$2.70B,23.12%,$11.70B,$1.59B,13.61%,$11.70B,$1.31B,11.23%,$1.31B,$6.29B,19.27%,$1.31B,$6.29B,19.27%,$1.31B,$139.82B,0.93%,$1.83B,$11.53B,15.05%,$3062,$0,$3062,$0,$1587,$2512,$550,$-81,$469,$69,$400,$400,$400,$769,$708,$166,168,$2.49,$2.45,$2486,$0,$0,$7796,$0,$38088,$0,$91289,$132025,$139821,$11963,$5236,$116330,$121566,$133529,$3,$10351,$200,$6292,$139821,$1314,$248,$98,$346,$-150,$14,$173,$656,$693,$2353,$-92,$0,$0,$0,$-1624,$-1624,$911,$-805,$-2083,$-1,$-2084,$-1698,$-1698,$-479,$3119,$-1142,$-15,$134,$-479
8,2016-09-30,94.89,$42.88,2.21,$67.66,1.4,$37.76,2.51,$7.36,12.89,$8.67B,$11.14B,0.78,$5.64B,$6.80B,0.83,$11.74B,$11.74B,100.00%,$11.74B,$1.85B,15.72%,$11.74B,$2.48B,21.09%,$11.74B,$2.69B,22.89%,$11.74B,$1.57B,13.37%,$11.74B,$1.27B,10.83%,$1.27B,$6.80B,17.32%,$1.27B,$6.80B,17.32%,$1.27B,$143.62B,0.89%,$1.85B,$12.44B,13.23%,$2998,$0,$2998,$0,$1529,$2708,$290,$-52,$238,$23,$215,$215,$215,$511,$451,$164,166,$1.31,$1.30,$3329,$0,$0,$8665,$0,$38448,$0,$93976,$134958,$143623,$11140,$5644,$120043,$125687,$136827,$3,$10098,$595,$6796,$143623,$914,$187,$98,$285,$-177,$9,$-24,$1015,$823,$2022,$-66,$0,$0,$0,$-370,$-370,$69,$-367,$-1228,$0,$-1228,$-1313,$-1313,$-361,$2329,$-573,$683,$101,$-361
9,2016-06-30,84.78,$43.69,1.94,$65.37,1.3,$35.78,2.37,$8.23,10.3,$8.24B,$10.67B,0.77,$5.20B,$7.09B,0.73,$11.63B,$11.63B,100.00%,$11.63B,$2.12B,18.20%,$11.63B,$2.76B,23.71%,$11.63B,$3.01B,25.88%,$11.63B,$1.79B,15.43%,$11.63B,$1.45B,12.50%,$1.45B,$7.09B,18.52%,$1.45B,$7.09B,18.52%,$1.45B,$142.68B,1.01%,$2.12B,$12.29B,13.41%,$2871,$0,$2871,$0,$1566,$2408,$463,$-53,$410,$75,$335,$335,$335,$683,$621,$168,170,$1.99,$1.97,$3050,$0,$0,$8240,$0,$37870,$0,$93974,$134444,$142684,$10669,$5201,$119725,$124926,$135595,$3,$10007,$638,$7089,$142684,$699,$127,$41,$168,$-26,$-12,$-196,$884,$650,$1517,$-36,$0,$0,$0,$57,$57,$42,$63,$-1217,$0,$-1217,$-897,$-897,$-239,$1440,$-913,$283,$68,$-239
