,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,61.95,$23.82,2.6,$19.63,3.16,$12.87,4.81,$2.77,22.36,$0.32B,$1.04B,0.31,$0.00B,$0.46B,0.0,$0.38B,$0.11B,29.89%,$0.38B,$0.08B,21.69%,$0.38B,$0.08B,21.69%,$0.38B,$0.10B,25.13%,$0.38B,$0.08B,21.69%,$0.38B,$0.05B,14.29%,$0.05B,$0.46B,12.27%,$0.05B,$0.46B,12.27%,$0.05B,$1.59B,3.49%,$0.08B,$0.46B,18.63%,$94,$62,$32,$0,$7,$69,$24,$0,$24,$5,$20,$20,$20,$27,$24,$19,19,$1.03,$1.02,$33,$0,$0,$321,$6,$1201,$0,$17,$1266,$1587,$1043,$0,$83,$85,$1128,$0,$274,$-4,$459,$1587,$53,$9,$4,$13,$-24,$0,$5,$24,$5,$71,$-1,$0,$0,$-84,$5,$-79,$0,$-80,$0,$0,$0,$0,$0,$-13,$0,$-13,$-22,$1,$-13
1,2018-06-30,57.75,$23.11,2.5,$19.60,2.95,$14.55,3.97,$2.61,22.13,$0.31B,$1.04B,0.3,$0.00B,$0.45B,0.0,$0.38B,$0.11B,29.71%,$0.38B,$0.08B,21.75%,$0.38B,$0.08B,21.75%,$0.38B,$0.10B,25.20%,$0.38B,$0.08B,21.75%,$0.38B,$0.05B,13.53%,$0.05B,$0.45B,11.35%,$0.05B,$0.45B,11.35%,$0.05B,$1.55B,3.30%,$0.08B,$0.45B,18.25%,$95,$67,$29,$0,$8,$74,$21,$0,$21,$4,$17,$17,$17,$24,$21,$19,19,$0.88,$0.88,$21,$0,$0,$311,$7,$1177,$0,$17,$1243,$1554,$1037,$0,$72,$72,$1109,$0,$259,$-2,$445,$1554,$33,$6,$3,$10,$-24,$0,$3,$15,$-6,$37,$-1,$0,$0,$-87,$25,$-62,$0,$-63,$0,$0,$0,$0,$0,$-9,$0,$-9,$-34,$1,$-9
2,2018-03-31,55.05,$22.43,2.45,$19.32,2.85,$14.79,3.72,$2.54,21.67,$0.32B,$1.03B,0.31,$0.00B,$0.43B,0.0,$0.37B,$0.11B,30.38%,$0.37B,$0.08B,22.31%,$0.37B,$0.08B,22.31%,$0.37B,$0.10B,26.08%,$0.37B,$0.08B,22.31%,$0.37B,$0.05B,13.17%,$0.05B,$0.43B,10.69%,$0.05B,$0.43B,10.69%,$0.05B,$1.53B,3.17%,$0.08B,$0.43B,18.11%,$94,$68,$27,$0,$7,$75,$19,$0,$19,$3,$16,$16,$16,$23,$19,$19,19,$0.84,$0.84,$36,$0,$0,$317,$7,$1146,$0,$19,$1214,$1531,$1028,$0,$69,$70,$1099,$0,$246,$-2,$432,$1531,$16,$3,$1,$4,$-17,$0,$3,$7,$-8,$13,$-1,$0,$0,$-25,$-2,$-27,$0,$-28,$0,$0,$0,$0,$0,$-4,$0,$-4,$-19,$0,$-4
3,2017-12-31,61.14,$22.10,2.77,$19.51,3.13,$15.41,3.97,$2.40,25.47,$0.32B,$1.02B,0.32,$0.00B,$0.43B,0.0,$0.38B,$0.11B,29.79%,$0.38B,$0.08B,22.07%,$0.38B,$0.08B,22.07%,$0.38B,$0.10B,25.80%,$0.38B,$0.08B,22.07%,$0.38B,$0.05B,12.50%,$0.05B,$0.43B,10.06%,$0.05B,$0.43B,10.06%,$0.05B,$1.52B,3.03%,$0.08B,$0.43B,17.77%,$95,$70,$25,$0,$7,$77,$18,$0,$18,$17,$1,$1,$1,$21,$18,$19,19,$0.03,$0.03,$56,$0,$0,$322,$6,$1141,$0,$10,$1197,$1518,$1015,$0,$78,$78,$1093,$0,$234,$4,$425,$1518,$46,$15,$15,$30,$3,$0,$-2,$53,$54,$131,$-0,$0,$0,$10,$-74,$-64,$13,$-52,$0,$0,$0,$0,$0,$-83,$0,$-83,$-3,$2,$-83
4,2017-09-30,54.5,$25.72,2.12,$19.71,2.77,$14.50,3.76,$3.36,16.22,$0.35B,$1.01B,0.35,$0.00B,$0.50B,0.0,$0.38B,$0.12B,32.11%,$0.38B,$0.09B,24.47%,$0.38B,$0.09B,24.47%,$0.38B,$0.11B,28.42%,$0.38B,$0.09B,24.47%,$0.38B,$0.07B,17.11%,$0.07B,$0.50B,13.69%,$0.07B,$0.50B,13.69%,$0.07B,$1.58B,4.19%,$0.09B,$0.50B,19.59%,$93,$62,$31,$0,$8,$69,$24,$0,$24,$7,$17,$17,$17,$27,$24,$19,19,$0.86,$0.86,$80,$0,$0,$351,$6,$1156,$0,$18,$1232,$1583,$1011,$0,$76,$78,$1088,$0,$304,$3,$495,$1583,$46,$12,$2,$14,$-4,$0,$7,$40,$43,$102,$-0,$0,$0,$-36,$-42,$-78,$9,$-69,$0,$0,$0,$0,$0,$-12,$0,$-12,$21,$1,$-12
5,2017-06-30,53.12,$25.02,2.12,$20.00,2.66,$13.47,3.94,$3.43,15.49,$0.33B,$1.00B,0.33,$0.00B,$0.48B,0.0,$0.39B,$0.12B,32.21%,$0.39B,$0.10B,24.68%,$0.39B,$0.10B,24.68%,$0.39B,$0.11B,28.83%,$0.39B,$0.10B,24.68%,$0.39B,$0.07B,17.14%,$0.07B,$0.48B,13.79%,$0.07B,$0.48B,13.79%,$0.07B,$1.56B,4.25%,$0.10B,$0.48B,19.85%,$90,$60,$30,$0,$8,$68,$22,$0,$22,$7,$15,$15,$15,$26,$22,$19,19,$0.81,$0.81,$54,$0,$0,$329,$6,$1132,$0,$40,$1231,$1559,$1000,$0,$78,$78,$1078,$0,$292,$2,$481,$1559,$29,$8,$2,$10,$-8,$0,$1,$9,$2,$41,$-0,$0,$0,$-17,$-27,$-44,$6,$-38,$0,$0,$0,$0,$0,$-8,$0,$-8,$-5,$1,$-8
6,2017-03-31,60.31,$24.29,2.48,$20.41,2.96,$14.25,4.23,$3.49,17.28,$0.31B,$0.99B,0.32,$0.00B,$0.47B,0.0,$0.39B,$0.13B,32.06%,$0.39B,$0.10B,24.94%,$0.39B,$0.10B,24.94%,$0.39B,$0.11B,29.01%,$0.39B,$0.10B,24.94%,$0.39B,$0.07B,17.30%,$0.07B,$0.47B,14.10%,$0.07B,$0.47B,14.10%,$0.07B,$1.54B,4.35%,$0.10B,$0.47B,20.32%,$98,$71,$26,$0,$8,$79,$19,$0,$19,$5,$14,$14,$14,$23,$19,$19,19,$0.71,$0.70,$39,$0,$0,$314,$6,$1119,$0,$44,$1223,$1537,$993,$0,$67,$76,$1069,$0,$280,$0,$467,$1537,$14,$4,$1,$5,$-8,$0,$7,$7,$6,$24,$-0,$0,$0,$-3,$-38,$-41,$2,$-39,$0,$0,$0,$0,$0,$-4,$0,$-4,$-20,$0,$-4
7,2016-12-31,57.76,$23.72,2.43,$20.68,2.79,$14.59,3.96,$4.06,14.23,$0.33B,$0.99B,0.33,$0.00B,$0.46B,0.0,$0.40B,$0.14B,35.52%,$0.40B,$0.11B,28.46%,$0.40B,$0.11B,28.46%,$0.40B,$0.13B,32.75%,$0.40B,$0.11B,28.46%,$0.40B,$0.08B,19.65%,$0.08B,$0.46B,16.07%,$0.08B,$0.46B,16.07%,$0.08B,$1.52B,4.97%,$0.11B,$0.46B,23.29%,$99,$63,$35,$0,$7,$71,$28,$0,$28,$9,$19,$19,$19,$32,$28,$19,19,$1.00,$0.98,$59,$0,$0,$326,$7,$1096,$0,$38,$1193,$1519,$985,$0,$73,$77,$1063,$0,$270,$-0,$456,$1519,$78,$17,$-0,$17,$10,$0,$4,$5,$19,$114,$-2,$0,$0,$-22,$-27,$-49,$0,$-50,$0,$0,$0,$1,$1,$-76,$1,$-74,$-11,$2,$-76
8,2016-09-30,51.61,$26.51,1.95,$20.87,2.47,$13.54,3.81,$4.28,12.06,$0.39B,$0.99B,0.39,$0.00B,$0.51B,0.0,$0.40B,$0.15B,36.50%,$0.40B,$0.12B,29.75%,$0.40B,$0.12B,29.75%,$0.40B,$0.14B,34.00%,$0.40B,$0.12B,29.75%,$0.40B,$0.08B,20.50%,$0.08B,$0.51B,16.92%,$0.08B,$0.51B,16.92%,$0.08B,$1.60B,5.24%,$0.12B,$0.51B,24.55%,$98,$65,$33,$0,$7,$72,$26,$0,$26,$8,$18,$18,$18,$30,$26,$19,19,$0.94,$0.93,$87,$0,$0,$390,$6,$1108,$0,$47,$1210,$1600,$994,$0,$94,$97,$1090,$0,$317,$7,$510,$1600,$59,$13,$-0,$13,$-28,$0,$8,$31,$11,$83,$-1,$0,$0,$-4,$-52,$-56,$0,$-57,$0,$0,$0,$1,$1,$-10,$1,$-9,$17,$1,$-10
9,2016-06-30,53.6,$25.83,2.08,$20.85,2.57,$12.52,4.28,$4.29,12.49,$0.37B,$0.99B,0.38,$0.00B,$0.50B,0.0,$0.40B,$0.15B,36.59%,$0.40B,$0.12B,29.82%,$0.40B,$0.12B,29.82%,$0.40B,$0.14B,34.09%,$0.40B,$0.12B,29.82%,$0.40B,$0.08B,20.55%,$0.08B,$0.50B,17.08%,$0.08B,$0.50B,17.08%,$0.08B,$1.60B,5.28%,$0.12B,$0.50B,24.79%,$98,$65,$32,$0,$8,$73,$25,$0,$25,$8,$17,$17,$17,$29,$25,$19,19,$0.87,$0.87,$70,$0,$0,$373,$6,$1121,$0,$48,$1222,$1595,$986,$0,$109,$113,$1099,$0,$303,$8,$496,$1595,$41,$9,$0,$9,$-26,$0,$9,$24,$6,$56,$-1,$0,$0,$-10,$-39,$-49,$0,$-50,$0,$0,$0,$1,$1,$-7,$1,$-6,$1,$1,$-7
