,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,22.42,$14.53,1.54,$9.20,2.44,$1.52,14.71,$0.43,52.14,$0.12B,$0.05B,2.64,$0.09B,$0.55B,0.16,$0.34B,$0.18B,52.03%,$0.34B,$0.01B,2.91%,$0.34B,$0.01B,2.91%,$0.34B,$0.03B,9.88%,$0.34B,$0.01B,2.03%,$0.34B,$0.02B,4.65%,$0.02B,$0.55B,2.98%,$0.02B,$0.02B,47.41%,$0.02B,$0.69B,2.29%,$0.01B,$0.63B,1.60%,$85,$41,$44,$8,$28,$85,$0,$-1,$-0,$-0,$-0,$-0,$-0,$6,$0,$37,37,$-0.01,$-0.01,$26,$50,$0,$121,$42,$0,$527,$4,$573,$694,$46,$85,$1,$103,$149,$0,$5,$-1,$545,$694,$-0,$6,$2,$8,$-1,$-1,$0,$-1,$-16,$-9,$-1,$0,$-37,$0,$0,$0,$0,$-38,$-1,$0,$-1,$1,$1,$0,$-2,$-3,$-49,$2,$0
1,2018-05-31,21.03,$14.58,1.44,$9.23,2.28,$1.85,11.37,$0.44,47.8,$0.17B,$0.06B,2.93,$0.09B,$0.54B,0.16,$0.34B,$0.18B,51.16%,$0.34B,$0.01B,2.91%,$0.34B,$0.01B,2.91%,$0.34B,$0.03B,9.88%,$0.34B,$0.01B,2.03%,$0.34B,$0.02B,4.65%,$0.02B,$0.54B,3.02%,$0.02B,$0.05B,48.48%,$0.02B,$0.71B,2.28%,$0.01B,$0.63B,1.62%,$88,$41,$47,$6,$29,$84,$4,$-1,$3,$1,$2,$2,$2,$10,$4,$37,38,$0.05,$0.06,$75,$49,$0,$168,$42,$0,$492,$3,$537,$705,$57,$87,$2,$106,$163,$0,$5,$-1,$543,$705,$16,$23,$-1,$22,$5,$6,$0,$-1,$2,$41,$-2,$-1,$0,$0,$0,$0,$0,$-4,$-5,$0,$-5,$3,$3,$0,$-10,$-12,$27,$8,$0
2,2018-02-28,16.29,$14.48,1.12,$9.22,1.77,$2.24,7.27,$0.08,203.63,$0.16B,$0.05B,2.88,$0.09B,$0.54B,0.16,$0.34B,$0.17B,49.85%,$0.34B,$-0.00B,-1.46%,$0.34B,$-0.00B,-1.46%,$0.34B,$0.02B,5.54%,$0.34B,$-0.01B,-2.33%,$0.34B,$0.00B,0.29%,$0.00B,$0.54B,0.19%,$0.00B,$0.04B,4.49%,$0.00B,$0.70B,0.14%,$-0.00B,$0.63B,-0.82%,$84,$38,$45,$6,$26,$79,$5,$-1,$4,$-10,$14,$14,$14,$11,$5,$37,37,$0.38,$0.37,$54,$57,$0,$157,$43,$0,$496,$3,$542,$698,$54,$88,$2,$106,$160,$0,$3,$-1,$538,$698,$14,$17,$-5,$13,$3,$-2,$0,$-1,$-9,$18,$-2,$-1,$0,$0,$0,$0,$0,$-3,$-4,$0,$-4,$3,$3,$0,$-10,$-11,$5,$6,$0
3,2017-11-30,17.18,$14.04,1.22,$9.29,1.85,$2.75,6.26,$-0.21,0.0,$0.15B,$0.06B,2.56,$0.09B,$0.52B,0.17,$0.35B,$0.17B,49.28%,$0.35B,$-0.01B,-1.45%,$0.35B,$-0.01B,-1.45%,$0.35B,$0.02B,5.51%,$0.35B,$-0.01B,-2.03%,$0.35B,$-0.01B,-2.90%,$-0.01B,$0.52B,-1.92%,$-0.01B,$0.02B,-60.61%,$-0.01B,$0.70B,-1.42%,$-0.01B,$0.61B,-0.82%,$87,$44,$43,$6,$27,$86,$1,$-1,$0,$-0,$0,$0,$0,$7,$1,$37,37,$0.01,$0.01,$51,$54,$0,$152,$44,$0,$499,$3,$545,$698,$60,$89,$2,$117,$177,$0,$-11,$-1,$521,$698,$0,$12,$4,$15,$2,$1,$0,$-1,$-2,$13,$-1,$0,$0,$0,$0,$0,$0,$-1,$-3,$0,$-3,$2,$2,$0,$-10,$-10,$2,$4,$0
4,2017-08-31,17.03,$13.99,1.22,$9.37,1.82,$2.98,5.72,$0.15,113.53,$0.15B,$0.06B,2.34,$0.09B,$0.52B,0.17,$0.35B,$0.17B,49.57%,$0.35B,$0.01B,2.88%,$0.35B,$0.01B,2.88%,$0.35B,$0.03B,9.80%,$0.35B,$0.01B,2.02%,$0.35B,$0.00B,1.15%,$0.00B,$0.52B,0.77%,$0.00B,$0.02B,31.37%,$0.00B,$0.70B,0.57%,$0.01B,$0.61B,1.62%,$85,$44,$41,$6,$27,$85,$0,$-0,$-0,$0,$-0,$-0,$-0,$6,$0,$37,37,$-0.00,$-0.00,$49,$55,$0,$151,$44,$0,$503,$2,$550,$700,$64,$90,$2,$118,$182,$0,$-11,$-1,$518,$700,$-0,$6,$2,$7,$3,$-1,$0,$1,$-4,$3,$-1,$0,$0,$0,$0,$0,$0,$-1,$-1,$0,$-1,$1,$1,$0,$-2,$-3,$1,$2,$0
5,2017-05-31,15.08,$13.98,1.08,$9.45,1.59,$3.10,4.87,$0.19,79.37,$0.15B,$0.07B,2.15,$0.09B,$0.52B,0.18,$0.35B,$0.18B,50.29%,$0.35B,$0.01B,4.00%,$0.35B,$0.01B,4.00%,$0.35B,$0.04B,10.86%,$0.35B,$0.01B,2.86%,$0.35B,$0.01B,1.43%,$0.01B,$0.52B,0.96%,$0.01B,$0.01B,80.00%,$0.01B,$0.71B,0.70%,$0.01B,$0.61B,2.26%,$87,$45,$42,$7,$29,$98,$-11,$-1,$-12,$1,$-13,$-13,$-13,$-5,$-11,$37,37,$-0.35,$-0.35,$49,$55,$0,$154,$45,$0,$507,$2,$554,$708,$72,$91,$4,$121,$193,$0,$-11,$-1,$515,$708,$5,$25,$1,$26,$8,$1,$0,$-4,$25,$56,$-3,$0,$0,$0,$0,$0,$0,$-3,$-24,$0,$-24,$-3,$-3,$0,$-11,$-38,$15,$6,$0
6,2017-02-28,16.35,$14.46,1.13,$9.69,1.69,$2.86,5.72,$-0.72,0.0,$0.15B,$0.05B,2.86,$0.09B,$0.53B,0.17,$0.36B,$0.18B,49.44%,$0.36B,$0.02B,6.46%,$0.36B,$0.02B,6.46%,$0.36B,$0.05B,13.48%,$0.36B,$0.02B,5.34%,$0.36B,$-0.03B,-7.02%,$-0.03B,$0.53B,-4.82%,$-0.03B,$0.02B,2500.00%,$-0.03B,$0.70B,-3.49%,$0.02B,$0.62B,3.71%,$86,$42,$44,$6,$26,$80,$5,$-1,$5,$2,$3,$3,$3,$11,$5,$37,37,$0.08,$0.08,$37,$58,$0,$145,$46,$0,$511,$2,$559,$704,$51,$93,$4,$122,$173,$0,$2,$-2,$532,$704,$18,$18,$-1,$17,$7,$-3,$0,$-1,$2,$37,$-2,$0,$0,$0,$0,$0,$0,$-2,$-23,$0,$-23,$2,$2,$0,$-11,$-31,$3,$5,$0
7,2016-11-30,16.3,$14.34,1.14,$9.78,1.67,$2.61,6.25,$-0.78,0.0,$0.15B,$0.05B,2.91,$0.11B,$0.52B,0.21,$0.36B,$0.18B,49.30%,$0.36B,$0.02B,5.60%,$0.36B,$0.02B,5.60%,$0.36B,$0.05B,12.89%,$0.36B,$0.02B,4.20%,$0.36B,$-0.03B,-7.56%,$-0.03B,$0.52B,-5.16%,$-0.03B,$0.01B,3600.00%,$-0.03B,$0.71B,-3.70%,$0.02B,$0.63B,3.17%,$89,$44,$45,$6,$27,$73,$16,$-1,$14,$1,$14,$14,$14,$22,$16,$37,37,$0.37,$0.37,$37,$57,$0,$148,$47,$0,$516,$2,$564,$712,$51,$110,$4,$138,$189,$0,$-1,$-2,$523,$712,$15,$12,$-5,$7,$3,$-2,$0,$-0,$-0,$22,$-2,$0,$0,$0,$0,$0,$0,$-1,$-5,$0,$-5,$-1,$-1,$0,$-11,$-17,$3,$3,$0
8,2016-08-31,16.54,$13.96,1.19,$9.86,1.68,$2.42,6.84,$-1.16,0.0,$0.15B,$0.07B,2.33,$0.10B,$0.51B,0.2,$0.36B,$0.18B,49.58%,$0.36B,$0.01B,1.40%,$0.36B,$0.01B,1.40%,$0.36B,$0.03B,8.96%,$0.36B,0,0.00%,$0.36B,$-0.04B,-11.48%,$-0.04B,$0.51B,-7.74%,$-0.04B,$-0.01B,-5466.67%,$-0.04B,$0.73B,-5.53%,$0.01B,$0.61B,0.78%,$88,$43,$45,$7,$28,$85,$4,$-1,$3,$2,$1,$1,$1,$10,$4,$36,37,$0.04,$0.04,$39,$58,$0,$152,$47,$0,$524,$4,$574,$727,$65,$101,$25,$149,$214,$0,$-15,$-1,$513,$727,$1,$6,$4,$10,$3,$-3,$0,$-1,$-4,$7,$-0,$0,$0,$0,$0,$0,$0,$-0,$-3,$0,$-3,$3,$3,$0,$-2,$-2,$5,$2,$0
9,2016-05-31,12.01,$13.98,0.86,$9.79,1.23,$2.34,5.13,$-1.22,0.0,$0.15B,$0.07B,2.19,$0.10B,$0.51B,0.21,$0.35B,$0.18B,49.58%,$0.35B,$0.00B,0.28%,$0.35B,$0.00B,0.28%,$0.35B,$0.03B,8.22%,$0.35B,$-0.00B,-1.13%,$0.35B,$-0.04B,-12.18%,$-0.04B,$0.51B,-7.99%,$-0.04B,$-0.02B,-781.82%,$-0.04B,$0.73B,-5.71%,$0.00B,$0.61B,0.15%,$93,$52,$42,$7,$28,$95,$-2,$-1,$-3,$40,$-43,$-43,$-43,$5,$-2,$36,36,$-1.20,$-1.20,$34,$55,$0,$146,$48,$0,$528,$4,$580,$726,$67,$104,$26,$152,$219,$0,$-16,$-1,$507,$726,$-44,$28,$48,$76,$3,$12,$0,$1,$13,$45,$-2,$-3,$-2,$0,$0,$0,$0,$-8,$-16,$0,$-16,$2,$2,$0,$-10,$-24,$14,$3,$0
