,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,0.31,$0.15,2.12,0,0.0,$-1.45,0.0,$-0.52,0.0,$0.01B,$0.00B,3.85,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-211.76%,$-0.01B,$0.00B,-211.76%,$-0.01B,$0.01B,-138.46%,$-0.01B,$0.00B,-235.29%,$0,$0,$0,$1,$2,$3,$-3,$-0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$24,24,$-0.12,$-0.12,$5,$0,$0,$5,$0,$0,$0,$0,$0,$6,$1,$0,$0,$0,$1,$0,$-323,$0,$4,$6,$-7,$0,$1,$1,$0,$0,$0,$0,$-0,$-6,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5,$5,$0,$0,$5,$-1,$1,$0
1,2018-06-30,0.39,$0.23,1.73,0,0.0,$-1.79,0.0,$-0.69,0.0,$0.01B,$0.00B,3.75,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-210.53%,$-0.01B,$0.01B,-210.53%,$-0.01B,$0.01B,-137.93%,$-0.01B,$0.01B,-231.58%,$0,$0,$0,$0,$2,$2,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$23,23,$-0.10,$-0.10,$7,$0,$0,$7,$0,$0,$0,$0,$0,$7,$2,$0,$0,$0,$2,$0,$-321,$0,$5,$7,$-5,$0,$1,$1,$0,$0,$1,$-0,$0,$-4,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$4,$4,$0,$0,$4,$1,$1,$0
2,2018-03-31,0.41,$0.26,1.55,0,0.0,$-2.05,0.0,$-0.72,0.0,$0.01B,$0.00B,3.5,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-171.43%,$-0.01B,$0.00B,-171.43%,$-0.01B,$0.01B,-116.13%,$-0.01B,$0.00B,-209.52%,$0,$0,$0,$0,$2,$2,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$16,16,$-0.14,$-0.14,$6,$0,$0,$6,$0,$0,$0,$0,$0,$6,$2,$0,$0,$0,$2,$0,$-318,$0,$4,$6,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1,$1,$0,$0,$1,$-1,$0,$0
3,2017-12-31,1.84,$0.29,6.41,0,0.0,$-2.08,0.0,$0.46,4.0,$0.01B,$0.00B,4.16,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$0.00B,inf%,$0.00B,$0.00B,22.22%,$0.00B,$0.00B,22.22%,$0.00B,$0.01B,13.33%,$-0.01B,$0.00B,-244.44%,$0,$0,$0,$0,$2,$3,$-3,$0,$-3,$0,$-3,$-3,$-2,$-3,$-3,$12,12,$-0.60,$-0.60,$6,$0,$0,$7,$0,$0,$0,$0,$0,$7,$2,$0,$1,$1,$2,$0,$-316,$0,$4,$7,$0,$0,$-10,$-10,$0,$0,$-1,$-0,$-1,$-11,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-7,$-7,$10,$10,$0,$0,$3,$4,$1,$0
4,2017-09-30,1.71,$0.42,4.07,0,0.0,$-3.31,0.0,$0.58,2.95,$0.01B,$0.00B,4.79,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$0.00B,inf%,$0.00B,$0.01B,200.00%,$0.00B,$0.01B,200.00%,$0.00B,$0.01B,42.86%,$-0.01B,$0.01B,-733.33%,$0,$0,$0,$2,$2,$4,$-4,$-0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$13,13,$-0.29,$-0.29,$8,$0,$0,$9,$0,$0,$0,$0,$0,$9,$2,$0,$1,$1,$3,$0,$-314,$0,$6,$9,$3,$0,$-10,$-10,$0,$0,$-0,$-0,$-1,$-8,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-7,$-7,$9,$9,$0,$0,$2,$6,$1,$0
5,2017-06-30,1.13,$0.51,2.2,0,0.0,$-4.39,0.0,$0.68,1.66,$0.01B,$0.00B,4.69,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$0.01B,inf%,$0.01B,$0.01B,-300.00%,$0.01B,$0.01B,-300.00%,$0.01B,$0.01B,88.89%,$-0.01B,$0.01B,450.00%,$0,$0,$0,$1,$2,$2,$-2,$1,$-2,$0,$-2,$-2,$-1,$-2,$-2,$11,11,$-0.13,$-0.13,$8,$0,$0,$9,$0,$0,$0,$0,$0,$9,$2,$0,$0,$0,$2,$0,$-310,$0,$7,$9,$7,$0,$-10,$-10,$0,$0,$-1,$-0,$-1,$-5,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-7,$-7,$6,$6,$0,$0,$-1,$6,$1,$0
6,2017-03-31,2.11,$0.11,19.39,0,0.0,$-5.40,0.0,$0.31,6.81,$0.01B,$0.00B,1.99,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$0.00B,inf%,$0.00B,$0.00B,-66.67%,$0.00B,$0.00B,-66.67%,$0.00B,$0.01B,66.67%,$-0.01B,$0.00B,200.00%,$0,$0,$0,$0,$1,$2,$-2,$-2,$-3,$0,$-3,$-3,$8,$-2,$-2,$8,8,$1.04,$1.04,$4,$0,$0,$5,$0,$0,$0,$0,$0,$5,$3,$0,$2,$2,$5,$0,$-308,$0,$1,$5,$8,$0,$-10,$-10,$0,$0,$-0,$-0,$0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-7,$-7,$0,$0,$0,$0,$-7,$2,$0,$0
7,2016-12-31,1.3,$-0.97,-1.34,0,0.0,$-6.15,0.0,$-1.63,0.0,$0.00B,$0.01B,0.32,$0.00B,$-0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$-0.01B,87.50%,$-0.01B,$-0.01B,87.50%,$-0.01B,$0.01B,-96.55%,$-0.02B,$-0.01B,187.50%,$0,$0,$0,$1,$2,$3,$-3,$2,$-0,$0,$-0,$-0,$-0,$-3,$-3,$7,7,$0.04,$0.53,$2,$0,$0,$4,$0,$0,$0,$0,$1,$5,$11,$0,$1,$1,$12,$0,$-316,$0,$-8,$5,$-7,$0,$-5,$-5,$0,$0,$0,$0,$-1,$-14,$-0,$0,$0,$0,$0,$0,$0,$0,$-0,$-3,$-3,$14,$14,$0,$0,$11,$-2,$2,$0
8,2016-09-30,3.38,$-0.97,-3.47,$0.53,6.4,$-8.65,0.0,$-2.09,0.0,$0.01B,$0.01B,0.57,$0.00B,$-0.01B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.02B,-533.33%,$0.00B,$-0.02B,-533.33%,$0.00B,$-0.02B,-500.00%,$0.00B,$-0.01B,-333.33%,$0.00B,$-0.01B,-300.00%,$-0.01B,$-0.01B,105.88%,$-0.01B,$-0.01B,105.88%,$-0.01B,$0.01B,-112.50%,$-0.02B,$-0.01B,188.24%,$0,$0,$0,$0,$2,$2,$-2,$0,$-2,$0,$-2,$-2,$-1,$-2,$-2,$7,7,$-0.19,$-0.19,$6,$1,$0,$7,$1,$0,$0,$0,$1,$8,$13,$0,$3,$3,$16,$0,$-316,$0,$-8,$8,$-7,$0,$-3,$-3,$0,$0,$0,$0,$-1,$-11,$-0,$0,$0,$0,$0,$0,$0,$0,$-0,$-2,$-2,$14,$14,$0,$0,$12,$2,$2,$0
9,2016-06-30,4.0,$-1.53,-2.62,$0.78,5.11,$-11.24,0.0,$-2.90,0.0,$0.01B,$0.01B,0.37,$0.00B,$-0.01B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.02B,-500.00%,$0.00B,$-0.02B,-500.00%,$0.00B,$-0.02B,-475.00%,$0.00B,$-0.01B,-325.00%,$0.00B,$-0.01B,-325.00%,$-0.01B,$-0.01B,152.94%,$-0.01B,$-0.01B,152.94%,$-0.01B,$0.01B,-152.94%,$-0.02B,$-0.01B,296.30%,$0,$0,$0,$3,$2,$5,$-5,$1,$-3,$0,$-3,$-3,$-3,$-5,$-5,$6,6,$-0.54,$-0.54,$3,$1,$0,$5,$1,$0,$0,$0,$1,$6,$13,$0,$2,$2,$16,$0,$-315,$0,$-9,$6,$-6,$0,$-3,$-3,$0,$0,$0,$0,$-0,$-9,$-0,$0,$0,$0,$0,$0,$0,$0,$-0,$-2,$-2,$10,$10,$0,$0,$8,$-1,$1,$0
10,2016-03-31,5.81,$-1.11,-5.25,$0.87,6.66,$-12.76,0.0,$-3.40,0.0,$0.01B,$0.01B,0.69,$0.00B,$-0.01B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.02B,-525.00%,$0.00B,$-0.02B,-525.00%,$0.00B,$-0.02B,-500.00%,$0.00B,$-0.02B,-375.00%,$0.00B,$-0.02B,-375.00%,$-0.02B,$-0.01B,214.29%,$-0.02B,$-0.01B,214.29%,$-0.02B,$0.01B,-153.85%,$-0.02B,$-0.01B,494.12%,$0,$0,$0,$3,$2,$5,$-5,$2,$-3,$0,$-3,$-3,$-3,$-5,$-5,$6,6,$-0.46,$-0.95,$7,$0,$0,$9,$1,$0,$0,$0,$1,$10,$13,$0,$4,$4,$17,$0,$-311,$0,$-7,$10,$-3,$0,$-2,$-2,$0,$0,$0,$0,$-0,$-5,$-0,$0,$0,$0,$0,$0,$0,$0,$-0,$-1,$-1,$10,$10,$0,$0,$9,$3,$0,$0
11,2015-12-31,9.9,$-1.97,-5.02,$0.97,10.18,$-13.18,0.0,$-3.80,0.0,$0.01B,$0.02B,0.4,$0.00B,$-0.01B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.02B,-550.00%,$0.00B,$-0.02B,-550.00%,$0.00B,$-0.02B,-525.00%,$0.00B,$-0.02B,-450.00%,$0.00B,$-0.02B,-450.00%,$-0.02B,$-0.01B,378.95%,$-0.02B,$-0.01B,378.95%,$-0.02B,$0.01B,-146.94%,$-0.02B,$-0.01B,2200.00%,$3,$0,$3,$4,$2,$6,$-4,$1,$-2,$0,$-2,$-2,$-2,$-3,$-4,$5,5,$-0.53,$-0.53,$4,$0,$0,$6,$1,$0,$0,$0,$2,$8,$16,$0,$2,$2,$18,$0,$-309,$0,$-10,$8,$-19,$0,$-2,$-1,$0,$-0,$1,$-2,$-2,$-23,$-0,$0,$0,$0,$0,$0,$0,$-0,$4,$0,$4,$11,$11,$0,$0,$15,$-8,$1,$0
12,2015-09-30,14.6,$-1.57,-9.3,$0.93,15.76,$-13.26,0.0,$-7.30,0.0,$0.01B,$0.01B,1.19,$0.01B,$-0.01B,-0.91,$0.00B,$0.00B,100.00%,$0.00B,$-0.04B,-1166.67%,$0.00B,$-0.04B,-1166.67%,$0.00B,$-0.04B,-1166.67%,$0.00B,$-0.03B,-1100.00%,$0.00B,$-0.03B,-1100.00%,$-0.03B,$-0.01B,1885.71%,$-0.03B,$-0.01B,1885.71%,$-0.03B,$0.01B,-235.71%,$-0.04B,$-0.00B,-1076.92%,$1,$0,$1,$5,$2,$7,$-6,$1,$-5,$0,$-5,$-5,$-5,$-6,$-6,$5,5,$-1.00,$-1.00,$6,$0,$0,$8,$1,$0,$0,$0,$1,$10,$7,$7,$3,$11,$18,$0,$-307,$0,$-8,$10,$-17,$0,$-1,$-0,$0,$0,$-0,$-2,$-4,$-21,$-0,$0,$0,$0,$0,$0,$0,$-0,$5,$0,$5,$11,$11,$0,$0,$16,$-6,$1,$0
