,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,39.51,$6.13,6.45,$30.33,1.3,$8.49,4.65,$1.50,26.34,$0.45B,$0.68B,0.67,$2.56B,$0.57B,4.5,$2.82B,$1.52B,53.86%,$2.82B,$0.36B,12.79%,$2.82B,$0.36B,12.79%,$2.82B,$0.55B,19.38%,$2.82B,$0.20B,7.02%,$2.82B,$0.14B,5.10%,$0.14B,$0.57B,19.60%,$0.14B,$-1.71B,-9.00%,$0.14B,$3.93B,3.56%,$0.36B,$3.13B,10.95%,$467,$198,$269,$0,$219,$457,$10,$-41,$-31,$1,$-31,$-31,$-42,$57,$10,$93,93,$0.04,$0.04,$46,$131,$38,$452,$1148,$0,$2283,$42,$3474,$3926,$678,$2561,$117,$2678,$3356,$524,$0,$0,$570,$3926,$194,$186,$75,$261,$-23,$-14,$19,$-27,$-45,$410,$-74,$0,$-10,$0,$0,$0,$0,$-84,$-9,$92,$83,$0,$0,$-403,$-7,$-327,$-0,$0,$-403
1,2018-06-30,41.27,$7.56,5.46,$30.10,1.37,$7.88,5.24,$1.18,34.97,$0.43B,$0.53B,0.81,$2.57B,$0.70B,3.65,$2.80B,$1.55B,55.25%,$2.80B,$0.37B,13.32%,$2.80B,$0.37B,13.32%,$2.80B,$0.57B,20.21%,$2.80B,$0.21B,7.54%,$2.80B,$0.16B,5.61%,$0.16B,$0.70B,19.92%,$0.16B,$-1.59B,-9.98%,$0.16B,$3.93B,3.85%,$0.37B,$3.27B,11.13%,$528,$224,$304,$0,$222,$562,$-34,$-40,$-74,$1,$-75,$-75,$-85,$13,$-34,$93,93,$-0.91,$-0.91,$32,$116,$0,$427,$1158,$0,$2296,$45,$3499,$3926,$530,$2565,$129,$2694,$3224,$654,$0,$0,$703,$3926,$225,$139,$95,$234,$-29,$1,$-19,$-68,$-115,$344,$-63,$0,$-9,$0,$0,$0,$0,$-72,$-3,$37,$34,$0,$0,$-302,$-6,$-275,$-2,$0,$-302
2,2018-03-31,38.19,$9.46,4.04,$29.45,1.3,$7.32,5.21,$1.47,25.98,$0.55B,$0.57B,0.97,$2.56B,$0.88B,2.92,$2.74B,$1.51B,55.02%,$2.74B,$0.41B,14.82%,$2.74B,$0.41B,14.82%,$2.74B,$0.60B,21.83%,$2.74B,$0.24B,8.73%,$2.74B,$0.18B,6.72%,$0.18B,$0.88B,21.96%,$0.18B,$-1.49B,-11.88%,$0.18B,$4.14B,4.48%,$0.41B,$3.44B,11.93%,$1040,$515,$525,$0,$251,$805,$236,$-41,$195,$1,$194,$194,$179,$281,$236,$93,93,$1.44,$1.44,$16,$120,$0,$551,$1175,$0,$2373,$42,$3589,$4141,$569,$2564,$129,$2693,$3262,$827,$0,$0,$879,$4141,$300,$93,$34,$127,$-156,$-3,$28,$-66,$-196,$230,$-40,$0,$0,$0,$0,$0,$0,$-40,$-2,$15,$13,$0,$0,$-201,$-5,$-193,$-3,$0,$-201
3,2017-12-31,43.26,$8.46,5.11,$27.55,1.57,$6.96,6.22,$1.17,36.98,$0.58B,$0.72B,0.81,$2.56B,$0.79B,3.26,$2.56B,$1.46B,57.00%,$2.56B,$0.37B,14.44%,$2.56B,$0.37B,14.44%,$2.56B,$0.56B,21.93%,$2.56B,$0.18B,7.10%,$2.56B,$0.13B,4.99%,$0.13B,$0.79B,14.53%,$0.13B,$-1.60B,-8.49%,$0.13B,$4.19B,3.10%,$0.37B,$3.35B,10.74%,$787,$365,$422,$0,$230,$638,$149,$-41,$108,$2,$106,$106,$92,$196,$149,$93,93,$0.97,$0.97,$38,$136,$0,$581,$1189,$0,$2382,$39,$3611,$4192,$719,$2563,$123,$2686,$3405,$737,$0,$0,$787,$4192,$106,$47,$6,$54,$-141,$-19,$64,$-61,$-158,$2,$-20,$0,$0,$0,$0,$0,$0,$-20,$-1,$124,$122,$0,$0,$-101,$-4,$18,$-0,$0,$-101
4,2017-09-30,41.17,$8.42,4.89,$26.37,1.56,$7.26,5.67,$1.07,38.48,$0.41B,$0.58B,0.71,$2.56B,$0.78B,3.27,$2.45B,$1.48B,60.38%,$2.45B,$0.39B,15.86%,$2.45B,$0.39B,15.86%,$2.45B,$0.58B,23.56%,$2.45B,$0.17B,6.85%,$2.45B,$0.12B,4.77%,$0.12B,$0.78B,12.48%,$0.12B,$-1.61B,-8.07%,$0.12B,$4.06B,2.83%,$0.39B,$3.35B,11.14%,$445,$149,$296,$0,$221,$424,$22,$-40,$-18,$-0,$-18,$-18,$-29,$76,$22,$93,93,$-0.14,$-0.14,$38,$117,$32,$414,$1207,$0,$2392,$47,$3645,$4059,$582,$2564,$131,$2695,$3276,$733,$0,$0,$783,$4059,$166,$191,$70,$260,$-35,$-37,$26,$-23,$-69,$357,$-78,$0,$-37,$0,$0,$0,$0,$-115,$164,$-13,$151,$0,$0,$-399,$-2,$-250,$-9,$0,$-399
5,2017-06-30,40.51,$9.71,4.17,$25.82,1.57,$7.87,5.15,$0.35,115.75,$0.36B,$0.43B,0.84,$2.57B,$0.90B,2.85,$2.40B,$1.43B,59.53%,$2.40B,$0.33B,13.70%,$2.40B,$0.33B,13.70%,$2.40B,$0.51B,21.27%,$2.40B,$0.10B,3.96%,$2.40B,$0.05B,2.08%,$0.05B,$0.90B,5.02%,$0.05B,$-1.50B,-3.60%,$0.05B,$4.04B,1.21%,$0.33B,$3.47B,9.42%,$467,$203,$264,$0,$227,$469,$-1,$-45,$-46,$1,$-47,$-47,$-58,$45,$-1,$93,93,$-0.62,$-0.62,$7,$94,$0,$361,$1232,$0,$2402,$43,$3677,$4038,$430,$2568,$137,$2705,$3135,$851,$0,$0,$903,$4038,$184,$136,$95,$231,$-34,$-15,$-4,$-74,$-126,$288,$-58,$0,$-37,$0,$0,$0,$0,$-95,$172,$-78,$95,$0,$0,$-298,$-1,$-205,$-11,$0,$-298
6,2017-03-31,41.35,$11.31,3.66,$25.60,1.62,$8.62,4.8,$0.51,81.08,$0.56B,$0.49B,1.13,$2.56B,$1.05B,2.44,$2.38B,$1.47B,61.71%,$2.38B,$0.38B,15.79%,$2.38B,$0.38B,15.79%,$2.38B,$0.56B,23.47%,$2.38B,$0.11B,4.58%,$2.38B,$0.07B,2.73%,$0.07B,$1.05B,6.06%,$0.07B,$-1.33B,-4.95%,$0.07B,$4.23B,1.54%,$0.38B,$3.61B,10.72%,$864,$384,$479,$0,$240,$664,$200,$-62,$138,$1,$137,$137,$123,$245,$200,$93,93,$1.14,$1.14,$100,$105,$0,$556,$1245,$0,$2377,$50,$3672,$4228,$492,$2562,$123,$2685,$3177,$996,$0,$0,$1051,$4228,$231,$90,$72,$162,$-127,$-26,$34,$-72,$-191,$202,$-45,$0,$-7,$0,$0,$0,$0,$-53,$280,$-153,$126,$0,$0,$-198,$0,$-71,$79,$0,$-198
7,2016-12-31,41.27,$10.91,3.78,$25.21,1.64,$9.37,4.4,$1.11,37.18,$0.51B,$0.54B,0.93,$2.52B,$1.01B,2.49,$2.35B,$1.56B,66.52%,$2.35B,$0.47B,19.87%,$2.35B,$0.47B,19.87%,$2.35B,$0.65B,27.76%,$2.35B,$0.22B,9.38%,$2.35B,$0.18B,7.55%,$0.18B,$1.01B,15.47%,$0.18B,$-1.37B,-14.19%,$0.18B,$4.20B,4.22%,$0.47B,$3.53B,13.31%,$677,$235,$442,$0,$227,$510,$168,$-73,$94,$1,$94,$94,$81,$212,$168,$93,93,$0.87,$0.87,$36,$99,$0,$506,$1256,$0,$2381,$57,$3694,$4200,$542,$2520,$123,$2643,$3186,$961,$0,$0,$1014,$4200,$94,$45,$16,$61,$-132,$-20,$64,$-33,$-121,$33,$-24,$0,$-1,$0,$0,$0,$0,$-24,$159,$-76,$84,$0,$0,$-99,$0,$-15,$-7,$0,$-99
8,2016-09-30,38.52,$10.97,3.51,$24.86,1.55,$9.41,4.09,$1.01,38.14,$0.34B,$0.59B,0.59,$2.33B,$1.02B,2.28,$2.31B,$1.51B,65.44%,$2.31B,$0.42B,18.25%,$2.31B,$0.42B,18.25%,$2.31B,$0.61B,26.47%,$2.31B,$0.21B,9.04%,$2.31B,$0.17B,7.27%,$0.17B,$1.02B,14.15%,$0.17B,$-1.37B,-13.88%,$0.17B,$4.06B,4.00%,$0.42B,$3.35B,12.13%,$394,$148,$245,$0,$242,$431,$-38,$-53,$-91,$-4,$-87,$-87,$-96,$9,$-38,$93,93,$-0.28,$-0.28,$24,$79,$34,$344,$1275,$0,$2390,$48,$3713,$4058,$588,$2325,$125,$2450,$3039,$967,$0,$0,$1019,$4058,$211,$190,$-4,$186,$4,$15,$-5,$11,$26,$423,$-87,$0,$-38,$0,$0,$0,$0,$-125,$10,$85,$95,$0,$0,$-388,$-4,$-297,$1,$0,$-388
9,2016-06-30,38.65,$12.98,2.98,$25.12,1.54,$10.59,3.65,$1.43,27.03,$0.64B,$0.71B,0.89,$2.33B,$1.21B,1.93,$2.34B,$1.53B,65.33%,$2.34B,$0.45B,19.31%,$2.34B,$0.45B,19.31%,$2.34B,$0.64B,27.53%,$2.34B,$0.25B,10.74%,$2.34B,$0.21B,8.82%,$0.21B,$1.21B,16.71%,$0.21B,$-1.19B,-17.68%,$0.21B,$4.37B,4.89%,$0.45B,$3.54B,12.86%,$447,$143,$304,$0,$217,$400,$46,$-78,$-32,$1,$-33,$-33,$-43,$93,$46,$93,93,$-0.46,$-0.46,$317,$82,$0,$637,$1286,$0,$2399,$45,$3730,$4367,$714,$2329,$118,$2447,$3161,$1151,$0,$0,$1206,$4367,$298,$143,$-15,$128,$0,$13,$-22,$-55,$-64,$362,$-63,$0,$-37,$0,$0,$0,$0,$-100,$379,$-57,$323,$0,$0,$-289,$-3,$30,$293,$0,$-289
