,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,0.93,$2.73,0.34,$5.61,0.17,$2.42,0.38,$-0.41,0.0,$0.01B,$0.01B,0.98,$0.00B,$0.02B,0.0,$0.04B,$0.01B,25.64%,$0.04B,$-0.01B,-17.95%,$0.04B,$-0.01B,-17.95%,$0.04B,$-0.00B,-5.13%,$0.04B,$-0.01B,-17.95%,$0.04B,$-0.01B,-20.51%,$-0.01B,$0.02B,-32.99%,$-0.01B,$0.00B,-800.00%,$-0.01B,$0.04B,-20.38%,$-0.01B,$0.02B,-28.87%,$10,$7,$3,$0,$5,$12,$-2,$0,$-1,$-0,$-1,$-1,$-1,$-1,$-2,$8,8,$-0.16,$-0.16,$1,$1,$1,$10,$1,$0,$22,$1,$27,$37,$10,$0,$0,$4,$14,$0,$-15,$-1,$23,$37,$-4,$4,$-1,$3,$2,$-0,$0,$-0,$5,$3,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-6,$-6,$0,$0,$0,$0,$-6,$-3,$1,$0
1,2018-06-30,0.69,$3.39,0.2,$5.98,0.12,$3.22,0.21,$-0.29,0.0,$0.01B,$0.01B,0.95,$0.00B,$0.02B,0.0,$0.04B,$0.01B,27.50%,$0.04B,$-0.00B,-10.00%,$0.04B,$-0.00B,-10.00%,$0.04B,0,0.00%,$0.04B,$-0.01B,-12.50%,$0.04B,$-0.01B,-15.00%,$-0.01B,$0.02B,-22.86%,$-0.01B,$0.00B,-300.00%,$-0.01B,$0.04B,-13.71%,$-0.00B,$0.02B,-15.24%,$8,$6,$2,$0,$4,$10,$-2,$-0,$-2,$-0,$-1,$-1,$-1,$-1,$-2,$7,7,$-0.20,$-0.20,$0,$1,$1,$9,$1,$0,$23,$0,$28,$36,$9,$0,$0,$4,$13,$0,$-14,$-1,$23,$36,$-3,$3,$-0,$2,$4,$-0,$0,$-1,$3,$3,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$-6,$-5,$0,$0,$0,$0,$-5,$-3,$0,$0
2,2018-03-31,0.83,$3.60,0.23,$6.37,0.13,$4.25,0.2,$0.22,3.77,$0.01B,$0.01B,1.51,$0.00B,$0.03B,0.0,$0.04B,$0.01B,30.23%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.00B,6.98%,$0.04B,$-0.00B,-4.65%,$0.04B,$-0.00B,-6.98%,$-0.00B,$0.03B,-12.37%,$-0.00B,$0.00B,-52.17%,$-0.00B,$0.04B,-6.86%,$0.00B,$0.03B,0.00%,$9,$7,$2,$0,$4,$10,$-2,$-0,$-2,$-1,$-1,$-1,$-1,$-0,$-2,$7,7,$-0.21,$-0.21,$2,$1,$3,$12,$0,$0,$24,$1,$25,$37,$8,$0,$0,$4,$12,$0,$-12,$-1,$25,$37,$-1,$1,$0,$2,$4,$-0,$0,$0,$3,$3,$-0,$0,$0,$0,$0,$0,$1,$1,$-0,$-6,$-6,$0,$0,$0,$0,$-6,$-1,$0,$0
3,2017-12-31,1.04,$3.82,0.27,$6.17,0.17,$5.08,0.2,$0.75,1.39,$0.02B,$0.02B,1.34,$0.00B,$0.03B,0.0,$0.04B,$0.01B,31.71%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.00B,4.88%,$0.04B,$0.00B,7.32%,$0.04B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.00B,0.00%,$0.00B,$0.05B,0.00%,$0.00B,$0.03B,0.00%,$12,$9,$3,$0,$4,$13,$-1,$-1,$-2,$-3,$2,$2,$-5,$0,$-1,$7,7,$-0.74,$-0.72,$3,$1,$7,$21,$1,$0,$25,$1,$26,$47,$16,$0,$0,$5,$21,$0,$-11,$-0,$26,$47,$0,$2,$1,$4,$-1,$0,$0,$1,$-2,$1,$7,$-0,$0,$0,$0,$0,$1,$7,$-0,$-5,$-6,$0,$0,$0,$-1,$-6,$2,$0,$0
4,2017-09-30,1.03,$4.63,0.22,$-1.54,0.0,$4.26,0.24,$0.75,1.37,$0.03B,$0.02B,1.73,$0.00B,$0.03B,0.0,$-0.01B,$0.00B,-12.50%,$-0.01B,$0.00B,-37.50%,$-0.01B,$0.00B,-37.50%,$-0.01B,$0.00B,-50.00%,$-0.01B,$0.01B,-75.00%,$-0.01B,$0.01B,-62.50%,$0.01B,$0.03B,28.57%,$0.01B,$0.01B,45.45%,$0.01B,$0.06B,11.90%,$0.00B,$0.03B,15.00%,$11,$7,$4,$0,$4,$11,$1,$0,$1,$0,$1,$1,$1,$1,$1,$7,7,$0.12,$0.11,$2,$11,$1,$26,$1,$0,$26,$2,$29,$55,$15,$0,$0,$9,$24,$0,$-6,$-1,$31,$55,$4,$1,$-2,$-1,$-1,$0,$0,$0,$-2,$1,$7,$-0,$0,$0,$0,$0,$1,$7,$-0,$-7,$-7,$0,$0,$0,$-0,$-8,$1,$0,$0
5,2017-06-30,0.79,$2.27,0.35,$1.32,0.6,$3.63,0.22,$0.82,0.96,$0.02B,$0.02B,1.43,$0.00B,$0.02B,0.22,$0.01B,$0.01B,62.50%,$0.01B,$0.00B,37.50%,$0.01B,$0.00B,37.50%,$0.01B,$0.01B,62.50%,$0.01B,$0.01B,75.00%,$0.01B,$0.01B,62.50%,$0.01B,$0.02B,40.00%,$0.01B,$0.02B,40.00%,$0.01B,$0.04B,12.90%,$0.00B,$0.02B,19.05%,$11,$7,$4,$0,$2,$9,$2,$-0,$1,$0,$1,$1,$2,$2,$2,$7,7,$0.31,$0.31,$0,$13,$2,$24,$8,$0,$0,$2,$12,$36,$17,$3,$0,$4,$20,$22,$-7,$-1,$15,$36,$3,$1,$-2,$-1,$2,$0,$0,$-1,$1,$3,$7,$0,$0,$0,$0,$0,$0,$7,$-0,$-9,$-10,$0,$0,$0,$-0,$-10,$-1,$0,$0
6,2017-03-31,1.06,$1.98,0.53,$3.89,0.27,$3.18,0.33,$0.16,6.63,$0.02B,$0.02B,1.28,$0.00B,$0.01B,0.2,$0.02B,$0.01B,31.82%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,9.09%,$0.02B,$0.00B,18.18%,$0.02B,$0.00B,4.55%,$0.00B,$0.01B,9.09%,$0.00B,$0.01B,9.09%,$0.00B,$0.04B,2.53%,$0.00B,$0.02B,0.00%,$7,$6,$2,$0,$3,$9,$-2,$5,$3,$1,$2,$2,$2,$-1,$-2,$7,7,$0.33,$0.32,$1,$13,$1,$23,$8,$0,$0,$1,$11,$35,$18,$3,$0,$3,$21,$22,$-9,$-1,$13,$35,$2,$0,$-0,$0,$3,$-3,$0,$-0,$-0,$2,$7,$0,$0,$0,$0,$0,$-0,$7,$-1,$-8,$-9,$0,$0,$0,$0,$-9,$-0,$0,$0
7,2016-12-31,1.12,$1.68,0.66,$7.09,0.16,$2.34,0.48,$-0.24,0.0,$0.03B,$0.03B,1.04,$0.00B,$0.01B,0.25,$0.04B,$0.01B,27.50%,$0.04B,$0.00B,2.50%,$0.04B,$0.00B,2.50%,$0.04B,$0.00B,7.50%,$0.04B,0,0.00%,$0.04B,$-0.00B,-2.50%,$-0.00B,$0.01B,-9.52%,$-0.00B,$0.01B,-9.52%,$-0.00B,$0.04B,-2.38%,$0.00B,$0.01B,7.14%,$-37,$-28,$-9,$0,$-10,$-39,$2,$-0,$1,$-0,$1,$1,$-0,$2,$2,$6,6,$0.00,$0.00,$1,$1,$17,$29,$10,$0,$0,$2,$13,$42,$27,$3,$0,$3,$31,$0,$-11,$-1,$11,$42,$-1,$1,$1,$2,$0,$1,$0,$-0,$2,$3,$-0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$-2,$-3,$0,$0,$0,$-0,$-3,$-1,$0,$0
8,2016-09-30,0.98,$1.76,0.56,$17.50,0.06,$1.32,0.74,$-0.38,0.0,$0.03B,$0.03B,1.1,$0.00B,$0.01B,0.31,$0.10B,$0.03B,24.27%,$0.10B,$-0.00B,-2.91%,$0.10B,$-0.00B,-2.91%,$0.10B,0,0.00%,$0.10B,$-0.00B,-2.91%,$0.10B,$-0.00B,-1.94%,$-0.00B,$0.01B,-18.60%,$-0.00B,$0.01B,-18.60%,$-0.00B,$0.04B,-4.62%,$-0.00B,$0.01B,-20.34%,$27,$19,$8,$0,$7,$26,$1,$-0,$1,$0,$1,$1,$1,$2,$1,$6,6,$0.19,$0.19,$2,$16,$1,$30,$10,$0,$0,$1,$12,$42,$27,$3,$0,$4,$31,$22,$-11,$-1,$11,$42,$-2,$1,$1,$2,$2,$0,$0,$0,$4,$4,$-0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$-3,$-4,$0,$0,$0,$-0,$-4,$-0,$0,$0
9,2016-06-30,1.16,$1.58,0.73,$17.75,0.07,$0.34,3.45,$-0.70,0.0,$0.03B,$0.03B,1.05,$0.00B,$0.01B,0.35,$0.10B,$0.02B,22.12%,$0.10B,$-0.01B,-4.81%,$0.10B,$-0.01B,-4.81%,$0.10B,$-0.00B,-2.88%,$0.10B,$-0.01B,-4.81%,$0.10B,$-0.00B,-3.85%,$-0.00B,$0.01B,-35.56%,$-0.00B,$0.01B,-35.56%,$-0.00B,$0.04B,-8.94%,$-0.01B,$0.01B,-32.26%,$25,$18,$6,$0,$8,$26,$-1,$-0,$-1,$1,$-2,$-2,$-2,$-1,$-1,$6,6,$-0.35,$-0.35,$2,$16,$1,$27,$11,$0,$0,$1,$12,$39,$26,$3,$0,$4,$30,$22,$-12,$-1,$9,$39,$-3,$1,$1,$1,$5,$1,$1,$-0,$7,$6,$-0,$0,$0,$0,$0,$0,$-0,$-0,$-0,$-5,$-5,$0,$0,$0,$-0,$-5,$0,$0,$0
