,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.65,$1.31,1.26,$4.14,0.4,$-0.74,0.0,$-0.49,0.0,$0.03B,$0.02B,1.64,$0.04B,$0.03B,1.32,$0.08B,$0.01B,7.14%,$0.08B,$-0.01B,-8.33%,$0.08B,$-0.01B,-8.33%,$0.08B,$0.00B,3.57%,$0.08B,$-0.01B,-13.10%,$0.08B,$-0.01B,-13.10%,$-0.01B,$0.03B,-35.77%,$-0.01B,$0.01B,-137.50%,$-0.01B,$0.09B,-12.05%,$-0.01B,$0.07B,-9.86%,$21,$17,$3,$0,$3,$21,$-0,$-1,$-1,$0,$-1,$-1,$-2,$3,$-0,$23,23,$-0.07,$-0.07,$0,$14,$0,$31,$37,$0,$22,$0,$59,$91,$19,$40,$1,$41,$60,$0,$-11,$-0,$30,$91,$-2,$3,$0,$3,$-0,$-2,$0,$1,$-2,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$1,$0,$1,$0,$0,$0,$0,$1,$-0,$0,$0
1,2018-06-30,2.45,$1.38,1.78,$4.30,0.57,$-0.83,0.0,$-0.69,0.0,$0.03B,$0.02B,1.44,$0.04B,$0.03B,1.17,$0.08B,$0.00B,4.88%,$0.08B,$-0.01B,-10.98%,$0.08B,$-0.01B,-10.98%,$0.08B,0,0.00%,$0.08B,$-0.01B,-15.85%,$0.08B,$-0.01B,-15.85%,$-0.01B,$0.03B,-41.60%,$-0.01B,$0.01B,-179.31%,$-0.01B,$0.09B,-14.05%,$-0.01B,$0.07B,-12.50%,$24,$21,$2,$0,$4,$25,$-1,$-1,$-2,$0,$-2,$-2,$-2,$1,$-1,$20,20,$-0.06,$-0.06,$0,$12,$0,$27,$37,$0,$23,$0,$63,$90,$19,$38,$1,$39,$58,$0,$-10,$0,$32,$90,$-13,$10,$1,$11,$-1,$2,$0,$-0,$1,$-1,$-5,$0,$3,$0,$0,$0,$0,$-2,$-8,$0,$-8,$0,$0,$0,$10,$2,$-0,$1,$0
2,2018-03-31,2.05,$1.47,1.39,$4.34,0.47,$-0.76,0.0,$-1.17,0.0,$0.03B,$0.02B,1.36,$0.04B,$0.03B,1.06,$0.08B,0,0.00%,$0.08B,$-0.02B,-22.50%,$0.08B,$-0.02B,-22.50%,$0.08B,$-0.01B,-7.50%,$0.08B,$-0.02B,-28.75%,$0.08B,$-0.02B,-26.25%,$-0.02B,$0.03B,-65.63%,$-0.02B,$0.01B,-289.66%,$-0.02B,$0.09B,-22.11%,$-0.02B,$0.07B,-24.24%,$21,$20,$1,$0,$3,$24,$-2,$-1,$-3,$-0,$-3,$-3,$-3,$0,$-2,$20,20,$-0.16,$-0.16,$0,$13,$0,$27,$41,$0,$24,$0,$64,$92,$20,$36,$1,$37,$58,$0,$-7,$0,$34,$92,$-11,$8,$1,$8,$-0,$1,$0,$0,$2,$-0,$-4,$0,$3,$0,$0,$0,$0,$-1,$-9,$0,$-9,$0,$0,$0,$10,$1,$-0,$0,$0
3,2017-12-31,2.1,$1.50,1.4,$4.61,0.46,$-0.73,0.0,$-1.16,0.0,$0.03B,$0.02B,1.54,$0.05B,$0.03B,1.62,$0.08B,$0.00B,2.41%,$0.08B,$-0.02B,-21.69%,$0.08B,$-0.02B,-21.69%,$0.08B,$-0.01B,-6.02%,$0.08B,$-0.02B,-27.71%,$0.08B,$-0.02B,-25.30%,$-0.02B,$0.03B,-60.87%,$-0.02B,$0.00B,-270.97%,$-0.02B,$0.09B,-21.00%,$-0.02B,$0.07B,-22.78%,$18,$19,$-0,$0,$4,$22,$-4,$-1,$-5,$-0,$-4,$-4,$-4,$-1,$-4,$18,18,$-0.24,$-0.24,$0,$14,$0,$28,$39,$0,$24,$0,$64,$92,$18,$45,$2,$46,$65,$0,$-4,$0,$27,$92,$-8,$5,$1,$6,$-0,$-0,$0,$1,$1,$-2,$-2,$0,$3,$0,$0,$0,$0,$2,$-1,$0,$-1,$0,$0,$0,$0,$-0,$-0,$0,$0
4,2017-09-30,2.35,$1.73,1.36,$5.09,0.46,$-0.74,0.0,$-0.96,0.0,$0.03B,$0.02B,1.61,$0.04B,$0.03B,1.39,$0.09B,$0.01B,7.61%,$0.09B,$-0.01B,-15.22%,$0.09B,$-0.01B,-15.22%,$0.09B,$-0.00B,-2.17%,$0.09B,$-0.02B,-19.57%,$0.09B,$-0.02B,-19.57%,$-0.02B,$0.03B,-45.57%,$-0.02B,$0.01B,-171.43%,$-0.02B,$0.10B,-17.10%,$-0.01B,$0.08B,-16.67%,$19,$18,$1,$0,$3,$21,$-2,$-1,$-3,$0,$-3,$-3,$-4,$0,$-2,$18,18,$-0.20,$-0.20,$0,$14,$0,$30,$41,$0,$25,$0,$66,$96,$19,$44,$2,$46,$64,$0,$0,$0,$32,$96,$-4,$3,$0,$3,$-2,$-0,$0,$1,$-1,$-2,$-1,$0,$3,$0,$0,$0,$0,$2,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-0,$0,$0
5,2017-06-30,2.82,$1.91,1.48,$5.46,0.52,$-0.66,0.0,$-0.56,0.0,$0.03B,$0.02B,1.69,$0.05B,$0.04B,1.29,$0.10B,$0.01B,11.11%,$0.10B,$-0.01B,-12.12%,$0.10B,$-0.01B,-12.12%,$0.10B,0,0.00%,$0.10B,$-0.02B,-17.17%,$0.10B,$-0.01B,-10.10%,$-0.01B,$0.04B,-22.99%,$-0.01B,$0.01B,-80.00%,$-0.01B,$0.10B,-9.07%,$-0.01B,$0.08B,-13.64%,$22,$24,$-2,$0,$5,$33,$-10,$-1,$-12,$-1,$-10,$-10,$-10,$-5,$-10,$18,18,$-0.57,$-0.57,$1,$14,$0,$30,$41,$0,$26,$0,$70,$100,$18,$45,$2,$47,$65,$0,$4,$0,$35,$100,$-10,$13,$-5,$9,$3,$1,$0,$0,$4,$3,$-7,$0,$11,$0,$0,$0,$0,$4,$-9,$0,$-9,$0,$0,$-0,$-0,$-10,$-3,$1,$-0
6,2017-03-31,4.2,$2.45,1.72,$5.44,0.77,$-0.24,0.0,$-0.04,0.0,$0.04B,$0.02B,2.02,$0.05B,$0.04B,1.01,$0.10B,$0.02B,17.17%,$0.10B,$-0.00B,-2.02%,$0.10B,$-0.00B,-2.02%,$0.10B,$0.01B,7.07%,$0.10B,$-0.01B,-6.06%,$0.10B,$-0.00B,-1.01%,$-0.00B,$0.04B,-2.17%,$-0.00B,$0.01B,-7.55%,$-0.00B,$0.11B,-0.87%,$-0.00B,$0.09B,-2.25%,$24,$21,$3,$0,$5,$26,$-2,$-1,$-3,$0,$-3,$-3,$-3,$1,$-2,$18,18,$-0.15,$-0.15,$1,$20,$0,$38,$42,$0,$32,$0,$74,$112,$19,$45,$2,$49,$67,$0,$14,$-0,$44,$112,$0,$7,$-5,$3,$-0,$-4,$0,$1,$-1,$2,$-5,$0,$11,$0,$0,$0,$0,$5,$-9,$0,$-9,$0,$0,$-0,$-0,$-9,$-3,$1,$-0
7,2016-12-31,4.4,$2.50,1.76,$5.48,0.8,$0.08,55.0,$0.09,48.89,$0.04B,$0.02B,2.26,$0.05B,$0.05B,0.96,$0.10B,$0.02B,19.00%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.01B,9.00%,$0.10B,$-0.00B,-4.00%,$0.10B,$0.00B,2.00%,$0.00B,$0.05B,4.32%,$0.00B,$0.01B,17.02%,$0.00B,$0.11B,1.70%,$0.00B,$0.09B,0.00%,$27,$23,$5,$0,$5,$27,$-0,$-0,$-0,$0,$-0,$-0,$-1,$2,$-0,$18,18,$-0.04,$-0.04,$1,$19,$0,$39,$41,$0,$33,$0,$74,$113,$17,$45,$3,$49,$66,$0,$17,$-0,$47,$113,$3,$5,$-5,$-0,$-1,$-2,$0,$-1,$-3,$-0,$-3,$0,$11,$0,$0,$0,$0,$8,$-9,$0,$-9,$0,$0,$-0,$-0,$-9,$-2,$0,$-0
8,2016-09-30,3.65,$2.56,1.43,$5.31,0.69,$0.34,10.83,$0.10,36.5,$0.04B,$0.02B,1.87,$0.04B,$0.05B,0.9,$0.10B,$0.02B,18.56%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.01B,9.28%,$0.10B,$-0.01B,-5.15%,$0.10B,$0.00B,2.06%,$0.00B,$0.05B,4.37%,$0.00B,$0.01B,20.51%,$0.00B,$0.12B,1.67%,$0.00B,$0.09B,0.00%,$26,$21,$5,$0,$5,$26,$-0,$-2,$-2,$-1,$-1,$-1,$4,$2,$-0,$18,18,$0.20,$0.20,$4,$19,$0,$41,$42,$0,$34,$0,$75,$116,$22,$43,$3,$46,$68,$0,$17,$-0,$48,$116,$4,$2,$-6,$-4,$-1,$-2,$0,$1,$1,$0,$-1,$0,$11,$0,$0,$0,$0,$9,$-9,$0,$-9,$0,$0,$0,$0,$-9,$0,$0,$0
9,2016-06-30,2.3,$2.37,0.97,$5.19,0.44,$0.44,5.29,$-0.13,0.0,$0.04B,$0.03B,1.24,$0.04B,$0.05B,0.87,$0.10B,$0.02B,17.89%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.01B,9.47%,$0.10B,$-0.00B,-4.21%,$0.10B,$-0.00B,-2.11%,$-0.00B,$0.05B,-4.42%,$-0.00B,$0.01B,-25.81%,$-0.00B,$0.12B,-1.64%,$0.00B,$0.08B,0.00%,$22,$18,$4,$0,$4,$22,$0,$-1,$-1,$0,$-1,$-1,$-1,$2,$0,$18,18,$-0.05,$-0.05,$4,$16,$0,$41,$42,$0,$33,$0,$80,$121,$33,$39,$3,$43,$76,$0,$14,$-0,$45,$121,$-2,$10,$1,$10,$0,$-1,$0,$-1,$-2,$6,$-3,$0,$0,$0,$0,$0,$0,$-3,$-5,$0,$-5,$0,$0,$0,$0,$-5,$-1,$0,$0
10,2016-03-31,2.5,$2.41,1.04,$5.86,0.43,$0.34,7.31,$-0.12,0.0,$0.04B,$0.02B,2.05,$0.05B,$0.05B,1.16,$0.10B,$0.02B,18.63%,$0.10B,$0.00B,1.96%,$0.10B,$0.00B,1.96%,$0.10B,$0.01B,10.78%,$0.10B,$-0.00B,-2.94%,$0.10B,$-0.00B,-1.96%,$-0.00B,$0.05B,-4.37%,$-0.00B,$0.01B,-33.33%,$-0.00B,$0.12B,-1.62%,$0.00B,$0.10B,2.03%,$25,$20,$5,$0,$5,$25,$0,$-1,$-1,$-0,$-1,$-1,$-0,$3,$0,$18,18,$-0.02,$-0.02,$3,$16,$0,$40,$41,$0,$39,$1,$81,$121,$19,$52,$1,$56,$75,$0,$14,$0,$45,$121,$-1,$7,$1,$8,$0,$1,$0,$-3,$-3,$4,$-2,$0,$0,$0,$0,$0,$0,$-2,$-4,$0,$-4,$0,$0,$0,$0,$-4,$-2,$0,$0
11,2015-12-31,1.65,$2.39,0.69,$6.38,0.26,$0.05,32.93,$-0.08,0.0,$0.04B,$0.02B,1.89,$0.05B,$0.05B,1.14,$0.11B,$0.02B,19.05%,$0.11B,$0.00B,3.81%,$0.11B,$0.00B,3.81%,$0.11B,$0.01B,11.43%,$0.11B,$-0.00B,-1.90%,$0.11B,$-0.00B,-1.90%,$-0.00B,$0.05B,-4.71%,$-0.00B,$0.01B,-133.33%,$-0.00B,$0.12B,-1.59%,$0.00B,$0.10B,4.08%,$24,$20,$4,$0,$4,$24,$0,$-1,$-1,$-0,$-1,$-1,$-1,$2,$0,$18,18,$-0.03,$-0.03,$4,$15,$0,$39,$42,$0,$40,$1,$83,$122,$21,$52,$1,$56,$76,$0,$15,$-0,$45,$122,$-1,$5,$0,$5,$1,$1,$0,$-2,$-2,$3,$-1,$0,$0,$0,$0,$0,$0,$-1,$-2,$0,$-2,$0,$0,$0,$0,$-2,$-1,$0,$0
12,2015-09-30,1.8,$2.42,0.74,$6.92,0.26,$-0.27,0.0,$-0.05,0.0,$0.04B,$0.02B,1.72,$0.05B,$0.05B,1.15,$0.11B,$0.02B,20.37%,$0.11B,$0.01B,4.63%,$0.11B,$0.01B,4.63%,$0.11B,$0.01B,12.96%,$0.11B,$-0.00B,-0.93%,$0.11B,$-0.00B,-0.93%,$-0.00B,$0.05B,-2.56%,$-0.00B,$0.01B,33.33%,$-0.00B,$0.12B,-0.78%,$0.01B,$0.10B,5.09%,$24,$20,$4,$0,$4,$24,$0,$-1,$-1,$-0,$-1,$-1,$-0,$2,$0,$18,18,$-0.03,$-0.03,$4,$17,$0,$39,$43,$0,$40,$1,$85,$124,$23,$53,$0,$55,$78,$0,$15,$-0,$46,$124,$-0,$2,$0,$3,$1,$-1,$0,$-1,$-1,$2,$-1,$0,$0,$0,$0,$0,$0,$-1,$-2,$0,$-2,$0,$0,$0,$0,$-2,$-1,$0,$0
13,2015-06-30,5.3,$2.52,2.1,$7.57,0.7,$-0.66,0.0,$-0.01,0.0,$0.04B,$0.02B,1.76,$0.06B,$0.05B,1.17,$0.11B,$0.03B,22.12%,$0.11B,$0.01B,5.31%,$0.11B,$0.01B,5.31%,$0.11B,$0.02B,14.16%,$0.11B,0,0.00%,$0.11B,$-0.00B,-0.88%,$-0.00B,$0.05B,-2.82%,$-0.00B,$0.01B,12.50%,$-0.00B,$0.13B,-0.76%,$0.01B,$0.10B,6.12%,$29,$23,$6,$0,$4,$27,$2,$-1,$0,$1,$-1,$-1,$-1,$4,$2,$15,15,$-0.04,$-0.04,$5,$16,$0,$40,$44,$0,$41,$1,$86,$126,$22,$55,$1,$57,$79,$0,$16,$-0,$47,$126,$-0,$9,$2,$12,$-0,$-0,$0,$-1,$-7,$5,$-3,$0,$0,$0,$0,$0,$0,$-3,$-22,$0,$-22,$15,$15,$0,$0,$-6,$-5,$0,$0
14,2015-03-31,5.34,$2.10,2.55,$7.32,0.73,$-0.30,0.0,$0.04,133.5,$0.04B,$0.03B,1.21,$0.06B,$0.03B,2.0,$0.11B,$0.03B,23.15%,$0.11B,$0.00B,3.70%,$0.11B,$0.00B,3.70%,$0.11B,$0.01B,12.96%,$0.11B,0,0.00%,$0.11B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$-0.01B,0.00%,$0.00B,$0.13B,0.00%,$0.00B,$0.10B,4.10%,$28,$22,$6,$0,$5,$26,$2,$-1,$0,$-0,$0,$0,$0,$4,$2,$15,15,$0.02,$0.02,$4,$17,$0,$40,$45,$0,$43,$1,$89,$130,$33,$63,$2,$65,$98,$0,$17,$0,$32,$130,$1,$7,$0,$7,$-1,$-1,$0,$-1,$-7,$2,$-4,$0,$0,$0,$0,$0,$0,$-4,$-2,$0,$-2,$0,$0,$0,$-0,$-2,$-5,$0,$0
15,2014-12-31,10.14,$2.08,4.87,$6.85,1.48,$0.26,39.73,$0.32,31.69,$0.04B,$0.03B,1.25,$0.07B,$0.03B,2.14,$0.10B,$0.03B,24.75%,$0.10B,$0.01B,4.95%,$0.10B,$0.01B,4.95%,$0.10B,$0.01B,13.86%,$0.10B,$0.00B,2.97%,$0.10B,$0.00B,1.98%,$0.00B,$0.03B,6.40%,$0.00B,$-0.01B,-29.63%,$0.00B,$0.13B,1.68%,$0.01B,$0.10B,5.73%,$27,$21,$6,$0,$5,$26,$1,$-1,$0,$0,$-0,$-0,$-0,$4,$1,$15,15,$-0.00,$-0.00,$4,$16,$0,$40,$46,$0,$44,$2,$92,$132,$32,$67,$1,$68,$100,$0,$16,$0,$31,$132,$0,$5,$-0,$5,$-0,$-1,$0,$-1,$-5,$-0,$-3,$0,$0,$0,$0,$0,$0,$-3,$-2,$0,$-2,$0,$0,$0,$-0,$-2,$-6,$0,$0
16,2014-09-30,15.62,$2.09,7.46,$6.36,2.46,$0.86,18.27,$0.42,36.84,$0.04B,$0.03B,1.27,$0.07B,$0.03B,2.12,$0.09B,$0.03B,26.60%,$0.09B,$0.01B,7.45%,$0.09B,$0.01B,7.45%,$0.09B,$0.01B,14.89%,$0.09B,$0.01B,5.32%,$0.09B,$0.00B,4.26%,$0.00B,$0.03B,13.01%,$0.00B,$-0.01B,-1600.00%,$0.00B,$0.14B,3.88%,$0.01B,$0.10B,9.24%,$29,$22,$7,$0,$5,$27,$1,$-1,$0,$0,$0,$0,$0,$4,$1,$15,15,$0.01,$0.01,$7,$16,$0,$43,$46,$0,$46,$1,$93,$136,$34,$67,$3,$70,$104,$0,$16,$0,$32,$136,$0,$2,$0,$2,$-0,$-1,$0,$-1,$-5,$-3,$-2,$0,$0,$0,$0,$0,$0,$-2,$3,$0,$3,$0,$0,$0,$0,$3,$-2,$0,$0
17,2014-06-30,15.2,$2.08,7.31,$5.69,2.67,$1.37,11.09,$0.50,30.28,$0.04B,$0.03B,1.24,$0.07B,$0.03B,2.15,$0.08B,$0.02B,28.92%,$0.08B,$0.01B,9.64%,$0.08B,$0.01B,9.64%,$0.08B,$0.01B,15.66%,$0.08B,$0.01B,8.43%,$0.08B,$0.01B,6.02%,$0.01B,$0.03B,16.81%,$0.01B,$-0.02B,80.00%,$0.01B,$0.14B,5.83%,$0.01B,$0.10B,12.50%,$24,$18,$6,$0,$5,$23,$0,$-0,$0,$-0,$0,$0,$0,$2,$0,$15,15,$0.01,$0.01,$9,$15,$0,$43,$45,$0,$47,$1,$94,$136,$34,$67,$3,$71,$105,$0,$16,$0,$31,$136,$5,$5,$-0,$4,$1,$-1,$0,$-1,$2,$11,$-4,$0,$-47,$0,$0,$0,$0,$-51,$45,$0,$45,$-0,$-0,$0,$0,$45,$6,$1,$0
18,2014-03-31,13.79,$2.11,6.54,$5.49,2.51,$1.38,9.97,$0.60,22.83,$0.03B,$0.02B,1.61,$0.02B,$0.03B,0.74,$0.08B,$0.02B,30.38%,$0.08B,$0.01B,12.66%,$0.08B,$0.01B,12.66%,$0.08B,$0.02B,18.99%,$0.08B,$0.01B,11.39%,$0.08B,$0.01B,8.86%,$0.01B,$0.03B,24.56%,$0.01B,$0.02B,54.90%,$0.01B,$0.07B,10.22%,$0.01B,$0.05B,19.32%,$21,$15,$6,$0,$3,$18,$3,$-0,$3,$1,$2,$2,$2,$4,$3,$15,15,$0.11,$0.11,$6,$12,$0,$30,$27,$0,$16,$0,$42,$72,$19,$23,$0,$23,$41,$0,$16,$0,$31,$72,$5,$3,$1,$4,$-0,$-2,$0,$-0,$-0,$8,$-3,$0,$0,$0,$0,$0,$0,$-3,$-3,$0,$-3,$-0,$-0,$0,$0,$-3,$2,$1,$0
19,2013-12-31,9.94,$2.01,4.95,$5.35,1.86,$1.22,8.15,$0.36,27.93,$0.03B,$0.02B,1.81,$0.02B,$0.03B,0.78,$0.08B,$0.02B,30.26%,$0.08B,$0.01B,11.84%,$0.08B,$0.01B,11.84%,$0.08B,$0.01B,18.42%,$0.08B,$0.01B,9.21%,$0.08B,$0.01B,7.89%,$0.01B,$0.03B,22.43%,$0.01B,$0.01B,57.14%,$0.01B,$0.07B,8.86%,$0.01B,$0.05B,17.56%,$20,$14,$6,$0,$4,$17,$3,$-0,$2,$1,$2,$2,$2,$4,$3,$15,15,$0.10,$0.10,$6,$12,$0,$29,$23,$0,$16,$0,$39,$68,$16,$23,$0,$23,$39,$0,$14,$0,$29,$68,$3,$2,$1,$3,$1,$-1,$0,$-0,$0,$6,$-1,$0,$0,$0,$0,$0,$0,$-1,$-3,$0,$-3,$-0,$-0,$0,$0,$-3,$2,$1,$0
20,2013-09-30,2.52,$1.89,1.34,$5.22,0.48,$0.97,2.59,$0.31,8.18,$0.03B,$0.02B,1.68,$0.02B,$0.03B,0.84,$0.07B,$0.02B,28.77%,$0.07B,$0.01B,9.59%,$0.07B,$0.01B,9.59%,$0.07B,$0.01B,16.44%,$0.07B,$0.01B,8.22%,$0.07B,$0.01B,6.85%,$0.01B,$0.03B,19.80%,$0.01B,$0.01B,62.50%,$0.01B,$0.07B,7.38%,$0.01B,$0.05B,13.66%,$18,$13,$6,$0,$4,$16,$2,$-0,$2,$0,$1,$1,$1,$3,$2,$14,14,$0.09,$0.09,$4,$11,$0,$27,$24,$0,$16,$0,$40,$67,$16,$23,$0,$23,$40,$0,$13,$0,$28,$67,$1,$1,$1,$2,$0,$-0,$0,$-1,$-0,$3,$-0,$0,$0,$0,$0,$0,$0,$-0,$-2,$0,$-2,$0,$0,$0,$0,$-2,$1,$1,$0
