,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,16.92,$12.09,1.4,$8.01,2.11,$-17.10,0.0,$0.20,84.6,$0.28B,$0.04B,7.59,$1.13B,$0.19B,5.91,$0.13B,$0.06B,50.39%,$0.13B,$0.02B,13.39%,$0.13B,$0.02B,13.39%,$0.13B,$0.05B,37.80%,$0.13B,$0.03B,22.05%,$0.13B,$0.02B,18.90%,$0.02B,$0.19B,13.73%,$0.02B,$0.19B,13.73%,$0.02B,$1.40B,1.79%,$0.02B,$1.33B,1.37%,$33,$16,$17,$0,$2,$28,$5,$18,$23,$1,$23,$23,$20,$14,$5,$16,16,$1.26,$1.26,$96,$0,$0,$283,$1050,$0,$0,$69,$1119,$1402,$37,$1132,$39,$1172,$1209,$0,$32,$0,$193,$1402,$29,$23,$-14,$9,$1,$0,$-4,$-46,$-49,$-11,$-64,$0,$0,$0,$0,$0,$-8,$-72,$111,$0,$111,$0,$0,$-1,$-20,$91,$8,$0,$0
1,2018-06-30,15.81,$10.83,1.46,$7.97,1.98,$-17.23,0.0,$0.79,20.01,$0.28B,$0.03B,8.7,$1.07B,$0.17B,6.22,$0.13B,$0.06B,50.00%,$0.13B,$0.02B,13.49%,$0.13B,$0.02B,13.49%,$0.13B,$0.05B,37.30%,$0.13B,$0.02B,11.90%,$0.13B,$0.01B,10.32%,$0.01B,$0.17B,7.72%,$0.01B,$0.17B,7.72%,$0.01B,$1.35B,1.00%,$0.02B,$1.24B,1.43%,$32,$16,$16,$0,$3,$28,$4,$3,$6,$0,$6,$6,$6,$11,$4,$16,16,$0.35,$0.35,$93,$0,$0,$275,$1010,$0,$0,$64,$1074,$1349,$32,$1066,$79,$1144,$1176,$0,$11,$0,$173,$1349,$6,$15,$-2,$13,$-1,$0,$-1,$-14,$-16,$3,$-44,$0,$0,$0,$0,$0,$-8,$-52,$56,$0,$56,$0,$0,$-0,$-2,$53,$4,$0,$0
2,2018-03-31,19.38,$10.45,1.86,$8.04,2.41,$-17.35,0.0,$-0.28,0.0,$0.27B,$0.03B,9.59,$1.04B,$0.17B,6.29,$0.13B,$0.06B,50.00%,$0.13B,$0.02B,14.29%,$0.13B,$0.02B,14.29%,$0.13B,$0.05B,38.89%,$0.13B,$-0.00B,-1.59%,$0.13B,$-0.00B,-3.17%,$-0.00B,$0.17B,-2.43%,$-0.00B,$0.17B,-2.43%,$-0.00B,$1.31B,-0.32%,$0.02B,$1.21B,1.57%,$31,$14,$17,$0,$2,$26,$5,$-5,$-0,$0,$-0,$-0,$-1,$13,$5,$16,16,$-0.06,$-0.06,$96,$0,$0,$269,$979,$0,$0,$64,$1043,$1312,$28,$1040,$77,$1117,$1145,$0,$5,$0,$167,$1312,$-0,$8,$-2,$6,$1,$0,$-3,$-0,$-2,$4,$-15,$0,$0,$0,$0,$0,$-11,$-26,$40,$0,$40,$0,$0,$-0,$-9,$30,$8,$0,$0
3,2017-12-31,12.85,$10.69,1.2,$8.14,1.58,$-18.24,0.0,$-0.61,0.0,$0.24B,$0.04B,6.07,$1.01B,$0.16B,6.2,$0.13B,$0.06B,48.82%,$0.13B,$0.02B,13.39%,$0.13B,$0.02B,13.39%,$0.13B,$0.05B,37.80%,$0.13B,$-0.01B,-6.30%,$0.13B,$-0.01B,-7.09%,$-0.01B,$0.17B,-5.44%,$-0.01B,$0.17B,-5.44%,$-0.01B,$1.30B,-0.72%,$0.02B,$1.18B,1.55%,$31,$17,$14,$0,$2,$28,$3,$-4,$-1,$0,$-2,$-2,$-1,$10,$3,$16,16,$-0.09,$-0.09,$89,$0,$0,$239,$988,$0,$0,$70,$1058,$1297,$39,$1014,$77,$1091,$1131,$0,$6,$0,$166,$1297,$-9,$30,$-21,$9,$-1,$0,$-8,$-28,$-37,$-37,$-104,$0,$-0,$0,$0,$0,$14,$-90,$250,$0,$250,$0,$0,$-1,$-97,$153,$25,$0,$0
4,2017-09-30,8.65,$10.53,0.82,$8.04,1.08,$-11.93,0.0,$-0.43,0.0,$0.24B,$0.04B,5.65,$0.95B,$0.17B,5.71,$0.13B,$0.06B,48.41%,$0.13B,$0.02B,13.49%,$0.13B,$0.02B,13.49%,$0.13B,$0.05B,38.89%,$0.13B,$-0.00B,-3.17%,$0.13B,$-0.01B,-5.56%,$-0.01B,$0.17B,-4.17%,$-0.01B,$0.17B,-4.17%,$-0.01B,$1.23B,-0.58%,$0.02B,$1.11B,1.60%,$32,$15,$16,$0,$2,$26,$5,$4,$10,$0,$10,$10,$9,$13,$5,$16,16,$0.59,$0.59,$101,$0,$0,$235,$939,$0,$0,$59,$998,$1233,$41,$945,$78,$1023,$1065,$0,$7,$0,$168,$1233,$-7,$22,$-14,$9,$2,$0,$2,$-11,$-7,$-19,$-56,$0,$0,$0,$0,$0,$22,$-34,$101,$0,$101,$0,$0,$-1,$-2,$98,$83,$0,$0
5,2017-06-30,8.52,$10.19,0.84,$7.93,1.07,$-9.39,0.0,$-1.28,0.0,$0.23B,$0.05B,4.84,$0.94B,$0.16B,6.0,$0.12B,$0.06B,47.58%,$0.12B,$0.02B,12.90%,$0.12B,$0.02B,12.90%,$0.12B,$0.05B,37.90%,$0.12B,$-0.02B,-15.32%,$0.12B,$-0.02B,-16.13%,$-0.02B,$0.16B,-11.85%,$-0.02B,$0.16B,-11.85%,$-0.02B,$1.23B,-1.68%,$0.02B,$1.09B,1.55%,$32,$15,$16,$0,$2,$27,$5,$-16,$-11,$0,$-11,$-11,$-11,$13,$5,$16,16,$-0.72,$-0.72,$96,$0,$0,$234,$931,$0,$0,$68,$999,$1233,$48,$935,$91,$1026,$1075,$0,$-2,$0,$158,$1233,$-17,$15,$-0,$15,$2,$0,$0,$-3,$-0,$-2,$-39,$0,$0,$0,$0,$0,$16,$-23,$59,$0,$59,$0,$0,$-1,$7,$66,$40,$0,$0
6,2017-03-31,8.04,$10.95,0.73,$7.88,1.02,$-7.74,0.0,$-0.40,0.0,$0.23B,$0.12B,1.97,$0.84B,$0.17B,4.98,$0.12B,$0.06B,47.97%,$0.12B,$0.02B,13.01%,$0.12B,$0.02B,13.01%,$0.12B,$0.05B,36.59%,$0.12B,$-0.01B,-4.07%,$0.12B,$-0.01B,-5.69%,$-0.01B,$0.17B,-4.04%,$-0.01B,$0.17B,-4.04%,$-0.01B,$1.21B,-0.60%,$0.02B,$1.01B,1.58%,$32,$16,$16,$0,$2,$27,$4,$-10,$-6,$0,$-6,$-6,$-6,$12,$4,$16,16,$-0.39,$-0.39,$87,$0,$0,$230,$912,$0,$0,$72,$983,$1214,$117,$835,$91,$927,$1044,$0,$9,$0,$170,$1214,$-6,$8,$-1,$7,$1,$0,$1,$-12,$-10,$-9,$-16,$0,$-0,$0,$0,$0,$3,$-13,$63,$0,$63,$0,$0,$-0,$-10,$53,$31,$0,$0
7,2016-12-31,5.17,$11.35,0.46,$7.71,0.67,$-6.88,0.0,$-0.25,0.0,$0.21B,$0.06B,3.68,$0.85B,$0.17B,4.89,$0.12B,$0.06B,47.50%,$0.12B,$0.02B,12.50%,$0.12B,$0.02B,12.50%,$0.12B,$0.04B,35.83%,$0.12B,$-0.00B,-2.50%,$0.12B,$-0.01B,-4.17%,$-0.01B,$0.18B,-2.87%,$-0.01B,$0.18B,-2.87%,$-0.01B,$1.18B,-0.44%,$0.02B,$1.03B,1.49%,$30,$17,$13,$0,$1,$27,$3,$0,$3,$0,$3,$3,$1,$11,$3,$16,16,$0.09,$0.09,$56,$0,$0,$207,$901,$0,$0,$67,$968,$1175,$56,$851,$91,$942,$999,$0,$14,$0,$176,$1175,$-2,$28,$-19,$9,$2,$0,$3,$6,$11,$17,$-61,$0,$5,$0,$0,$0,$-5,$-61,$69,$0,$69,$0,$0,$-1,$-22,$46,$2,$0,$0
8,2016-09-30,7.81,$11.01,0.71,$7.72,1.01,$-14.99,0.0,$-0.45,0.0,$0.17B,$0.04B,4.02,$0.83B,$0.17B,4.95,$0.12B,$0.06B,47.06%,$0.12B,$0.01B,8.40%,$0.12B,$0.01B,8.40%,$0.12B,$0.04B,30.25%,$0.12B,$-0.01B,-6.72%,$0.12B,$-0.01B,-6.72%,$-0.01B,$0.17B,-4.59%,$-0.01B,$0.17B,-4.59%,$-0.01B,$1.14B,-0.71%,$0.01B,$1.01B,1.01%,$30,$16,$14,$0,$2,$26,$4,$-9,$-5,$0,$-5,$-5,$-4,$11,$4,$16,16,$-0.26,$-0.26,$41,$0,$0,$174,$910,$0,$0,$55,$965,$1139,$43,$834,$91,$925,$969,$0,$13,$0,$171,$1139,$-5,$20,$-9,$11,$2,$0,$13,$8,$23,$29,$-64,$0,$0,$0,$2,$2,$-1,$-62,$41,$0,$41,$0,$0,$-1,$-15,$26,$-8,$0,$0
9,2016-06-30,6.78,$11.34,0.6,$7.58,0.89,$-23.22,0.0,$-0.54,0.0,$0.18B,$0.04B,4.86,$0.83B,$0.17B,4.76,$0.12B,$0.06B,47.01%,$0.12B,$0.01B,6.84%,$0.12B,$0.01B,6.84%,$0.12B,$0.03B,29.06%,$0.12B,$-0.01B,-7.69%,$0.12B,$-0.01B,-7.69%,$-0.01B,$0.18B,-5.11%,$-0.01B,$0.18B,-5.11%,$-0.01B,$1.13B,-0.81%,$0.01B,$1.00B,0.81%,$31,$15,$16,$0,$2,$26,$5,$-1,$3,$0,$3,$3,$2,$11,$5,$16,16,$0.16,$0.16,$49,$0,$0,$180,$901,$0,$0,$51,$952,$1132,$37,$827,$91,$919,$956,$0,$16,$0,$176,$1132,$-0,$13,$-9,$4,$-1,$0,$-1,$32,$30,$34,$-50,$0,$0,$0,$2,$2,$-3,$-51,$29,$0,$29,$0,$0,$-1,$-9,$20,$4,$0,$0
