,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,46.02,$10.75,4.28,$0.66,69.41,$-6.14,0.0,$-1.80,0.0,$0.57B,$0.02B,26.08,$0.06B,$0.53B,0.1,$0.03B,$0.03B,100.00%,$0.03B,$-0.11B,-456.00%,$0.03B,$-0.11B,-456.00%,$0.03B,$-0.11B,-440.00%,$0.03B,$-0.11B,-444.00%,$0.03B,$-0.11B,-448.00%,$-0.11B,$0.53B,-23.82%,$-0.11B,$0.53B,-23.82%,$-0.11B,$0.61B,-19.72%,$-0.11B,$0.59B,-21.63%,$4,$0,$4,$29,$11,$40,$-36,$2,$-34,$0,$-34,$-34,$-34,$-35,$-36,$49,49,$-0.70,$-0.70,$562,$0,$0,$572,$28,$0,$0,$10,$38,$610,$22,$55,$1,$57,$79,$0,$-1569,$-0,$531,$610,$-98,$3,$10,$13,$1,$0,$0,$-5,$-14,$-99,$-1,$0,$0,$0,$59,$59,$3,$62,$-3,$0,$-3,$388,$388,$0,$0,$385,$350,$14,$0
1,2018-06-30,43.6,$11.32,3.85,$0.65,66.6,$-5.71,0.0,$-2.66,0.0,$0.60B,$0.02B,28.75,$0.06B,$0.56B,0.1,$0.02B,$0.02B,100.00%,$0.02B,$-0.11B,-486.96%,$0.02B,$-0.11B,-486.96%,$0.02B,$-0.11B,-469.57%,$0.02B,$-0.11B,-486.96%,$0.02B,$-0.11B,-478.26%,$-0.11B,$0.56B,-28.06%,$-0.11B,$0.56B,-28.08%,$-0.11B,$0.64B,-21.89%,$-0.11B,$0.62B,-24.92%,$4,$0,$4,$27,$10,$37,$-33,$1,$-32,$0,$-32,$-32,$-32,$-32,$-33,$49,49,$-0.65,$-0.65,$592,$0,$0,$601,$29,$0,$0,$8,$36,$638,$21,$56,$1,$58,$79,$0,$-1535,$-0,$559,$638,$-64,$2,$8,$10,$0,$0,$0,$-2,$-13,$-68,$-1,$0,$0,$0,$21,$21,$3,$24,$-2,$0,$-2,$387,$387,$0,$0,$385,$342,$9,$0
2,2018-03-31,39.5,$11.86,3.33,$0.64,62.09,$-5.73,0.0,$-2.78,0.0,$0.65B,$0.04B,15.28,$0.06B,$0.58B,0.1,$0.02B,$0.02B,100.00%,$0.02B,$-0.10B,-485.71%,$0.02B,$-0.10B,-485.71%,$0.02B,$-0.10B,-466.67%,$0.02B,$-0.10B,-495.24%,$0.02B,$-0.10B,-480.95%,$-0.10B,$0.58B,-37.00%,$-0.10B,$0.58B,-37.10%,$-0.10B,$0.69B,-25.88%,$-0.10B,$0.64B,-30.79%,$2,$0,$2,$22,$11,$33,$-31,$-0,$-31,$0,$-31,$-31,$-32,$-30,$-31,$40,40,$-0.80,$-0.80,$629,$0,$0,$650,$30,$0,$0,$6,$36,$685,$43,$57,$1,$59,$101,$0,$-1503,$-0,$584,$685,$-32,$1,$4,$5,$1,$0,$0,$-0,$-3,$-30,$-0,$0,$0,$0,$-0,$-0,$3,$2,$-1,$0,$-1,$385,$385,$0,$0,$384,$357,$4,$0
3,2017-12-31,33.97,$5.27,6.44,$0.66,51.46,$-5.64,0.0,$-2.88,0.0,$0.28B,$0.07B,3.89,$0.06B,$0.21B,0.28,$0.02B,$0.02B,100.00%,$0.02B,$-0.09B,-438.10%,$0.02B,$-0.09B,-438.10%,$0.02B,$-0.09B,-419.05%,$0.02B,$-0.10B,-457.14%,$0.02B,$-0.09B,-433.33%,$-0.09B,$0.21B,-68.04%,$-0.09B,$0.21B,-68.68%,$-0.09B,$0.34B,-35.83%,$-0.09B,$0.27B,-47.73%,$15,$0,$15,$21,$8,$29,$-14,$-1,$-14,$0,$-14,$-14,$-14,$-13,$-14,$33,33,$-0.24,$-0.24,$247,$0,$17,$281,$30,$24,$0,$4,$58,$339,$72,$58,$1,$60,$132,$0,$-1490,$-1,$207,$339,$-93,$4,$13,$18,$11,$0,$0,$-4,$8,$-67,$1,$0,$0,$0,$-113,$-113,$-0,$-112,$-4,$0,$-4,$249,$249,$0,$0,$245,$68,$8,$0
4,2017-09-30,25.5,$5.56,4.59,$2.40,10.64,$-6.19,0.0,$-0.93,0.0,$0.30B,$0.07B,4.42,$0.06B,$0.22B,0.27,$0.06B,$0.06B,100.00%,$0.06B,$-0.03B,-46.67%,$0.06B,$-0.03B,-46.67%,$0.06B,$-0.03B,-45.00%,$0.06B,$-0.03B,-55.00%,$0.06B,$-0.04B,-63.33%,$-0.04B,$0.22B,-41.30%,$-0.04B,$0.22B,-41.87%,$-0.04B,$0.35B,-17.97%,$-0.03B,$0.28B,-18.42%,$2,$0,$2,$17,$7,$37,$-34,$-1,$-35,$0,$-35,$-35,$-32,$-33,$-34,$38,38,$-0.86,$-0.86,$279,$7,$0,$304,$39,$0,$2,$3,$44,$348,$69,$59,$1,$61,$130,$0,$-1477,$-1,$218,$348,$-79,$3,$11,$14,$12,$0,$0,$-5,$4,$-60,$1,$0,$0,$0,$0,$0,$0,$1,$-3,$0,$-3,$248,$248,$0,$0,$246,$188,$6,$0
5,2017-06-30,16.87,$2.10,8.02,$3.12,5.4,$-6.80,0.0,$-0.57,0.0,$0.14B,$0.05B,3.21,$0.06B,$0.08B,0.72,$0.08B,$0.07B,96.10%,$0.08B,$-0.00B,-5.19%,$0.08B,$-0.00B,-5.19%,$0.08B,$-0.00B,-2.60%,$0.08B,$-0.01B,-12.99%,$0.08B,$-0.02B,-23.38%,$-0.02B,$0.08B,-46.75%,$-0.02B,$0.08B,-50.35%,$-0.02B,$0.19B,-10.17%,$-0.00B,$0.14B,-4.02%,$2,$0,$2,$18,$7,$25,$-23,$-1,$-24,$0,$-24,$-24,$-23,$-22,$-23,$30,30,$-0.77,$-0.77,$131,$7,$0,$144,$41,$0,$2,$3,$46,$189,$45,$60,$1,$62,$107,$0,$-1444,$-0,$83,$189,$-46,$2,$-2,$1,$12,$0,$0,$-3,$3,$-42,$-0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$-2,$81,$81,$0,$0,$80,$40,$4,$0
6,2017-03-31,14.6,$0.84,17.39,$3.45,4.23,$-6.80,0.0,$-0.90,0.0,$0.09B,$0.05B,1.85,$0.06B,$0.03B,2.28,$0.09B,$0.08B,92.94%,$0.09B,$-0.01B,-8.24%,$0.09B,$-0.01B,-8.24%,$0.09B,$-0.00B,-4.71%,$0.09B,$-0.01B,-15.29%,$0.09B,$-0.02B,-25.88%,$-0.02B,$0.03B,-103.53%,$-0.02B,$0.03B,-129.41%,$-0.02B,$0.14B,-11.94%,$-0.01B,$0.09B,-8.41%,$2,$0,$2,$15,$8,$23,$-21,$-1,$-23,$0,$-23,$-23,$-22,$-20,$-21,$24,24,$-0.90,$-0.90,$80,$7,$0,$92,$43,$0,$2,$3,$47,$140,$50,$61,$1,$63,$113,$0,$-1421,$-2,$27,$140,$-22,$1,$-2,$-1,$12,$0,$0,$-2,$7,$-16,$-0,$0,$0,$0,$0,$0,$0,$0,$-1,$0,$-1,$5,$5,$0,$0,$4,$-11,$2,$0
7,2016-12-31,14.2,$1.66,8.56,$3.79,3.75,$-6.87,0.0,$-0.90,0.0,$0.12B,$0.06B,1.88,$0.06B,$0.04B,1.53,$0.09B,$0.08B,89.25%,$0.09B,$-0.00B,-5.38%,$0.09B,$-0.00B,-5.38%,$0.09B,$-0.00B,-1.08%,$0.09B,$-0.01B,-12.90%,$0.09B,$-0.02B,-23.66%,$-0.02B,$0.04B,-91.67%,$-0.02B,$0.04B,-120.55%,$-0.02B,$0.17B,-10.50%,$-0.00B,$0.10B,-5.75%,$54,$0,$54,$9,$4,$4,$50,$-1,$49,$0,$49,$49,$39,$48,$50,$24,24,$1.60,$1.60,$91,$0,$26,$120,$35,$0,$0,$14,$49,$169,$64,$62,$1,$65,$129,$0,$-1399,$-3,$40,$169,$-23,$5,$33,$38,$-12,$0,$0,$-67,$-77,$-62,$0,$0,$0,$0,$0,$0,$-1,$-1,$-3,$0,$-3,$0,$0,$0,$0,$-2,$-65,$11,$0
8,2016-09-30,17.5,$0.17,104.42,$0.87,20.02,$-8.35,0.0,$-3.80,0.0,$0.14B,$0.06B,2.23,$0.06B,$0.00B,15.37,$0.02B,$0.01B,54.55%,$0.02B,$-0.09B,-386.36%,$0.02B,$-0.09B,-386.36%,$0.02B,$-0.08B,-368.18%,$0.02B,$-0.09B,-427.27%,$0.02B,$-0.09B,-413.64%,$-0.09B,$0.00B,-330.91%,$-0.09B,$-0.00B,-460.76%,$-0.09B,$0.21B,-39.31%,$-0.09B,$0.07B,-93.15%,$19,$3,$16,$17,$9,$29,$-10,$-3,$-12,$0,$-12,$-12,$-12,$-8,$-10,$24,24,$-0.51,$-0.51,$102,$10,$0,$135,$65,$0,$8,$3,$75,$210,$61,$63,$1,$146,$206,$0,$-1437,$1,$4,$210,$-61,$7,$10,$17,$-13,$0,$0,$-5,$-10,$-53,$0,$0,$0,$0,$0,$0,$-1,$-1,$-2,$0,$-2,$0,$0,$0,$0,$-2,$-55,$9,$0
9,2016-06-30,17.1,$0.56,30.68,$0.46,37.16,$-9.53,0.0,$-4.40,0.0,$0.14B,$0.06B,2.56,$0.06B,$0.01B,4.69,$0.01B,$0.00B,16.67%,$0.01B,$-0.10B,-833.33%,$0.01B,$-0.10B,-833.33%,$0.01B,$-0.10B,-800.00%,$0.01B,$-0.11B,-900.00%,$0.01B,$-0.11B,-875.00%,$-0.11B,$0.01B,-223.40%,$-0.11B,$0.01B,-269.23%,$-0.11B,$0.22B,-41.92%,$-0.10B,$0.08B,-89.69%,$10,$3,$7,$19,$8,$36,$-26,$-1,$-27,$0,$-27,$-27,$-27,$-24,$-26,$24,24,$-1.12,$-1.12,$122,$9,$0,$140,$68,$0,$8,$2,$78,$218,$55,$64,$1,$150,$204,$0,$-1425,$0,$14,$218,$-49,$5,$7,$12,$2,$1,$0,$-5,$3,$-34,$-0,$0,$0,$0,$0,$0,$0,$-0,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-34,$7,$0
