,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,37.0,$18.32,2.02,$8.40,4.4,$7.01,5.28,$2.47,15.01,$2.20B,$2.47B,0.89,$0.20B,$0.27B,0.74,$0.12B,$0.11B,90.98%,$0.12B,$0.05B,36.89%,$0.12B,0,0.00%,$0.12B,0,0.00%,$0.12B,$0.05B,36.89%,$0.12B,$0.04B,29.51%,$0.04B,$0.27B,14.02%,$0.04B,$0.24B,15.47%,$0.04B,$2.95B,1.26%,$0.05B,$0.46B,10.78%,$32,$3,$28,$0,$17,$20,$12,$0,$12,$2,$9,$9,$9,$0,$0,$14,15,$0.64,$0.64,$92,$0,$0,$2198,$29,$643,$24,$59,$755,$2953,$2470,$196,$22,$218,$2688,$19,$24,$-13,$265,$2953,$28,$4,$1,$5,$0,$0,$0,$1,$1,$34,$-1,$0,$0,$0,$-4,$-4,$-177,$-182,$-10,$24,$14,$2,$2,$-11,$163,$167,$19,$0,$-11
1,2018-06-30,36.4,$17.98,2.02,$8.21,4.43,$6.58,5.53,$2.34,15.56,$2.10B,$2.37B,0.89,$0.20B,$0.26B,0.78,$0.12B,$0.11B,92.44%,$0.12B,$0.04B,36.13%,$0.12B,0,0.00%,$0.12B,0,0.00%,$0.12B,$0.04B,36.13%,$0.12B,$0.03B,28.57%,$0.03B,$0.26B,13.51%,$0.03B,$0.24B,14.95%,$0.03B,$2.85B,1.22%,$0.04B,$0.46B,11.02%,$32,$3,$29,$0,$17,$19,$12,$0,$12,$2,$10,$10,$10,$0,$0,$14,14,$0.68,$0.67,$61,$0,$0,$2099,$28,$636,$24,$58,$746,$2845,$2365,$201,$20,$221,$2586,$18,$40,$-12,$259,$2845,$18,$2,$1,$3,$-0,$0,$0,$-0,$-1,$21,$-1,$0,$0,$0,$5,$5,$-108,$-103,$-10,$26,$16,$1,$1,$-7,$60,$70,$-12,$0,$-7
2,2018-03-31,33.72,$17.57,1.92,$7.98,4.23,$6.45,5.23,$2.17,15.54,$2.07B,$2.49B,0.83,$0.07B,$0.25B,0.26,$0.12B,$0.11B,93.04%,$0.12B,$0.04B,35.65%,$0.12B,0,0.00%,$0.12B,0,0.00%,$0.12B,$0.04B,35.65%,$0.12B,$0.03B,26.96%,$0.03B,$0.25B,12.54%,$0.03B,$0.23B,13.93%,$0.03B,$2.83B,1.12%,$0.04B,$0.32B,10.66%,$29,$2,$27,$0,$17,$19,$11,$0,$11,$2,$9,$9,$9,$0,$0,$14,14,$0.59,$0.59,$100,$0,$0,$2074,$28,$642,$24,$59,$752,$2827,$2486,$65,$23,$88,$2574,$18,$34,$-11,$253,$2827,$9,$1,$1,$2,$0,$0,$0,$2,$2,$12,$-0,$0,$0,$0,$0,$0,$-43,$-43,$-10,$-95,$-105,$1,$1,$-3,$166,$58,$27,$0,$-3
3,2017-12-31,33.47,$17.91,1.87,$7.80,4.29,$6.31,5.31,$2.04,16.41,$2.01B,$2.31B,0.87,$0.18B,$0.25B,0.72,$0.11B,$0.11B,92.92%,$0.11B,$0.04B,34.51%,$0.11B,0,0.00%,$0.11B,0,0.00%,$0.11B,$0.04B,34.51%,$0.11B,$0.03B,25.66%,$0.03B,$0.25B,11.93%,$0.03B,$0.23B,13.29%,$0.03B,$2.76B,1.07%,$0.04B,$0.43B,9.97%,$29,$2,$27,$0,$17,$19,$10,$0,$10,$2,$8,$8,$8,$0,$0,$14,14,$0.56,$0.56,$73,$0,$0,$2005,$28,$646,$24,$58,$755,$2760,$2310,$180,$21,$201,$2511,$18,$29,$-9,$250,$2760,$29,$5,$2,$8,$0,$0,$0,$1,$1,$38,$-1,$0,$0,$0,$53,$53,$-201,$-149,$0,$11,$11,$0,$0,$-14,$129,$126,$15,$1,$-14
4,2017-09-30,33.63,$17.59,1.91,$7.64,4.4,$6.23,5.4,$1.94,17.35,$1.97B,$2.37B,0.83,$0.11B,$0.25B,0.44,$0.11B,$0.10B,93.64%,$0.11B,$0.04B,34.55%,$0.11B,0,0.00%,$0.11B,0,0.00%,$0.11B,$0.04B,34.55%,$0.11B,$0.03B,25.45%,$0.03B,$0.25B,11.73%,$0.03B,$0.22B,13.08%,$0.03B,$2.74B,1.04%,$0.04B,$0.35B,9.71%,$29,$2,$27,$0,$16,$18,$10,$0,$10,$3,$7,$7,$7,$0,$0,$14,14,$0.52,$0.52,$81,$0,$0,$1972,$26,$664,$24,$58,$773,$2744,$2369,$108,$23,$131,$2500,$18,$23,$-6,$245,$2744,$21,$4,$2,$6,$-1,$0,$0,$0,$-1,$26,$-1,$0,$0,$0,$38,$38,$-157,$-119,$0,$-64,$-64,$-0,$-0,$-10,$191,$116,$23,$0,$-10
5,2017-06-30,29.85,$17.30,1.73,$7.49,3.99,$6.23,4.79,$1.89,15.76,$1.93B,$2.26B,0.85,$0.20B,$0.24B,0.82,$0.11B,$0.10B,94.39%,$0.11B,$0.04B,34.58%,$0.11B,0,0.00%,$0.11B,0,0.00%,$0.11B,$0.04B,34.58%,$0.11B,$0.03B,26.17%,$0.03B,$0.24B,11.93%,$0.03B,$0.22B,13.32%,$0.03B,$2.72B,1.06%,$0.04B,$0.44B,9.76%,$28,$2,$26,$0,$16,$18,$10,$0,$10,$3,$7,$7,$7,$0,$0,$14,14,$0.51,$0.51,$66,$0,$0,$1927,$27,$686,$24,$57,$794,$2722,$2261,$197,$23,$220,$2481,$18,$36,$-6,$241,$2722,$14,$3,$1,$4,$0,$0,$0,$1,$1,$19,$-0,$0,$0,$0,$16,$16,$-127,$-111,$0,$4,$4,$-0,$-0,$-7,$103,$101,$9,$0,$-7
6,2017-03-31,31.72,$16.98,1.87,$7.40,4.29,$6.08,5.22,$1.86,17.04,$1.86B,$2.29B,0.81,$0.11B,$0.24B,0.45,$0.11B,$0.10B,95.24%,$0.11B,$0.04B,35.24%,$0.11B,0,0.00%,$0.11B,0,0.00%,$0.11B,$0.04B,35.24%,$0.11B,$0.03B,26.67%,$0.03B,$0.24B,12.13%,$0.03B,$0.21B,13.56%,$0.03B,$2.66B,1.08%,$0.04B,$0.34B,10.00%,$27,$2,$25,$0,$16,$17,$9,$0,$9,$3,$7,$7,$7,$0,$0,$14,14,$0.47,$0.46,$65,$0,$0,$1858,$27,$689,$24,$58,$798,$2656,$2289,$107,$25,$132,$2420,$18,$32,$-7,$236,$2656,$7,$2,$0,$2,$-0,$0,$0,$2,$2,$10,$0,$0,$0,$0,$14,$14,$-58,$-44,$0,$-95,$-95,$-0,$-0,$-3,$140,$42,$7,$0,$-3
7,2016-12-31,37.63,$16.74,2.25,$7.34,5.13,$6.12,6.15,$1.86,20.26,$1.79B,$2.15B,0.83,$0.20B,$0.23B,0.85,$0.10B,$0.10B,95.19%,$0.10B,$0.04B,35.58%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.04B,35.58%,$0.10B,$0.03B,26.92%,$0.03B,$0.23B,12.33%,$0.03B,$0.21B,13.83%,$0.03B,$2.61B,1.10%,$0.04B,$0.43B,10.33%,$26,$1,$25,$0,$16,$17,$9,$0,$9,$3,$7,$7,$7,$0,$0,$14,14,$0.46,$0.47,$57,$0,$0,$1794,$27,$703,$25,$57,$812,$2605,$2152,$198,$22,$220,$2372,$18,$29,$-7,$233,$2605,$27,$6,$3,$9,$-0,$0,$0,$-1,$-1,$35,$1,$0,$0,$0,$24,$24,$-182,$-158,$0,$54,$54,$2,$2,$-13,$86,$129,$6,$2,$-13
8,2016-09-30,30.31,$16.53,1.83,$7.28,4.16,$5.72,5.3,$1.86,16.27,$1.79B,$2.25B,0.8,$0.08B,$0.23B,0.33,$0.10B,$0.10B,95.15%,$0.10B,$0.04B,35.92%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.04B,35.92%,$0.10B,$0.03B,27.18%,$0.03B,$0.23B,12.60%,$0.03B,$0.21B,14.16%,$0.03B,$2.58B,1.11%,$0.04B,$0.30B,10.78%,$26,$1,$25,$0,$16,$17,$9,$0,$9,$3,$7,$7,$7,$0,$0,$14,14,$0.48,$0.47,$102,$0,$0,$1792,$27,$683,$25,$54,$788,$2580,$2252,$75,$25,$100,$2351,$18,$25,$-5,$229,$2580,$20,$5,$1,$6,$-1,$0,$0,$0,$-1,$25,$1,$0,$0,$0,$51,$51,$-134,$-82,$0,$-67,$-67,$2,$2,$-10,$183,$108,$51,$1,$-10
9,2016-06-30,26.94,$16.29,1.65,$7.20,3.74,$5.31,5.07,$1.81,14.87,$1.72B,$2.11B,0.81,$0.18B,$0.23B,0.79,$0.10B,$0.10B,95.10%,$0.10B,$0.04B,35.29%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.04B,35.29%,$0.10B,$0.03B,26.47%,$0.03B,$0.23B,12.40%,$0.03B,$0.20B,13.99%,$0.03B,$2.54B,1.09%,$0.04B,$0.40B,10.63%,$26,$1,$25,$0,$16,$17,$10,$0,$10,$3,$7,$7,$7,$0,$0,$14,14,$0.47,$0.46,$63,$0,$0,$1719,$27,$717,$25,$53,$821,$2540,$2114,$177,$24,$201,$2315,$17,$39,$-5,$225,$2540,$13,$3,$1,$4,$-2,$0,$0,$0,$-2,$15,$1,$0,$0,$0,$19,$19,$-97,$-78,$0,$38,$38,$1,$1,$-6,$42,$75,$12,$1,$-6
10,2016-03-31,23.43,$15.98,1.47,$7.11,3.3,$5.14,4.55,$1.79,13.06,$1.67B,$2.16B,0.77,$0.08B,$0.22B,0.34,$0.10B,$0.10B,95.05%,$0.10B,$0.04B,34.65%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.04B,34.65%,$0.10B,$0.03B,25.74%,$0.03B,$0.22B,12.19%,$0.03B,$0.20B,13.81%,$0.03B,$2.48B,1.07%,$0.04B,$0.30B,11.08%,$26,$1,$24,$0,$15,$16,$9,$0,$9,$3,$7,$7,$7,$0,$0,$14,14,$0.46,$0.46,$61,$0,$0,$1667,$27,$709,$25,$51,$812,$2479,$2160,$75,$23,$98,$2258,$17,$35,$-5,$221,$2479,$7,$2,$1,$2,$-0,$0,$0,$2,$2,$10,$-0,$0,$0,$0,$26,$26,$-49,$-23,$0,$-60,$-60,$1,$1,$-3,$85,$22,$10,$0,$-3
11,2015-12-31,23.73,$15.52,1.53,$7.00,3.39,$5.01,4.74,$1.75,13.57,$1.61B,$2.05B,0.78,$0.16B,$0.21B,0.73,$0.10B,$0.10B,95.96%,$0.10B,$0.04B,35.35%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.04B,35.35%,$0.10B,$0.03B,25.25%,$0.03B,$0.21B,11.95%,$0.03B,$0.19B,13.59%,$0.03B,$2.45B,1.05%,$0.04B,$0.37B,11.26%,$25,$1,$24,$0,$15,$16,$9,$0,$9,$3,$7,$7,$7,$0,$0,$14,14,$0.46,$0.46,$51,$0,$0,$1609,$27,$732,$25,$53,$837,$2446,$2054,$157,$22,$179,$2232,$17,$32,$-8,$214,$2446,$25,$6,$-0,$6,$0,$0,$0,$-2,$-2,$29,$0,$0,$0,$0,$-65,$-65,$-165,$-230,$45,$45,$90,$1,$1,$-13,$128,$205,$5,$1,$-13
12,2015-09-30,23.12,$15.36,1.51,$6.93,3.33,$5.10,4.53,$1.73,13.36,$1.59B,$2.11B,0.76,$0.08B,$0.21B,0.36,$0.10B,$0.09B,95.92%,$0.10B,$0.04B,35.71%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.04B,35.71%,$0.10B,$0.02B,24.49%,$0.02B,$0.21B,11.65%,$0.02B,$0.19B,13.30%,$0.02B,$2.42B,1.03%,$0.04B,$0.29B,12.69%,$25,$1,$24,$0,$15,$17,$8,$0,$8,$2,$6,$6,$6,$0,$0,$14,14,$0.42,$0.42,$70,$0,$0,$1591,$28,$720,$25,$55,$829,$2420,$2106,$75,$27,$102,$2208,$17,$29,$-7,$211,$2420,$18,$5,$2,$7,$-1,$0,$0,$-5,$-5,$20,$-0,$0,$0,$0,$-49,$-49,$-126,$-175,$45,$-36,$9,$0,$0,$-9,$179,$179,$23,$1,$-9
13,2015-06-30,22.73,$14.93,1.52,$6.88,3.3,$5.25,4.33,$1.75,12.99,$1.51B,$2.00B,0.76,$0.11B,$0.21B,0.51,$0.10B,$0.09B,95.88%,$0.10B,$0.04B,37.11%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.04B,37.11%,$0.10B,$0.02B,24.74%,$0.02B,$0.21B,11.81%,$0.02B,$0.18B,13.52%,$0.02B,$2.33B,1.06%,$0.04B,$0.31B,13.75%,$25,$1,$24,$0,$14,$16,$9,$0,$9,$3,$6,$6,$6,$0,$0,$14,14,$0.45,$0.45,$45,$0,$0,$1509,$29,$722,$25,$48,$824,$2333,$1997,$105,$25,$130,$2126,$17,$35,$-7,$207,$2333,$12,$3,$1,$4,$-3,$0,$0,$1,$-3,$14,$-0,$0,$0,$0,$-51,$-51,$-64,$-116,$75,$-36,$38,$-0,$-0,$-6,$70,$101,$-1,$1,$-6
14,2015-03-31,22.62,$14.77,1.53,$6.81,3.32,$5.32,4.25,$1.70,13.33,$1.53B,$2.04B,0.75,$0.07B,$0.21B,0.34,$0.10B,$0.09B,94.79%,$0.10B,$0.04B,36.46%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.04B,36.46%,$0.10B,$0.02B,25.00%,$0.02B,$0.21B,11.94%,$0.02B,$0.18B,13.71%,$0.02B,$2.34B,1.08%,$0.04B,$0.28B,14.17%,$24,$1,$23,$0,$14,$15,$9,$0,$9,$3,$6,$6,$6,$0,$0,$14,14,$0.41,$0.41,$112,$0,$0,$1531,$28,$703,$25,$48,$805,$2336,$2035,$70,$26,$96,$2131,$17,$32,$-6,$205,$2336,$6,$2,$1,$2,$-0,$0,$0,$1,$0,$9,$-0,$0,$0,$0,$-30,$-30,$-22,$-51,$40,$-45,$-5,$0,$0,$-3,$116,$108,$65,$0,$-3
15,2014-12-31,22.69,$14.49,1.57,$6.76,3.35,$5.27,4.3,$1.66,13.65,$1.44B,$1.96B,0.74,$0.03B,$0.20B,0.15,$0.10B,$0.09B,94.74%,$0.10B,$0.03B,35.79%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.03B,35.79%,$0.10B,$0.02B,24.21%,$0.02B,$0.20B,11.60%,$0.02B,$0.18B,13.35%,$0.02B,$2.22B,1.05%,$0.03B,$0.23B,14.36%,$24,$1,$23,$0,$14,$15,$9,$0,$9,$3,$6,$6,$6,$0,$0,$14,14,$0.45,$0.45,$46,$0,$0,$1444,$28,$673,$26,$46,$773,$2217,$1963,$30,$23,$53,$2016,$17,$29,$-7,$201,$2217,$23,$7,$2,$9,$-0,$0,$0,$-1,$-1,$31,$-0,$0,$-0,$0,$86,$86,$-154,$-68,$-10,$-4,$-14,$-1,$-1,$-12,$61,$33,$-4,$1,$-12
