,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,3.4,$2.75,1.24,$3.86,0.88,$0.12,29.13,$0.22,15.45,$0.05B,$0.03B,2.07,$0.01B,$0.07B,0.1,$0.10B,$0.03B,29.41%,$0.10B,$0.01B,4.90%,$0.10B,$0.01B,4.90%,$0.10B,$0.01B,7.84%,$0.10B,$0.00B,3.92%,$0.10B,$0.01B,5.88%,$0.01B,$0.07B,8.33%,$0.01B,$0.02B,28.57%,$0.01B,$0.12B,5.19%,$0.01B,$0.08B,6.27%,$24,$17,$7,$1,$5,$23,$1,$-0,$1,$0,$1,$1,$1,$2,$1,$26,26,$0.03,$0.03,$5,$10,$0,$52,$9,$0,$50,$4,$64,$116,$25,$7,$5,$18,$43,$0,$-180,$2,$73,$116,$1,$3,$1,$4,$2,$-1,$0,$-1,$-2,$3,$-2,$0,$0,$0,$0,$0,$0,$-2,$-2,$-0,$-2,$0,$0,$0,$-0,$-2,$-0,$0,$0
1,2018-06-30,3.75,$2.71,1.38,$3.94,0.95,$-0.06,0.0,$0.22,17.05,$0.05B,$0.02B,2.08,$0.01B,$0.07B,0.1,$0.10B,$0.03B,28.85%,$0.10B,$0.01B,4.81%,$0.10B,$0.01B,4.81%,$0.10B,$0.01B,7.69%,$0.10B,$0.00B,3.85%,$0.10B,$0.01B,5.77%,$0.01B,$0.07B,8.54%,$0.01B,$0.02B,31.17%,$0.01B,$0.11B,5.26%,$0.01B,$0.08B,6.37%,$22,$15,$7,$1,$5,$21,$1,$-0,$0,$0,$0,$0,$0,$1,$1,$26,26,$0.00,$0.00,$8,$10,$0,$51,$9,$0,$51,$4,$64,$114,$24,$7,$5,$18,$43,$0,$-181,$2,$72,$114,$1,$2,$1,$2,$4,$-1,$-1,$0,$1,$4,$-1,$0,$0,$0,$0,$0,$0,$-1,$-1,$0,$-1,$0,$0,$0,$-0,$-1,$2,$0,$0
2,2018-03-31,3.05,$2.71,1.12,$3.93,0.78,$-0.29,0.0,$0.20,15.25,$0.05B,$0.03B,2.05,$0.01B,$0.07B,0.11,$0.10B,$0.03B,28.16%,$0.10B,$0.00B,3.88%,$0.10B,$0.00B,3.88%,$0.10B,$0.01B,7.77%,$0.10B,$0.00B,3.88%,$0.10B,$0.01B,4.85%,$0.01B,$0.07B,7.27%,$0.01B,$0.02B,28.57%,$0.01B,$0.12B,4.44%,$0.00B,$0.08B,5.16%,$27,$20,$8,$1,$5,$26,$1,$-0,$1,$0,$1,$1,$1,$2,$1,$26,26,$0.02,$0.02,$8,$9,$0,$52,$9,$0,$51,$4,$64,$116,$25,$8,$5,$19,$44,$0,$-181,$2,$72,$116,$1,$1,$0,$1,$2,$-0,$-0,$0,$1,$3,$-0,$0,$0,$0,$0,$0,$0,$-0,$-1,$1,$1,$0,$0,$0,$-0,$1,$3,$0,$0
3,2017-12-31,3.55,$2.69,1.32,$3.75,0.95,$-0.40,0.0,$0.15,23.67,$0.05B,$0.03B,1.97,$0.01B,$0.07B,0.12,$0.10B,$0.03B,27.55%,$0.10B,$0.00B,3.06%,$0.10B,$0.00B,3.06%,$0.10B,$0.01B,7.14%,$0.10B,$0.00B,2.04%,$0.10B,$0.00B,3.06%,$0.00B,$0.07B,4.48%,$0.00B,$0.02B,19.35%,$0.00B,$0.12B,2.70%,$0.00B,$0.08B,3.95%,$29,$21,$8,$0,$5,$27,$2,$-0,$2,$-3,$4,$4,$4,$3,$2,$26,26,$0.17,$0.17,$5,$9,$0,$52,$9,$0,$51,$4,$65,$116,$26,$9,$5,$19,$45,$0,$-182,$2,$71,$116,$4,$4,$-4,$0,$-7,$2,$1,$0,$-2,$2,$-5,$0,$0,$0,$0,$0,$0,$-5,$0,$2,$2,$0,$0,$0,$0,$2,$-2,$0,$0
4,2017-09-30,4.2,$2.51,1.67,$3.50,1.2,$-0.24,0.0,$-0.10,0.0,$0.05B,$0.02B,2.17,$0.01B,$0.07B,0.14,$0.09B,$0.03B,27.78%,$0.09B,$-0.00B,-1.11%,$0.09B,$-0.00B,-1.11%,$0.09B,$0.00B,3.33%,$0.09B,$-0.00B,-2.22%,$0.09B,$-0.00B,-3.33%,$-0.00B,$0.07B,-4.58%,$-0.00B,$0.02B,-21.82%,$-0.00B,$0.11B,-2.75%,$-0.00B,$0.08B,-1.34%,$26,$19,$7,$1,$4,$25,$1,$-0,$1,$0,$1,$1,$1,$2,$1,$26,26,$0.03,$0.03,$5,$10,$0,$46,$8,$0,$51,$4,$64,$110,$21,$9,$5,$22,$44,$0,$-186,$2,$66,$110,$-1,$3,$-1,$2,$-1,$1,$2,$-2,$-1,$1,$-4,$0,$0,$-0,$0,$-0,$0,$-4,$1,$0,$1,$0,$0,$0,$0,$1,$-3,$0,$0
5,2017-06-30,3.55,$2.48,1.43,$3.44,1.03,$-0.15,0.0,$-0.11,0.0,$0.04B,$0.02B,2.19,$0.01B,$0.07B,0.15,$0.09B,$0.03B,29.55%,$0.09B,0,0.00%,$0.09B,0,0.00%,$0.09B,$0.00B,4.55%,$0.09B,$-0.00B,-1.14%,$0.09B,$-0.00B,-3.41%,$-0.00B,$0.07B,-4.56%,$-0.00B,$0.01B,-21.82%,$-0.00B,$0.11B,-2.71%,$0.00B,$0.08B,0.00%,$21,$15,$6,$1,$5,$22,$-0,$-0,$-0,$0,$-1,$-1,$-1,$1,$-0,$26,26,$-0.02,$-0.02,$5,$11,$0,$44,$8,$0,$52,$4,$64,$108,$20,$10,$5,$23,$43,$0,$-187,$2,$66,$108,$-1,$2,$-1,$1,$3,$0,$0,$-2,$0,$-0,$-3,$0,$0,$0,$0,$0,$0,$-3,$1,$1,$2,$0,$0,$0,$0,$2,$-2,$0,$0
6,2017-03-31,2.95,$2.47,1.19,$3.48,0.85,$0.04,77.43,$-0.12,0.0,$0.05B,$0.02B,1.99,$0.01B,$0.07B,0.13,$0.09B,$0.03B,30.34%,$0.09B,0,0.00%,$0.09B,0,0.00%,$0.09B,$0.00B,4.49%,$0.09B,$-0.00B,-1.12%,$0.09B,$-0.00B,-3.37%,$-0.00B,$0.07B,-4.56%,$-0.00B,$0.01B,-22.22%,$-0.00B,$0.11B,-2.69%,$0.00B,$0.07B,0.00%,$22,$16,$6,$1,$5,$23,$-0,$-0,$-1,$0,$-1,$-1,$-1,$1,$-0,$26,26,$-0.03,$-0.03,$9,$10,$0,$48,$6,$0,$52,$3,$62,$110,$24,$8,$4,$20,$45,$0,$-186,$2,$65,$110,$-1,$1,$-2,$-1,$1,$1,$1,$-1,$2,$0,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$3,$3,$0,$0,$0,$0,$3,$1,$0,$0
7,2016-12-31,3.5,$2.46,1.42,$3.65,0.96,$0.19,18.31,$-0.12,0.0,$0.05B,$0.02B,2.01,$0.01B,$0.07B,0.13,$0.09B,$0.03B,31.52%,$0.09B,0,0.00%,$0.09B,0,0.00%,$0.09B,$0.00B,4.35%,$0.09B,0,0.00%,$0.09B,$-0.00B,-3.26%,$-0.00B,$0.07B,-4.53%,$-0.00B,$0.01B,-22.22%,$-0.00B,$0.11B,-2.67%,$0.00B,$0.07B,0.00%,$21,$16,$6,$0,$6,$23,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-1,$-2,$25,25,$-0.07,$-0.07,$7,$10,$0,$48,$6,$0,$52,$3,$62,$109,$24,$9,$4,$21,$44,$0,$-185,$1,$65,$109,$-3,$5,$3,$8,$2,$-1,$-2,$-2,$-2,$3,$-2,$0,$0,$-0,$0,$-0,$0,$-2,$-6,$-1,$-7,$3,$3,$0,$0,$-4,$-3,$1,$0
8,2016-09-30,2.95,$2.55,1.16,$3.97,0.74,$0.28,10.59,$-0.02,0.0,$0.05B,$0.03B,2.11,$0.01B,$0.07B,0.14,$0.10B,$0.03B,31.63%,$0.10B,$0.00B,4.08%,$0.10B,$0.00B,4.08%,$0.10B,$0.01B,8.16%,$0.10B,$0.00B,3.06%,$0.10B,$-0.00B,-1.02%,$-0.00B,$0.07B,-1.52%,$-0.00B,$0.02B,-8.00%,$-0.00B,$0.12B,-0.87%,$0.00B,$0.08B,5.25%,$24,$16,$8,$1,$5,$22,$2,$-0,$2,$0,$2,$2,$1,$3,$2,$26,26,$0.02,$0.02,$11,$11,$0,$53,$6,$0,$53,$5,$64,$116,$25,$9,$7,$24,$49,$0,$-183,$1,$67,$116,$-1,$3,$2,$5,$1,$-1,$-1,$-2,$-4,$0,$-1,$0,$0,$-0,$0,$-0,$0,$-1,$-5,$3,$-2,$3,$3,$0,$0,$1,$-0,$1,$0
9,2016-06-30,2.81,$2.51,1.12,$4.02,0.7,$0.20,13.93,$-0.07,0.0,$0.05B,$0.02B,2.29,$0.01B,$0.07B,0.15,$0.10B,$0.03B,30.93%,$0.10B,$0.00B,2.06%,$0.10B,$0.00B,2.06%,$0.10B,$0.01B,7.22%,$0.10B,$0.00B,1.03%,$0.10B,$-0.00B,-3.09%,$-0.00B,$0.07B,-4.62%,$-0.00B,$0.01B,-27.91%,$-0.00B,$0.11B,-2.62%,$0.00B,$0.08B,2.62%,$22,$15,$7,$1,$6,$22,$-0,$-0,$-0,$0,$-1,$-1,$-1,$1,$-0,$25,25,$-0.03,$-0.03,$10,$10,$0,$46,$6,$0,$53,$6,$65,$111,$20,$10,$8,$25,$45,$0,$-184,$1,$66,$111,$-1,$2,$1,$3,$5,$-0,$-3,$-2,$0,$2,$-1,$0,$0,$0,$0,$0,$0,$-1,$-5,$0,$-5,$3,$3,$0,$0,$-2,$-1,$1,$0
10,2016-03-31,2.43,$2.54,0.96,$4.08,0.6,$0.00,0.0,$-0.14,0.0,$0.05B,$0.02B,2.14,$0.01B,$0.07B,0.14,$0.10B,$0.03B,29.90%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.01B,5.15%,$0.10B,$-0.00B,-1.03%,$0.10B,$-0.00B,-4.12%,$-0.00B,$0.07B,-6.20%,$-0.00B,$0.01B,-42.11%,$-0.00B,$0.11B,-3.43%,$0.00B,$0.08B,0.00%,$25,$18,$8,$1,$6,$25,$0,$-0,$-0,$0,$-0,$-0,$-1,$1,$0,$25,25,$-0.03,$-0.03,$11,$10,$0,$47,$6,$0,$54,$6,$66,$114,$22,$9,$8,$25,$47,$0,$-183,$1,$67,$114,$-1,$1,$1,$2,$5,$-0,$-1,$-2,$2,$4,$-0,$0,$0,$0,$0,$0,$0,$-0,$-6,$1,$-5,$3,$3,$0,$0,$-2,$1,$0,$0
11,2015-12-31,2.04,$2.59,0.79,$4.10,0.5,$-0.19,0.0,$-0.13,0.0,$0.05B,$0.03B,1.9,$0.01B,$0.06B,0.19,$0.10B,$0.03B,29.17%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.01B,5.21%,$0.10B,$-0.00B,-1.04%,$0.10B,$-0.00B,-3.13%,$-0.00B,$0.06B,-4.67%,$-0.00B,$0.01B,-34.29%,$-0.00B,$0.12B,-2.53%,$0.00B,$0.08B,0.00%,$27,$19,$8,$0,$6,$26,$2,$-0,$1,$0,$1,$1,$0,$3,$2,$24,24,$0.03,$0.03,$11,$10,$0,$51,$6,$0,$55,$5,$67,$117,$27,$12,$8,$27,$53,$0,$-183,$1,$64,$117,$-3,$5,$1,$6,$4,$0,$-1,$-1,$2,$4,$-2,$0,$0,$0,$0,$0,$0,$-1,$-5,$4,$-1,$0,$0,$0,$-3,$-4,$-1,$1,$0
12,2015-09-30,1.33,$2.57,0.52,$4.21,0.32,$-0.09,0.0,$-0.14,0.0,$0.05B,$0.03B,1.97,$0.01B,$0.06B,0.21,$0.10B,$0.03B,27.55%,$0.10B,$-0.00B,-3.06%,$0.10B,$-0.00B,-3.06%,$0.10B,$0.00B,2.04%,$0.10B,$-0.00B,-1.02%,$0.10B,$-0.00B,-3.06%,$-0.00B,$0.06B,-4.63%,$-0.00B,$0.01B,-34.29%,$-0.00B,$0.12B,-2.49%,$-0.00B,$0.08B,-3.75%,$23,$16,$7,$1,$5,$23,$0,$-0,$-0,$0,$-0,$-0,$-1,$2,$0,$24,24,$-0.03,$-0.03,$11,$10,$0,$50,$6,$0,$55,$5,$67,$116,$25,$13,$8,$28,$53,$0,$-183,$1,$63,$116,$-3,$4,$0,$4,$7,$-0,$-2,$-3,$-2,$-2,$-1,$0,$0,$0,$0,$0,$0,$-1,$-4,$6,$2,$0,$0,$0,$0,$2,$-0,$0,$0
13,2015-06-30,2.41,$2.61,0.92,$4.27,0.56,$0.06,40.71,$-0.09,0.0,$0.05B,$0.03B,1.95,$0.02B,$0.06B,0.23,$0.10B,$0.03B,28.00%,$0.10B,$-0.00B,-2.00%,$0.10B,$-0.00B,-2.00%,$0.10B,$0.00B,3.00%,$0.10B,0,0.00%,$0.10B,$-0.00B,-2.00%,$-0.00B,$0.06B,-3.05%,$-0.00B,$0.01B,-22.86%,$-0.00B,$0.12B,-1.63%,$-0.00B,$0.08B,-2.45%,$22,$15,$6,$1,$6,$23,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-1,$-2,$24,24,$-0.10,$-0.10,$12,$10,$0,$52,$7,$0,$56,$5,$68,$119,$26,$15,$8,$29,$55,$0,$-182,$1,$64,$119,$-3,$2,$-0,$2,$6,$-0,$-2,$-3,$-3,$-3,$-0,$0,$0,$-0,$0,$-0,$0,$-0,$-2,$6,$4,$0,$0,$0,$0,$4,$1,$0,$0
14,2015-03-31,3.1,$2.68,1.16,$4.68,0.66,$0.12,25.6,$0.10,31.0,$0.05B,$0.03B,2.01,$0.02B,$0.07B,0.24,$0.11B,$0.03B,30.19%,$0.11B,$0.00B,1.89%,$0.11B,$0.00B,1.89%,$0.11B,$0.01B,7.55%,$0.11B,$0.00B,3.77%,$0.11B,$0.00B,1.89%,$0.00B,$0.07B,3.16%,$0.00B,$0.01B,34.78%,$0.00B,$0.12B,1.63%,$0.00B,$0.08B,2.48%,$24,$17,$7,$1,$5,$24,$0,$-0,$-0,$0,$-0,$-0,$-0,$1,$0,$23,23,$-0.02,$-0.02,$12,$9,$0,$54,$6,$0,$56,$5,$68,$122,$27,$15,$7,$29,$56,$0,$-180,$0,$66,$122,$-0,$1,$0,$1,$3,$0,$-2,$-2,$-3,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$4,$2,$0,$0,$0,$0,$2,$1,$0,$0
15,2014-12-31,2.32,$2.70,0.86,$4.75,0.49,$0.09,25.78,$0.17,13.65,$0.06B,$0.03B,1.99,$0.02B,$0.07B,0.26,$0.10B,$0.03B,30.77%,$0.10B,$0.00B,2.88%,$0.10B,$0.00B,2.88%,$0.10B,$0.01B,8.65%,$0.10B,$0.01B,4.81%,$0.10B,$0.00B,2.88%,$0.00B,$0.07B,5.08%,$0.00B,$0.01B,40.00%,$0.00B,$0.13B,2.67%,$0.00B,$0.08B,4.10%,$29,$21,$7,$0,$7,$30,$-1,$2,$1,$0,$1,$1,$0,$0,$-1,$22,23,$0.00,$-0.01,$12,$10,$0,$56,$6,$0,$57,$5,$69,$125,$28,$17,$7,$30,$58,$0,$-180,$1,$66,$125,$3,$4,$0,$4,$-0,$1,$-1,$0,$-0,$7,$-2,$0,$-29,$0,$0,$0,$0,$-31,$19,$0,$19,$10,$10,$0,$0,$30,$5,$1,$0
16,2014-09-30,3.25,$2.71,1.2,$4.71,0.69,$0.37,8.8,$0.13,25.0,$0.06B,$0.03B,2.14,$0.02B,$0.07B,0.28,$0.10B,$0.03B,32.29%,$0.10B,$0.00B,4.17%,$0.10B,$0.00B,4.17%,$0.10B,$0.01B,9.38%,$0.10B,$0.00B,4.17%,$0.10B,$0.00B,2.08%,$0.00B,$0.07B,3.67%,$0.00B,$0.01B,21.62%,$0.00B,$0.13B,1.98%,$0.00B,$0.08B,6.15%,$25,$17,$8,$1,$5,$24,$1,$-0,$1,$0,$0,$0,$0,$3,$1,$23,24,$0.02,$0.02,$11,$11,$0,$57,$6,$0,$58,$5,$69,$126,$27,$18,$10,$34,$61,$0,$-180,$1,$66,$126,$3,$3,$1,$4,$-1,$-0,$-3,$-1,$-5,$2,$-1,$0,$-29,$0,$0,$0,$0,$-30,$21,$2,$22,$11,$11,$0,$0,$33,$5,$0,$0
17,2014-06-30,4.46,$2.63,1.69,$5.06,0.88,$0.61,7.26,$0.16,27.88,$0.05B,$0.03B,1.73,$0.02B,$0.06B,0.35,$0.09B,$0.03B,30.85%,$0.09B,$0.00B,4.26%,$0.09B,$0.00B,4.26%,$0.09B,$0.01B,8.51%,$0.09B,$0.00B,4.26%,$0.09B,$0.00B,3.19%,$0.00B,$0.06B,6.03%,$0.00B,$-0.00B,27.27%,$0.00B,$0.12B,3.33%,$0.00B,$0.08B,7.11%,$28,$18,$10,$1,$6,$26,$2,$-0,$2,$0,$2,$2,$2,$4,$2,$20,21,$0.09,$0.09,$1,$10,$0,$47,$6,$0,$59,$5,$71,$117,$27,$19,$10,$35,$62,$0,$-180,$2,$55,$117,$3,$2,$1,$2,$-0,$1,$-4,$-2,$-6,$-1,$-1,$0,$-29,$0,$0,$0,$0,$-30,$22,$4,$26,$0,$0,$0,$0,$26,$-5,$0,$0
18,2014-03-31,6.22,$2.43,2.56,$5.12,1.21,$0.69,9.01,$0.16,38.88,$0.04B,$0.02B,2.23,$0.00B,$0.05B,0.04,$0.09B,$0.03B,28.41%,$0.09B,$0.00B,4.55%,$0.09B,$0.00B,4.55%,$0.09B,$0.01B,6.82%,$0.09B,$0.00B,4.55%,$0.09B,$0.00B,2.27%,$0.00B,$0.05B,4.32%,$0.00B,$0.02B,14.29%,$0.00B,$0.08B,2.45%,$0.00B,$0.05B,8.33%,$22,$15,$7,$1,$5,$21,$1,$-0,$1,$0,$1,$1,$1,$2,$1,$20,20,$0.05,$0.05,$6,$9,$0,$39,$5,$0,$32,$5,$42,$81,$18,$2,$7,$15,$32,$0,$-182,$2,$49,$81,$1,$0,$0,$1,$-1,$2,$-1,$-1,$-3,$-2,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$2,$2,$0,$0,$0,$0,$2,$1,$0,$0
19,2013-12-31,3.49,$2.38,1.47,$5.37,0.65,$0.62,5.67,$0.14,24.93,$0.04B,$0.02B,2.12,$0.00B,$0.05B,0.04,$0.09B,$0.02B,26.14%,$0.09B,$0.00B,4.55%,$0.09B,$0.00B,4.55%,$0.09B,$0.01B,5.68%,$0.09B,$0.00B,4.55%,$0.09B,$0.00B,1.14%,$0.00B,$0.05B,2.29%,$0.00B,$0.02B,8.89%,$0.00B,$0.08B,1.22%,$0.00B,$0.05B,8.84%,$21,$15,$6,$1,$5,$21,$-0,$0,$-0,$0,$-1,$-1,$-1,$0,$-0,$17,17,$-0.05,$-0.05,$6,$10,$0,$39,$5,$0,$32,$5,$42,$81,$18,$2,$7,$14,$33,$0,$-183,$2,$48,$81,$2,$2,$1,$3,$2,$-0,$-2,$3,$5,$10,$-2,$0,$0,$-0,$0,$-0,$0,$-2,$-1,$-10,$-11,$6,$6,$0,$-0,$-4,$4,$0,$0
