,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,3.4,$12.01,0.28,$3.33,1.02,$-0.80,0.0,0,0.0,$0.06B,$0.00B,0.0,$0.00B,$0.08B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$0.01B,21.74%,$0.02B,$0.01B,21.74%,$0.02B,$0.01B,26.09%,$0.02B,$0.01B,26.09%,$0.02B,$-0.00B,-17.39%,$-0.00B,$0.08B,-4.16%,$-0.00B,$0.08B,-4.21%,$-0.00B,$0.08B,-3.33%,$0.01B,$0.08B,5.19%,$7,$0,$7,$0,$4,$4,$3,$-0,$3,$1,$2,$2,$2,$3,$3,$7,7,$0.29,$0.29,$39,$0,$0,$56,$0,$14,$1,$1,$26,$82,$0,$0,$2,$2,$2,$0,$79,$0,$80,$82,$0,$0,$4,$4,$0,$0,$0,$-4,$-1,$3,$-0,$0,$4,$-1,$53,$52,$-13,$43,$0,$0,$0,$0,$0,$-35,$1,$-34,$13,$0,$-35
1,2018-03-31,3.75,$11.71,0.32,$3.03,1.24,$-2.71,0.0,$0.27,13.89,$0.05B,$0.00B,0.0,$0.00B,$0.08B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$0.00B,4.76%,$0.02B,$0.00B,4.76%,$0.02B,$0.00B,9.52%,$0.02B,$0.01B,23.81%,$0.02B,$-0.00B,-19.05%,$-0.00B,$0.08B,-3.77%,$-0.00B,$0.08B,-3.82%,$-0.00B,$0.08B,-2.62%,$0.00B,$0.08B,0.92%,$6,$0,$6,$0,$3,$3,$2,$-1,$2,$1,$1,$1,$1,$3,$2,$7,7,$0.15,$0.15,$32,$0,$0,$52,$0,$16,$1,$2,$28,$80,$0,$0,$2,$2,$2,$0,$77,$-0,$78,$80,$-2,$0,$4,$4,$0,$0,$0,$-4,$-3,$-0,$0,$0,$4,$1,$53,$54,$-16,$43,$0,$0,$0,$0,$0,$-35,$1,$-34,$9,$0,$-35
2,2017-12-31,3.58,$16.94,0.21,$2.73,1.31,$-3.41,0.0,$-0.30,0.0,$0.05B,$0.00B,0.0,$0.00B,$0.11B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.01B,-40.00%,$0.02B,$-0.01B,-40.00%,$0.02B,$-0.01B,-40.00%,$0.02B,$-0.01B,-25.00%,$0.02B,$-0.01B,-65.00%,$-0.01B,$0.11B,-11.26%,$-0.01B,$0.11B,-11.38%,$-0.01B,$0.12B,-7.04%,$-0.01B,$0.11B,-6.64%,$5,$0,$5,$0,$4,$4,$1,$0,$1,$4,$-3,$-3,$-3,$1,$1,$7,7,$-0.40,$-0.40,$29,$0,$0,$50,$0,$55,$1,$1,$66,$116,$0,$0,$3,$3,$3,$0,$111,$0,$112,$116,$-3,$0,$4,$4,$0,$0,$0,$-1,$-1,$1,$0,$0,$4,$1,$-1,$0,$-1,$4,$0,$0,$0,$0,$0,$0,$1,$1,$6,$0,$0
3,2017-09-30,3.61,$17.33,0.21,$2.40,1.51,$-3.99,0.0,$-0.36,0.0,$0.04B,$0.00B,0.0,$0.00B,$0.12B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.01B,-50.00%,$0.02B,$-0.01B,-50.00%,$0.02B,$-0.01B,-50.00%,$0.02B,$-0.01B,-35.00%,$0.02B,$-0.01B,-65.00%,$-0.01B,$0.12B,-9.85%,$-0.01B,$0.11B,-9.96%,$-0.01B,$0.20B,-5.91%,$-0.01B,$0.12B,-6.45%,$5,$0,$5,$0,$6,$6,$-1,$1,$-0,$1,$-1,$-1,$-4,$-1,$-1,$9,9,$-0.75,$-0.74,$23,$0,$0,$40,$0,$54,$1,$1,$162,$202,$0,$0,$5,$87,$87,$0,$114,$0,$115,$202,$-8,$0,$-5,$-5,$0,$0,$0,$10,$2,$-12,$-0,$0,$0,$55,$3,$58,$-2,$56,$0,$0,$0,$-54,$-54,$0,$12,$-43,$1,$0,$0
4,2017-06-30,3.87,$17.99,0.22,$1.77,2.19,$-3.38,0.0,$0.02,193.52,$0.05B,$0.00B,0.0,$0.01B,$0.12B,0.08,$0.02B,$0.02B,100.00%,$0.02B,$-0.01B,-86.67%,$0.02B,$-0.01B,-86.67%,$0.02B,$-0.01B,-86.67%,$0.02B,$-0.01B,-40.00%,$0.02B,$-0.01B,-33.33%,$-0.01B,$0.12B,-3.36%,$-0.01B,$0.12B,-3.40%,$-0.01B,$0.21B,-2.14%,$-0.01B,$0.13B,-7.57%,$5,$0,$5,$0,$6,$6,$-1,$2,$2,$0,$2,$2,$2,$-1,$-1,$7,7,$0.32,$0.31,$31,$0,$0,$48,$0,$52,$1,$3,$165,$213,$0,$10,$5,$93,$93,$0,$118,$0,$119,$213,$-7,$0,$-1,$-1,$0,$0,$0,$4,$-2,$-10,$-0,$0,$0,$53,$3,$56,$-2,$54,$10,$0,$10,$-54,$-54,$0,$9,$-36,$9,$0,$0
5,2017-03-31,3.89,$17.68,0.22,$1.45,2.69,$-2.36,0.0,$0.01,389.43,$0.04B,$0.00B,0.0,$0.01B,$0.12B,0.08,$0.02B,$0.02B,100.00%,$0.02B,$-0.01B,-81.25%,$0.02B,$-0.01B,-81.25%,$0.02B,$-0.01B,-81.25%,$0.02B,$-0.00B,-18.75%,$0.02B,$-0.00B,-18.75%,$-0.00B,$0.12B,-1.84%,$-0.00B,$0.12B,-1.86%,$-0.00B,$0.21B,-1.24%,$-0.01B,$0.13B,-6.52%,$5,$0,$5,$0,$12,$13,$-7,$-0,$-8,$-1,$-7,$-7,$-8,$-7,$-7,$10,10,$-0.82,$-0.82,$24,$0,$0,$44,$0,$49,$1,$5,$165,$208,$0,$10,$6,$92,$92,$0,$116,$0,$116,$208,$-9,$0,$4,$4,$0,$0,$0,$4,$-3,$-7,$-0,$0,$0,$51,$3,$54,$-7,$47,$10,$0,$10,$-54,$-54,$0,$7,$-38,$2,$0,$0
6,2016-12-31,4.68,$15.01,0.31,$1.36,3.43,$-1.86,0.0,$0.43,10.89,$0.09B,$0.00B,0.0,$0.07B,$0.18B,0.4,$0.02B,$0.02B,100.00%,$0.02B,$-0.01B,-58.82%,$0.02B,$-0.01B,-58.82%,$0.02B,$-0.01B,-58.82%,$0.02B,$0.00B,5.88%,$0.02B,$0.00B,17.65%,$0.00B,$0.18B,1.69%,$0.00B,$0.18B,1.71%,$0.00B,$0.26B,1.20%,$-0.01B,$0.25B,-4.42%,$5,$0,$5,$0,$7,$7,$-1,$0,$-1,$1,$-2,$-2,$-3,$-1,$-1,$12,12,$-0.25,$-0.25,$70,$0,$0,$89,$0,$51,$3,$97,$168,$257,$0,$72,$8,$79,$79,$0,$126,$-2,$178,$257,$-2,$0,$-1,$-1,$0,$0,$0,$1,$-3,$-5,$-0,$0,$0,$-1,$-0,$-1,$-3,$-3,$0,$0,$0,$0,$0,$0,$4,$4,$-4,$-0,$0
7,2016-09-30,5.02,$15.31,0.33,$1.86,2.7,$-1.42,0.0,$0.64,7.84,$0.09B,$0.00B,0.0,$0.00B,$0.18B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.01B,-20.83%,$0.02B,$-0.01B,-20.83%,$0.02B,$-0.01B,-20.83%,$0.02B,$0.01B,20.83%,$0.02B,$0.01B,33.33%,$0.01B,$0.18B,4.53%,$0.01B,$0.18B,4.58%,$0.01B,$0.26B,3.28%,$-0.01B,$0.18B,-2.26%,$-0,$0,$-0,$0,$4,$3,$-4,$5,$1,$-0,$1,$1,$4,$-4,$-4,$12,13,$0.31,$0.30,$73,$0,$0,$88,$0,$52,$1,$7,$167,$255,$0,$0,$4,$73,$73,$0,$127,$1,$182,$255,$5,$0,$-22,$-22,$0,$0,$0,$1,$8,$-9,$-0,$0,$0,$6,$3,$8,$-9,$-1,$0,$0,$0,$-10,$-10,$0,$16,$6,$-4,$1,$0
8,2016-06-30,5.05,$14.91,0.34,$1.22,4.14,$-2.31,0.0,$0.34,14.86,$0.09B,$0.00B,0.0,$0.06B,$0.18B,0.36,$0.02B,$0.02B,100.00%,$0.02B,$-0.01B,-33.33%,$0.02B,$-0.01B,-33.33%,$0.02B,$-0.01B,-40.00%,$0.02B,$0.00B,6.67%,$0.02B,$0.00B,26.67%,$0.00B,$0.18B,2.26%,$0.00B,$0.17B,2.29%,$0.00B,$0.25B,1.66%,$-0.01B,$0.24B,-2.25%,$6,$0,$6,$0,$7,$7,$-1,$6,$5,$2,$3,$3,$4,$-1,$-1,$12,12,$0.32,$0.31,$74,$0,$0,$94,$0,$47,$3,$89,$152,$246,$0,$63,$7,$69,$69,$0,$124,$-0,$176,$246,$2,$0,$-10,$-10,$0,$0,$0,$-0,$2,$-5,$-0,$0,$0,$5,$2,$7,$-8,$-1,$0,$0,$0,$-10,$-10,$0,$11,$1,$-5,$1,$0
9,2016-03-31,4.26,$14.44,0.29,$1.51,2.81,$-2.27,0.0,$0.09,47.31,$0.10B,$0.00B,0.0,$0.06B,$0.17B,0.34,$0.02B,$0.02B,100.00%,$0.02B,$-0.00B,-15.79%,$0.02B,$-0.00B,-15.79%,$0.02B,$-0.00B,-21.05%,$0.02B,$-0.00B,-21.05%,$0.02B,0,0.00%,$0.00B,$0.17B,0.00%,$0.00B,$0.17B,0.00%,$0.00B,$0.24B,0.00%,$-0.00B,$0.23B,-1.37%,$6,$0,$6,$0,$10,$10,$-4,$0,$-4,$-1,$-2,$-2,$-2,$-4,$-4,$12,12,$-0.15,$-0.15,$75,$0,$0,$100,$0,$39,$3,$84,$139,$239,$0,$59,$6,$65,$65,$0,$121,$-1,$173,$239,$-1,$0,$-2,$-1,$0,$0,$0,$-0,$-0,$-3,$-0,$0,$0,$3,$3,$7,$-6,$1,$0,$0,$0,$-8,$-8,$0,$8,$-1,$-2,$0,$0
