,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,66.52,$0.00,0.0,$0.03,2464.02,$-8.62,0.0,$-4.27,0.0,$0.43B,$0.04B,9.87,$0.00B,$0.40B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.17B,-17100.00%,$0.00B,$-0.17B,-17100.00%,$0.00B,$-0.17B,-17100.00%,$0.00B,$-0.16B,-15800.00%,$0.00B,$-0.16B,-15800.00%,$-0.16B,$0.40B,-49.65%,$-0.16B,$0.39B,-50.32%,$-0.16B,$0.44B,-45.57%,$-0.17B,$0.40B,-53.73%,$0,$0,$0,$48,$6,$54,$-54,$27,$-27,$-0,$-27,$-27,$-27,$-54,$-54,$42,42,$-0.66,$-0.66,$421,$0,$0,$431,$3,$0,$4,$1,$9,$440,$44,$0,$0,$0,$44,$7,$-390,$0,$396,$440,$-77,$0,$-9,$-9,$0,$0,$15,$-0,$15,$-68,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$254,$254,$0,$-16,$239,$188,$11,$0
1,2018-03-31,65.4,$0.00,0.0,$0.04,1575.64,$-8.53,0.0,$-4.65,0.0,$0.44B,$0.02B,20.55,$0.00B,$0.43B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.14B,-14400.00%,$0.00B,$-0.14B,-14400.00%,$0.00B,$-0.14B,-14400.00%,$0.00B,$-0.17B,-16500.00%,$0.00B,$-0.17B,-16500.00%,$-0.17B,$0.43B,-64.96%,$-0.17B,$0.42B,-66.07%,$-0.17B,$0.45B,-59.78%,$-0.14B,$0.43B,-56.69%,$0,$0,$0,$38,$6,$43,$-43,$-8,$-51,$-0,$-51,$-51,$-51,$-43,$-43,$39,39,$-1.32,$-1.32,$428,$0,$0,$440,$3,$0,$4,$1,$9,$448,$21,$0,$0,$0,$21,$7,$-374,$0,$427,$448,$-51,$0,$13,$14,$0,$0,$-8,$-1,$-9,$-45,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$258,$258,$0,$-16,$242,$188,$6,$0
2,2017-12-31,40.06,$5.73,6.99,$0.05,758.12,$-8.07,0.0,$-4.17,0.0,$0.23B,$0.03B,8.61,$0.00B,$0.21B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.13B,-12600.00%,$0.00B,$-0.13B,-12600.00%,$0.00B,$-0.13B,-12600.00%,$0.00B,$-0.14B,-14100.00%,$0.00B,$-0.14B,-14100.00%,$-0.14B,$0.21B,-74.80%,$-0.14B,$0.21B,-76.53%,$-0.14B,$0.24B,-67.14%,$-0.13B,$0.21B,-66.84%,$0,$0,$0,$32,$5,$37,$-37,$-3,$-40,$-0,$-40,$-40,$-40,$-37,$-37,$34,34,$-1.07,$-1.07,$221,$0,$0,$231,$3,$0,$4,$0,$7,$238,$27,$0,$0,$0,$27,$6,$-298,$0,$212,$238,$-140,$1,$25,$26,$0,$0,$12,$-7,$6,$-107,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$150,$150,$0,$-9,$141,$17,$11,$0
3,2017-09-30,36.25,$0.00,0.0,$0.09,425.94,$-7.38,0.0,$-3.64,0.0,$0.25B,$0.02B,10.85,$0.00B,$0.24B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.11B,-5650.00%,$0.00B,$-0.11B,-5650.00%,$0.00B,$-0.11B,-5650.00%,$0.00B,$-0.12B,-5950.00%,$0.00B,$-0.12B,-5950.00%,$-0.12B,$0.24B,-64.59%,$-0.12B,$0.23B,-66.02%,$-0.12B,$0.26B,-58.62%,$-0.11B,$0.24B,-61.33%,$1,$0,$1,$34,$3,$38,$-37,$-3,$-40,$-0,$-40,$-40,$-40,$-37,$-37,$33,33,$-1.22,$-1.22,$242,$0,$0,$254,$3,$0,$4,$0,$7,$261,$23,$0,$0,$0,$23,$6,$208,$0,$238,$261,$-105,$1,$20,$21,$-0,$0,$8,$-6,$1,$-83,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$136,$136,$0,$-8,$127,$31,$8,$0
4,2017-06-30,27.76,$0.00,0.0,$0.12,228.97,$-6.75,0.0,$-3.22,0.0,$0.15B,$0.02B,8.54,$0.00B,$0.14B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.10B,-4800.00%,$0.00B,$-0.10B,-4800.00%,$0.00B,$-0.10B,-4800.00%,$0.00B,$-0.10B,-4950.00%,$0.00B,$-0.10B,-4950.00%,$-0.10B,$0.14B,-68.04%,$-0.10B,$0.14B,-69.84%,$-0.10B,$0.16B,-61.11%,$-0.10B,$0.14B,-65.98%,$0,$0,$0,$24,$4,$28,$-27,$-7,$-34,$-0,$-34,$-34,$-34,$-27,$-27,$33,33,$-1.03,$-1.03,$140,$0,$0,$150,$3,$0,$4,$0,$7,$157,$18,$0,$0,$0,$18,$5,$114,$0,$139,$157,$-61,$0,$14,$14,$-0,$0,$3,$-5,$-3,$-50,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$1,$1,$0,$0,$1,$-58,$6,$0
5,2017-03-31,28.0,$0.00,0.0,$0.16,178.13,$-6.46,0.0,$-2.78,0.0,$0.18B,$0.02B,9.28,$0.00B,$0.17B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.09B,-2866.67%,$0.00B,$-0.09B,-2866.67%,$0.00B,$-0.09B,-2866.67%,$0.00B,$-0.08B,-2666.67%,$0.00B,$-0.08B,-2666.67%,$-0.08B,$0.17B,-58.61%,$-0.08B,$0.16B,-60.26%,$-0.08B,$0.18B,-52.72%,$-0.09B,$0.17B,-63.00%,$0,$0,$0,$22,$4,$26,$-25,$-2,$-27,$-0,$-27,$-27,$-27,$-25,$-25,$32,32,$-0.83,$-0.83,$168,$0,$0,$177,$3,$0,$4,$0,$7,$184,$19,$0,$0,$0,$19,$5,$144,$0,$165,$184,$-27,$0,$5,$5,$-0,$0,$5,$-5,$-1,$-23,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$1,$1,$0,$0,$1,$-24,$3,$0
6,2016-12-31,20.24,$6.03,3.36,$0.20,101.1,$-6.41,0.0,$-2.85,0.0,$0.20B,$0.02B,13.67,$0.00B,$0.20B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.08B,-2025.00%,$0.00B,$-0.08B,-2025.00%,$0.00B,$-0.08B,-2025.00%,$0.00B,$-0.08B,-1900.00%,$0.00B,$-0.08B,-1900.00%,$-0.08B,$0.20B,-61.66%,$-0.08B,$0.19B,-63.47%,$-0.08B,$0.21B,-55.58%,$-0.08B,$0.20B,-65.72%,$1,$0,$1,$22,$4,$25,$-24,$6,$-18,$0,$-18,$-18,$-18,$-24,$-24,$27,27,$-0.55,$-0.55,$200,$0,$0,$204,$3,$0,$4,$0,$7,$210,$15,$0,$0,$0,$15,$5,$176,$0,$195,$210,$-76,$1,$3,$4,$1,$0,$5,$-2,$5,$-67,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$139,$139,$0,$-9,$130,$67,$8,$0
7,2016-09-30,20.1,$0.00,0.0,$0.25,80.76,$-5.95,0.0,$-2.84,0.0,$0.09B,$0.01B,6.52,$0.00B,$0.08B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.07B,-1440.00%,$0.01B,$-0.07B,-1440.00%,$0.01B,$-0.07B,-1440.00%,$0.01B,$-0.07B,-1440.00%,$0.01B,$-0.07B,-1420.00%,$-0.07B,$0.08B,-65.74%,$-0.07B,$0.08B,-68.11%,$-0.07B,$0.10B,-58.80%,$-0.07B,$0.08B,-66.67%,$1,$0,$1,$18,$3,$21,$-20,$-0,$-20,$-0,$-20,$-20,$-20,$-20,$-20,$25,25,$-0.80,$-0.80,$83,$0,$0,$90,$3,$0,$4,$0,$7,$97,$14,$0,$0,$0,$14,$4,$67,$0,$83,$97,$-58,$1,$8,$8,$1,$0,$3,$-3,$1,$-49,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$1,$1,$0,$0,$1,$-50,$6,$0
8,2016-06-30,13.27,$0.00,0.0,$0.29,45.27,$-5.55,0.0,$-2.38,0.0,$0.11B,$0.01B,8.17,$0.00B,$0.10B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.06B,-1000.00%,$0.01B,$-0.06B,-1000.00%,$0.01B,$-0.06B,-1000.00%,$0.01B,$-0.06B,-1000.00%,$0.01B,$-0.06B,-983.33%,$-0.06B,$0.10B,-47.58%,$-0.06B,$0.10B,-49.06%,$-0.06B,$0.12B,-43.46%,$-0.06B,$0.10B,-48.39%,$1,$0,$1,$15,$3,$18,$-17,$2,$-15,$-0,$-15,$-15,$-15,$-17,$-17,$25,25,$-0.60,$-0.60,$103,$0,$0,$109,$3,$0,$4,$0,$7,$116,$13,$0,$0,$0,$13,$4,$88,$0,$103,$116,$-38,$0,$6,$6,$1,$0,$2,$-2,$1,$-31,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$1,$1,$0,$0,$1,$-33,$4,$0
9,2016-03-31,18.55,$0.00,0.0,$0.33,55.91,$-5.29,0.0,$-2.48,0.0,$0.12B,$0.01B,9.9,$0.00B,$0.11B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.06B,-814.29%,$0.01B,$-0.06B,-814.29%,$0.01B,$-0.06B,-814.29%,$0.01B,$-0.06B,-885.71%,$0.01B,$-0.06B,-871.43%,$-0.06B,$0.11B,-44.94%,$-0.06B,$0.11B,-46.21%,$-0.06B,$0.12B,-41.29%,$-0.06B,$0.11B,-41.99%,$1,$0,$1,$18,$3,$21,$-20,$-3,$-23,$-0,$-23,$-23,$-23,$-20,$-20,$25,25,$-0.91,$-0.91,$112,$0,$0,$118,$3,$0,$4,$0,$7,$124,$12,$0,$0,$0,$12,$4,$100,$0,$112,$124,$-23,$0,$5,$5,$0,$0,$-0,$1,$1,$-16,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$-20,$2,$0
