,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,32.23,$18.95,1.7,$47.01,0.69,$5.82,5.54,$16.06,2.01,$0.28B,$0.15B,1.82,$0.35B,$0.32B,1.07,$0.84B,$0.22B,25.81%,$0.84B,$0.05B,5.85%,$0.84B,$0.05B,5.85%,$0.84B,$0.11B,13.62%,$0.84B,$0.02B,2.03%,$0.84B,$0.29B,35.01%,$0.29B,$0.32B,90.50%,$0.29B,$0.14B,227.13%,$0.29B,$0.83B,35.13%,$0.05B,$0.67B,7.00%,$205,$148,$57,$0,$46,$184,$21,$-5,$16,$7,$10,$10,$9,$36,$21,$17,18,$0.51,$0.49,$148,$0,$0,$276,$52,$0,$183,$14,$553,$829,$152,$347,$8,$354,$506,$25,$603,$0,$323,$829,$8,$47,$4,$51,$5,$0,$0,$-31,$-15,$44,$-4,$0,$0,$0,$15,$15,$0,$11,$-29,$0,$-29,$-18,$-18,$0,$-8,$-55,$-0,$6,$0
1,2018-06-30,29.17,$18.34,1.59,$48.12,0.61,$5.73,5.09,$15.95,1.83,$0.24B,$0.13B,1.82,$0.35B,$0.31B,1.14,$0.87B,$0.22B,25.26%,$0.87B,$0.04B,4.73%,$0.87B,$0.04B,4.73%,$0.87B,$0.11B,12.57%,$0.87B,$0.01B,1.27%,$0.87B,$0.29B,33.56%,$0.29B,$0.31B,112.36%,$0.29B,$0.12B,515.04%,$0.29B,$0.81B,37.51%,$0.04B,$0.67B,6.28%,$219,$163,$55,$0,$43,$206,$12,$-9,$3,$1,$2,$2,$2,$29,$12,$17,18,$0.09,$0.09,$128,$0,$0,$243,$59,$0,$192,$11,$567,$810,$134,$354,$9,$364,$498,$25,$596,$0,$312,$810,$-1,$33,$15,$48,$7,$0,$0,$-13,$-23,$23,$-3,$0,$0,$0,$0,$0,$0,$-3,$-14,$0,$-14,$-18,$-18,$0,$-7,$-39,$-18,$4,$0
2,2018-03-31,26.56,$18.46,1.44,$48.98,0.54,$4.92,5.4,$16.34,1.63,$0.25B,$0.10B,2.66,$0.40B,$0.32B,1.26,$0.90B,$0.23B,25.47%,$0.90B,$0.04B,4.67%,$0.90B,$0.04B,4.67%,$0.90B,$0.11B,12.35%,$0.90B,$0.02B,2.22%,$0.90B,$0.30B,33.15%,$0.30B,$0.32B,150.70%,$0.30B,$0.12B,-2337.25%,$0.30B,$0.83B,40.96%,$0.04B,$0.72B,6.86%,$197,$147,$50,$0,$43,$190,$7,$-12,$-5,$-1,$-4,$-4,$-4,$23,$7,$17,17,$-0.24,$-0.24,$127,$0,$0,$251,$66,$0,$199,$10,$580,$832,$95,$402,$15,$417,$512,$25,$600,$0,$320,$832,$-4,$16,$9,$25,$2,$0,$0,$-14,$-30,$-9,$-1,$0,$0,$0,$0,$0,$0,$-1,$-1,$0,$-1,$-7,$-7,$0,$-1,$-10,$-20,$2,$0
3,2017-12-31,28.0,$19.52,1.43,$50.08,0.56,$4.44,6.31,$16.92,1.65,$0.27B,$0.11B,2.48,$0.40B,$0.34B,1.19,$0.94B,$0.24B,25.69%,$0.94B,$0.05B,5.31%,$0.94B,$0.05B,5.31%,$0.94B,$0.12B,12.95%,$0.94B,$0.04B,3.72%,$0.94B,$0.31B,32.80%,$0.31B,$0.34B,227.62%,$0.31B,$0.13B,-372.29%,$0.31B,$0.87B,45.26%,$0.05B,$0.74B,8.82%,$216,$162,$54,$0,$46,$207,$9,$-5,$3,$-284,$287,$287,$286,$26,$9,$18,19,$15.76,$15.33,$154,$0,$0,$272,$73,$0,$206,$10,$594,$865,$110,$403,$12,$416,$525,$25,$627,$1,$340,$865,$312,$73,$-291,$-218,$30,$0,$0,$-60,$-28,$66,$-11,$0,$0,$0,$0,$0,$0,$-10,$-60,$0,$-60,$-37,$-37,$0,$-4,$-100,$-44,$4,$0
4,2017-09-30,25.87,$3.58,7.22,$50.68,0.51,$6.74,3.84,$0.12,215.58,$0.28B,$0.11B,2.57,$0.41B,$0.06B,6.46,$0.97B,$0.25B,26.32%,$0.97B,$0.03B,2.69%,$0.97B,$0.03B,2.69%,$0.97B,$0.10B,10.57%,$0.97B,$0.01B,1.24%,$0.97B,$0.00B,0.31%,$0.00B,$0.06B,4.53%,$0.00B,$-0.15B,-1.86%,$0.00B,$0.60B,0.47%,$0.03B,$0.48B,5.06%,$235,$175,$60,$0,$47,$222,$13,$-3,$10,$3,$8,$8,$7,$31,$13,$18,18,$0.39,$0.38,$160,$0,$0,$283,$81,$0,$215,$11,$313,$596,$110,$414,$8,$422,$532,$25,$342,$-2,$64,$596,$25,$55,$4,$59,$22,$0,$0,$-58,$-37,$47,$-7,$0,$0,$0,$0,$0,$0,$-7,$-49,$0,$-49,$-23,$-23,$0,$-3,$-75,$-35,$3,$0
5,2017-06-30,21.82,$3.70,5.9,$50.85,0.43,$9.17,2.38,$0.28,77.93,$0.29B,$0.10B,2.86,$0.44B,$0.07B,6.59,$0.98B,$0.27B,27.77%,$0.98B,$0.04B,3.87%,$0.98B,$0.04B,3.87%,$0.98B,$0.12B,11.90%,$0.98B,$0.02B,2.14%,$0.98B,$0.01B,0.71%,$0.01B,$0.07B,10.00%,$0.01B,$-0.16B,-4.18%,$0.01B,$0.62B,1.06%,$0.04B,$0.51B,7.16%,$251,$185,$65,$0,$52,$238,$13,$-1,$12,$2,$10,$10,$9,$31,$13,$18,19,$0.49,$0.48,$168,$0,$0,$290,$87,$0,$223,$11,$326,$617,$102,$439,$9,$448,$550,$25,$342,$4,$67,$617,$17,$38,$4,$42,$12,$0,$0,$-47,$-46,$13,$-6,$0,$0,$0,$0,$0,$0,$-6,$-25,$0,$-25,$-15,$-15,$0,$-2,$-42,$-35,$2,$0
6,2017-03-31,36.8,$3.93,9.36,$50.59,0.73,$11.71,3.14,$0.82,44.88,$0.31B,$0.11B,2.96,$0.47B,$0.07B,6.45,$0.99B,$0.29B,29.25%,$0.99B,$0.05B,5.26%,$0.99B,$0.05B,5.26%,$0.99B,$0.14B,13.66%,$0.99B,$0.03B,3.34%,$0.99B,$0.02B,1.82%,$0.02B,$0.07B,25.62%,$0.02B,$-0.16B,-10.29%,$0.02B,$0.65B,2.66%,$0.05B,$0.54B,9.66%,$240,$178,$63,$0,$48,$226,$15,$-5,$10,$3,$7,$7,$7,$34,$15,$19,19,$0.35,$0.34,$180,$0,$0,$311,$96,$0,$233,$12,$343,$653,$105,$467,$10,$476,$581,$25,$337,$11,$72,$653,$7,$20,$4,$24,$3,$0,$0,$-42,$-49,$-18,$-2,$0,$0,$0,$0,$0,$0,$-2,$-1,$0,$-1,$-10,$-10,$0,$-1,$-12,$-32,$1,$0
7,2016-12-31,26.59,$3.31,8.03,$50.61,0.53,$13.91,1.91,$1.40,18.99,$0.33B,$0.15B,2.19,$0.47B,$0.06B,7.52,$1.00B,$0.31B,30.76%,$1.00B,$0.07B,6.51%,$1.00B,$0.07B,6.51%,$1.00B,$0.15B,15.13%,$1.00B,$0.04B,4.41%,$1.00B,$0.03B,2.91%,$0.03B,$0.06B,42.80%,$0.03B,$-0.18B,-15.55%,$0.03B,$0.69B,4.18%,$0.07B,$0.53B,11.83%,$239,$173,$66,$0,$52,$253,$-15,$-5,$-20,$0,$-20,$-20,$-20,$6,$-15,$19,20,$-1.10,$-1.02,$195,$0,$0,$325,$103,$0,$242,$11,$364,$689,$149,$468,$10,$478,$627,$25,$334,$-2,$62,$689,$31,$86,$-2,$84,$16,$0,$0,$4,$11,$127,$-23,$0,$-9,$-48,$0,$-48,$1,$-80,$-51,$0,$-51,$-28,$-28,$0,$2,$-77,$-30,$6,$0
8,2016-09-30,32.4,$4.17,7.76,$51.54,0.63,$16.35,1.98,$0.13,249.23,$0.31B,$0.13B,2.38,$0.47B,$0.08B,5.95,$1.03B,$0.34B,32.85%,$1.03B,$0.04B,3.89%,$1.03B,$0.04B,3.89%,$1.03B,$0.13B,12.34%,$1.03B,$0.02B,1.94%,$1.03B,$0.00B,0.39%,$0.00B,$0.08B,6.13%,$0.00B,$-0.17B,-2.02%,$0.00B,$0.69B,0.57%,$0.04B,$0.55B,7.13%,$253,$174,$79,$0,$54,$228,$25,$-6,$19,$7,$11,$11,$11,$46,$25,$19,20,$0.57,$0.54,$180,$0,$0,$314,$110,$0,$253,$12,$380,$693,$132,$469,$14,$482,$615,$25,$359,$-2,$79,$693,$51,$65,$-1,$64,$4,$0,$0,$-19,$-9,$106,$-17,$0,$-10,$-48,$0,$-48,$0,$-74,$-49,$0,$-49,$-25,$-25,$0,$-2,$-76,$-44,$5,$0
9,2016-06-30,27.84,$3.73,7.47,$51.98,0.54,$15.77,1.77,$1.41,19.74,$0.29B,$0.12B,2.37,$0.47B,$0.07B,6.87,$1.05B,$0.36B,34.13%,$1.05B,$0.06B,6.01%,$1.05B,$0.06B,6.01%,$1.05B,$0.15B,14.11%,$1.05B,$0.04B,4.00%,$1.05B,$0.03B,2.86%,$0.03B,$0.07B,43.01%,$0.03B,$-0.19B,-13.94%,$0.03B,$0.68B,4.14%,$0.06B,$0.54B,10.75%,$256,$174,$81,$0,$54,$229,$27,$-3,$24,$3,$21,$21,$20,$49,$27,$18,20,$1.08,$1.02,$159,$0,$0,$286,$115,$0,$255,$13,$389,$675,$121,$470,$17,$486,$607,$25,$403,$-7,$68,$675,$40,$44,$-1,$43,$3,$0,$0,$-13,$-14,$69,$-12,$0,$0,$-48,$0,$-48,$-0,$-61,$-48,$0,$-48,$-19,$-19,$0,$-1,$-68,$-59,$4,$0
