,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,5.88,$3.79,1.55,$5.00,1.18,$1.07,5.49,$0.28,21.0,$0.23B,$0.26B,0.87,$0.46B,$0.24B,1.9,$0.36B,$0.33B,90.88%,$0.36B,$0.02B,6.63%,$0.36B,$0.02B,6.63%,$0.36B,$0.15B,42.27%,$0.36B,$0.03B,9.12%,$0.36B,$0.03B,7.73%,$0.03B,$0.24B,13.84%,$0.03B,$-0.48B,-5.06%,$0.03B,$0.98B,2.84%,$0.02B,$0.70B,3.41%,$77,$3,$75,$2,$33,$68,$10,$45,$55,$7,$48,$48,$48,$42,$10,$64,83,$0.76,$0.65,$122,$4,$0,$227,$12,$0,$718,$27,$756,$984,$261,$461,$19,$480,$741,$0,$-158,$-0,$242,$984,$61,$97,$11,$108,$29,$9,$0,$-66,$-112,$57,$-4,$0,$0,$0,$-2,$-2,$0,$-6,$-58,$0,$-58,$2,$2,$0,$-1,$-56,$-5,$10,$0
1,2018-06-30,6.67,$2.99,2.23,$5.58,1.2,$0.98,6.81,$-0.62,0.0,$0.13B,$0.23B,0.55,$0.48B,$0.19B,2.48,$0.38B,$0.33B,87.37%,$0.38B,$0.02B,3.95%,$0.38B,$0.02B,3.95%,$0.38B,$0.14B,37.63%,$0.38B,$-0.04B,-10.26%,$0.38B,$-0.04B,-9.47%,$-0.04B,$0.19B,-18.80%,$-0.04B,$-0.55B,6.09%,$-0.04B,$0.91B,-3.59%,$0.02B,$0.67B,2.08%,$63,$3,$61,$2,$31,$67,$-4,$-17,$-21,$-0,$-21,$-21,$-21,$28,$-4,$64,64,$-0.33,$-0.33,$57,$5,$0,$127,$11,$0,$743,$31,$785,$912,$232,$475,$14,$489,$721,$323,$-207,$-0,$191,$912,$13,$65,$7,$72,$30,$8,$0,$-37,$-99,$-14,$-1,$0,$0,$0,$1,$1,$0,$1,$-58,$0,$-58,$2,$2,$0,$-0,$-56,$-70,$8,$0
2,2018-03-31,6.59,$3.24,2.03,$6.19,1.06,$1.81,3.63,$-0.72,0.0,$0.19B,$0.26B,0.75,$0.53B,$0.21B,2.55,$0.42B,$0.35B,84.41%,$0.42B,$0.02B,3.60%,$0.42B,$0.02B,3.60%,$0.42B,$0.14B,34.05%,$0.42B,$-0.05B,-10.79%,$0.42B,$-0.04B,-10.07%,$-0.04B,$0.21B,-21.37%,$-0.04B,$-0.56B,6.85%,$-0.04B,$1.00B,-4.01%,$0.02B,$0.73B,2.00%,$128,$12,$116,$2,$29,$77,$51,$-18,$33,$-0,$34,$34,$34,$84,$51,$64,82,$0.53,$0.48,$102,$5,$0,$193,$12,$0,$768,$29,$809,$1002,$257,$525,$14,$539,$796,$317,$-186,$-0,$206,$1002,$34,$32,$2,$34,$10,$7,$0,$-37,$-95,$-27,$0,$0,$0,$0,$1,$1,$0,$1,$0,$0,$0,$1,$1,$0,$-0,$0,$-25,$2,$0
3,2017-12-31,8.05,$2.67,3.01,$6.08,1.32,$2.39,3.37,$-1.63,0.0,$0.23B,$0.31B,0.74,$0.54B,$0.17B,3.21,$0.38B,$0.31B,81.53%,$0.38B,$-0.04B,-11.35%,$0.38B,$-0.04B,-11.35%,$0.38B,$0.08B,21.64%,$0.38B,$-0.11B,-27.70%,$0.38B,$-0.10B,-27.18%,$-0.10B,$0.17B,-50.86%,$-0.10B,$-0.62B,16.25%,$-0.10B,$1.04B,-9.44%,$-0.04B,$0.71B,-5.50%,$94,$18,$77,$1,$48,$127,$-33,$-1,$-34,$-1,$-33,$-33,$-33,$-1,$-33,$63,63,$-0.52,$-0.52,$128,$13,$0,$231,$13,$0,$794,$1,$808,$1039,$311,$544,$14,$559,$869,$0,$-220,$-0,$170,$1039,$-102,$125,$21,$146,$30,$-2,$0,$-8,$18,$62,$-0,$0,$0,$0,$58,$58,$0,$58,$-110,$0,$-110,$9,$9,$0,$-10,$-111,$9,$13,$0
4,2017-09-30,5.79,$3.15,1.84,$6.60,0.88,$2.52,2.3,$-1.83,0.0,$0.22B,$0.26B,0.83,$0.58B,$0.20B,2.9,$0.41B,$0.33B,81.42%,$0.41B,$0.01B,1.96%,$0.41B,$0.01B,1.96%,$0.41B,$0.13B,32.27%,$0.41B,$-0.07B,-17.85%,$0.41B,$-0.11B,-27.87%,$-0.11B,$0.20B,-51.18%,$-0.11B,$-0.63B,17.80%,$-0.11B,$1.06B,-10.02%,$0.01B,$0.78B,0.95%,$95,$17,$78,$2,$49,$94,$1,$-18,$-17,$-1,$-16,$-16,$-16,$32,$1,$63,63,$-0.25,$-0.25,$113,$10,$0,$219,$14,$0,$825,$1,$840,$1060,$263,$577,$21,$598,$861,$309,$-186,$-0,$199,$1060,$-69,$93,$10,$103,$25,$0,$0,$-9,$1,$35,$-0,$0,$0,$0,$54,$54,$0,$53,$-100,$0,$-100,$8,$8,$0,$-6,$-98,$-10,$10,$0
5,2017-06-30,10.74,$3.36,3.2,$6.88,1.56,$2.42,4.44,$-1.79,0.0,$0.22B,$0.28B,0.79,$0.57B,$0.21B,2.71,$0.43B,$0.35B,81.18%,$0.43B,$0.01B,1.88%,$0.43B,$0.01B,1.88%,$0.43B,$0.13B,31.29%,$0.43B,$-0.08B,-17.65%,$0.43B,$-0.11B,-26.12%,$-0.11B,$0.21B,-45.17%,$-0.11B,$-0.64B,17.26%,$-0.11B,$1.09B,-9.37%,$0.01B,$0.78B,0.89%,$100,$20,$81,$6,$50,$105,$-4,$-23,$-27,$-0,$-27,$-27,$-27,$27,$-4,$63,63,$-0.43,$-0.43,$117,$10,$0,$219,$15,$0,$851,$1,$867,$1086,$279,$572,$23,$595,$874,$306,$-170,$-0,$211,$1086,$-53,$62,$8,$70,$24,$0,$0,$-3,$21,$38,$-0,$0,$0,$0,$56,$56,$0,$56,$-100,$0,$-100,$7,$7,$0,$-6,$-98,$-4,$7,$0
6,2017-03-31,12.55,$3.69,3.4,$7.18,1.75,$1.98,6.33,$-1.53,0.0,$0.29B,$0.30B,0.95,$0.62B,$0.23B,2.71,$0.44B,$0.36B,81.45%,$0.44B,$0.02B,4.98%,$0.44B,$0.02B,4.98%,$0.44B,$0.15B,33.48%,$0.44B,$-0.06B,-14.48%,$0.44B,$-0.10B,-21.49%,$-0.10B,$0.23B,-35.55%,$-0.10B,$-0.65B,14.66%,$-0.10B,$1.18B,-7.75%,$0.02B,$0.85B,2.29%,$90,$18,$73,$5,$49,$97,$-7,$-20,$-27,$0,$-27,$-27,$-27,$24,$-7,$62,62,$-0.43,$-0.43,$195,$12,$0,$287,$15,$0,$876,$1,$893,$1180,$302,$623,$25,$648,$950,$298,$-144,$-0,$230,$1180,$-27,$31,$-2,$29,$35,$1,$0,$-2,$13,$16,$-0,$0,$0,$0,$53,$53,$0,$52,$0,$0,$0,$3,$3,$0,$-1,$2,$70,$4,$0
7,2016-12-31,18.02,$4.05,4.45,$7.45,2.42,$1.47,12.27,$-1.44,0.0,$0.31B,$0.23B,1.35,$0.72B,$0.25B,2.87,$0.46B,$0.37B,80.53%,$0.46B,$0.03B,5.47%,$0.46B,$0.03B,5.47%,$0.46B,$0.15B,33.26%,$0.46B,$-0.06B,-14.00%,$0.46B,$-0.09B,-19.47%,$-0.09B,$0.25B,-31.26%,$-0.09B,$-0.65B,13.55%,$-0.09B,$1.23B,-7.04%,$0.03B,$0.97B,2.51%,$124,$23,$101,$9,$48,$106,$18,$-20,$-2,$42,$-44,$-44,$-44,$49,$18,$61,61,$-0.73,$-0.73,$177,$13,$0,$306,$16,$0,$902,$1,$919,$1225,$227,$719,$29,$747,$975,$292,$-117,$-0,$251,$1225,$-89,$127,$49,$176,$-31,$-4,$0,$-5,$-17,$71,$-3,$0,$0,$0,$48,$48,$0,$46,$-100,$0,$-100,$10,$10,$0,$-10,$-100,$17,$17,$0
8,2016-09-30,24.97,$4.72,5.29,$7.28,3.43,$2.86,8.74,$-1.23,0.0,$0.26B,$0.22B,1.21,$0.71B,$0.29B,2.46,$0.44B,$0.36B,80.41%,$0.44B,$-0.02B,-4.50%,$0.44B,$-0.02B,-4.50%,$0.44B,$0.11B,24.32%,$0.44B,$-0.11B,-25.00%,$0.44B,$-0.08B,-17.12%,$-0.08B,$0.29B,-25.27%,$-0.08B,$-0.64B,11.38%,$-0.08B,$1.25B,-5.86%,$-0.02B,$1.01B,-1.94%,$111,$20,$90,$10,$52,$109,$1,$-20,$-19,$-6,$-13,$-13,$-13,$33,$1,$61,61,$-0.21,$-0.21,$136,$11,$0,$261,$16,$1,$928,$1,$989,$1250,$216,$714,$29,$743,$959,$284,$-72,$-0,$291,$1250,$-44,$96,$2,$98,$-16,$-2,$0,$-14,$-24,$30,$-3,$0,$0,$0,$61,$61,$0,$59,$-100,$0,$-100,$7,$7,$0,$-6,$-100,$-11,$13,$0
9,2016-06-30,19.62,$4.84,4.05,$7.22,2.72,$3.82,5.14,$-1.22,0.0,$0.23B,$0.22B,1.06,$0.71B,$0.30B,2.39,$0.44B,$0.35B,80.14%,$0.44B,$-0.02B,-4.11%,$0.44B,$-0.02B,-4.11%,$0.44B,$0.11B,25.11%,$0.44B,$-0.11B,-25.34%,$0.44B,$-0.08B,-17.12%,$-0.08B,$0.30B,-23.92%,$-0.08B,$-0.66B,11.00%,$-0.08B,$1.25B,-5.66%,$-0.02B,$1.01B,-1.69%,$117,$21,$96,$7,$52,$107,$10,$-26,$-16,$-6,$-11,$-11,$-11,$42,$10,$61,61,$-0.17,$-0.17,$118,$10,$0,$230,$16,$1,$955,$1,$1016,$1246,$218,$710,$21,$731,$949,$278,$-59,$-0,$297,$1246,$-31,$64,$3,$67,$-8,$-0,$0,$-8,$-23,$13,$-3,$0,$0,$0,$77,$77,$0,$75,$-100,$0,$-100,$5,$5,$0,$-6,$-101,$-13,$8,$0
