,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.75,$1.91,0.91,0,0.0,$-10.37,0.0,$-3.61,0.0,$0.01B,$0.00B,3.92,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.01B,-248.65%,$-0.02B,$0.01B,-248.65%,$-0.02B,$0.01B,-204.44%,$-0.01B,$0.01B,-118.92%,$0,$0,$0,$1,$2,$3,$-3,$0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$5,5,$-0.64,$-0.64,$13,$0,$0,$14,$0,$0,$0,$0,$0,$14,$4,$0,$0,$0,$4,$1,$-75,$0,$11,$14,$-9,$0,$3,$3,$0,$0,$0,$-0,$-0,$-7,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$12,$0,$0,$12,$6,$1,$0
1,2018-06-30,2.2,$2.78,0.79,0,0.0,$-13.85,0.0,$-5.77,0.0,$0.02B,$0.00B,5.45,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.01B,-303.45%,$-0.02B,$0.01B,-314.29%,$-0.02B,$0.02B,-251.43%,$-0.01B,$0.01B,-137.93%,$0,$0,$0,$1,$3,$4,$-4,$0,$-4,$0,$-4,$-4,$-16,$-4,$-4,$3,3,$-5.08,$-5.08,$15,$0,$0,$16,$0,$0,$0,$0,$0,$17,$3,$0,$0,$0,$3,$1,$-71,$0,$14,$17,$-6,$0,$2,$2,$0,$0,$-0,$-0,$-0,$-4,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$12,$0,$0,$12,$8,$0,$0
2,2018-03-31,5.35,$1.98,2.7,0,0.0,$-17.61,0.0,$-10.55,0.0,$0.01B,$0.00B,7.96,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-244.44%,$-0.01B,$0.01B,-275.00%,$-0.01B,$0.01B,-191.30%,$-0.01B,$0.01B,-177.78%,$0,$0,$0,$0,$1,$2,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$3,3,$-0.71,$-0.71,$5,$0,$0,$6,$0,$0,$0,$0,$0,$6,$1,$0,$0,$0,$1,$0,$-67,$0,$5,$6,$-2,$0,$0,$0,$0,$0,$-0,$-1,$-1,$-2,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$0
3,2017-12-31,3.16,$2.62,1.21,0,0.0,$-22.58,0.0,$-15.25,0.0,$0.01B,$0.00B,6.45,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-293.33%,$-0.01B,$0.01B,-366.67%,$-0.01B,$0.01B,-231.58%,$-0.01B,$0.01B,-213.33%,$0,$0,$0,$0,$1,$2,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$1,1,$4.27,$4.27,$7,$0,$0,$8,$0,$0,$0,$0,$0,$8,$1,$0,$0,$0,$1,$0,$-65,$0,$7,$8,$-8,$0,$2,$2,$0,$0,$0,$-0,$-0,$-7,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$7,$11,$0,$0,$11,$4,$1,$0
4,2017-09-30,6.36,$2.20,2.89,0,0.0,$-37.80,0.0,$-28.21,0.0,$0.00B,$0.00B,2.75,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-436.36%,$-0.01B,$0.00B,-685.71%,$-0.01B,$0.00B,-320.00%,$-0.01B,$0.00B,-290.91%,$0,$0,$0,$1,$1,$2,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$1,1,$-2.11,$-2.11,$3,$0,$0,$3,$0,$0,$1,$0,$1,$4,$1,$0,$0,$0,$1,$0,$-63,$0,$3,$4,$-6,$0,$1,$1,$0,$0,$0,$-0,$0,$-5,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1,$5,$0,$0,$5,$-0,$1,$0
5,2017-06-30,6.0,$3.37,1.78,0,0.0,$-49.08,0.0,$-25.21,0.0,$0.00B,$0.00B,2.09,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-307.69%,$-0.01B,$0.00B,-444.44%,$-0.01B,$0.01B,-235.29%,$-0.01B,$0.00B,-246.15%,$0,$0,$0,$1,$1,$2,$-2,$-0,$-2,$0,$-2,$-2,$-5,$-2,$-2,$1,1,$-7.72,$-7.72,$4,$0,$0,$4,$0,$0,$1,$0,$1,$5,$2,$0,$0,$0,$2,$0,$-61,$0,$3,$5,$-4,$0,$1,$1,$0,$0,$0,$-0,$-0,$-3,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$4,$0,$0,$4,$1,$0,$0
6,2017-03-31,9.12,$4.86,1.88,0,0.0,$-65.62,0.0,$-26.53,0.0,$0.00B,$0.00B,1.96,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-233.33%,$-0.01B,$0.00B,-350.00%,$-0.01B,$0.00B,-186.67%,$-0.01B,$0.00B,-266.67%,$0,$0,$0,$1,$1,$2,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$0,0,$-5.40,$-5.40,$1,$0,$0,$2,$0,$0,$1,$0,$1,$2,$1,$0,$0,$0,$1,$0,$-59,$0,$2,$2,$-2,$0,$0,$0,$0,$0,$0,$-1,$-0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$0
7,2016-12-31,16.92,$9.85,1.72,0,0.0,$-74.90,0.0,$-33.72,0.0,$0.00B,$0.00B,3.11,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-200.00%,$-0.01B,$0.00B,-311.11%,$-0.01B,$0.00B,-155.56%,$-0.01B,$0.00B,-228.57%,$0,$0,$0,$0,$1,$2,$-2,$-0,$-3,$0,$-3,$-3,$-3,$-2,$-2,$0,0,$-6.99,$-6.99,$3,$0,$0,$3,$0,$0,$1,$0,$1,$4,$1,$0,$0,$0,$1,$0,$-57,$0,$3,$4,$-6,$0,$2,$2,$0,$0,$-1,$-0,$-1,$-5,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$5,$5,$0,$0,$5,$-1,$1,$0
8,2016-09-30,25.2,$17.22,1.46,0,0.0,$-142.44,0.0,$-20.76,0.0,$0.01B,$0.00B,5.28,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-240.00%,$-0.01B,$0.00B,-400.00%,$-0.01B,$0.01B,-180.00%,$-0.01B,$0.01B,-213.33%,$0,$0,$0,$0,$1,$2,$-2,$2,$0,$0,$0,$0,$0,$-1,$-2,$0,0,$0.84,$0.84,$4,$0,$0,$5,$0,$0,$1,$0,$2,$6,$1,$0,$0,$0,$1,$0,$-55,$0,$5,$6,$-4,$0,$1,$1,$0,$0,$-1,$-0,$-1,$-4,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$5,$5,$0,$0,$5,$1,$1,$0
9,2016-06-30,50.4,$11.00,4.58,0,0.0,$-192.01,0.0,$-48.60,0.0,$0.00B,$0.00B,1.66,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-273.68%,$-0.01B,$0.00B,-433.33%,$-0.01B,$0.00B,-200.00%,$-0.01B,$0.00B,-210.53%,$0,$0,$0,$0,$2,$2,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$0,0,$-8.07,$-8.07,$1,$0,$0,$1,$0,$0,$1,$0,$2,$3,$1,$0,$0,$0,$1,$0,$-55,$0,$2,$3,$-4,$0,$1,$1,$0,$0,$-1,$-0,$-1,$-5,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$2,$2,$0,$0,$2,$-3,$0,$0
10,2016-03-31,61.92,$17.56,3.53,0,0.0,$-212.47,0.0,$-59.39,0.0,$0.00B,$0.00B,2.55,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-186.67%,$-0.01B,$0.00B,-254.55%,$-0.01B,$0.01B,-140.00%,$-0.01B,$0.00B,-146.67%,$0,$0,$0,$0,$2,$2,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$0,0,$-11.81,$-11.81,$3,$0,$0,$3,$0,$0,$1,$0,$2,$5,$1,$0,$0,$0,$1,$0,$-53,$0,$4,$5,$-2,$0,$0,$0,$0,$0,$-0,$-0,$-1,$-3,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$2,$2,$0,$0,$2,$-1,$0,$0
11,2015-12-31,57.6,$20.71,2.78,0,0.0,$-219.24,0.0,$-70.19,0.0,$0.00B,$0.00B,1.72,$0.00B,$0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.00B,-166.67%,$-0.02B,$0.00B,-214.29%,$-0.02B,$0.01B,-122.45%,$-0.01B,$0.00B,-133.33%,$0,$0,$0,$0,$2,$2,$-2,$-0,$-3,$0,$-3,$-3,$-5,$-2,$-2,$0,0,$-28.58,$-28.58,$4,$0,$0,$4,$0,$0,$2,$0,$2,$6,$3,$0,$0,$0,$3,$0,$-51,$0,$4,$6,$-16,$0,$1,$1,$0,$0,$0,$-0,$0,$-14,$-0,$0,$0,$0,$0,$0,$-0,$-0,$0,$0,$0,$9,$9,$0,$0,$9,$-5,$1,$0
12,2015-09-30,138.6,$53.75,2.58,$0.02,6832.47,$-207.82,0.0,$-113.39,0.0,$0.01B,$0.00B,2.9,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.01B,-156.10%,$-0.02B,$0.01B,-188.24%,$-0.02B,$0.01B,-116.36%,$-0.01B,$0.01B,-126.83%,$0,$0,$0,$1,$3,$4,$-4,$0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$0,0,$-28.19,$-28.19,$8,$0,$0,$10,$0,$0,$2,$0,$3,$12,$3,$0,$0,$0,$3,$0,$-46,$0,$9,$12,$-11,$0,$1,$2,$0,$-0,$0,$-0,$-1,$-10,$-0,$-0,$0,$0,$0,$0,$-0,$-0,$-0,$0,$-0,$9,$9,$0,$0,$9,$-1,$1,$0
13,2015-06-30,203.4,$81.62,2.49,$0.05,4487.86,$-200.66,0.0,$-109.79,0.0,$0.01B,$0.00B,4.03,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.01B,-127.66%,$-0.02B,$0.01B,-157.89%,$-0.02B,$0.02B,-100.00%,$-0.01B,$0.01B,-102.13%,$0,$0,$0,$0,$3,$3,$-3,$0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$0,0,$-19.87,$-19.87,$11,$0,$0,$14,$0,$0,$2,$0,$3,$17,$3,$0,$0,$0,$3,$0,$-42,$0,$13,$17,$-6,$0,$1,$1,$-1,$-0,$0,$-0,$-1,$-7,$0,$-0,$0,$0,$0,$0,$-0,$-0,$0,$0,$0,$10,$10,$0,$0,$10,$3,$0,$0
