,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.96,$2.96,1.0,$10.16,0.29,$0.61,4.83,$-7.85,0.0,$0.04B,$0.02B,1.91,$0.00B,$0.04B,0.0,$0.13B,$0.02B,14.29%,$0.13B,$-0.07B,-57.94%,$0.13B,$-0.07B,-57.94%,$0.13B,$-0.03B,-21.43%,$0.13B,$-0.07B,-58.73%,$0.13B,$-0.10B,-78.57%,$-0.10B,$0.04B,-180.82%,$-0.10B,$0.03B,-335.59%,$-0.10B,$0.06B,-130.26%,$-0.07B,$0.04B,-128.07%,$32,$35,$-4,$4,$7,$50,$-18,$-0,$-18,$0,$-18,$-18,$-18,$-16,$-18,$13,13,$-1.41,$-1.41,$16,$0,$0,$43,$4,$0,$13,$1,$18,$61,$22,$0,$0,$0,$22,$0,$-322,$0,$38,$61,$-34,$7,$22,$28,$0,$0,$3,$-0,$5,$-1,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$-8,$-8,$0,$0,$0,$0,$-8,$-9,$4,$0
1,2018-06-30,4.52,$4.21,1.07,$10.47,0.43,$1.56,2.9,$-6.43,0.0,$0.04B,$0.02B,2.17,$0.00B,$0.06B,0.0,$0.13B,$0.03B,25.19%,$0.13B,$-0.06B,-41.98%,$0.13B,$-0.06B,-41.98%,$0.13B,$-0.01B,-6.87%,$0.13B,$-0.06B,-42.75%,$0.13B,$-0.08B,-61.83%,$-0.08B,$0.06B,-104.18%,$-0.08B,$0.03B,-202.50%,$-0.08B,$0.08B,-78.64%,$-0.06B,$0.06B,-66.87%,$29,$24,$6,$3,$7,$35,$-5,$0,$-5,$0,$-5,$-5,$-5,$-8,$-5,$13,13,$-0.41,$-0.41,$19,$0,$0,$44,$4,$0,$26,$1,$31,$75,$20,$0,$0,$0,$20,$0,$-304,$0,$55,$75,$-15,$4,$9,$13,$2,$0,$2,$-0,$4,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-8,$0,$-8,$0,$0,$0,$0,$-8,$-7,$3,$0
2,2018-03-31,2.98,$4.54,0.66,$10.76,0.28,$2.16,1.38,$-6.00,0.0,$0.04B,$0.02B,2.57,$0.00B,$0.06B,0.0,$0.14B,$0.04B,27.74%,$0.14B,$-0.05B,-36.50%,$0.14B,$-0.05B,-36.50%,$0.14B,$0.00B,0.73%,$0.14B,$-0.05B,-37.23%,$0.14B,$-0.08B,-55.47%,$-0.08B,$0.06B,-78.76%,$-0.08B,$0.03B,-154.31%,$-0.08B,$0.08B,-60.32%,$-0.05B,$0.06B,-47.73%,$32,$25,$8,$3,$8,$43,$-10,$0,$-10,$0,$-10,$-10,$-10,$-3,$-10,$13,13,$-0.81,$-0.81,$15,$0,$0,$42,$4,$0,$27,$1,$33,$75,$16,$0,$0,$0,$16,$0,$-299,$0,$59,$75,$-10,$7,$2,$10,$1,$0,$-1,$-1,$-1,$-2,$-0,$0,$0,$0,$0,$0,$0,$-0,$-8,$0,$-8,$0,$0,$0,$0,$-8,$-10,$2,$0
3,2017-12-31,9.01,$5.14,1.75,$11.00,0.82,$2.56,3.52,$-5.15,0.0,$0.05B,$0.02B,3.16,$0.01B,$0.07B,0.13,$0.14B,$0.04B,30.28%,$0.14B,$-0.04B,-27.46%,$0.14B,$-0.04B,-27.46%,$0.14B,$0.01B,4.93%,$0.14B,$-0.04B,-28.17%,$0.14B,$-0.07B,-46.48%,$-0.07B,$0.07B,-58.02%,$-0.07B,$0.03B,-115.28%,$-0.07B,$0.09B,-44.37%,$-0.04B,$0.08B,-31.39%,$33,$25,$8,$3,$7,$74,$-40,$-1,$-41,$25,$-66,$-66,$-66,$-0,$-40,$12,12,$-5.56,$-5.55,$25,$0,$0,$53,$4,$0,$34,$1,$40,$93,$17,$9,$0,$9,$26,$0,$-289,$0,$67,$93,$-65,$45,$31,$76,$7,$0,$-3,$-1,$1,$11,$-2,$-9,$0,$-0,$0,$-0,$0,$-10,$-14,$0,$-14,$-1,$-1,$0,$0,$-15,$-14,$4,$0
4,2017-09-30,6.89,$9.92,0.69,$11.23,0.61,$2.95,2.33,$0.17,40.53,$0.07B,$0.03B,2.99,$0.01B,$0.13B,0.07,$0.15B,$0.05B,33.56%,$0.15B,$0.00B,2.01%,$0.15B,$0.00B,2.01%,$0.15B,$0.01B,7.38%,$0.15B,$0.00B,2.68%,$0.15B,$0.00B,0.67%,$0.00B,$0.13B,0.79%,$0.00B,$0.07B,1.61%,$0.00B,$0.17B,0.60%,$0.00B,$0.14B,2.15%,$37,$26,$11,$3,$7,$37,$0,$-0,$0,$0,$0,$0,$0,$2,$0,$13,13,$0.01,$0.01,$45,$0,$0,$74,$5,$1,$63,$1,$95,$169,$25,$9,$5,$14,$39,$0,$-223,$0,$130,$169,$1,$5,$3,$9,$6,$0,$0,$-0,$3,$12,$-2,$-1,$0,$0,$0,$0,$0,$-2,$-4,$0,$-4,$-0,$-0,$0,$0,$-4,$6,$3,$0
5,2017-06-30,12.61,$10.09,1.25,$11.73,1.08,$2.90,4.35,$0.37,34.08,$0.07B,$0.02B,3.22,$0.02B,$0.13B,0.12,$0.16B,$0.06B,35.26%,$0.16B,$0.01B,4.49%,$0.16B,$0.01B,4.49%,$0.16B,$0.02B,9.62%,$0.16B,$0.01B,5.13%,$0.16B,$0.00B,2.56%,$0.00B,$0.13B,3.23%,$0.00B,$0.07B,6.93%,$0.00B,$0.17B,2.42%,$0.01B,$0.15B,5.15%,$35,$24,$11,$3,$6,$34,$0,$-0,$0,$-0,$0,$0,$0,$2,$0,$11,13,$0.03,$0.02,$45,$0,$0,$71,$5,$1,$64,$1,$96,$167,$22,$15,$0,$15,$37,$0,$-223,$0,$130,$167,$1,$4,$2,$6,$8,$0,$-1,$-0,$3,$10,$-1,$0,$0,$0,$0,$0,$0,$-1,$-4,$0,$-4,$1,$1,$0,$0,$-3,$6,$2,$0
6,2017-03-31,12.53,$11.57,1.08,$11.85,1.06,$2.58,4.86,$0.38,32.97,$0.07B,$0.02B,3.16,$0.01B,$0.13B,0.07,$0.16B,$0.06B,36.94%,$0.16B,$0.01B,5.10%,$0.16B,$0.01B,5.10%,$0.16B,$0.02B,10.19%,$0.16B,$0.01B,5.73%,$0.16B,$0.00B,2.55%,$0.00B,$0.13B,3.35%,$0.00B,$0.06B,7.73%,$0.00B,$0.17B,2.47%,$0.01B,$0.14B,6.04%,$37,$24,$13,$3,$7,$36,$1,$-0,$1,$1,$0,$0,$0,$3,$1,$11,13,$0.04,$0.04,$40,$0,$0,$69,$4,$1,$65,$1,$96,$166,$22,$9,$7,$16,$38,$0,$-223,$0,$128,$166,$0,$2,$1,$3,$5,$0,$-3,$0,$-0,$3,$-0,$0,$0,$0,$0,$0,$0,$-0,$-3,$0,$-3,$0,$0,$0,$0,$-2,$1,$1,$0
7,2016-12-31,13.45,$10.86,1.24,$12.50,1.08,$2.39,5.62,$0.28,48.04,$0.08B,$0.03B,2.67,$0.02B,$0.12B,0.14,$0.16B,$0.06B,37.82%,$0.16B,$0.01B,3.85%,$0.16B,$0.01B,3.85%,$0.16B,$0.01B,8.97%,$0.16B,$0.01B,4.49%,$0.16B,$0.00B,1.92%,$0.00B,$0.12B,2.61%,$0.00B,$0.05B,6.56%,$0.00B,$0.17B,1.89%,$0.01B,$0.14B,4.69%,$40,$26,$15,$3,$8,$39,$2,$1,$3,$2,$1,$1,$1,$4,$2,$11,13,$0.12,$0.11,$39,$0,$0,$78,$4,$1,$67,$1,$87,$165,$29,$17,$0,$17,$46,$0,$-230,$0,$120,$165,$4,$7,$6,$13,$-3,$0,$2,$1,$1,$18,$-2,$0,$0,$-0,$-0,$-1,$0,$-3,$-4,$0,$-4,$3,$3,$0,$-0,$-1,$15,$4,$0
8,2016-09-30,17.8,$10.68,1.67,$12.34,1.44,$1.93,9.22,$0.28,63.57,$0.07B,$0.03B,2.5,$0.01B,$0.12B,0.08,$0.15B,$0.06B,38.16%,$0.15B,$0.01B,3.95%,$0.15B,$0.01B,3.95%,$0.15B,$0.01B,8.55%,$0.15B,$0.01B,3.95%,$0.15B,$0.00B,1.97%,$0.00B,$0.12B,2.68%,$0.00B,$0.05B,7.23%,$0.00B,$0.16B,1.92%,$0.01B,$0.13B,4.74%,$44,$28,$16,$3,$7,$40,$4,$-0,$4,$1,$3,$3,$3,$6,$4,$11,13,$0.26,$0.21,$33,$0,$0,$69,$5,$1,$68,$2,$93,$162,$28,$9,$9,$18,$45,$0,$-232,$0,$117,$162,$2,$5,$4,$10,$-5,$0,$4,$0,$-0,$12,$-2,$0,$0,$0,$-0,$-0,$0,$-2,$-4,$0,$-4,$3,$3,$0,$-0,$-1,$9,$3,$0
9,2016-06-30,13.87,$10.35,1.34,$12.53,1.11,$1.67,8.31,$0.21,66.05,$0.06B,$0.03B,2.46,$0.02B,$0.11B,0.17,$0.15B,$0.06B,38.51%,$0.15B,$0.01B,3.38%,$0.15B,$0.01B,3.38%,$0.15B,$0.01B,7.43%,$0.15B,$0.01B,3.38%,$0.15B,$0.00B,1.35%,$0.00B,$0.11B,1.95%,$0.00B,$0.04B,5.23%,$0.00B,$0.16B,1.35%,$0.01B,$0.13B,4.26%,$36,$22,$14,$4,$8,$35,$1,$-0,$1,$0,$0,$0,$0,$3,$1,$11,13,$0.04,$0.03,$27,$0,$0,$61,$5,$1,$70,$2,$95,$156,$25,$19,$0,$19,$44,$0,$-235,$0,$112,$156,$-0,$4,$2,$6,$-1,$0,$2,$0,$1,$6,$-1,$0,$0,$0,$-0,$-0,$0,$-2,$-3,$0,$-3,$1,$1,$0,$-0,$-1,$3,$2,$0
