,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.49,$4.30,0.58,$1.87,1.33,$-0.26,0.0,$-0.44,0.0,$0.58B,$0.57B,1.01,$1.78B,$4.08B,0.44,$1.78B,$0.79B,44.15%,$1.78B,$-0.36B,-20.19%,$1.78B,$-0.36B,-20.13%,$1.78B,$-0.01B,-0.62%,$1.78B,$-0.50B,-28.35%,$1.78B,$-0.42B,-23.79%,$-0.42B,$4.08B,-10.06%,$-0.42B,$3.64B,-11.26%,$-0.42B,$8.13B,-5.06%,$-0.36B,$5.86B,-6.07%,$417,$234,$183,$3,$21,$470,$-53,$-40,$-93,$-11,$-81,$-81,$-81,$11,$-52,$949,949,$-0.09,$-0.09,$125,$172,$261,$580,$6639,$163,$446,$216,$7550,$8130,$574,$1776,$579,$3473,$4047,$7636,$-3584,$0,$4083,$8130,$-161,$245,$298,$543,$5,$-43,$-87,$-36,$-161,$290,$-339,$0,$157,$0,$4,$4,$-61,$-238,$-7,$0,$-7,$0,$0,$-14,$-64,$-85,$-25,$6,$-14
1,2018-06-30,2.9,$4.39,0.66,$1.95,1.48,$-0.34,0.0,$-0.31,0.0,$0.64B,$0.61B,1.05,$1.70B,$4.17B,0.41,$1.85B,$0.82B,44.01%,$1.85B,$-0.21B,-11.11%,$1.85B,$-0.21B,-11.11%,$1.85B,$0.18B,9.92%,$1.85B,$-0.35B,-18.66%,$1.85B,$-0.30B,-15.97%,$-0.30B,$4.17B,-6.81%,$-0.30B,$3.72B,-7.60%,$-0.30B,$8.23B,-3.45%,$-0.21B,$5.86B,-3.42%,$432,$234,$197,$3,$24,$345,$87,$-24,$63,$51,$12,$12,$18,$170,$87,$949,950,$0.02,$0.02,$123,$152,$335,$639,$6677,$164,$447,$213,$7591,$8230,$611,$1697,$598,$3453,$4064,$7635,$-3499,$0,$4165,$8230,$-69,$183,$204,$386,$-2,$-33,$-70,$-34,$-139,$225,$-236,$0,$157,$0,$1,$1,$-43,$-121,$-87,$0,$-87,$0,$0,$-10,$-50,$-146,$-40,$5,$-10
2,2018-03-31,2.76,$4.34,0.63,$1.95,1.41,$-0.42,0.0,$-0.37,0.0,$0.91B,$0.80B,1.14,$1.64B,$4.12B,0.4,$1.85B,$0.79B,42.49%,$1.85B,$-0.28B,-15.35%,$1.85B,$-0.28B,-15.35%,$1.85B,$0.13B,7.14%,$1.85B,$-0.43B,-23.30%,$1.85B,$-0.35B,-19.14%,$-0.35B,$4.12B,-7.94%,$-0.35B,$3.67B,-8.86%,$-0.35B,$8.34B,-4.05%,$-0.28B,$5.76B,-4.64%,$450,$259,$191,$4,$26,$542,$-92,$-40,$-132,$29,$-161,$-161,$-160,$8,$-92,$949,949,$-0.17,$-0.17,$137,$126,$624,$906,$6801,$18,$448,$80,$7436,$8342,$796,$1638,$643,$3429,$4225,$7635,$-3512,$0,$4118,$8342,$-132,$100,$215,$315,$7,$-7,$-51,$-33,$-84,$122,$-150,$0,$163,$0,$2,$2,$0,$15,$-110,$0,$-110,$0,$0,$-5,$-27,$-143,$-5,$1,$-5
3,2017-12-31,3.11,$4.69,0.66,$1.90,1.63,$-0.48,0.0,$-0.21,0.0,$0.84B,$0.78B,1.08,$1.75B,$4.45B,0.39,$1.80B,$0.76B,42.18%,$1.80B,$-0.18B,-9.98%,$1.80B,$-0.18B,-9.98%,$1.80B,$0.24B,13.19%,$1.80B,$-0.32B,-17.57%,$1.80B,$-0.19B,-10.75%,$-0.19B,$4.45B,-4.23%,$-0.19B,$4.00B,-4.72%,$-0.19B,$8.76B,-2.19%,$-0.18B,$6.20B,-2.89%,$479,$264,$214,$7,$34,$779,$-301,$-42,$-342,$-138,$-204,$-204,$-200,$-200,$-301,$948,948,$-0.22,$-0.22,$162,$164,$475,$839,$7153,$26,$450,$197,$7924,$8763,$781,$1748,$641,$3535,$4316,$7634,$-3340,$0,$4447,$8763,$-318,$418,$279,$697,$-0,$-18,$17,$-13,$-14,$484,$-644,$0,$0,$0,$18,$18,$-18,$-644,$269,$0,$269,$72,$72,$-19,$-104,$218,$52,$13,$-19
4,2017-09-30,2.64,$4.92,0.54,$1.91,1.38,$-0.13,0.0,$-0.40,0.0,$0.64B,$0.65B,0.99,$1.64B,$4.66B,0.35,$1.81B,$0.75B,41.29%,$1.81B,$-0.47B,-26.20%,$1.81B,$-0.47B,-26.20%,$1.81B,$-0.03B,-1.71%,$1.81B,$-0.60B,-33.11%,$1.81B,$-0.36B,-19.96%,$-0.36B,$4.66B,-7.82%,$-0.36B,$4.18B,-8.73%,$-0.36B,$8.99B,-4.07%,$-0.47B,$6.30B,-7.62%,$493,$279,$214,$5,$29,$394,$100,$-35,$65,$23,$42,$42,$46,$206,$100,$948,949,$0.05,$0.05,$248,$236,$122,$643,$7727,$21,$478,$55,$8351,$8993,$652,$1643,$618,$3679,$4332,$7633,$-3142,$0,$4662,$8993,$24,$317,$-45,$273,$-0,$-12,$-23,$-15,$-50,$326,$-448,$0,$0,$0,$17,$17,$-17,$-448,$162,$0,$162,$72,$72,$-14,$-70,$150,$28,$9,$-14
5,2017-06-30,2.41,$4.86,0.5,$1.88,1.28,$0.15,15.96,$-0.45,0.0,$0.61B,$0.55B,1.12,$1.60B,$4.61B,0.35,$1.78B,$0.74B,41.35%,$1.78B,$-0.53B,-29.49%,$1.78B,$-0.53B,-29.49%,$1.78B,$-0.08B,-4.38%,$1.78B,$-0.66B,-36.80%,$1.78B,$-0.42B,-23.54%,$-0.42B,$4.61B,-8.95%,$-0.42B,$4.13B,-9.98%,$-0.42B,$8.87B,-4.64%,$-0.53B,$6.21B,-8.35%,$428,$261,$167,$5,$26,$419,$9,$-31,$-22,$21,$-43,$-43,$-40,$118,$9,$948,948,$-0.04,$-0.04,$231,$268,$88,$608,$7632,$24,$479,$58,$8261,$8869,$545,$1600,$671,$3714,$4259,$7633,$-3181,$0,$4610,$8869,$-40,$212,$20,$232,$12,$-17,$-41,$-18,$-64,$176,$-268,$0,$0,$0,$17,$17,$-17,$-268,$119,$0,$119,$72,$72,$-10,$-50,$130,$35,$6,$-10
6,2017-03-31,2.74,$4.86,0.56,$1.89,1.45,$0.38,7.21,$-0.37,0.0,$0.61B,$0.53B,1.15,$1.60B,$4.61B,0.35,$1.79B,$0.74B,41.34%,$1.79B,$-0.52B,-28.77%,$1.79B,$-0.52B,-28.77%,$1.79B,$-0.06B,-3.46%,$1.79B,$-0.64B,-35.81%,$1.79B,$-0.34B,-19.22%,$-0.34B,$4.61B,-7.22%,$-0.34B,$4.13B,-8.04%,$-0.34B,$8.85B,-3.74%,$-0.52B,$6.21B,-8.07%,$404,$238,$166,$4,$25,$392,$12,$-30,$-18,$-19,$1,$1,$0,$114,$12,$948,948,$0.00,$0.00,$216,$272,$94,$613,$7596,$25,$480,$64,$8237,$8850,$533,$1595,$667,$3708,$4241,$7632,$-3141,$0,$4610,$8850,$-18,$103,$11,$114,$3,$-11,$-35,$-23,$-66,$51,$-129,$0,$0,$0,$18,$18,$-18,$-129,$94,$0,$94,$15,$15,$-5,$-19,$85,$9,$3,$-5
7,2016-12-31,2.78,$4.83,0.58,$1.89,1.47,$0.50,5.52,$-0.32,0.0,$0.55B,$0.48B,1.16,$1.57B,$4.58B,0.34,$1.79B,$0.76B,42.42%,$1.79B,$-0.47B,-26.52%,$1.79B,$-0.47B,-26.52%,$1.79B,$-0.02B,-1.01%,$1.79B,$-0.62B,-34.42%,$1.79B,$-0.31B,-17.24%,$-0.31B,$4.58B,-6.37%,$-0.31B,$4.10B,-7.08%,$-0.31B,$8.80B,-3.29%,$-0.47B,$6.15B,-7.30%,$485,$284,$200,$3,$30,$1079,$-595,$-30,$-624,$-269,$-355,$-355,$-367,$-469,$-595,$947,947,$-0.39,$-0.38,$112,$254,$150,$552,$7566,$36,$481,$49,$8249,$8802,$475,$1574,$661,$3747,$4222,$7631,$-3130,$0,$4580,$8802,$-616,$456,$721,$1177,$21,$11,$21,$-28,$25,$665,$-495,$0,$74,$0,$34,$34,$-33,$-421,$-184,$0,$-184,$41,$41,$-28,$-96,$-268,$-23,$14,$-28
8,2016-09-30,4.26,$5.20,0.82,$1.86,2.28,$0.49,8.75,$-1.88,0.0,$0.67B,$0.51B,1.3,$1.65B,$4.93B,0.34,$1.77B,$0.81B,45.92%,$1.77B,$-1.82B,-102.77%,$1.77B,$-1.82B,-102.77%,$1.77B,$-1.31B,-74.12%,$1.77B,$-2.10B,-118.86%,$1.77B,$-1.78B,-100.96%,$-1.78B,$4.93B,-36.33%,$-1.78B,$4.44B,-40.35%,$-1.78B,$9.57B,-18.67%,$-1.82B,$6.58B,-27.55%,$464,$261,$203,$4,$25,$416,$49,$-40,$9,$11,$-2,$-2,$-12,$159,$49,$948,948,$-0.01,$-0.01,$317,$250,$85,$669,$8164,$42,$486,$63,$8895,$9565,$514,$1651,$676,$4124,$4638,$7629,$-2758,$0,$4927,$9565,$9,$330,$78,$408,$40,$-4,$-5,$-22,$10,$489,$-344,$0,$-50,$0,$156,$156,$-9,$-248,$-31,$0,$-31,$0,$0,$-23,$-66,$-120,$124,$17,$-23
9,2016-06-30,5.13,$5.21,0.98,$1.82,2.81,$0.30,17.24,$-1.99,0.0,$0.57B,$0.50B,1.15,$1.66B,$4.94B,0.34,$1.73B,$0.78B,45.42%,$1.73B,$-1.86B,-107.53%,$1.73B,$-1.86B,-107.53%,$1.73B,$-1.36B,-78.56%,$1.73B,$-2.10B,-121.49%,$1.73B,$-1.88B,-109.15%,$-1.88B,$4.94B,-35.21%,$-1.88B,$4.45B,-38.59%,$-1.88B,$9.53B,-18.47%,$-1.86B,$6.60B,-26.20%,$438,$267,$171,$5,$24,$419,$19,$-27,$-8,$-38,$30,$30,$35,$134,$19,$947,948,$0.04,$0.04,$195,$252,$98,$571,$8280,$63,$487,$59,$8962,$9533,$498,$1662,$691,$4099,$4597,$7629,$-2741,$0,$4936,$9533,$-0,$220,$74,$294,$31,$18,$-20,$-24,$4,$324,$-200,$0,$-59,$0,$0,$0,$-10,$-269,$-19,$0,$-19,$0,$0,$-19,$-49,$-87,$-26,$18,$-19
