,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,181.15,$75.22,2.41,$16.36,11.07,$6.94,26.11,$5.98,30.29,$0.28B,$0.37B,0.77,$7.53B,$10.40B,0.73,$2.26B,$1.50B,66.39%,$2.26B,$0.59B,26.23%,$2.26B,$0.59B,26.23%,$2.26B,$1.25B,55.29%,$2.26B,$0.83B,36.58%,$2.26B,$0.83B,36.58%,$0.83B,$10.40B,7.97%,$0.83B,$10.40B,7.97%,$0.83B,$18.66B,4.45%,$0.59B,$17.93B,3.32%,$576,$194,$382,$0,$14,$421,$155,$38,$192,$0,$192,$192,$192,$319,$155,$138,138,$1.39,$1.39,$282,$0,$0,$282,$17930,$0,$0,$404,$18381,$18662,$367,$7533,$358,$7897,$8265,$1,$168,$-21,$10397,$18662,$589,$495,$-129,$366,$0,$0,$0,$17,$26,$981,$-545,$0,$0,$0,$-8,$-8,$57,$-495,$197,$0,$197,$1,$1,$-604,$-1,$-406,$80,$0,$-603
1,2018-06-30,171.89,$75.23,2.28,$16.18,10.62,$5.60,30.68,$6.31,27.24,$0.35B,$0.34B,1.04,$7.57B,$10.40B,0.73,$2.24B,$1.48B,66.28%,$2.24B,$0.60B,26.65%,$2.24B,$0.60B,26.65%,$2.24B,$1.24B,55.46%,$2.24B,$0.87B,39.04%,$2.24B,$0.87B,39.04%,$0.87B,$10.40B,8.42%,$0.87B,$10.40B,8.42%,$0.87B,$18.67B,4.72%,$0.60B,$17.97B,3.35%,$569,$192,$377,$0,$14,$421,$148,$106,$255,$0,$255,$255,$255,$313,$148,$138,138,$1.84,$1.84,$350,$0,$0,$350,$17861,$0,$0,$419,$18321,$18671,$337,$7571,$358,$7936,$8273,$1,$179,$-23,$10398,$18671,$396,$331,$-97,$233,$0,$0,$0,$-4,$-4,$625,$-344,$0,$0,$0,$-7,$-7,$35,$-317,$240,$0,$240,$1,$1,$-400,$-1,$-161,$148,$0,$-399
2,2018-03-31,163.06,$74.78,2.18,$15.90,10.25,$5.90,27.66,$5.67,28.76,$0.27B,$0.36B,0.76,$7.60B,$10.34B,0.74,$2.20B,$1.46B,66.20%,$2.20B,$0.57B,25.84%,$2.20B,$0.57B,25.84%,$2.20B,$1.19B,54.32%,$2.20B,$0.78B,35.62%,$2.20B,$0.78B,35.62%,$0.78B,$10.34B,7.58%,$0.78B,$10.34B,7.58%,$0.78B,$18.65B,4.28%,$0.57B,$17.94B,3.23%,$561,$192,$369,$0,$14,$421,$140,$2,$142,$0,$142,$142,$142,$305,$140,$138,138,$1.03,$1.03,$271,$0,$0,$271,$17885,$0,$0,$451,$18375,$18646,$360,$7599,$346,$7952,$8311,$1,$128,$-24,$10335,$18646,$142,$166,$4,$169,$0,$0,$0,$-7,$5,$316,$-318,$0,$0,$0,$-4,$-4,$3,$-319,$271,$0,$271,$0,$0,$-197,$-1,$73,$70,$0,$-196
3,2017-12-31,175.32,$75.22,2.33,$15.64,11.21,$7.29,24.05,$6.36,27.57,$0.20B,$0.35B,0.58,$7.33B,$10.39B,0.71,$2.16B,$1.43B,66.33%,$2.16B,$0.57B,26.45%,$2.16B,$0.57B,26.45%,$2.16B,$1.17B,54.38%,$2.16B,$0.88B,40.62%,$2.16B,$0.88B,40.62%,$0.88B,$10.39B,8.50%,$0.88B,$10.39B,8.50%,$0.88B,$18.42B,4.84%,$0.57B,$17.72B,3.28%,$555,$182,$373,$0,$12,$405,$150,$87,$238,$0,$237,$237,$238,$313,$150,$138,138,$1.71,$1.71,$202,$0,$0,$202,$17718,$0,$0,$450,$18213,$18415,$351,$7329,$340,$7675,$8027,$1,$189,$-37,$10388,$18415,$877,$604,$-260,$344,$0,$0,$0,$3,$36,$1256,$-1013,$0,$0,$0,$-24,$-24,$72,$-965,$272,$0,$272,$111,$111,$-775,$-27,$-419,$-128,$0,$-773
4,2017-09-30,173.95,$74.84,2.32,$15.39,11.3,$5.72,30.43,$6.40,27.18,$0.22B,$0.37B,0.59,$7.13B,$10.33B,0.69,$2.12B,$1.41B,66.35%,$2.12B,$0.56B,26.58%,$2.12B,$0.56B,26.58%,$2.12B,$1.14B,53.91%,$2.12B,$0.88B,41.52%,$2.12B,$0.88B,41.52%,$0.88B,$10.33B,8.58%,$0.88B,$10.33B,8.58%,$0.88B,$18.18B,4.90%,$0.56B,$17.46B,3.26%,$551,$187,$363,$0,$12,$392,$158,$80,$238,$0,$238,$238,$238,$309,$158,$138,138,$1.73,$1.72,$217,$0,$0,$217,$17446,$0,$0,$466,$17961,$18178,$367,$7128,$340,$7477,$7844,$1,$145,$-41,$10334,$18178,$639,$441,$-183,$257,$0,$0,$0,$-27,$37,$934,$-682,$0,$0,$0,$-15,$-15,$72,$-625,$68,$0,$68,$110,$110,$-579,$-21,$-422,$-113,$0,$-577
5,2017-06-30,185.88,$74.47,2.5,$15.16,12.26,$3.56,52.24,$7.27,25.57,$0.29B,$0.31B,0.94,$6.99B,$10.28B,0.68,$2.09B,$1.38B,66.32%,$2.09B,$0.55B,26.35%,$2.09B,$0.55B,26.35%,$2.09B,$1.11B,53.23%,$2.09B,$1.00B,47.87%,$2.09B,$1.00B,47.87%,$1.00B,$10.28B,9.80%,$1.00B,$10.28B,9.80%,$1.00B,$17.94B,5.60%,$0.55B,$17.27B,3.21%,$531,$180,$350,$0,$14,$410,$120,$45,$165,$0,$165,$165,$165,$267,$120,$138,138,$1.20,$1.20,$293,$0,$0,$293,$17135,$0,$0,$470,$17651,$17944,$311,$6992,$350,$7351,$7661,$1,$103,$-43,$10282,$17944,$401,$289,$-106,$183,$0,$0,$0,$-13,$-9,$576,$-254,$0,$0,$0,$-10,$-10,$11,$-254,$-67,$0,$-67,$110,$110,$-382,$-20,$-359,$-37,$0,$-381
6,2017-03-31,176.29,$74.51,2.37,$14.98,11.77,$0.39,453.65,$7.51,23.47,$0.37B,$0.35B,1.06,$7.01B,$10.27B,0.68,$2.06B,$1.37B,66.38%,$2.06B,$0.57B,27.55%,$2.06B,$0.57B,27.55%,$2.06B,$1.12B,54.23%,$2.06B,$1.03B,50.10%,$2.06B,$1.03B,50.10%,$1.03B,$10.27B,10.23%,$1.03B,$10.27B,10.23%,$1.03B,$17.98B,5.82%,$0.57B,$17.27B,3.33%,$522,$176,$346,$0,$13,$380,$143,$93,$236,$0,$236,$236,$236,$285,$143,$137,138,$1.72,$1.72,$369,$0,$0,$369,$17067,$0,$0,$503,$17610,$17978,$348,$7006,$350,$7364,$7712,$1,$134,$-29,$10267,$17978,$236,$142,$-89,$53,$0,$0,$0,$-11,$11,$300,$-110,$0,$0,$0,$-6,$-6,$7,$-109,$-22,$0,$-22,$57,$57,$-186,$-1,$-152,$39,$0,$-185
7,2016-12-31,168.79,$74.07,2.28,$14.88,11.34,$-1.76,0.0,$7.52,22.45,$0.33B,$0.31B,1.05,$7.03B,$10.17B,0.69,$2.04B,$1.36B,66.63%,$2.04B,$0.58B,28.38%,$2.04B,$0.58B,28.38%,$2.04B,$1.12B,54.60%,$2.04B,$1.03B,50.54%,$2.04B,$1.03B,50.54%,$1.03B,$10.17B,10.35%,$1.03B,$10.17B,10.35%,$1.03B,$17.87B,5.91%,$0.58B,$17.20B,3.46%,$518,$169,$349,$0,$10,$375,$143,$100,$242,$0,$242,$242,$242,$283,$143,$137,137,$1.76,$1.76,$330,$0,$0,$330,$17033,$0,$0,$464,$17537,$17867,$313,$7031,$344,$7383,$7696,$1,$95,$-31,$10171,$17867,$1034,$535,$-423,$113,$0,$0,$0,$-5,$14,$1160,$-1134,$0,$0,$0,$-10,$-10,$112,$-1032,$450,$0,$450,$16,$16,$-729,$-40,$-303,$-175,$0,$-727
8,2016-09-30,168.14,$73.09,2.3,$14.68,11.45,$-3.94,0.0,$6.89,24.4,$0.23B,$0.38B,0.61,$6.82B,$10.04B,0.68,$2.01B,$1.34B,66.57%,$2.01B,$0.58B,29.00%,$2.01B,$0.58B,29.00%,$2.01B,$1.10B,54.86%,$2.01B,$0.95B,47.14%,$2.01B,$0.95B,47.14%,$0.95B,$10.04B,9.56%,$0.95B,$10.04B,9.56%,$0.95B,$17.59B,5.49%,$0.58B,$16.85B,3.52%,$516,$177,$339,$0,$12,$372,$144,$213,$356,$0,$356,$356,$356,$276,$144,$137,138,$2.60,$2.59,$232,$0,$0,$232,$16871,$0,$0,$439,$17356,$17589,$379,$6816,$347,$7173,$7552,$1,$36,$-101,$10037,$17589,$792,$395,$-332,$63,$0,$0,$0,$-21,$6,$861,$-907,$0,$0,$0,$-2,$-2,$43,$-867,$234,$0,$234,$14,$14,$-543,$-33,$-329,$-335,$0,$-542
9,2016-06-30,169.29,$71.78,2.36,$14.46,11.71,$-5.71,0.0,$5.83,29.04,$0.29B,$0.35B,0.83,$6.83B,$9.86B,0.69,$1.97B,$1.31B,66.43%,$1.97B,$0.59B,29.96%,$1.97B,$0.59B,29.96%,$1.97B,$1.10B,55.80%,$1.97B,$0.80B,40.49%,$1.97B,$0.80B,40.49%,$0.80B,$9.86B,8.09%,$0.80B,$9.86B,8.09%,$0.80B,$17.40B,4.67%,$0.59B,$16.69B,3.60%,$502,$170,$332,$0,$12,$365,$137,$60,$197,$0,$197,$197,$197,$272,$137,$137,137,$1.44,$1.44,$288,$0,$0,$288,$16498,$0,$0,$569,$17107,$17395,$349,$6834,$346,$7190,$7539,$1,$-135,$-103,$9857,$17395,$435,$263,$-127,$136,$0,$0,$0,$-12,$-18,$553,$-669,$0,$0,$0,$-122,$-122,$78,$-712,$317,$0,$317,$13,$13,$-356,$-33,$-59,$-218,$0,$-356
