,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.2,$-0.72,-3.07,$13.01,0.17,$-0.55,0.0,$0.23,9.57,$1.77B,$1.42B,1.25,$1.63B,$-0.80B,-2.03,$5.74B,$3.47B,60.46%,$5.74B,$0.41B,7.13%,$5.74B,$0.41B,7.13%,$5.74B,$0.52B,9.04%,$5.74B,$0.28B,4.95%,$5.74B,$0.11B,1.92%,$0.11B,$-0.32B,-34.70%,$0.11B,$-0.41B,-26.62%,$0.11B,$3.08B,3.26%,$0.41B,$1.31B,29.77%,$1424,$538,$886,$0,$699,$1237,$187,$-5,$182,$68,$114,$114,$94,$213,$187,$442,442,$0.21,$0.21,$453,$682,$0,$1773,$624,$0,$93,$585,$1301,$3075,$1418,$1631,$210,$1973,$3392,$190,$2318,$-1016,$-317,$3075,$56,$81,$-60,$21,$-93,$-132,$0,$23,$-159,$-68,$-71,$0,$0,$0,$0,$0,$-1,$-72,$-239,$-7,$-246,$-3,$-3,$0,$-6,$-255,$-429,$10,$0
1,2018-06-30,1.62,$-0.97,-1.66,$13.01,0.12,$-0.31,0.0,$0.03,54.0,$1.78B,$1.38B,1.29,$1.63B,$-0.91B,-1.79,$5.73B,$3.45B,60.21%,$5.73B,$0.31B,5.39%,$5.73B,$0.31B,5.39%,$5.73B,$0.42B,7.36%,$5.73B,$0.15B,2.62%,$5.73B,$0.02B,0.40%,$0.02B,$-0.43B,-7.08%,$0.02B,$-0.53B,-5.45%,$0.02B,$3.09B,0.66%,$0.31B,$1.20B,21.65%,$1352,$540,$812,$0,$759,$1299,$53,$-53,$-0,$37,$-37,$-37,$-42,$81,$53,$442,442,$-0.09,$-0.09,$444,$662,$0,$1783,$634,$0,$95,$574,$1303,$3086,$1384,$1630,$369,$2134,$3517,$190,$2210,$-1014,$-431,$3086,$-58,$55,$120,$176,$-50,$-100,$0,$-1,$-228,$-107,$-48,$0,$0,$0,$0,$0,$-2,$-50,$-239,$-10,$-249,$-3,$-3,$0,$-0,$-252,$-438,$8,$0
2,2018-03-31,2.84,$-0.62,-4.6,$13.12,0.22,$-0.03,0.0,$0.00,0.0,$2.15B,$1.75B,1.23,$1.63B,$-0.75B,-2.18,$5.78B,$3.51B,60.78%,$5.78B,$0.29B,5.00%,$5.78B,$0.29B,5.00%,$5.78B,$0.40B,6.98%,$5.78B,$0.14B,2.39%,$5.78B,$0.01B,0.24%,$0.01B,$-0.27B,-4.47%,$0.01B,$-0.37B,-3.41%,$0.01B,$3.64B,0.39%,$0.29B,$1.36B,19.28%,$1394,$580,$814,$0,$769,$1349,$45,$-35,$10,$32,$-21,$-21,$-26,$73,$45,$441,441,$-0.06,$-0.06,$773,$697,$0,$2150,$703,$0,$101,$687,$1491,$3640,$1751,$1630,$381,$2162,$3913,$190,$2253,$-891,$-273,$3640,$-21,$28,$63,$91,$-4,$-58,$0,$1,$-169,$-96,$-28,$0,$0,$0,$0,$0,$1,$-27,$-1,$4,$3,$-3,$-3,$0,$0,$0,$-109,$4,$0
3,2017-12-31,2.15,$-0.56,-3.83,$13.00,0.17,$0.01,154.68,$-0.04,0.0,$2.23B,$1.56B,1.43,$1.87B,$-0.72B,-2.62,$5.72B,$3.51B,61.46%,$5.72B,$0.27B,4.79%,$5.72B,$0.27B,4.79%,$5.72B,$0.39B,6.77%,$5.72B,$0.12B,2.12%,$5.72B,$-0.00B,-0.03%,$-0.00B,$-0.25B,0.60%,$-0.00B,$-0.34B,0.46%,$-0.00B,$3.70B,-0.06%,$0.27B,$1.63B,17.80%,$1569,$611,$958,$0,$834,$1445,$124,$-32,$92,$1,$90,$90,$84,$152,$124,$440,440,$0.21,$0.21,$882,$598,$0,$2233,$703,$0,$96,$666,$1465,$3698,$1560,$1872,$362,$2385,$3945,$190,$2320,$-926,$-247,$3698,$20,$114,$271,$385,$-215,$-19,$0,$44,$-173,$271,$-97,$0,$0,$0,$0,$0,$28,$-70,$-3,$10,$7,$-7,$-7,$0,$-0,$0,$227,$24,$0
4,2017-09-30,2.33,$-0.79,-2.95,$13.02,0.18,$-0.30,0.0,$-0.25,0.0,$2.09B,$1.47B,1.42,$1.87B,$-0.81B,-2.31,$5.72B,$3.50B,61.26%,$5.72B,$0.26B,4.50%,$5.72B,$0.26B,4.50%,$5.72B,$0.37B,6.49%,$5.72B,$0.07B,1.26%,$5.72B,$-0.11B,-1.99%,$-0.11B,$-0.35B,30.75%,$-0.11B,$-0.44B,24.46%,$-0.11B,$3.52B,-3.30%,$0.26B,$1.53B,17.09%,$1418,$550,$868,$0,$781,$1331,$87,$-39,$48,$36,$12,$12,$7,$116,$87,$440,440,$0.01,$0.01,$664,$663,$0,$2093,$707,$0,$97,$621,$1424,$3517,$1472,$1873,$359,$2393,$3864,$190,$2235,$-935,$-348,$3517,$-70,$86,$246,$331,$-170,$-72,$0,$45,$-263,$35,$-67,$0,$0,$0,$0,$0,$25,$-42,$-2,$-1,$-3,$-7,$-7,$0,$-0,$-10,$9,$22,$0
5,2017-06-30,3.8,$-0.88,-4.34,$13.02,0.29,$-0.62,0.0,$-0.19,0.0,$2.02B,$1.49B,1.36,$1.87B,$-0.84B,-2.23,$5.71B,$3.49B,61.18%,$5.71B,$0.28B,4.94%,$5.71B,$0.28B,4.94%,$5.71B,$0.40B,6.94%,$5.71B,$0.10B,1.74%,$5.71B,$-0.09B,-1.49%,$-0.09B,$-0.39B,23.11%,$-0.09B,$-0.48B,18.34%,$-0.09B,$3.47B,-2.39%,$0.28B,$1.49B,17.68%,$1396,$525,$871,$0,$838,$1363,$33,$-45,$-12,$34,$-46,$-46,$-51,$62,$33,$440,440,$-0.12,$-0.12,$634,$637,$0,$2015,$722,$0,$95,$636,$1452,$3468,$1488,$1874,$319,$2365,$3853,$190,$2229,$-955,$-385,$3468,$-82,$57,$166,$223,$-92,$-36,$0,$41,$-146,$11,$-43,$0,$0,$0,$0,$0,$3,$-40,$-2,$-4,$-6,$-6,$-6,$0,$-0,$-13,$-21,$16,$0
6,2017-03-31,4.4,$-0.81,-5.4,$13.13,0.34,$-0.95,0.0,$-0.01,0.0,$1.95B,$1.45B,1.34,$1.88B,$-0.81B,-2.32,$5.74B,$3.49B,60.74%,$5.74B,$0.34B,5.99%,$5.74B,$0.34B,5.99%,$5.74B,$0.46B,7.97%,$5.74B,$0.18B,3.19%,$5.74B,$-0.00B,-0.02%,$-0.00B,$-0.36B,0.27%,$-0.00B,$-0.46B,0.21%,$-0.00B,$3.43B,-0.03%,$0.34B,$1.52B,20.74%,$1333,$517,$816,$0,$786,$1303,$30,$-37,$-7,$30,$-37,$-37,$-42,$57,$30,$439,439,$-0.10,$-0.10,$560,$630,$0,$1949,$733,$0,$97,$647,$1477,$3426,$1451,$1875,$291,$2334,$3784,$190,$2280,$-967,$-358,$3426,$-37,$28,$92,$120,$-42,$-24,$0,$2,$-169,$-80,$-24,$0,$0,$0,$0,$0,$2,$-22,$-1,$2,$1,$-6,$-6,$0,$0,$-5,$-94,$10,$0
7,2016-12-31,5.04,$-0.89,-5.63,$13.09,0.39,$-1.20,0.0,$-0.29,0.0,$1.99B,$1.49B,1.34,$1.88B,$-0.84B,-2.24,$5.72B,$3.46B,60.53%,$5.72B,$0.32B,5.63%,$5.72B,$0.32B,5.63%,$5.72B,$0.44B,7.63%,$5.72B,$0.03B,0.56%,$5.72B,$-0.13B,-2.19%,$-0.13B,$-0.39B,32.03%,$-0.13B,$-0.49B,25.73%,$-0.13B,$3.42B,-3.43%,$0.32B,$1.48B,18.87%,$1568,$622,$946,$0,$839,$1461,$107,$-64,$43,$53,$-10,$-10,$-28,$136,$107,$437,437,$-0.04,$-0.04,$654,$586,$0,$1992,$711,$0,$94,$622,$1427,$3419,$1486,$1876,$284,$2325,$3810,$189,$2322,$-1033,$-392,$3419,$-107,$114,$383,$497,$-217,$-29,$0,$9,$-258,$128,$-93,$0,$0,$0,$0,$0,$10,$-83,$-224,$-36,$-261,$-6,$421,$0,$-23,$137,$-30,$24,$0
8,2016-09-30,5.66,$-0.77,-7.36,$13.19,0.43,$-1.29,0.0,$-1.02,0.0,$2.44B,$1.59B,1.54,$2.23B,$-0.78B,-2.87,$5.76B,$3.46B,60.08%,$5.76B,$0.28B,4.83%,$5.76B,$0.28B,4.83%,$5.76B,$0.40B,6.93%,$5.76B,$-0.00B,-0.07%,$5.76B,$-0.43B,-7.40%,$-0.43B,$-0.34B,76.58%,$-0.43B,$-0.43B,65.36%,$-0.43B,$3.91B,-11.33%,$0.28B,$1.89B,17.28%,$1409,$551,$858,$0,$746,$1297,$112,$-37,$75,$38,$36,$36,$36,$141,$112,$437,437,$0.07,$0.07,$902,$706,$0,$2442,$747,$0,$98,$619,$1464,$3906,$1588,$2227,$264,$2654,$4242,$189,$2339,$-989,$-336,$3906,$-97,$85,$281,$366,$-167,$-110,$0,$-43,$-377,$-104,$-68,$0,$0,$0,$0,$0,$0,$-68,$197,$-31,$165,$-5,$421,$0,$-17,$569,$217,$23,$0
9,2016-06-30,3.78,$-0.91,-4.16,$13.27,0.28,$-1.23,0.0,$-2.67,0.0,$2.19B,$1.49B,1.47,$2.14B,$-0.83B,-2.58,$5.78B,$3.48B,60.13%,$5.78B,$0.21B,3.65%,$5.78B,$0.21B,3.65%,$5.78B,$0.33B,5.76%,$5.78B,$-0.05B,-0.83%,$5.78B,$-1.15B,-19.85%,$-1.15B,$-0.40B,172.83%,$-1.15B,$-0.49B,151.00%,$-1.15B,$3.64B,-30.79%,$0.21B,$1.74B,14.13%,$1434,$565,$869,$0,$774,$1339,$95,$-23,$72,$36,$36,$36,$33,$124,$95,$437,437,$0.06,$0.06,$742,$666,$0,$2194,$743,$0,$96,$605,$1444,$3638,$1492,$2140,$239,$2543,$4035,$189,$2308,$-1010,$-397,$3638,$-132,$56,$226,$282,$-90,$-70,$0,$-32,$-282,$-130,$-43,$0,$0,$0,$0,$0,$-1,$-44,$3,$-12,$-9,$-4,$423,$0,$-1,$413,$57,$16,$0
