,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,69.6,$6.62,10.51,$17.95,3.88,$5.28,13.19,$3.49,19.94,$0.78B,$0.53B,1.47,$0.78B,$0.33B,2.36,$0.95B,$0.32B,33.54%,$0.95B,$0.25B,26.18%,$0.95B,$0.25B,26.18%,$0.95B,$0.34B,35.44%,$0.95B,$0.24B,25.03%,$0.95B,$0.19B,19.45%,$0.19B,$0.33B,47.50%,$0.19B,$-0.12B,-350.71%,$0.19B,$2.00B,9.83%,$0.25B,$1.11B,20.92%,$261,$163,$98,$0,$35,$179,$81,$-1,$81,$16,$64,$64,$76,$99,$81,$51,52,$1.50,$1.46,$327,$64,$9,$781,$484,$78,$446,$73,$1222,$2003,$533,$780,$72,$1139,$1672,$1,$839,$-409,$331,$2003,$151,$62,$-39,$23,$9,$-14,$0,$-10,$-15,$159,$-41,$0,$306,$0,$89,$89,$-68,$286,$-24,$0,$-24,$-238,$-238,$0,$0,$-263,$177,$9,$0
1,2018-06-30,63.2,$7.83,8.08,$17.30,3.65,$3.78,16.74,$2.95,21.42,$0.58B,$0.26B,2.24,$0.80B,$0.40B,1.97,$0.92B,$0.31B,33.77%,$0.92B,$0.24B,26.19%,$0.92B,$0.24B,26.19%,$0.92B,$0.34B,36.36%,$0.92B,$0.21B,22.73%,$0.92B,$0.16B,17.10%,$0.16B,$0.40B,39.67%,$0.16B,$-0.04B,-351.11%,$0.16B,$1.83B,8.59%,$0.24B,$1.20B,19.99%,$249,$166,$83,$0,$41,$183,$66,$-1,$65,$18,$48,$48,$47,$88,$66,$52,53,$0.90,$0.89,$129,$62,$7,$583,$485,$112,$444,$70,$1242,$1825,$260,$795,$88,$1161,$1421,$1,$763,$-404,$404,$1825,$75,$44,$-25,$20,$7,$-22,$0,$-8,$-6,$89,$-26,$0,$-12,$0,$36,$36,$0,$-1,$-16,$0,$-16,$-90,$-90,$0,$0,$-106,$-21,$5,$0
2,2018-03-31,56.3,$7.74,7.28,$16.77,3.36,$2.53,22.29,$2.83,19.89,$0.60B,$0.25B,2.44,$0.81B,$0.40B,2.01,$0.90B,$0.31B,34.85%,$0.90B,$0.25B,27.19%,$0.90B,$0.25B,27.19%,$0.90B,$0.34B,37.40%,$0.90B,$0.21B,23.75%,$0.90B,$0.15B,16.87%,$0.15B,$0.40B,40.92%,$0.15B,$-0.03B,-205.41%,$0.15B,$1.83B,8.31%,$0.25B,$1.21B,20.53%,$227,$157,$71,$0,$38,$178,$50,$-0,$49,$8,$41,$41,$28,$72,$50,$53,54,$0.53,$0.51,$117,$60,$8,$599,$490,$108,$438,$69,$1226,$1825,$245,$810,$88,$1176,$1421,$1,$716,$-389,$404,$1825,$28,$23,$-2,$21,$23,$-17,$0,$-7,$-23,$26,$-10,$0,$0,$0,$16,$16,$0,$6,$-8,$0,$-8,$-56,$-56,$0,$0,$-64,$-33,$3,$0
3,2017-12-31,60.55,$7.95,7.62,$16.58,3.65,$1.96,30.86,$2.88,21.02,$0.65B,$0.27B,2.4,$0.82B,$0.42B,1.95,$0.89B,$0.32B,35.91%,$0.89B,$0.25B,28.19%,$0.89B,$0.25B,28.19%,$0.89B,$0.34B,38.14%,$0.89B,$0.22B,24.83%,$0.89B,$0.15B,17.23%,$0.15B,$0.42B,45.53%,$0.15B,$-0.02B,-137.50%,$0.15B,$1.87B,8.50%,$0.25B,$1.24B,21.58%,$214,$148,$67,$0,$30,$163,$52,$-8,$43,$-61,$104,$104,$34,$78,$52,$53,54,$0.63,$0.63,$160,$54,$8,$649,$500,$107,$441,$64,$1225,$1874,$270,$818,$89,$1184,$1454,$1,$633,$-346,$419,$1874,$155,$89,$0,$89,$-37,$4,$0,$-1,$-74,$170,$-90,$0,$-31,$0,$69,$69,$-2,$-54,$-25,$0,$-25,$-77,$-77,$0,$-1,$-103,$18,$10,$0
4,2017-09-30,51.25,$6.94,7.39,$16.18,3.17,$-0.53,0.0,$2.74,18.7,$0.41B,$0.21B,1.98,$0.83B,$0.37B,2.25,$0.88B,$0.32B,36.76%,$0.88B,$0.24B,27.40%,$0.88B,$0.24B,27.40%,$0.88B,$0.32B,36.76%,$0.88B,$0.21B,23.97%,$0.88B,$0.15B,16.78%,$0.15B,$0.37B,49.00%,$0.15B,$-0.08B,-100.17%,$0.15B,$1.83B,8.25%,$0.24B,$1.19B,21.10%,$234,$143,$91,$0,$31,$160,$74,$-21,$53,$16,$37,$37,$49,$98,$74,$53,54,$0.93,$0.92,$117,$118,$24,$408,$699,$105,$450,$64,$1422,$1830,$206,$825,$59,$1258,$1464,$1,$600,$-366,$366,$1830,$121,$63,$11,$74,$-27,$-2,$0,$-17,$-90,$105,$-63,$0,$-31,$0,$53,$53,$1,$-41,$-17,$0,$-17,$-75,$-75,$0,$-1,$-92,$-25,$8,$0
5,2017-06-30,46.0,$5.62,8.18,$17.79,2.59,$-2.71,0.0,$3.08,14.94,$0.36B,$0.22B,1.68,$0.83B,$0.30B,2.8,$0.98B,$0.34B,34.90%,$0.98B,$0.24B,24.26%,$0.98B,$0.24B,24.26%,$0.98B,$0.32B,32.24%,$0.98B,$0.22B,22.62%,$0.98B,$0.17B,17.30%,$0.17B,$0.30B,61.85%,$0.17B,$-0.16B,-99.27%,$0.17B,$1.78B,9.61%,$0.24B,$1.13B,21.20%,$226,$140,$85,$0,$36,$156,$69,$-1,$69,$25,$44,$44,$41,$89,$69,$53,54,$0.77,$0.77,$80,$117,$18,$362,$696,$109,$454,$64,$1422,$1784,$216,$833,$90,$1271,$1487,$1,$550,$-387,$297,$1784,$72,$39,$-9,$29,$-27,$-2,$0,$-6,$-59,$42,$-45,$0,$-31,$0,$35,$35,$1,$-41,$6,$0,$6,$-70,$-70,$0,$-1,$-65,$-62,$5,$0
6,2017-03-31,46.05,$5.09,9.05,$19.20,2.4,$-4.61,0.0,$2.61,17.64,$0.35B,$0.22B,1.6,$0.84B,$0.27B,3.1,$1.07B,$0.35B,32.68%,$1.07B,$0.22B,20.66%,$1.07B,$0.22B,20.66%,$1.07B,$0.30B,28.08%,$1.07B,$0.19B,18.12%,$1.07B,$0.15B,13.62%,$0.15B,$0.27B,58.12%,$0.15B,$-0.19B,-76.02%,$0.15B,$1.76B,8.35%,$0.22B,$1.11B,19.96%,$220,$142,$78,$0,$39,$163,$57,$0,$57,$22,$36,$36,$30,$76,$57,$54,55,$0.56,$0.56,$81,$116,$19,$354,$689,$105,$457,$65,$1404,$1758,$221,$841,$84,$1266,$1487,$1,$509,$-390,$271,$1758,$30,$19,$5,$24,$-15,$-2,$0,$-2,$-44,$11,$-25,$0,$-31,$0,$19,$19,$0,$-38,$14,$0,$14,$-50,$-50,$0,$-1,$-36,$-61,$3,$0
7,2016-12-31,41.8,$4.89,8.54,$20.33,2.06,$-6.02,0.0,$1.87,22.35,$0.41B,$0.22B,1.81,$0.85B,$0.27B,3.19,$1.13B,$0.35B,31.27%,$1.13B,$0.19B,16.34%,$1.13B,$0.19B,16.34%,$1.13B,$0.28B,24.29%,$1.13B,$0.14B,12.46%,$1.13B,$0.11B,9.28%,$0.11B,$0.27B,28.06%,$0.11B,$-0.16B,-142.86%,$0.11B,$1.76B,5.37%,$0.19B,$1.12B,14.82%,$196,$128,$68,$0,$43,$156,$40,$-9,$31,$13,$18,$18,$27,$59,$40,$55,55,$0.50,$0.49,$142,$47,$11,$406,$465,$106,$428,$63,$1352,$1758,$224,$849,$123,$1268,$1492,$1,$470,$-404,$266,$1758,$105,$90,$47,$137,$-24,$-7,$0,$-30,$-192,$49,$-104,$0,$0,$0,$87,$87,$0,$-17,$-71,$0,$-71,$-43,$-43,$0,$-15,$-129,$-103,$12,$0
8,2016-09-30,41.32,$4.68,8.82,$27.07,1.53,$-4.43,0.0,$1.13,36.57,$0.43B,$0.23B,1.86,$0.86B,$0.26B,3.31,$1.51B,$0.42B,28.02%,$1.51B,$0.15B,10.18%,$1.51B,$0.15B,10.18%,$1.51B,$0.26B,16.92%,$1.51B,$0.10B,6.61%,$1.51B,$0.06B,4.23%,$0.06B,$0.26B,12.80%,$0.06B,$-0.18B,135.45%,$0.06B,$1.73B,2.93%,$0.15B,$1.12B,11.04%,$335,$225,$110,$0,$56,$264,$71,$-7,$64,$8,$56,$56,$71,$91,$71,$56,56,$1.27,$1.26,$143,$110,$17,$429,$665,$119,$437,$61,$1304,$1733,$231,$856,$91,$1243,$1474,$1,$443,$-419,$259,$1733,$78,$71,$26,$97,$-41,$-4,$0,$-20,$-178,$-3,$-76,$0,$0,$0,$69,$69,$0,$-7,$-69,$0,$-69,$-8,$-8,$0,$-11,$-88,$-102,$10,$0
9,2016-06-30,39.15,$3.65,10.73,$27.10,1.44,$-2.19,0.0,$0.44,88.98,$0.39B,$0.22B,1.75,$0.86B,$0.20B,4.27,$1.51B,$0.43B,28.07%,$1.51B,$0.14B,9.38%,$1.51B,$0.14B,9.38%,$1.51B,$0.25B,16.78%,$1.51B,$0.07B,4.82%,$1.51B,$0.03B,1.65%,$0.03B,$0.20B,3.96%,$0.03B,$-0.24B,15.22%,$0.03B,$1.70B,1.03%,$0.14B,$1.07B,9.14%,$314,$223,$92,$0,$56,$263,$52,$-10,$41,$25,$17,$17,$17,$73,$52,$56,56,$0.30,$0.30,$99,$104,$20,$390,$661,$120,$441,$63,$1307,$1697,$222,$864,$136,$1272,$1495,$1,$372,$-426,$202,$1697,$7,$51,$19,$70,$-40,$1,$0,$-22,$-132,$-55,$-53,$0,$0,$0,$49,$49,$0,$-4,$-69,$0,$-69,$0,$0,$0,$-14,$-83,$-145,$7,$0
