,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,61.14,$15.08,4.05,$11.65,5.25,$2.67,22.87,$1.70,35.96,$0.14B,$0.14B,0.94,$0.35B,$0.55B,0.63,$0.43B,$0.32B,74.42%,$0.43B,$0.10B,23.49%,$0.43B,$0.10B,23.49%,$0.43B,$0.14B,32.56%,$0.43B,$0.08B,19.07%,$0.43B,$0.06B,14.65%,$0.06B,$0.55B,11.69%,$0.06B,$0.55B,11.72%,$0.06B,$1.47B,4.38%,$0.10B,$0.91B,11.66%,$124,$34,$91,$0,$30,$90,$34,$-4,$30,$7,$23,$23,$23,$44,$34,$37,37,$0.62,$0.62,$2,$6,$87,$135,$1263,$26,$1,$6,$1330,$1465,$143,$351,$246,$768,$911,$253,$301,$0,$554,$1465,$50,$30,$1,$31,$-13,$-1,$-2,$39,$27,$108,$-87,$0,$0,$0,$0,$0,$-1,$-89,$-0,$15,$15,$0,$0,$-29,$-4,$-18,$2,$4,$-29
1,2018-06-30,56.9,$14.68,3.88,$11.67,4.88,$4.18,13.61,$1.65,34.48,$0.14B,$0.13B,1.09,$0.36B,$0.54B,0.66,$0.43B,$0.32B,74.88%,$0.43B,$0.11B,24.65%,$0.43B,$0.11B,24.65%,$0.43B,$0.14B,33.49%,$0.43B,$0.09B,20.00%,$0.43B,$0.06B,14.19%,$0.06B,$0.54B,11.47%,$0.06B,$0.54B,11.50%,$0.06B,$1.44B,4.23%,$0.11B,$0.90B,12.44%,$107,$26,$81,$0,$28,$81,$26,$-5,$21,$4,$16,$16,$16,$36,$26,$37,37,$0.44,$0.44,$6,$5,$92,$141,$1239,$24,$1,$6,$1300,$1441,$130,$358,$238,$772,$902,$251,$288,$0,$539,$1441,$27,$20,$0,$20,$-12,$-1,$-3,$29,$18,$65,$-59,$0,$0,$0,$0,$0,$0,$-59,$-0,$21,$21,$0,$0,$-19,$-4,$-1,$5,$2,$-19
2,2018-03-31,52.57,$14.47,3.63,$11.85,4.44,$5.74,9.15,$1.83,28.73,$0.15B,$0.20B,0.74,$0.28B,$0.53B,0.53,$0.44B,$0.33B,75.00%,$0.44B,$0.12B,27.98%,$0.44B,$0.12B,27.98%,$0.44B,$0.16B,36.70%,$0.44B,$0.10B,23.39%,$0.44B,$0.07B,15.60%,$0.07B,$0.53B,12.95%,$0.07B,$0.53B,12.98%,$0.07B,$1.42B,4.70%,$0.12B,$0.81B,14.59%,$95,$23,$71,$0,$29,$76,$19,$-5,$13,$3,$11,$11,$11,$28,$19,$37,37,$0.29,$0.29,$6,$5,$81,$146,$1219,$24,$1,$6,$1278,$1424,$196,$281,$238,$696,$892,$250,$281,$0,$532,$1424,$11,$10,$2,$12,$5,$0,$-6,$12,$13,$36,$-30,$0,$0,$0,$0,$0,$0,$-30,$-0,$11,$11,$0,$0,$-9,$-2,$0,$6,$1,$-9
3,2017-12-31,57.1,$14.45,3.95,$11.96,4.77,$5.71,10.0,$1.88,30.37,$0.16B,$0.16B,0.99,$0.32B,$0.53B,0.61,$0.44B,$0.34B,76.14%,$0.44B,$0.13B,29.09%,$0.44B,$0.13B,29.09%,$0.44B,$0.17B,37.73%,$0.44B,$0.11B,24.77%,$0.44B,$0.07B,15.91%,$0.07B,$0.53B,13.55%,$0.07B,$0.53B,13.57%,$0.07B,$1.42B,4.79%,$0.13B,$0.85B,15.28%,$104,$27,$77,$0,$29,$82,$22,$-4,$18,$5,$13,$13,$13,$32,$22,$37,37,$0.34,$0.35,$0,$5,$106,$155,$1205,$24,$1,$31,$1261,$1417,$157,$321,$234,$730,$887,$250,$280,$0,$530,$1417,$69,$39,$8,$47,$-5,$-1,$4,$17,$30,$145,$-79,$0,$0,$0,$0,$0,$-1,$-80,$-0,$-24,$-24,$1,$1,$-36,$-5,$-65,$-0,$3,$-36
4,2017-09-30,48.34,$14.34,3.37,$12.04,4.01,$3.03,15.96,$1.83,26.41,$0.15B,$0.15B,0.97,$0.32B,$0.53B,0.61,$0.44B,$0.34B,76.98%,$0.44B,$0.13B,28.89%,$0.44B,$0.13B,28.89%,$0.44B,$0.17B,37.47%,$0.44B,$0.11B,24.38%,$0.44B,$0.07B,15.35%,$0.07B,$0.53B,13.39%,$0.07B,$0.53B,13.42%,$0.07B,$1.49B,4.61%,$0.13B,$0.85B,15.44%,$124,$32,$93,$0,$30,$86,$39,$-5,$34,$13,$21,$21,$21,$48,$39,$37,37,$0.57,$0.57,$7,$5,$88,$147,$1182,$0,$1,$54,$1340,$1486,$152,$321,$205,$809,$961,$249,$276,$0,$526,$1486,$56,$29,$3,$32,$-11,$-1,$5,$15,$31,$120,$-44,$0,$0,$0,$0,$0,$-1,$-45,$-0,$-38,$-38,$1,$1,$-27,$-5,$-69,$6,$2,$-27
5,2017-06-30,46.29,$14.00,3.31,$12.03,3.85,$0.34,136.64,$1.85,25.02,$0.15B,$0.14B,1.07,$0.32B,$0.51B,0.63,$0.44B,$0.34B,77.20%,$0.44B,$0.13B,29.12%,$0.44B,$0.13B,29.12%,$0.44B,$0.17B,37.70%,$0.44B,$0.11B,24.38%,$0.44B,$0.07B,15.58%,$0.07B,$0.51B,13.83%,$0.07B,$0.51B,13.86%,$0.07B,$1.46B,4.72%,$0.13B,$0.83B,15.73%,$113,$27,$86,$0,$28,$71,$42,$-5,$37,$14,$23,$23,$23,$52,$42,$37,37,$0.62,$0.62,$2,$5,$98,$150,$1155,$0,$1,$52,$1313,$1463,$140,$321,$203,$809,$950,$248,$265,$0,$513,$1463,$35,$19,$-1,$19,$-8,$-1,$1,$1,$21,$75,$-12,$0,$0,$0,$0,$0,$0,$-11,$-0,$-41,$-41,$1,$1,$-18,$-4,$-62,$2,$2,$-18
6,2017-03-31,43.02,$13.60,3.16,$12.01,3.58,$-1.85,0.0,$1.68,25.61,$0.19B,$0.18B,1.08,$0.32B,$0.50B,0.65,$0.44B,$0.34B,77.83%,$0.44B,$0.12B,26.92%,$0.44B,$0.12B,26.92%,$0.44B,$0.16B,35.52%,$0.44B,$0.10B,22.17%,$0.44B,$0.06B,14.25%,$0.06B,$0.50B,12.86%,$0.06B,$0.50B,12.88%,$0.06B,$1.48B,4.35%,$0.12B,$0.82B,14.67%,$99,$20,$79,$0,$28,$74,$25,$-5,$20,$7,$13,$13,$13,$34,$25,$37,37,$0.35,$0.34,$1,$5,$140,$192,$1137,$0,$1,$49,$1288,$1480,$179,$321,$199,$804,$982,$247,$251,$0,$498,$1480,$13,$10,$7,$17,$5,$-1,$1,$-10,$-1,$28,$-24,$0,$0,$0,$0,$0,$0,$-24,$-0,$7,$7,$0,$0,$-9,$-2,$-4,$0,$1,$-9
7,2016-12-31,44.0,$13.52,3.26,$11.87,3.71,$-2.01,0.0,$1.62,27.16,$0.17B,$0.18B,0.94,$0.32B,$0.49B,0.65,$0.44B,$0.34B,77.35%,$0.44B,$0.12B,26.32%,$0.44B,$0.12B,26.32%,$0.44B,$0.15B,35.24%,$0.44B,$0.09B,21.51%,$0.44B,$0.06B,13.73%,$0.06B,$0.49B,12.44%,$0.06B,$0.49B,12.47%,$0.06B,$1.47B,4.22%,$0.12B,$0.82B,14.32%,$107,$24,$83,$0,$28,$85,$22,$-5,$17,$6,$11,$11,$11,$32,$22,$37,37,$0.30,$0.30,$0,$4,$109,$167,$1151,$21,$1,$28,$1304,$1470,$178,$321,$201,$798,$976,$247,$247,$0,$494,$1470,$60,$39,$31,$70,$-6,$1,$-3,$-17,$-32,$97,$-130,$0,$0,$0,$0,$0,$-1,$-131,$-0,$69,$68,$0,$0,$-33,$-5,$30,$-4,$3,$-33
8,2016-09-30,38.44,$13.42,2.86,$11.89,3.23,$-0.91,0.0,$1.63,23.59,$0.14B,$0.18B,0.76,$0.32B,$0.49B,0.65,$0.44B,$0.34B,77.50%,$0.44B,$0.12B,26.14%,$0.44B,$0.12B,26.14%,$0.44B,$0.15B,35.00%,$0.44B,$0.10B,21.59%,$0.44B,$0.06B,13.86%,$0.06B,$0.49B,12.84%,$0.06B,$0.49B,12.86%,$0.06B,$1.44B,4.39%,$0.12B,$0.81B,14.44%,$124,$29,$94,$0,$28,$84,$40,$-5,$34,$13,$22,$22,$22,$49,$40,$37,37,$0.59,$0.59,$3,$5,$100,$137,$1129,$0,$1,$52,$1304,$1440,$180,$321,$197,$770,$950,$246,$245,$0,$491,$1440,$49,$29,$13,$42,$-4,$1,$-2,$-25,$-13,$78,$-100,$0,$0,$0,$0,$0,$-1,$-101,$-0,$52,$52,$0,$0,$-25,$-5,$22,$-2,$2,$-25
9,2016-06-30,41.84,$13.04,3.21,$12.09,3.46,$0.41,102.68,$1.60,26.15,$0.13B,$0.16B,0.83,$0.32B,$0.48B,0.67,$0.45B,$0.35B,78.62%,$0.45B,$0.12B,25.84%,$0.45B,$0.12B,25.84%,$0.45B,$0.16B,34.97%,$0.45B,$0.10B,21.38%,$0.45B,$0.06B,13.36%,$0.06B,$0.48B,12.77%,$0.06B,$0.48B,12.79%,$0.06B,$1.41B,4.38%,$0.12B,$0.80B,14.64%,$112,$24,$88,$0,$29,$80,$32,$-5,$27,$10,$17,$17,$17,$42,$32,$37,37,$0.46,$0.45,$5,$5,$86,$133,$1107,$0,$1,$48,$1273,$1406,$160,$321,$198,$769,$930,$245,$231,$0,$477,$1406,$27,$20,$8,$28,$-2,$0,$3,$-16,$-6,$49,$-65,$0,$0,$0,$0,$0,$-0,$-65,$-0,$38,$37,$0,$0,$-16,$-4,$17,$0,$1,$-16
