,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,3.6,$2.84,1.27,$0.74,4.89,$-0.09,0.0,$-0.00,0.0,$0.06B,$0.01B,11.53,$0.00B,$0.06B,0.0,$0.02B,$0.02B,93.75%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,6.25%,$0.00B,$0.06B,1.65%,$0.00B,$0.06B,1.65%,$0.00B,$0.07B,1.54%,$0.00B,$0.06B,0.00%,$5,$0,$5,$2,$2,$4,$1,$0,$1,$0,$1,$1,$1,$1,$1,$22,22,$0.06,$0.06,$49,$0,$0,$57,$4,$0,$0,$0,$9,$66,$5,$0,$0,$0,$5,$0,$-35,$0,$61,$66,$1,$0,$0,$1,$-3,$0,$-0,$-1,$-3,$-2,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$-0,$-0,$0,$-0,$-0,$-3,$0,$0
1,2018-06-30,4.05,$2.78,1.46,$0.75,5.41,$0.04,101.25,$-0.00,0.0,$0.05B,$0.00B,14.04,$0.00B,$0.06B,0.0,$0.02B,$0.02B,94.12%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,5.88%,$0.02B,$0.00B,5.88%,$0.02B,$0.00B,5.88%,$0.00B,$0.06B,1.65%,$0.00B,$0.06B,1.65%,$0.00B,$0.06B,1.55%,$0.00B,$0.06B,0.00%,$4,$0,$3,$2,$2,$4,$-0,$0,$-0,$0,$-0,$-0,$-0,$-0,$-0,$22,22,$-0.01,$-0.01,$49,$0,$0,$54,$4,$0,$0,$0,$9,$64,$4,$0,$0,$0,$4,$0,$-37,$0,$60,$64,$-1,$0,$0,$0,$-1,$0,$-0,$-1,$-2,$-2,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$-0,$-0,$0,$-0,$-0,$-2,$0,$0
2,2018-03-31,4.15,$2.78,1.49,$0.69,6.01,$0.16,26.37,$0.02,207.5,$0.05B,$0.00B,14.27,$0.00B,$0.06B,0.0,$0.02B,$0.02B,93.75%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,6.25%,$0.02B,$0.00B,6.25%,$0.02B,$0.00B,6.25%,$0.00B,$0.06B,1.65%,$0.00B,$0.06B,1.65%,$0.00B,$0.06B,1.56%,$0.00B,$0.06B,0.00%,$3,$0,$3,$2,$2,$4,$-1,$0,$-1,$-0,$-0,$-0,$-0,$-1,$-1,$22,22,$-0.02,$-0.02,$51,$0,$0,$54,$4,$0,$0,$0,$9,$64,$4,$0,$0,$0,$4,$0,$-36,$0,$60,$64,$-0,$0,$-0,$0,$0,$0,$0,$-0,$-0,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$0,$0
3,2017-12-31,4.5,$2.82,1.6,$0.74,6.07,$0.20,22.53,$0.06,75.0,$0.06B,$0.00B,12.72,$0.00B,$0.06B,0.0,$0.02B,$0.02B,94.12%,$0.02B,$0.00B,5.88%,$0.02B,$0.00B,5.88%,$0.02B,$0.00B,11.76%,$0.02B,$0.00B,11.76%,$0.02B,$0.00B,5.88%,$0.00B,$0.06B,1.65%,$0.00B,$0.06B,1.65%,$0.00B,$0.07B,1.56%,$0.00B,$0.06B,1.65%,$4,$0,$4,$2,$2,$4,$0,$0,$0,$0,$-0,$-0,$-0,$0,$0,$22,22,$-0.01,$-0.01,$52,$0,$0,$56,$4,$0,$0,$0,$9,$65,$4,$0,$0,$0,$5,$0,$-36,$0,$61,$65,$1,$1,$1,$2,$1,$0,$0,$0,$1,$4,$-0,$0,$0,$0,$1,$1,$0,$1,$0,$0,$0,$-5,$-5,$0,$-0,$-5,$-0,$1,$0
4,2017-09-30,4.65,$2.80,1.66,$0.74,6.32,$0.20,23.43,$0.11,42.27,$0.06B,$0.00B,12.54,$0.00B,$0.06B,0.0,$0.02B,$0.02B,94.12%,$0.02B,$0.00B,11.76%,$0.02B,$0.00B,11.76%,$0.02B,$0.00B,17.65%,$0.02B,$0.00B,17.65%,$0.02B,$0.00B,5.88%,$0.00B,$0.06B,1.67%,$0.00B,$0.06B,1.67%,$0.00B,$0.07B,1.57%,$0.00B,$0.06B,3.35%,$6,$0,$6,$2,$2,$4,$1,$0,$2,$0,$1,$1,$1,$2,$1,$22,22,$0.05,$0.05,$49,$0,$0,$55,$4,$0,$0,$0,$10,$65,$4,$0,$0,$0,$5,$0,$-36,$0,$61,$65,$2,$0,$0,$1,$-3,$0,$0,$0,$-2,$1,$-0,$0,$0,$0,$1,$1,$0,$1,$0,$0,$0,$-4,$-4,$0,$-0,$-4,$-3,$0,$0
5,2017-06-30,5.15,$2.76,1.87,$0.73,7.05,$0.29,17.94,$0.12,42.92,$0.05B,$0.00B,15.32,$0.00B,$0.06B,0.0,$0.02B,$0.02B,94.12%,$0.02B,$0.00B,17.65%,$0.02B,$0.00B,17.65%,$0.02B,$0.00B,17.65%,$0.02B,$0.00B,17.65%,$0.02B,$0.00B,11.76%,$0.00B,$0.06B,3.38%,$0.00B,$0.06B,3.38%,$0.00B,$0.06B,3.16%,$0.00B,$0.06B,5.06%,$3,$0,$2,$2,$2,$2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$22,22,$0.01,$0.01,$49,$0,$0,$53,$4,$0,$0,$0,$10,$63,$3,$0,$0,$0,$4,$0,$-37,$0,$60,$63,$0,$0,$0,$0,$-0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$1,$1,$0,$1,$0,$0,$0,$-4,$-4,$0,$-0,$-4,$-2,$0,$0
6,2017-03-31,4.7,$2.76,1.71,$0.91,5.15,$0.32,14.75,$0.17,27.65,$0.05B,$0.00B,14.01,$0.00B,$0.06B,0.0,$0.02B,$0.02B,95.24%,$0.02B,$0.01B,23.81%,$0.02B,$0.01B,23.81%,$0.02B,$0.01B,23.81%,$0.02B,$0.01B,23.81%,$0.02B,$0.00B,14.29%,$0.00B,$0.06B,5.11%,$0.00B,$0.06B,5.11%,$0.00B,$0.06B,4.71%,$0.01B,$0.06B,8.51%,$4,$0,$4,$2,$2,$4,$0,$0,$0,$0,$0,$0,$0,$0,$0,$22,22,$0.01,$0.01,$49,$0,$0,$53,$5,$1,$0,$0,$11,$64,$4,$0,$0,$0,$4,$0,$-38,$0,$60,$64,$0,$0,$0,$0,$-0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$-3,$-3,$0,$-0,$-3,$-3,$0,$0
7,2016-12-31,6.1,$2.59,2.36,$0.94,6.51,$0.36,16.78,$0.18,33.89,$0.06B,$0.00B,14.04,$0.00B,$0.06B,0.0,$0.02B,$0.02B,90.91%,$0.02B,$0.01B,27.27%,$0.02B,$0.01B,27.27%,$0.02B,$0.01B,27.27%,$0.02B,$0.01B,27.27%,$0.02B,$0.00B,18.18%,$0.00B,$0.06B,6.90%,$0.00B,$0.06B,6.90%,$0.00B,$0.06B,6.27%,$0.01B,$0.06B,10.34%,$4,$0,$4,$2,$2,$3,$1,$0,$1,$0,$0,$0,$0,$1,$1,$23,23,$0.02,$0.02,$52,$0,$0,$55,$5,$1,$0,$0,$7,$62,$4,$0,$0,$0,$4,$0,$-43,$-0,$58,$62,$4,$1,$0,$1,$2,$0,$-0,$-3,$-1,$4,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$-4,$-4,$0,$1,$-3,$1,$1,$0
8,2016-09-30,5.3,$2.59,2.05,$1.07,4.96,$0.49,10.9,$0.24,22.08,$0.06B,$0.01B,11.75,$0.00B,$0.06B,0.0,$0.03B,$0.02B,88.00%,$0.03B,$0.01B,32.00%,$0.03B,$0.01B,32.00%,$0.03B,$0.01B,32.00%,$0.03B,$0.01B,32.00%,$0.03B,$0.01B,24.00%,$0.01B,$0.06B,10.43%,$0.01B,$0.06B,10.43%,$0.01B,$0.06B,9.34%,$0.01B,$0.06B,13.91%,$6,$0,$6,$2,$2,$4,$2,$0,$2,$1,$2,$2,$2,$2,$2,$23,23,$0.07,$0.07,$52,$0,$0,$57,$5,$1,$0,$0,$7,$64,$5,$0,$0,$0,$5,$0,$-43,$-0,$59,$64,$4,$0,$0,$1,$0,$0,$-0,$-2,$-2,$3,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$-2,$-2,$0,$1,$-2,$1,$0,$0
9,2016-06-30,4.34,$2.55,1.7,$0.99,4.4,$0.46,9.49,$0.27,16.07,$0.06B,$0.01B,9.03,$0.00B,$0.06B,0.0,$0.02B,$0.02B,86.96%,$0.02B,$0.01B,26.09%,$0.02B,$0.01B,26.09%,$0.02B,$0.01B,30.43%,$0.02B,$0.01B,26.09%,$0.02B,$0.01B,26.09%,$0.01B,$0.06B,10.67%,$0.01B,$0.06B,10.67%,$0.01B,$0.07B,9.56%,$0.01B,$0.06B,10.67%,$7,$1,$6,$2,$2,$5,$2,$0,$2,$1,$1,$1,$1,$2,$2,$23,23,$0.06,$0.06,$52,$0,$0,$58,$5,$1,$0,$0,$7,$65,$6,$0,$0,$0,$7,$0,$-45,$-0,$58,$65,$2,$0,$0,$1,$-1,$0,$1,$-1,$-2,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$-0,$-0,$0,$0,$0,$1,$0,$0
