,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.33,$0.66,3.52,$0.86,2.71,$-0.97,0.0,$-0.01,0.0,$0.05B,$0.10B,0.49,$0.15B,$0.11B,1.35,$0.14B,$0.11B,77.08%,$0.14B,$0.06B,40.28%,$0.14B,$0.06B,40.28%,$0.14B,$0.10B,67.36%,$0.14B,$-0.00B,-1.39%,$0.14B,$-0.00B,-1.39%,$-0.00B,$0.11B,-1.81%,$-0.00B,$0.11B,-1.81%,$-0.00B,$0.38B,-0.63%,$0.06B,$0.26B,25.75%,$42,$10,$31,$0,$3,$24,$18,$-16,$2,$0,$2,$2,$2,$29,$18,$165,168,$0.01,$0.01,$0,$0,$1,$48,$332,$0,$0,$0,$334,$381,$97,$149,$25,$174,$271,$2,$-309,$0,$110,$381,$2,$30,$27,$57,$-14,$0,$0,$2,$7,$67,$-130,$0,$0,$0,$0,$0,$0,$-130,$62,$0,$62,$0,$0,$0,$-0,$62,$-2,$2,$0
1,2018-06-30,2.89,$0.65,4.46,$0.76,3.79,$-0.80,0.0,$-0.02,0.0,$0.03B,$0.09B,0.39,$0.12B,$0.11B,1.07,$0.13B,$0.10B,77.95%,$0.13B,$0.05B,36.22%,$0.13B,$0.05B,36.22%,$0.13B,$0.08B,64.57%,$0.13B,$-0.01B,-3.94%,$0.13B,$-0.01B,-3.94%,$-0.01B,$0.11B,-4.52%,$-0.01B,$0.11B,-4.52%,$-0.01B,$0.33B,-1.78%,$0.05B,$0.22B,22.47%,$31,$8,$23,$0,$3,$20,$11,$-21,$-11,$0,$-11,$-11,$-11,$20,$11,$165,165,$-0.06,$-0.06,$1,$0,$1,$34,$295,$0,$0,$0,$296,$331,$88,$115,$20,$135,$223,$2,$-311,$0,$108,$331,$0,$19,$20,$39,$-1,$0,$0,$1,$7,$45,$-74,$0,$0,$0,$0,$0,$0,$-74,$28,$0,$28,$0,$0,$0,$-0,$28,$-1,$1,$0
2,2018-03-31,2.22,$0.71,3.13,$0.66,3.38,$-0.63,0.0,$0.08,27.75,$0.03B,$0.06B,0.59,$0.11B,$0.12B,0.91,$0.11B,$0.09B,77.98%,$0.11B,$0.04B,33.03%,$0.11B,$0.04B,33.03%,$0.11B,$0.07B,62.39%,$0.11B,$0.01B,11.93%,$0.11B,$0.01B,11.93%,$0.01B,$0.12B,11.82%,$0.01B,$0.12B,11.82%,$0.01B,$0.29B,5.30%,$0.04B,$0.23B,19.54%,$41,$8,$33,$0,$3,$21,$20,$-9,$11,$0,$11,$11,$11,$30,$20,$165,167,$0.07,$0.06,$6,$0,$1,$32,$259,$0,$0,$0,$261,$293,$55,$107,$13,$120,$175,$2,$-300,$0,$118,$293,$11,$10,$5,$15,$6,$0,$0,$1,$6,$32,$-48,$0,$0,$0,$0,$0,$0,$-48,$20,$0,$20,$0,$0,$0,$-0,$20,$4,$1,$0
3,2017-12-31,2.46,$0.64,3.84,$0.53,4.61,$-0.47,0.0,$0.11,22.36,$0.03B,$0.07B,0.5,$0.09B,$0.11B,0.82,$0.09B,$0.07B,74.71%,$0.09B,$0.02B,24.14%,$0.09B,$0.02B,24.14%,$0.09B,$0.05B,55.17%,$0.09B,$0.02B,18.39%,$0.09B,$0.02B,18.39%,$0.02B,$0.11B,15.24%,$0.02B,$0.11B,15.24%,$0.02B,$0.27B,7.57%,$0.02B,$0.19B,13.29%,$30,$6,$24,$0,$6,$20,$9,$-14,$-4,$0,$-4,$-4,$-4,$18,$9,$161,163,$-0.03,$-0.03,$2,$0,$1,$34,$238,$0,$0,$0,$239,$274,$69,$87,$11,$99,$167,$2,$-311,$0,$106,$274,$16,$27,$8,$35,$-19,$0,$6,$0,$-12,$38,$-91,$0,$0,$0,$0,$0,$0,$-91,$-10,$0,$-10,$65,$65,$0,$-1,$55,$2,$3,$0
4,2017-09-30,1.88,$0.66,2.84,$0.53,3.54,$-0.04,0.0,$0.09,20.89,$0.02B,$0.04B,0.48,$0.07B,$0.11B,0.62,$0.08B,$0.06B,70.89%,$0.08B,$0.02B,20.25%,$0.08B,$0.02B,20.25%,$0.08B,$0.04B,50.63%,$0.08B,$0.02B,18.99%,$0.08B,$0.02B,18.99%,$0.02B,$0.11B,18.02%,$0.02B,$0.11B,18.02%,$0.02B,$0.23B,8.19%,$0.02B,$0.18B,11.57%,$25,$6,$19,$0,$5,$19,$6,$-6,$-1,$0,$-1,$-1,$-1,$14,$6,$164,164,$-0.01,$-0.01,$1,$0,$1,$19,$204,$0,$0,$2,$208,$227,$40,$67,$10,$77,$117,$2,$-307,$0,$110,$227,$20,$18,$-4,$14,$-3,$0,$0,$-1,$-12,$22,$-56,$0,$0,$0,$0,$0,$0,$-56,$-30,$0,$-30,$65,$65,$0,$-1,$35,$1,$2,$0
5,2017-06-30,1.62,$0.65,2.5,$0.49,3.34,$0.28,5.7,$0.07,23.14,$0.02B,$0.04B,0.47,$0.03B,$0.11B,0.32,$0.07B,$0.05B,66.18%,$0.07B,$0.01B,7.35%,$0.07B,$0.01B,7.35%,$0.07B,$0.03B,41.18%,$0.07B,$0.01B,19.12%,$0.07B,$0.01B,19.12%,$0.01B,$0.11B,21.14%,$0.01B,$0.11B,21.14%,$0.01B,$0.19B,7.77%,$0.01B,$0.14B,4.06%,$13,$5,$9,$0,$3,$12,$1,$6,$7,$0,$7,$7,$7,$6,$1,$162,164,$0.04,$0.04,$1,$0,$5,$17,$166,$0,$0,$3,$170,$187,$37,$34,$9,$44,$81,$2,$-306,$0,$106,$187,$21,$10,$-12,$-2,$2,$0,$0,$-1,$-6,$13,$-14,$0,$0,$0,$0,$0,$0,$-14,$-63,$0,$-63,$65,$65,$0,$-1,$2,$1,$2,$0
6,2017-03-31,2.02,$0.60,3.37,$0.50,4.04,$0.39,5.19,$-0.37,0.0,$0.01B,$0.03B,0.52,$0.02B,$0.10B,0.22,$0.07B,$0.04B,62.12%,$0.07B,$-0.03B,-42.42%,$0.07B,$-0.03B,-42.42%,$0.07B,$-0.00B,-6.06%,$0.07B,$-0.04B,-62.12%,$0.07B,$-0.04B,-62.12%,$-0.04B,$0.10B,-98.80%,$-0.04B,$0.10B,-98.80%,$-0.04B,$0.16B,-25.39%,$-0.03B,$0.12B,-23.53%,$19,$6,$13,$0,$3,$14,$5,$9,$14,$0,$14,$14,$14,$10,$5,$154,157,$0.09,$0.09,$1,$0,$1,$13,$141,$0,$0,$2,$143,$157,$26,$22,$11,$33,$58,$2,$-313,$0,$98,$157,$14,$6,$-8,$-2,$4,$0,$0,$-1,$-1,$10,$1,$0,$0,$0,$0,$0,$0,$1,$-76,$0,$-76,$65,$65,$0,$-0,$-10,$1,$1,$0
7,2016-12-31,2.57,$0.14,18.76,$0.47,5.46,$0.29,8.78,$-0.85,0.0,$0.02B,$0.03B,0.77,$0.10B,$0.02B,5.22,$0.06B,$0.03B,56.14%,$0.06B,$-0.07B,-128.07%,$0.06B,$-0.07B,-128.07%,$0.06B,$-0.05B,-84.21%,$0.06B,$-0.10B,-168.42%,$0.06B,$-0.10B,-168.42%,$-0.10B,$0.02B,-342.86%,$-0.10B,$0.02B,-342.86%,$-0.10B,$0.16B,-54.78%,$-0.07B,$0.12B,-54.68%,$22,$7,$15,$0,$5,$18,$4,$-9,$-5,$0,$-5,$-5,$-5,$10,$4,$122,122,$0.02,$0.02,$0,$0,$10,$24,$136,$0,$0,$1,$138,$162,$31,$97,$15,$112,$143,$1,$-327,$0,$19,$162,$-96,$25,$105,$131,$-4,$0,$-4,$1,$-7,$27,$-14,$0,$0,$0,$0,$0,$0,$-14,$-43,$0,$-43,$27,$27,$0,$-0,$-16,$-4,$3,$0
8,2016-09-30,1.69,$0.17,9.92,$0.42,4.04,$-0.41,0.0,$-1.45,0.0,$0.02B,$0.03B,0.44,$0.09B,$0.02B,4.07,$0.05B,$0.02B,50.00%,$0.05B,$-0.15B,-310.42%,$0.05B,$-0.15B,-310.42%,$0.05B,$-0.12B,-254.17%,$0.05B,$-0.16B,-331.25%,$0.05B,$-0.16B,-329.17%,$-0.16B,$0.02B,-357.06%,$-0.16B,$0.02B,-357.06%,$-0.16B,$0.16B,-78.31%,$-0.15B,$0.12B,-92.83%,$14,$6,$8,$0,$3,$19,$-5,$2,$-3,$0,$-3,$-3,$-3,$2,$-5,$134,134,$-0.02,$-0.02,$0,$0,$3,$15,$145,$0,$0,$1,$148,$163,$34,$94,$12,$106,$140,$1,$-322,$0,$23,$163,$-91,$19,$98,$117,$-3,$0,$0,$1,$-3,$22,$-7,$0,$0,$0,$0,$0,$0,$-7,$-46,$0,$-46,$27,$27,$0,$-0,$-19,$-4,$2,$0
9,2016-06-30,1.13,$0.19,5.99,$0.47,2.42,$-1.02,0.0,$-1.93,0.0,$0.01B,$0.03B,0.41,$0.10B,$0.03B,3.87,$0.05B,$0.03B,50.00%,$0.05B,$-0.21B,-414.00%,$0.05B,$-0.21B,-414.00%,$0.05B,$-0.18B,-354.00%,$0.05B,$-0.21B,-416.00%,$0.05B,$-0.21B,-414.00%,$-0.21B,$0.03B,-271.48%,$-0.21B,$0.03B,-271.48%,$-0.21B,$0.16B,-85.71%,$-0.21B,$0.12B,-103.37%,$11,$6,$5,$0,$3,$43,$-32,$-15,$-47,$0,$-47,$-47,$-47,$-26,$-32,$116,116,$-0.40,$-0.40,$2,$0,$2,$11,$151,$0,$0,$2,$153,$164,$26,$99,$14,$113,$138,$1,$-318,$0,$26,$164,$-88,$12,$97,$109,$2,$0,$0,$2,$-9,$13,$-1,$0,$0,$0,$0,$0,$0,$-1,$-40,$0,$-40,$27,$27,$0,$-0,$-13,$-2,$2,$0
