,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,106.49,$25.13,4.24,$44.90,2.37,$32.32,3.29,$4.17,25.54,$167.46B,$89.27B,1.88,$55.30B,$21.46B,2.58,$38.85B,$36.16B,93.08%,$38.85B,$8.08B,20.79%,$38.85B,0,0.00%,$38.85B,0,0.00%,$38.85B,$8.08B,20.79%,$38.85B,$3.59B,9.23%,$3.59B,$21.46B,17.87%,$3.59B,$21.46B,17.87%,$3.59B,$189.09B,1.95%,$8.08B,$76.76B,10.78%,$10921,$777,$10144,$0,$8026,$8803,$2118,$0,$2118,$464,$1654,$1654,$1621,$0,$0,$858,860,$1.89,$1.88,$30231,$0,$0,$167460,$4295,$6071,$0,$11266,$21632,$189092,$89268,$55300,$23064,$78364,$167632,$171,$11521,$-2504,$21460,$189092,$4911,$1007,$2281,$3288,$-88,$0,$2133,$-62,$1983,$10182,$-871,$0,$-512,$0,$-3327,$-3327,$-9461,$-14171,$-227,$-969,$-1196,$-849,$-849,$-970,$4876,$1861,$-2001,$230,$-970
1,2018-06-30,97.65,$24.26,4.02,$43.39,2.25,$30.31,3.22,$3.79,25.77,$164.10B,$85.39B,1.92,$55.88B,$20.89B,2.68,$37.79B,$35.31B,93.44%,$37.79B,$7.79B,20.62%,$37.79B,0,0.00%,$37.79B,0,0.00%,$37.79B,$7.79B,20.62%,$37.79B,$3.29B,8.71%,$3.29B,$20.89B,16.49%,$3.29B,$20.89B,16.49%,$3.29B,$184.86B,1.84%,$7.79B,$76.78B,10.64%,$10713,$711,$10002,$0,$7911,$8622,$2091,$0,$2091,$468,$1623,$1623,$1591,$0,$0,$860,862,$1.85,$1.84,$29743,$0,$0,$164095,$4251,$4753,$0,$11762,$20766,$184861,$85385,$55883,$22701,$78584,$163969,$173,$10896,$-2483,$20892,$184861,$3257,$685,$1569,$2254,$-164,$0,$-182,$-69,$-415,$5096,$-536,$0,$-481,$0,$-1826,$-1826,$-5538,$-8381,$319,$-1307,$-988,$-89,$-89,$-645,$2957,$1235,$-2001,$154,$-645
2,2018-03-31,92.61,$22.81,4.06,$41.82,2.21,$29.22,3.17,$3.42,27.08,$161.87B,$84.99B,1.91,$52.46B,$19.61B,2.68,$36.77B,$34.48B,93.77%,$36.77B,$7.66B,20.82%,$36.77B,0,0.00%,$36.77B,0,0.00%,$36.77B,$7.66B,20.82%,$36.77B,$3.01B,8.20%,$3.01B,$19.61B,15.04%,$3.01B,$19.61B,15.04%,$3.01B,$179.96B,1.73%,$7.66B,$72.07B,10.59%,$10339,$621,$9718,$0,$7636,$8257,$2082,$0,$2082,$448,$1634,$1634,$1600,$0,$0,$859,861,$1.86,$1.86,$31092,$0,$0,$161868,$4271,$3388,$0,$10429,$18088,$179956,$84990,$52461,$22892,$75353,$160343,$172,$9597,$-2381,$19613,$179956,$1634,$348,$605,$953,$122,$0,$-431,$-215,$-524,$2063,$-237,$0,$-475,$0,$-1215,$-1215,$1234,$-693,$-3219,$-1489,$-4708,$-123,$-123,$-324,$2206,$-2949,$-1757,$84,$-324
3,2017-12-31,98.25,$21.26,4.62,$39.94,2.46,$28.07,3.5,$2.90,33.88,$163.96B,$84.94B,1.93,$55.80B,$18.26B,3.06,$35.58B,$33.47B,94.06%,$35.58B,$7.41B,20.84%,$35.58B,0,0.00%,$35.58B,0,0.00%,$35.58B,$7.41B,20.84%,$35.58B,$2.63B,7.40%,$2.63B,$18.26B,12.93%,$2.63B,$18.26B,12.93%,$2.63B,$181.20B,1.55%,$7.41B,$74.07B,10.24%,$6880,$580,$6300,$0,$4513,$5093,$1787,$0,$1787,$3005,$-1218,$-1218,$-1227,$0,$0,$883,886,$-1.37,$-1.36,$32927,$0,$0,$163962,$4329,$3159,$0,$9746,$17234,$181196,$84942,$55804,$22189,$77993,$162935,$172,$8307,$-2428,$18261,$181196,$2736,$1321,$3824,$5145,$473,$0,$5505,$-319,$5659,$13540,$-1062,$0,$-211,$0,$-116,$-116,$-16884,$-18273,$8682,$-2300,$6382,$-4271,$-4271,$-1251,$11385,$12245,$7719,$282,$-1251
4,2017-09-30,89.15,$24.21,3.68,$41.20,2.16,$21.39,4.17,$5.19,17.18,$148.52B,$78.25B,1.9,$48.76B,$21.09B,2.31,$37.14B,$35.19B,94.76%,$37.14B,$6.79B,18.28%,$37.14B,0,0.00%,$37.14B,0,0.00%,$37.14B,$6.79B,18.28%,$37.14B,$4.66B,12.55%,$4.66B,$21.09B,22.28%,$4.66B,$21.09B,22.28%,$4.66B,$168.58B,2.84%,$6.79B,$69.85B,9.59%,$9858,$568,$9290,$0,$7459,$8027,$1831,$0,$1831,$472,$1359,$1359,$1327,$0,$0,$878,881,$1.51,$1.51,$26168,$0,$0,$148515,$4367,$3250,$0,$12445,$20062,$168577,$78248,$48762,$20482,$69244,$147492,$175,$10908,$-2316,$21085,$168577,$3954,$953,$2091,$3044,$1026,$0,$1186,$-629,$1583,$8581,$-812,$0,$-210,$0,$-140,$-140,$-7535,$-8697,$1526,$-3232,$-1706,$-3005,$-3005,$-925,$8219,$2583,$2761,$212,$-925
5,2017-06-30,82.71,$23.93,3.46,$38.90,2.13,$16.88,4.9,$4.89,16.91,$148.71B,$75.76B,1.96,$51.95B,$21.18B,2.45,$35.48B,$33.68B,94.91%,$35.48B,$6.69B,18.86%,$35.48B,0,0.00%,$35.48B,0,0.00%,$35.48B,$6.69B,18.86%,$35.48B,$4.45B,12.53%,$4.45B,$21.18B,21.27%,$4.45B,$21.18B,21.27%,$4.45B,$167.00B,2.78%,$6.69B,$73.12B,9.59%,$9693,$521,$9172,$0,$7215,$7736,$1957,$0,$1957,$613,$1344,$1344,$1314,$0,$0,$890,893,$1.48,$1.47,$30442,$0,$0,$148710,$4445,$3360,$0,$10482,$18287,$166997,$75761,$51945,$18116,$70061,$145822,$177,$10970,$-2428,$21175,$166997,$2595,$615,$1323,$1938,$818,$0,$-909,$-158,$-249,$4284,$-538,$0,$-174,$0,$-265,$-265,$-3169,$-4146,$4775,$-2124,$2651,$-1723,$-1723,$-620,$4666,$4974,$5268,$152,$-620
6,2017-03-31,77.36,$23.39,3.31,$37.26,2.08,$15.39,5.03,$5.52,14.01,$143.29B,$71.80B,2.0,$51.65B,$20.94B,2.47,$34.46B,$32.74B,95.00%,$34.46B,$7.75B,22.49%,$34.46B,0,0.00%,$34.46B,0,0.00%,$34.46B,$7.75B,22.49%,$34.46B,$5.11B,14.83%,$5.11B,$20.94B,24.58%,$5.11B,$20.94B,24.58%,$5.11B,$161.39B,3.23%,$7.75B,$72.58B,11.18%,$9152,$443,$8709,$0,$6870,$7313,$1839,$0,$1839,$588,$1251,$1251,$1220,$0,$0,$899,903,$1.36,$1.35,$29366,$0,$0,$143287,$4433,$3561,$0,$10104,$18098,$161385,$71796,$51647,$17007,$68654,$140450,$179,$10633,$-2470,$20935,$161385,$1251,$296,$680,$976,$786,$0,$-2072,$219,$-1067,$1160,$-277,$0,$-28,$0,$-1294,$-1294,$2310,$711,$4619,$-1941,$2678,$-895,$-895,$-313,$735,$2205,$4183,$89,$-313
7,2016-12-31,72.13,$22.68,3.18,$35.96,2.01,$16.73,4.31,$5.63,12.81,$140.74B,$72.63B,1.94,$46.99B,$20.50B,2.29,$33.82B,$32.12B,94.96%,$33.82B,$8.10B,23.94%,$33.82B,0,0.00%,$33.82B,0,0.00%,$33.82B,$8.10B,23.94%,$33.82B,$5.29B,15.63%,$5.29B,$20.50B,25.48%,$5.29B,$20.50B,25.48%,$5.29B,$158.89B,3.35%,$8.10B,$67.49B,11.87%,$8435,$413,$8022,$0,$6861,$7274,$1161,$0,$1161,$336,$825,$825,$800,$0,$0,$933,935,$0.90,$0.90,$25208,$0,$0,$140742,$4433,$3157,$0,$10561,$18151,$158893,$72625,$46990,$18777,$65767,$138392,$181,$10371,$-2784,$20501,$158893,$5408,$1095,$1148,$2243,$-281,$0,$1139,$-218,$640,$8291,$-1375,$0,$-487,$0,$365,$365,$3365,$1868,$-1024,$888,$-136,$-4321,$-4321,$-1207,$-1935,$-7599,$2446,$254,$-1207
8,2016-09-30,62.05,$22.92,2.71,$35.71,1.74,$18.67,3.32,$5.64,11.0,$134.51B,$70.39B,1.91,$44.89B,$21.02B,2.14,$34.18B,$32.49B,95.05%,$34.18B,$8.39B,24.54%,$34.18B,0,0.00%,$34.18B,0,0.00%,$34.18B,$8.39B,24.54%,$34.18B,$5.36B,15.68%,$5.36B,$21.02B,25.78%,$5.36B,$21.02B,25.78%,$5.36B,$153.38B,3.39%,$8.39B,$65.91B,12.24%,$8204,$430,$7774,$0,$6039,$6469,$1735,$0,$1735,$593,$1142,$1142,$1112,$0,$0,$920,923,$1.21,$1.20,$26520,$0,$0,$134512,$4301,$3728,$0,$10836,$18865,$153377,$70389,$44894,$17077,$61971,$132360,$184,$10661,$-2618,$21017,$153377,$4583,$810,$515,$1325,$485,$0,$-963,$-479,$-957,$4951,$-975,$0,$-191,$0,$-95,$-95,$11391,$10130,$-3423,$-2040,$-5463,$-3464,$-3464,$-892,$-1499,$-11318,$3758,$190,$-892
9,2016-06-30,58.87,$22.39,2.63,$35.44,1.66,$21.33,2.76,$5.68,10.36,$141.19B,$71.28B,1.98,$50.65B,$20.71B,2.45,$34.57B,$32.91B,95.20%,$34.57B,$8.59B,24.86%,$34.57B,0,0.00%,$34.57B,0,0.00%,$34.57B,$8.59B,24.86%,$34.57B,$5.48B,15.85%,$5.48B,$20.71B,26.27%,$5.48B,$20.71B,26.27%,$5.48B,$159.64B,3.46%,$8.59B,$71.36B,12.36%,$8671,$436,$8235,$0,$5219,$5655,$3016,$0,$3016,$1001,$2015,$2015,$1979,$0,$0,$938,941,$2.11,$2.10,$33767,$0,$0,$141192,$4210,$3892,$0,$10348,$18450,$159642,$71279,$50649,$17002,$67651,$138930,$185,$10280,$-2621,$20712,$159642,$3441,$536,$178,$714,$293,$0,$-697,$-551,$-955,$3200,$-649,$0,$-162,$0,$-179,$-179,$13128,$12138,$2220,$-2520,$-300,$-2839,$-2839,$-601,$-594,$-4334,$11005,$133,$-601
