,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,766.88,$-59.06,-12.98,$405.80,1.89,$127.65,6.01,$48.82,15.71,$4.64B,$5.03B,0.92,$5.01B,$-1.52B,-3.29,$11.22B,$5.97B,53.24%,$11.22B,$1.81B,16.14%,$11.22B,$1.81B,16.14%,$11.22B,$2.16B,19.29%,$11.22B,$1.64B,14.59%,$11.22B,$1.34B,11.92%,$1.34B,$-1.52B,-93.27%,$1.34B,$-1.82B,-76.06%,$1.34B,$9.35B,14.29%,$1.81B,$3.49B,50.84%,$3559,$1651,$1908,$0,$1317,$2968,$591,$-54,$537,$137,$400,$400,$400,$702,$591,$27,27,$15.22,$14.97,$218,$3944,$216,$4636,$4218,$0,$303,$155,$4711,$9347,$5029,$5006,$548,$5839,$10867,$0,$-1209,$-236,$-1520,$9347,$1338,$353,$231,$585,$8,$-189,$0,$26,$158,$2080,$-522,$0,$35,$-35,$0,$-35,$0,$-522,$-299,$170,$-129,$-1502,$-1502,$0,$-1,$-1632,$-75,$44,$0
1,2018-05-31,649.32,$-51.07,-12.71,$396.89,1.64,$105.92,6.13,$49.07,13.23,$4.67B,$4.92B,0.95,$4.96B,$-1.36B,-3.64,$11.18B,$5.92B,52.98%,$11.18B,$1.93B,17.25%,$11.18B,$1.93B,17.25%,$11.18B,$2.28B,20.36%,$11.18B,$1.76B,15.71%,$11.18B,$1.37B,12.28%,$1.37B,$-1.36B,-97.20%,$1.37B,$-1.66B,-78.02%,$1.37B,$9.30B,14.69%,$1.93B,$3.59B,53.49%,$2660,$1237,$1423,$0,$877,$2114,$546,$-42,$504,$137,$367,$367,$367,$627,$546,$27,27,$13.62,$13.42,$218,$4006,$186,$4671,$4123,$0,$303,$171,$4630,$9302,$4918,$4955,$552,$5745,$10663,$0,$-1624,$-295,$-1362,$9302,$937,$243,$87,$330,$4,$-255,$0,$48,$-11,$1256,$-292,$0,$0,$-11,$0,$-11,$0,$-303,$-37,$-130,$-166,$-857,$-857,$0,$-1,$-1025,$-75,$30,$0
2,2018-02-28,664.72,$-48.83,-13.61,$389.85,1.71,$93.12,7.14,$47.09,14.12,$4.83B,$4.95B,0.98,$5.04B,$-1.33B,-3.79,$11.13B,$5.88B,52.77%,$11.13B,$1.91B,17.17%,$11.13B,$1.91B,17.17%,$11.13B,$2.26B,20.25%,$11.13B,$1.75B,15.68%,$11.13B,$1.34B,12.01%,$1.34B,$-1.33B,-89.16%,$1.34B,$-1.63B,-71.54%,$1.34B,$9.40B,14.42%,$1.91B,$3.71B,53.62%,$2413,$1136,$1277,$0,$1072,$2208,$205,$-39,$166,$-124,$290,$290,$290,$286,$205,$27,28,$10.58,$10.38,$289,$4086,$170,$4826,$4081,$0,$303,$159,$4577,$9404,$4947,$5044,$521,$5787,$10734,$0,$-1990,$-286,$-1331,$9404,$571,$161,$66,$228,$-3,$-269,$0,$22,$-46,$752,$-213,$0,$0,$-18,$0,$-18,$0,$-231,$-61,$0,$-61,$-462,$-462,$0,$-1,$-524,$-5,$24,$0
3,2017-11-30,686.76,$-55.94,-12.28,$381.33,1.8,$85.65,8.02,$44.79,15.33,$4.72B,$5.07B,0.93,$4.98B,$-1.53B,-3.27,$11.01B,$5.80B,52.72%,$11.01B,$2.09B,18.99%,$11.01B,$2.09B,18.99%,$11.01B,$2.43B,22.05%,$11.01B,$1.93B,17.53%,$11.01B,$1.28B,11.66%,$1.28B,$-1.53B,-79.09%,$1.28B,$-1.92B,-63.71%,$1.28B,$9.40B,14.04%,$2.09B,$3.46B,60.29%,$2589,$1223,$1366,$0,$897,$2120,$469,$-39,$430,$149,$281,$281,$281,$549,$469,$28,28,$10.17,$10.00,$258,$4012,$175,$4717,$4061,$0,$392,$193,$4680,$9397,$5068,$4983,$489,$5855,$10922,$0,$-1361,$-296,$-1525,$9397,$281,$80,$20,$100,$7,$-151,$0,$21,$184,$565,$-110,$0,$0,$-25,$0,$-25,$0,$-135,$-18,$-99,$-117,$-346,$-346,$0,$-1,$-464,$-36,$11,$0
4,2017-08-31,528.44,$-51.32,-10.3,$372.26,1.42,$79.86,6.62,$44.15,11.97,$4.61B,$4.77B,0.97,$5.08B,$-1.43B,-3.56,$10.89B,$5.74B,52.71%,$10.89B,$2.08B,19.11%,$10.89B,$2.08B,19.11%,$10.89B,$2.41B,22.15%,$10.89B,$1.93B,17.69%,$10.89B,$1.28B,11.76%,$1.28B,$-1.43B,-74.65%,$1.28B,$-1.82B,-60.77%,$1.28B,$9.26B,14.26%,$2.08B,$3.65B,61.58%,$3513,$1658,$1854,$0,$1146,$2805,$708,$-51,$656,$222,$434,$434,$434,$813,$708,$28,29,$15.45,$15.19,$293,$3882,$155,$4611,$4031,$0,$392,$190,$4649,$9260,$4766,$5081,$470,$5922,$10688,$0,$-1642,$-255,$-1428,$9260,$1281,$331,$95,$427,$8,$-237,$0,$13,$-137,$1571,$-551,$0,$0,$-3,$0,$-3,$0,$-554,$152,$-42,$110,$-1017,$-1017,$0,$-7,$-914,$104,$38,$0
5,2017-05-31,605.92,$-60.88,-9.95,$362.88,1.67,$82.65,7.33,$43.18,14.03,$4.51B,$4.79B,0.94,$5.15B,$-1.71B,-3.01,$10.78B,$5.68B,52.72%,$10.78B,$2.08B,19.27%,$10.78B,$2.08B,19.27%,$10.78B,$2.40B,22.26%,$10.78B,$1.93B,17.89%,$10.78B,$1.27B,11.82%,$1.27B,$-1.71B,-70.54%,$1.27B,$-2.11B,-57.97%,$1.27B,$9.03B,14.45%,$2.08B,$3.44B,63.87%,$2619,$1241,$1378,$0,$849,$2089,$530,$-36,$494,$162,$332,$332,$332,$607,$530,$28,29,$11.70,$11.44,$227,$3861,$143,$4507,$3904,$0,$392,$187,$4521,$9028,$4794,$5153,$498,$5949,$10742,$0,$-2076,$-310,$-1714,$9028,$847,$226,$37,$263,$11,$-234,$0,$14,$-101,$1009,$-357,$0,$0,$-2,$0,$-2,$0,$-359,$166,$31,$196,$-801,$-801,$0,$-7,$-612,$37,$29,$0
6,2017-02-28,736.55,$-64.18,-11.48,$357.89,2.06,$86.42,8.52,$42.51,17.33,$4.49B,$4.78B,0.94,$5.15B,$-1.83B,-2.82,$10.75B,$5.67B,52.77%,$10.75B,$2.08B,19.37%,$10.75B,$2.08B,19.37%,$10.75B,$2.40B,22.32%,$10.75B,$1.94B,18.01%,$10.75B,$1.27B,11.81%,$1.27B,$-1.83B,-68.90%,$1.27B,$-2.22B,-56.82%,$1.27B,$8.90B,14.64%,$2.08B,$3.32B,65.82%,$2289,$1084,$1206,$0,$822,$1905,$384,$-34,$350,$113,$237,$237,$237,$459,$384,$29,29,$8.29,$8.08,$211,$3902,$133,$4493,$3804,$0,$392,$178,$4410,$8903,$4784,$5152,$503,$5946,$10730,$0,$-2408,$-346,$-1827,$8903,$515,$149,$23,$172,$39,$-291,$0,$21,$-123,$564,$-215,$0,$0,$13,$0,$13,$0,$-203,$203,$0,$203,$-537,$-537,$0,$-2,$-337,$21,$21,$0
7,2016-11-30,783.18,$-66.12,-11.84,$353.20,2.22,$86.79,9.02,$41.86,18.71,$4.37B,$4.85B,0.9,$5.00B,$-1.90B,-2.64,$10.72B,$5.66B,52.79%,$10.72B,$2.08B,19.42%,$10.72B,$2.08B,19.42%,$10.72B,$2.39B,22.33%,$10.72B,$1.94B,18.06%,$10.72B,$1.26B,11.77%,$1.26B,$-1.90B,-69.27%,$1.26B,$-2.29B,-57.01%,$1.26B,$8.74B,14.77%,$2.08B,$3.10B,69.51%,$2468,$1166,$1302,$0,$843,$2009,$459,$-33,$426,$147,$278,$278,$278,$533,$459,$29,30,$9.61,$9.36,$196,$3773,$129,$4369,$3751,$0,$392,$196,$4374,$8743,$4850,$4997,$497,$5788,$10638,$0,$-1324,$-346,$-1895,$8743,$278,$74,$17,$90,$15,$-161,$0,$11,$38,$407,$-98,$0,$0,$-2,$0,$-2,$0,$-100,$-11,$72,$61,$-357,$-357,$0,$-2,$-298,$6,$10,$0
8,2016-08-31,741.8,$-61.39,-12.08,$346.75,2.14,$84.75,8.75,$40.79,18.19,$4.24B,$4.69B,0.9,$4.92B,$-1.79B,-2.76,$10.64B,$5.61B,52.74%,$10.64B,$2.06B,19.37%,$10.64B,$2.06B,19.37%,$10.64B,$2.37B,22.25%,$10.64B,$1.91B,17.99%,$10.64B,$1.24B,11.68%,$1.24B,$-1.79B,-69.29%,$1.24B,$-2.18B,-56.86%,$1.24B,$8.60B,14.76%,$2.06B,$3.14B,69.54%,$3399,$1604,$1795,$0,$1091,$2695,$703,$-46,$658,$231,$427,$427,$427,$800,$703,$30,30,$14.49,$14.21,$190,$3632,$130,$4240,$3733,$0,$392,$198,$4360,$8600,$4690,$4924,$488,$5697,$10387,$0,$-1602,$-308,$-1788,$8600,$1241,$305,$32,$338,$-41,$-228,$0,$10,$63,$1641,$-486,$-10,$0,$-10,$0,$-10,$0,$-506,$114,$150,$264,$-1372,$-1372,$0,$-8,$-1117,$14,$40,$0
9,2016-05-31,762.2,$-63.16,-12.07,$337.44,2.26,$80.85,9.43,$39.24,19.42,$4.23B,$4.65B,0.91,$4.95B,$-1.86B,-2.66,$10.53B,$5.54B,52.65%,$10.53B,$2.03B,19.25%,$10.53B,$2.03B,19.25%,$10.53B,$2.32B,22.08%,$10.53B,$1.88B,17.83%,$10.53B,$1.22B,11.55%,$1.22B,$-1.86B,-68.67%,$1.22B,$-2.26B,-56.22%,$1.22B,$8.46B,14.67%,$2.03B,$3.09B,69.65%,$2594,$1223,$1370,$0,$834,$2057,$536,$-34,$502,$175,$328,$328,$328,$607,$536,$30,30,$10.99,$10.77,$213,$3597,$120,$4225,$3619,$0,$392,$196,$4239,$8464,$4648,$4954,$481,$5680,$10327,$0,$-2029,$-270,$-1863,$8464,$814,$209,$26,$235,$-48,$-186,$0,$18,$46,$1095,$-297,$-10,$0,$-9,$0,$-9,$0,$-316,$321,$-19,$302,$-1032,$-1032,$0,$-8,$-737,$38,$28,$0
