,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,113.91,$6.68,17.06,$6.70,16.99,$5.40,21.11,$2.10,54.24,$0.46B,$0.28B,1.67,$0.00B,$0.47B,0.0,$0.49B,$0.44B,89.53%,$0.49B,$0.19B,39.01%,$0.49B,$0.19B,39.01%,$0.49B,$0.20B,40.66%,$0.49B,$0.19B,38.19%,$0.49B,$0.15B,29.98%,$0.15B,$0.47B,147.85%,$0.15B,$0.36B,-2780.95%,$0.15B,$0.94B,25.04%,$0.19B,$0.47B,192.41%,$114,$13,$101,$21,$43,$77,$37,$5,$42,$4,$38,$38,$38,$39,$37,$71,72,$0.54,$0.53,$52,$0,$339,$460,$9,$0,$110,$359,$480,$940,$275,$0,$17,$191,$467,$10,$1104,$1,$473,$940,$38,$2,$-36,$-34,$-13,$0,$0,$-21,$1,$6,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$-46,$-46,$0,$-3,$-49,$-44,$9,$0
1,2018-06-30,92.74,$6.69,13.86,$6.84,13.57,$5.49,16.9,$2.04,45.46,$0.48B,$0.23B,2.06,$0.00B,$0.48B,0.0,$0.50B,$0.45B,89.98%,$0.50B,$0.21B,41.88%,$0.50B,$0.21B,41.88%,$0.50B,$0.22B,43.29%,$0.50B,$0.20B,40.88%,$0.50B,$0.15B,29.86%,$0.15B,$0.48B,-172.75%,$0.15B,$0.37B,-82.43%,$0.15B,$0.95B,37.37%,$0.21B,$0.48B,-242.32%,$122,$13,$109,$21,$40,$74,$48,$-8,$41,$8,$32,$32,$32,$50,$48,$72,73,$0.45,$0.45,$96,$0,$325,$476,$10,$0,$111,$342,$474,$950,$231,$0,$17,$244,$474,$10,$1066,$1,$476,$950,$149,$7,$29,$35,$4,$0,$0,$18,$23,$207,$-1,$0,$-34,$0,$0,$0,$0,$-34,$0,$30,$30,$-192,$-192,$0,$-17,$-178,$-6,$23,$0
2,2018-03-31,78.89,$-3.89,-20.26,$6.77,11.66,$4.99,15.81,$2.24,35.22,$0.11B,$0.48B,0.23,$0.00B,$-0.28B,0.0,$0.50B,$0.45B,90.22%,$0.50B,$0.21B,41.92%,$0.50B,$0.21B,41.92%,$0.50B,$0.22B,43.11%,$0.50B,$0.21B,42.12%,$0.50B,$0.17B,34.13%,$0.17B,$-0.28B,-63.22%,$0.17B,$-0.39B,-48.14%,$0.17B,$0.25B,76.60%,$0.21B,$-0.28B,-77.63%,$126,$13,$113,$22,$40,$75,$51,$-2,$50,$12,$38,$38,$38,$53,$51,$72,73,$0.53,$0.52,$71,$0,$0,$111,$11,$0,$112,$2,$135,$246,$478,$0,$20,$47,$525,$10,$267,$4,$-279,$246,$111,$5,$24,$29,$-1,$0,$0,$-7,$-12,$128,$-1,$0,$-34,$0,$0,$0,$0,$-34,$0,$30,$30,$-147,$-147,$0,$-8,$-125,$-31,$17,$0
3,2017-12-31,66.2,$-3.81,-17.37,$6.60,10.03,$4.64,14.27,$2.19,30.23,$0.09B,$0.43B,0.21,$0.00B,$-0.28B,0.0,$0.49B,$0.45B,90.28%,$0.49B,$0.21B,42.71%,$0.49B,$0.21B,42.71%,$0.49B,$0.22B,43.93%,$0.49B,$0.21B,42.91%,$0.49B,$0.17B,34.21%,$0.17B,$-0.28B,-64.26%,$0.17B,$-0.36B,-50.00%,$0.17B,$0.20B,75.87%,$0.21B,$-0.28B,-80.23%,$125,$12,$113,$20,$39,$70,$54,$-1,$53,$15,$38,$38,$38,$56,$54,$72,73,$0.53,$0.52,$49,$0,$0,$89,$11,$0,$83,$1,$107,$196,$430,$0,$14,$40,$470,$10,$229,$3,$-275,$196,$73,$3,$17,$21,$4,$0,$0,$-41,$-39,$55,$-1,$0,$-11,$0,$0,$0,$0,$-11,$0,$11,$11,$-101,$-101,$0,$-6,$-97,$-53,$12,$0
4,2017-09-30,62.81,$-3.68,-17.07,$6.44,9.75,$4.57,13.75,$2.15,29.21,$0.10B,$0.43B,0.24,$0.00B,$-0.27B,0.0,$0.49B,$0.44B,90.18%,$0.49B,$0.21B,43.56%,$0.49B,$0.21B,43.56%,$0.49B,$0.22B,44.79%,$0.49B,$0.22B,43.97%,$0.49B,$0.17B,34.36%,$0.17B,$-0.27B,-69.28%,$0.17B,$-0.34B,-53.25%,$0.17B,$0.20B,69.85%,$0.21B,$-0.27B,-87.84%,$126,$13,$114,$19,$39,$71,$56,$4,$60,$20,$41,$41,$41,$57,$56,$73,74,$0.55,$0.55,$59,$0,$0,$102,$12,$0,$72,$1,$101,$203,$430,$0,$14,$41,$470,$10,$191,$3,$-267,$203,$41,$2,$7,$9,$-9,$0,$0,$-35,$-37,$12,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$-0,$-53,$-53,$0,$-2,$-55,$-43,$6,$0
5,2017-06-30,55.26,$-3.55,-15.56,$6.24,8.86,$4.72,11.71,$2.12,26.07,$0.15B,$0.47B,0.31,$0.00B,$-0.26B,0.0,$0.48B,$0.44B,90.27%,$0.48B,$0.21B,43.89%,$0.48B,$0.21B,43.89%,$0.48B,$0.22B,45.34%,$0.48B,$0.21B,43.48%,$0.48B,$0.16B,33.54%,$0.16B,$-0.26B,-73.06%,$0.16B,$-0.33B,-56.79%,$0.16B,$0.25B,61.77%,$0.21B,$-0.26B,-95.60%,$124,$12,$112,$22,$41,$75,$49,$-1,$48,$-6,$54,$54,$54,$50,$49,$76,77,$0.73,$0.72,$102,$0,$0,$146,$13,$0,$72,$1,$102,$248,$467,$0,$13,$41,$509,$10,$157,$1,$-261,$248,$162,$6,$14,$21,$-7,$0,$0,$16,$-0,$182,$-3,$0,$-36,$0,$3,$3,$0,$-37,$0,$0,$0,$-362,$-362,$0,$0,$-362,$-216,$19,$0
6,2017-03-31,58.92,$-3.34,-17.63,$5.99,9.83,$4.19,14.05,$1.80,32.73,$0.15B,$0.43B,0.34,$0.00B,$-0.25B,0.0,$0.47B,$0.43B,90.06%,$0.47B,$0.21B,44.82%,$0.47B,$0.21B,44.82%,$0.47B,$0.22B,46.51%,$0.47B,$0.21B,44.82%,$0.47B,$0.14B,29.81%,$0.14B,$-0.25B,-80.46%,$0.14B,$-0.32B,-61.91%,$0.14B,$0.24B,46.19%,$0.21B,$-0.25B,-120.97%,$119,$12,$107,$20,$34,$67,$52,$-1,$51,$16,$36,$36,$36,$54,$52,$76,76,$0.47,$0.47,$102,$0,$0,$147,$14,$0,$72,$1,$97,$244,$427,$0,$39,$66,$493,$10,$102,$0,$-249,$244,$108,$5,$14,$19,$-15,$0,$0,$-10,$-18,$109,$-2,$0,$-36,$0,$-15,$-15,$0,$-53,$0,$0,$0,$-288,$-288,$0,$-2,$-290,$-234,$14,$0
7,2016-12-31,54.68,$-2.53,-21.62,$5.86,9.33,$4.07,13.45,$1.73,31.61,$0.17B,$0.40B,0.43,$0.00B,$-0.19B,0.0,$0.47B,$0.43B,90.06%,$0.47B,$0.21B,44.61%,$0.47B,$0.21B,44.61%,$0.47B,$0.22B,46.09%,$0.47B,$0.21B,44.19%,$0.47B,$0.14B,29.18%,$0.14B,$-0.19B,-113.35%,$0.14B,$-0.27B,-86.12%,$0.14B,$0.27B,38.98%,$0.21B,$-0.19B,-173.31%,$120,$12,$108,$19,$34,$64,$56,$0,$56,$19,$37,$37,$37,$58,$56,$77,77,$0.48,$0.48,$140,$0,$0,$168,$15,$0,$75,$1,$99,$267,$395,$0,$38,$65,$460,$10,$66,$0,$-193,$267,$72,$3,$8,$11,$2,$0,$0,$-37,$-30,$53,$-1,$0,$-36,$0,$-70,$-70,$0,$-108,$0,$0,$0,$-195,$-195,$0,$-2,$-196,$-251,$10,$0
8,2016-09-30,46.79,$-2.37,-19.74,$5.73,8.17,$3.84,12.18,$1.69,27.69,$0.23B,$0.41B,0.55,$0.00B,$-0.18B,0.0,$0.47B,$0.43B,90.04%,$0.47B,$0.21B,44.70%,$0.47B,$0.21B,44.70%,$0.47B,$0.22B,46.19%,$0.47B,$0.21B,44.28%,$0.47B,$0.14B,29.24%,$0.14B,$-0.18B,-174.68%,$0.14B,$-0.22B,-134.31%,$0.14B,$0.29B,38.74%,$0.21B,$-0.18B,-267.09%,$120,$12,$109,$19,$35,$65,$55,$0,$55,$20,$35,$35,$35,$57,$55,$79,79,$0.44,$0.44,$192,$0,$0,$226,$16,$0,$34,$1,$64,$290,$412,$0,$34,$62,$474,$10,$29,$2,$-184,$290,$35,$2,$4,$6,$-1,$0,$0,$-26,$-15,$26,$-1,$0,$-5,$0,$-141,$-141,$0,$-147,$0,$0,$0,$-149,$-149,$0,$-1,$-149,$-270,$5,$0
9,2016-06-30,40.24,$-0.94,-43.0,$5.64,7.13,$3.73,10.79,$1.69,23.81,$0.36B,$0.43B,0.84,$0.00B,$-0.08B,0.0,$0.47B,$0.42B,89.62%,$0.47B,$0.21B,44.70%,$0.47B,$0.21B,44.70%,$0.47B,$0.22B,46.19%,$0.47B,$0.21B,44.49%,$0.47B,$0.14B,29.66%,$0.14B,$-0.08B,-287.18%,$0.14B,$-0.10B,-205.13%,$0.14B,$0.42B,39.94%,$0.21B,$-0.08B,-432.82%,$114,$12,$102,$17,$36,$65,$49,$1,$50,$17,$33,$33,$33,$51,$49,$83,83,$0.41,$0.40,$321,$0,$0,$361,$16,$0,$28,$1,$58,$420,$433,$0,$33,$62,$495,$10,$-6,$3,$-75,$420,$140,$6,$15,$21,$9,$0,$0,$-12,$-7,$154,$-4,$0,$-8,$0,$59,$59,$0,$47,$0,$138,$138,$-175,$-175,$0,$-2,$-39,$162,$16,$0
