,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,49.63,$4.53,10.95,$43.72,1.14,$4.53,10.96,$2.41,20.59,$1.60B,$1.11B,1.45,$1.72B,$0.65B,2.67,$6.37B,$3.40B,53.37%,$6.37B,$0.57B,8.89%,$6.37B,$0.57B,8.89%,$6.37B,$0.64B,10.08%,$6.37B,$0.48B,7.51%,$6.37B,$0.36B,5.62%,$0.36B,$0.65B,60.19%,$0.36B,$-1.22B,-28.29%,$0.36B,$3.74B,9.87%,$0.57B,$2.37B,24.16%,$1614,$749,$865,$0,$227,$1470,$144,$-24,$120,$27,$93,$93,$93,$166,$144,$142,144,$0.65,$0.64,$343,$0,$0,$1602,$152,$0,$1869,$112,$2133,$3735,$1105,$1724,$261,$1984,$3089,$2,$833,$-11,$646,$3735,$197,$39,$8,$47,$-32,$0,$0,$-15,$31,$275,$-40,$0,$-0,$0,$0,$0,$0,$-40,$-39,$0,$-39,$-85,$-85,$-55,$-0,$-179,$56,$13,$-55
1,2018-06-30,43.56,$4.24,10.26,$42.85,1.02,$3.84,11.34,$2.24,19.45,$1.51B,$1.02B,1.48,$1.74B,$0.61B,2.87,$6.30B,$3.38B,53.67%,$6.30B,$0.56B,8.82%,$6.30B,$0.56B,8.82%,$6.30B,$0.63B,9.94%,$6.30B,$0.47B,7.45%,$6.30B,$0.34B,5.38%,$0.34B,$0.61B,59.76%,$0.34B,$-1.26B,-26.39%,$0.34B,$3.63B,9.48%,$0.56B,$2.35B,23.82%,$1647,$786,$861,$0,$206,$1485,$162,$-24,$137,$33,$104,$104,$104,$179,$162,$143,145,$0.72,$0.72,$150,$0,$0,$1512,$152,$0,$1867,$101,$2121,$3632,$1023,$1741,$261,$2002,$3025,$2,$767,$-13,$607,$3632,$104,$18,$2,$20,$-142,$0,$0,$3,$-151,$-27,$-20,$0,$-0,$0,$0,$0,$0,$-20,$-16,$0,$-16,$-46,$-46,$-28,$-0,$-90,$-137,$6,$-28
2,2018-03-31,38.41,$3.92,9.79,$41.63,0.92,$4.12,9.32,$2.05,18.74,$1.49B,$1.03B,1.45,$1.76B,$0.56B,3.12,$6.17B,$3.31B,53.55%,$6.17B,$0.52B,8.43%,$6.17B,$0.52B,8.43%,$6.17B,$0.59B,9.56%,$6.17B,$0.44B,7.11%,$6.17B,$0.31B,4.96%,$0.31B,$0.56B,54.14%,$0.31B,$-1.30B,-23.92%,$0.31B,$3.61B,8.59%,$0.52B,$2.32B,22.20%,$1606,$722,$884,$0,$242,$1464,$142,$-20,$123,$32,$91,$91,$91,$161,$142,$146,148,$0.63,$0.62,$287,$0,$0,$1492,$152,$0,$1860,$103,$2115,$3607,$1029,$1755,$260,$2015,$3044,$2,$691,$-15,$562,$3607,$305,$71,$22,$93,$-136,$0,$0,$32,$-29,$369,$-78,$0,$-19,$0,$0,$0,$1,$-96,$151,$0,$151,$-249,$-249,$-104,$0,$-203,$70,$23,$-104
3,2017-12-31,37.63,$3.89,9.67,$41.29,0.91,$4.34,8.68,$1.91,19.7,$1.43B,$0.96B,1.49,$1.77B,$0.56B,3.14,$6.15B,$3.28B,53.32%,$6.15B,$0.51B,8.25%,$6.15B,$0.51B,8.25%,$6.15B,$0.58B,9.37%,$6.15B,$0.42B,6.90%,$6.15B,$0.28B,4.57%,$0.28B,$0.56B,49.45%,$0.28B,$-1.28B,-22.08%,$0.28B,$3.54B,8.02%,$0.51B,$2.33B,22.30%,$1500,$712,$788,$0,$210,$1382,$118,$-20,$98,$28,$70,$70,$70,$136,$118,$145,147,$0.48,$0.47,$289,$0,$0,$1425,$166,$0,$1847,$101,$2114,$3539,$956,$1769,$250,$2019,$2975,$2,$623,$-15,$564,$3539,$220,$52,$7,$59,$-51,$0,$0,$21,$-32,$247,$-63,$0,$-19,$0,$0,$0,$1,$-81,$166,$0,$166,$-183,$-183,$-77,$0,$-93,$72,$17,$-77
4,2017-09-30,36.73,$3.68,9.97,$40.38,0.91,$4.76,7.72,$1.81,20.29,$1.45B,$0.97B,1.5,$1.78B,$0.54B,3.33,$6.05B,$3.24B,53.56%,$6.05B,$0.50B,8.21%,$6.05B,$0.50B,8.21%,$6.05B,$0.56B,9.32%,$6.05B,$0.42B,6.92%,$6.05B,$0.27B,4.41%,$0.27B,$0.54B,46.86%,$0.27B,$-1.30B,-22.19%,$0.27B,$3.53B,7.83%,$0.50B,$2.32B,22.55%,$1543,$697,$846,$0,$214,$1410,$133,$-22,$111,$37,$74,$74,$74,$150,$133,$147,149,$0.50,$0.49,$330,$0,$0,$1449,$152,$0,$1835,$94,$2080,$3530,$970,$1784,$240,$2024,$2993,$2,$578,$-17,$536,$3530,$144,$34,$3,$37,$-60,$0,$0,$2,$-3,$178,$-37,$0,$-0,$0,$0,$0,$0,$-37,$182,$0,$182,$-158,$-158,$-52,$0,$-28,$113,$12,$-52
5,2017-06-30,31.8,$4.03,7.89,$39.30,0.81,$5.16,6.17,$1.75,18.17,$1.51B,$0.95B,1.59,$1.80B,$0.60B,3.0,$5.91B,$3.13B,53.06%,$5.91B,$0.48B,8.16%,$5.91B,$0.48B,8.16%,$5.91B,$0.56B,9.43%,$5.91B,$0.41B,6.88%,$5.91B,$0.26B,4.34%,$0.26B,$0.60B,45.33%,$0.26B,$-1.24B,-22.39%,$0.26B,$3.58B,7.75%,$0.48B,$2.40B,22.65%,$1523,$736,$787,$0,$193,$1396,$127,$-20,$107,$36,$71,$71,$71,$143,$127,$148,150,$0.47,$0.47,$337,$0,$0,$1507,$139,$0,$1839,$91,$2069,$3576,$945,$1799,$233,$2031,$2976,$2,$532,$-17,$599,$3576,$71,$17,$-1,$15,$-112,$0,$0,$16,$-82,$4,$-12,$0,$-0,$0,$0,$0,$0,$-12,$198,$0,$198,$-43,$-43,$-26,$0,$128,$120,$5,$-26
6,2017-03-31,34.43,$3.85,8.94,$38.65,0.89,$5.24,6.57,$1.67,20.62,$1.29B,$1.10B,1.18,$1.47B,$0.57B,2.56,$5.81B,$3.11B,53.61%,$5.81B,$0.48B,8.34%,$5.81B,$0.48B,8.34%,$5.81B,$0.56B,9.65%,$5.81B,$0.41B,7.10%,$5.81B,$0.25B,4.36%,$0.25B,$0.57B,47.69%,$0.25B,$-1.27B,-22.74%,$0.25B,$3.37B,7.98%,$0.48B,$2.04B,23.96%,$1582,$725,$857,$0,$232,$1453,$129,$-21,$108,$42,$66,$66,$66,$147,$129,$148,150,$0.44,$0.44,$217,$0,$0,$1294,$139,$0,$1843,$86,$2079,$3373,$1101,$1470,$228,$1698,$2800,$2,$478,$-17,$574,$3373,$252,$75,$23,$98,$-87,$0,$0,$29,$31,$382,$-54,$0,$-248,$0,$0,$0,$1,$-301,$51,$0,$51,$-26,$-26,$-95,$18,$-51,$30,$21,$-95
7,2016-12-31,34.92,$3.80,9.19,$37.63,0.93,$4.28,8.16,$1.66,21.04,$1.36B,$0.92B,1.48,$1.49B,$0.57B,2.61,$5.65B,$3.00B,53.11%,$5.65B,$0.46B,8.15%,$5.65B,$0.46B,8.15%,$5.65B,$0.54B,9.47%,$5.65B,$0.40B,7.01%,$5.65B,$0.25B,4.48%,$0.25B,$0.57B,51.74%,$0.25B,$-1.00B,-23.24%,$0.25B,$3.17B,8.22%,$0.46B,$2.06B,23.21%,$1405,$652,$752,$0,$201,$1297,$108,$-16,$93,$37,$56,$56,$56,$124,$108,$149,151,$0.37,$0.37,$350,$0,$0,$1359,$134,$0,$1573,$101,$1808,$3167,$921,$1485,$191,$1676,$2597,$2,$437,$-18,$570,$3167,$186,$57,$1,$58,$-10,$0,$0,$59,$39,$283,$-31,$0,$-1,$0,$0,$0,$1,$-31,$-46,$0,$-46,$10,$10,$-69,$16,$-90,$162,$16,$-69
8,2016-09-30,30.46,$3.46,8.79,$37.03,0.82,$3.50,8.7,$2.00,15.23,$1.27B,$0.89B,1.43,$1.50B,$0.52B,2.91,$5.55B,$2.92B,52.68%,$5.55B,$0.46B,8.23%,$5.55B,$0.46B,8.23%,$5.55B,$0.53B,9.62%,$5.55B,$0.39B,7.05%,$5.55B,$0.31B,5.50%,$0.31B,$0.52B,69.04%,$0.31B,$-1.06B,-26.78%,$0.31B,$3.09B,10.07%,$0.46B,$2.02B,23.53%,$1395,$658,$737,$0,$194,$1277,$118,$-20,$98,$35,$63,$63,$63,$143,$118,$148,150,$0.42,$0.41,$307,$0,$0,$1272,$128,$0,$1576,$117,$1822,$3094,$890,$1500,$187,$1687,$2577,$2,$404,$-19,$516,$3094,$131,$41,$2,$44,$20,$0,$0,$43,$43,$217,$-15,$0,$-1,$0,$0,$0,$1,$-15,$-46,$0,$-46,$3,$3,$-47,$8,$-82,$120,$11,$-47
9,2016-06-30,28.42,$3.11,9.12,$36.60,0.78,$2.55,11.13,$1.96,14.5,$1.21B,$0.90B,1.35,$1.50B,$0.46B,3.25,$5.48B,$2.88B,52.64%,$5.48B,$0.45B,8.18%,$5.48B,$0.45B,8.18%,$5.48B,$0.52B,9.44%,$5.48B,$0.38B,7.01%,$5.48B,$0.30B,5.44%,$0.30B,$0.46B,78.42%,$0.30B,$-1.12B,-25.12%,$0.30B,$3.04B,10.02%,$0.45B,$1.96B,23.72%,$1423,$657,$766,$0,$190,$1293,$129,$-16,$113,$46,$68,$68,$68,$146,$129,$147,150,$0.46,$0.45,$180,$0,$0,$1210,$129,$0,$1579,$123,$1831,$3042,$895,$1502,$183,$1684,$2579,$2,$364,$-19,$462,$3042,$68,$17,$2,$19,$-61,$0,$0,$39,$-75,$12,$-6,$0,$-1,$0,$0,$0,$0,$-7,$9,$0,$9,$-1,$-1,$-25,$4,$-12,$-8,$6,$-25
