,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,77.09,$17.09,4.51,$20.12,3.83,$5.29,14.59,$2.21,34.88,$7.03B,$2.70B,2.6,$3.49B,$9.11B,0.38,$11.06B,$4.75B,42.90%,$11.06B,$1.46B,13.19%,$11.06B,$1.46B,13.19%,$11.06B,$2.25B,20.36%,$11.06B,$1.54B,13.93%,$11.06B,$1.21B,10.90%,$1.21B,$9.11B,13.32%,$1.21B,$4.73B,26.32%,$1.21B,$16.85B,7.15%,$1.46B,$12.60B,11.62%,$2767,$1531,$1236,$166,$685,$2382,$385,$21,$406,$-138,$544,$544,$544,$592,$385,$534,546,$1.02,$1.00,$2860,$1718,$0,$7028,$4520,$0,$4382,$917,$9819,$16847,$2704,$3485,$1545,$5030,$7734,$683,$15394,$-4239,$9113,$16847,$1276,$594,$-166,$428,$-16,$-236,$0,$-168,$-471,$1341,$-468,$0,$-247,$0,$0,$0,$0,$-715,$-2,$0,$-2,$-796,$-796,$-274,$-23,$-1095,$-534,$87,$-274
1,2018-06-30,73.84,$16.58,4.45,$19.91,3.71,$5.33,13.87,$1.66,44.48,$6.89B,$2.63B,2.62,$3.50B,$8.87B,0.39,$11.00B,$4.64B,42.17%,$11.00B,$1.37B,12.49%,$11.00B,$1.37B,12.49%,$11.00B,$2.14B,19.49%,$11.00B,$1.43B,12.95%,$11.00B,$0.91B,8.29%,$0.91B,$8.87B,9.98%,$0.91B,$4.46B,19.66%,$0.91B,$16.58B,5.36%,$1.37B,$12.36B,10.86%,$2842,$1603,$1239,$174,$681,$2458,$384,$20,$404,$61,$343,$343,$343,$579,$384,$535,547,$0.64,$0.63,$2857,$1622,$0,$6890,$4531,$0,$4411,$746,$9688,$16578,$2629,$3495,$1585,$5080,$7709,$683,$14966,$-4199,$8869,$16578,$732,$387,$-23,$364,$43,$-134,$0,$-84,$-284,$852,$-311,$0,$-228,$0,$0,$0,$0,$-539,$-1,$0,$-1,$-611,$-611,$-173,$-23,$-808,$-537,$54,$-173
2,2018-03-31,64.87,$16.95,3.83,$19.41,3.34,$5.13,12.65,$1.51,42.96,$6.96B,$2.64B,2.63,$3.55B,$9.09B,0.39,$10.76B,$4.53B,42.11%,$10.76B,$1.34B,12.42%,$10.76B,$1.34B,12.42%,$10.76B,$2.10B,19.47%,$10.76B,$1.33B,12.33%,$10.76B,$0.83B,7.75%,$0.83B,$9.09B,9.06%,$0.83B,$4.48B,17.19%,$0.83B,$16.89B,4.87%,$1.34B,$12.64B,10.52%,$2677,$1563,$1114,$140,$622,$2245,$432,$6,$438,$49,$389,$389,$389,$624,$432,$539,551,$0.72,$0.71,$2947,$1581,$0,$6956,$4614,$0,$4614,$706,$9934,$16890,$2642,$3550,$1605,$5155,$7797,$683,$14734,$-3876,$9093,$16890,$389,$192,$-3,$189,$76,$-56,$0,$-60,$-143,$447,$-155,$0,$-219,$0,$0,$0,$0,$-374,$0,$0,$0,$-440,$-440,$-87,$-18,$-545,$-447,$20,$-87
3,2017-12-31,64.31,$16.84,3.82,$19.04,3.38,$4.72,13.63,$1.29,49.85,$7.26B,$2.82B,2.58,$3.51B,$9.12B,0.39,$10.56B,$4.46B,42.25%,$10.56B,$1.26B,11.91%,$10.56B,$1.26B,11.91%,$10.56B,$2.02B,19.12%,$10.56B,$1.22B,11.52%,$10.56B,$0.72B,6.79%,$0.72B,$9.12B,7.88%,$0.72B,$4.64B,14.43%,$0.72B,$17.11B,4.26%,$1.26B,$12.63B,10.13%,$2774,$1618,$1156,$185,$713,$2516,$258,$35,$293,$354,$-61,$-61,$-71,$457,$258,$543,555,$-0.13,$-0.13,$3394,$1475,$0,$7263,$4588,$0,$4473,$787,$9848,$17111,$2821,$3509,$1665,$5174,$7995,$683,$14483,$-4001,$9116,$17111,$717,$761,$501,$1262,$30,$76,$0,$-372,$-182,$1837,$-634,$0,$-676,$0,$0,$0,$0,$-1310,$632,$0,$632,$-217,$-217,$-315,$-39,$61,$593,$107,$-315
4,2017-09-30,62.28,$17.37,3.59,$18.85,3.3,$4.25,14.67,$1.86,33.48,$7.45B,$2.66B,2.8,$3.50B,$9.46B,0.37,$10.43B,$4.41B,42.25%,$10.43B,$1.28B,12.29%,$10.43B,$1.28B,12.29%,$10.43B,$2.05B,19.60%,$10.43B,$1.20B,11.53%,$10.43B,$1.03B,9.88%,$1.03B,$9.46B,11.59%,$1.03B,$4.97B,20.82%,$1.03B,$17.54B,6.28%,$1.28B,$12.95B,10.66%,$2707,$1577,$1130,$150,$680,$2407,$300,$-10,$290,$42,$248,$248,$251,$484,$300,$545,557,$0.46,$0.45,$3517,$1550,$0,$7448,$4488,$0,$4488,$1117,$10093,$17541,$2662,$3495,$1925,$5420,$8082,$683,$14615,$-3994,$9459,$17541,$788,$562,$117,$679,$32,$0,$0,$-209,$-213,$1323,$-410,$0,$-678,$0,$0,$0,$0,$-1088,$633,$0,$633,$23,$23,$-228,$-37,$391,$716,$77,$-228
5,2017-06-30,59.93,$16.83,3.56,$18.63,3.22,$3.37,17.76,$1.65,36.32,$7.70B,$2.56B,3.01,$3.45B,$9.17B,0.38,$10.28B,$4.35B,42.29%,$10.28B,$1.17B,11.36%,$10.28B,$1.17B,11.36%,$10.28B,$1.95B,18.97%,$10.28B,$1.04B,10.12%,$10.28B,$0.91B,8.85%,$0.91B,$9.17B,10.46%,$0.91B,$5.31B,18.53%,$0.91B,$16.96B,5.69%,$1.17B,$12.62B,10.02%,$2605,$1473,$1132,$155,$630,$2258,$347,$-41,$306,$42,$264,$264,$265,$531,$347,$544,555,$0.49,$0.48,$3817,$1525,$22,$7704,$4337,$0,$3855,$1067,$9259,$16963,$2558,$3454,$1786,$5240,$7798,$683,$14480,$-4176,$9165,$16963,$537,$378,$-40,$338,$43,$-38,$0,$-95,$-202,$718,$-279,$0,$-34,$0,$0,$0,$0,$-313,$633,$0,$633,$105,$105,$-141,$-31,$566,$1016,$46,$-141
6,2017-03-31,51.2,$15.98,3.2,$18.61,2.75,$2.69,19.06,$3.36,15.24,$6.63B,$2.44B,2.72,$2.78B,$8.68B,0.32,$10.26B,$4.19B,40.82%,$10.26B,$0.89B,8.66%,$10.26B,$0.89B,8.66%,$10.26B,$1.69B,16.51%,$10.26B,$1.95B,19.03%,$10.26B,$1.86B,18.09%,$1.86B,$8.68B,21.76%,$1.86B,$4.95B,39.24%,$1.86B,$15.66B,11.79%,$0.89B,$11.46B,7.97%,$2475,$1431,$1044,$127,$564,$2122,$353,$-25,$328,$55,$273,$273,$272,$547,$353,$541,551,$0.50,$0.49,$2858,$1480,$46,$6633,$4274,$0,$3724,$1028,$9026,$15659,$2438,$2784,$1762,$4546,$6984,$683,$14323,$-4418,$8675,$15659,$272,$194,$42,$236,$78,$-29,$0,$-105,$-318,$189,$-123,$0,$6,$0,$0,$0,$0,$-117,$0,$0,$0,$60,$60,$-70,$-27,$-37,$57,$18,$-70
7,2016-12-31,43.66,$15.34,2.85,$18.42,2.37,$1.63,26.8,$8.99,4.86,$6.57B,$2.74B,2.4,$2.78B,$8.28B,0.34,$10.16B,$4.11B,40.44%,$10.16B,$0.72B,7.12%,$10.16B,$0.72B,7.12%,$10.16B,$1.52B,15.00%,$10.16B,$4.95B,48.75%,$10.16B,$4.97B,48.85%,$4.97B,$8.28B,57.61%,$4.97B,$4.57B,105.02%,$4.97B,$15.55B,30.71%,$0.72B,$11.06B,6.54%,$2645,$1543,$1102,$157,$663,$2363,$282,$-3,$279,$39,$240,$240,$243,$483,$282,$546,551,$0.48,$0.46,$2801,$1430,$50,$6574,$4289,$0,$3706,$977,$8972,$15546,$2744,$2779,$1743,$4522,$7266,$683,$14200,$-4556,$8280,$15546,$4965,$800,$-4199,$-3399,$15,$80,$0,$-74,$-176,$1654,$-719,$0,$-11,$0,$0,$0,$15,$-715,$260,$-300,$-40,$-6,$-6,$-268,$-10,$-324,$588,$115,$-268
8,2016-09-30,46.74,$15.93,2.93,$18.35,2.55,$1.50,31.24,$8.92,5.24,$6.59B,$2.61B,2.53,$2.83B,$8.66B,0.33,$10.12B,$4.08B,40.31%,$10.12B,$0.62B,6.13%,$10.12B,$0.62B,6.13%,$10.12B,$1.39B,13.68%,$10.12B,$4.88B,48.22%,$10.12B,$4.93B,48.68%,$4.93B,$8.66B,56.21%,$4.93B,$4.81B,102.83%,$4.93B,$15.80B,28.12%,$0.62B,$11.50B,5.39%,$2558,$1487,$1071,$159,$726,$2372,$186,$-58,$128,$1,$127,$127,$130,$390,$186,$544,551,$0.24,$0.24,$2597,$1568,$51,$6589,$4327,$0,$3859,$1020,$9206,$15795,$2606,$2834,$1691,$4525,$7131,$683,$14049,$-4172,$8664,$15795,$4722,$599,$-4504,$-3905,$22,$-11,$0,$2,$-313,$941,$-519,$0,$-30,$0,$0,$0,$13,$-536,$258,$-300,$-42,$206,$206,$-197,$-11,$-44,$384,$84,$-197
9,2016-06-30,44.28,$15.69,2.82,$18.24,2.43,$1.44,30.78,$8.68,5.1,$6.82B,$3.72B,1.83,$2.09B,$8.51B,0.25,$10.05B,$4.04B,40.23%,$10.05B,$0.53B,5.23%,$10.05B,$0.53B,5.23%,$10.05B,$1.30B,12.97%,$10.05B,$4.72B,46.96%,$10.05B,$4.80B,47.74%,$4.80B,$8.51B,56.05%,$4.80B,$4.60B,106.16%,$4.80B,$15.98B,25.77%,$0.53B,$10.60B,4.56%,$2585,$1613,$972,$195,$709,$2517,$68,$1150,$1218,$6,$1212,$1212,$1212,$274,$68,$548,553,$2.21,$2.19,$2630,$1591,$78,$6823,$4329,$0,$3912,$918,$9159,$15982,$3723,$2094,$1655,$3749,$7472,$683,$14037,$-4204,$8510,$15982,$4592,$395,$-4471,$-4076,$-38,$-25,$0,$61,$-345,$409,$-352,$0,$-31,$0,$0,$0,$13,$-370,$-172,$481,$309,$168,$168,$-126,$10,$361,$417,$54,$-126
