,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,8.1,$7.30,1.11,$17.94,0.45,$-0.07,0.0,$-0.10,0.0,$0.09B,$0.04B,2.05,$0.00B,$0.11B,0.0,$0.27B,$0.13B,46.67%,$0.27B,$0.01B,3.70%,$0.27B,$0.01B,3.70%,$0.27B,$0.01B,2.22%,$0.27B,$0.01B,3.70%,$0.27B,$0.01B,1.85%,$0.01B,$0.11B,4.61%,$0.01B,$0.11B,4.65%,$0.01B,$0.18B,2.69%,$0.01B,$0.11B,9.22%,$83,$48,$35,$0,$38,$86,$-3,$-0,$-3,$-1,$-2,$-2,$-2,$1,$-3,$15,15,$-0.12,$-0.12,$20,$48,$0,$91,$76,$0,$1,$2,$84,$175,$44,$0,$2,$21,$65,$0,$54,$-12,$109,$175,$-1,$8,$1,$9,$-0,$9,$-4,$-4,$0,$8,$-7,$0,$0,$0,$0,$0,$0,$-7,$-0,$0,$-0,$-2,$-2,$0,$0,$-2,$-1,$2,$0
1,2018-04-30,9.1,$7.43,1.22,$17.46,0.52,$-1.34,0.0,$0.02,455.0,$0.09B,$0.04B,2.19,$0.00B,$0.11B,0.0,$0.27B,$0.13B,47.58%,$0.27B,$0.02B,5.95%,$0.27B,$0.02B,5.95%,$0.27B,$0.01B,4.46%,$0.27B,$0.02B,5.58%,$0.27B,$0.01B,2.97%,$0.01B,$0.11B,7.44%,$0.01B,$0.11B,7.51%,$0.01B,$0.17B,4.25%,$0.02B,$0.11B,14.88%,$83,$46,$37,$0,$36,$83,$1,$-0,$1,$0,$0,$0,$0,$5,$1,$15,15,$0.02,$0.02,$19,$49,$0,$89,$76,$0,$1,$2,$84,$173,$41,$0,$2,$21,$61,$0,$56,$-12,$111,$173,$0,$4,$0,$5,$-1,$8,$-11,$-0,$-4,$1,$-3,$0,$0,$0,$0,$0,$0,$-3,$-0,$0,$-0,$-1,$-1,$0,$0,$-1,$-3,$1,$0
2,2018-01-31,8.6,$0.00,0.0,$16.80,0.51,$-2.15,0.0,$-0.10,0.0,$0.11B,$0.07B,1.58,$0.00B,$0.11B,0.0,$0.27B,$0.13B,47.92%,$0.27B,$0.02B,5.66%,$0.27B,$0.02B,5.66%,$0.27B,$0.01B,4.15%,$0.27B,$0.01B,5.28%,$0.27B,$0.01B,3.02%,$0.01B,$0.11B,7.57%,$0.01B,$0.11B,7.64%,$0.01B,$0.20B,4.20%,$0.02B,$0.11B,14.18%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$30,$53,$0,$110,$78,$0,$1,$3,$88,$198,$70,$0,$2,$21,$91,$0,$50,$-12,$107,$198,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,2017-12-31,9.2,$0.00,0.0,$21.74,0.42,$-3.36,0.0,$-0.10,0.0,$0.11B,$0.07B,1.58,$0.00B,$0.11B,0.0,$0.34B,$0.16B,47.08%,$0.34B,$0.01B,3.80%,$0.34B,$0.01B,3.80%,$0.34B,$0.01B,3.80%,$0.34B,$0.01B,3.22%,$0.34B,$0.01B,1.75%,$0.01B,$0.11B,5.73%,$0.01B,$0.11B,5.78%,$0.01B,$0.20B,3.21%,$0.01B,$0.11B,12.41%,$104,$50,$54,$0,$43,$92,$12,$0,$12,$5,$7,$7,$7,$0,$12,$16,16,$0.44,$0.45,$30,$53,$0,$110,$78,$0,$1,$3,$88,$198,$70,$0,$2,$21,$91,$0,$50,$-12,$107,$198,$8,$16,$0,$26,$-1,$-0,$-10,$-1,$-13,$21,$-18,$0,$0,$0,$0,$0,$0,$-18,$-0,$0,$-0,$-5,$-5,$0,$0,$-5,$-2,$3,$0
4,2017-09-30,9.15,$6.59,1.39,$20.95,0.44,$-3.17,0.0,$0.07,130.71,$0.09B,$0.06B,1.59,$0.00B,$0.11B,0.0,$0.33B,$0.15B,45.90%,$0.33B,$0.01B,1.52%,$0.33B,$0.01B,1.52%,$0.33B,$0.02B,6.38%,$0.33B,$0.00B,0.91%,$0.33B,$0.00B,0.61%,$0.00B,$0.11B,1.93%,$0.00B,$0.10B,1.95%,$0.00B,$0.18B,1.08%,$0.01B,$0.11B,4.82%,$82,$46,$37,$0,$34,$80,$3,$-0,$2,$1,$1,$1,$1,$7,$3,$16,16,$0.09,$0.09,$11,$62,$0,$94,$77,$0,$1,$3,$90,$184,$59,$0,$2,$20,$79,$0,$46,$-12,$105,$184,$3,$12,$4,$16,$5,$-9,$-14,$-8,$-26,$-7,$-13,$0,$0,$0,$0,$0,$-0,$-12,$-0,$0,$-0,$-1,$-1,$0,$0,$-2,$-22,$3,$0
5,2017-07-31,9.6,$6.51,1.47,$21.51,0.45,$-1.70,0.0,$0.07,137.14,$0.09B,$0.06B,1.6,$0.00B,$0.10B,0.0,$0.34B,$0.16B,46.45%,$0.34B,$0.01B,2.07%,$0.34B,$0.01B,2.07%,$0.34B,$0.02B,6.80%,$0.34B,$0.01B,1.78%,$0.34B,$0.00B,1.18%,$0.00B,$0.10B,3.86%,$0.00B,$0.10B,3.91%,$0.00B,$0.18B,2.14%,$0.01B,$0.10B,6.76%,$79,$44,$36,$0,$36,$79,$-0,$0,$-0,$-0,$0,$0,$0,$4,$-0,$16,16,$0.00,$0.00,$12,$59,$0,$93,$76,$0,$1,$3,$90,$182,$58,$0,$2,$20,$78,$0,$46,$-12,$104,$182,$3,$8,$3,$11,$2,$-2,$-11,$-9,$-19,$-5,$-9,$0,$0,$0,$0,$0,$-0,$-9,$-0,$0,$-0,$-0,$-0,$0,$0,$-0,$-15,$2,$0
6,2017-06-30,10.45,$6.44,1.62,$23.19,0.45,$-1.51,0.0,$0.17,61.47,$0.09B,$0.06B,1.55,$0.00B,$0.10B,0.0,$0.36B,$0.17B,46.28%,$0.36B,$0.01B,1.93%,$0.36B,$0.01B,1.93%,$0.36B,$0.02B,6.34%,$0.36B,$0.00B,0.83%,$0.36B,$-0.00B,-0.55%,$-0.00B,$0.10B,-1.96%,$-0.00B,$0.10B,-1.99%,$-0.00B,$0.18B,-1.04%,$0.01B,$0.10B,6.85%,$77,$43,$34,$0,$36,$79,$-2,$-1,$-3,$-1,$-2,$-2,$-2,$2,$-2,$16,16,$-0.10,$-0.10,$13,$58,$0,$93,$76,$0,$1,$2,$90,$183,$60,$0,$2,$20,$79,$0,$45,$-12,$103,$183,$1,$8,$3,$11,$4,$-6,$-16,$-6,$-24,$-11,$-8,$0,$0,$0,$0,$0,$-0,$-8,$-0,$0,$-0,$-0,$-0,$0,$0,$-0,$-20,$2,$0
7,2017-04-30,10.4,$6.46,1.61,$23.59,0.44,$-2.33,0.0,$0.17,61.18,$0.10B,$0.07B,1.5,$0.00B,$0.10B,0.0,$0.37B,$0.17B,46.22%,$0.37B,$0.01B,3.24%,$0.37B,$0.01B,3.24%,$0.37B,$0.03B,7.57%,$0.37B,$0.01B,2.43%,$0.37B,$0.00B,0.54%,$0.00B,$0.10B,1.98%,$0.00B,$0.10B,2.01%,$0.00B,$0.19B,1.04%,$0.01B,$0.10B,11.85%,$91,$48,$44,$0,$39,$87,$4,$0,$4,$2,$3,$3,$3,$8,$4,$16,16,$0.17,$0.16,$30,$55,$0,$103,$74,$0,$2,$2,$88,$191,$69,$0,$2,$19,$88,$0,$46,$-12,$103,$191,$3,$4,$2,$6,$4,$2,$-2,$-6,$-2,$7,$-4,$0,$0,$0,$0,$0,$-0,$-4,$-0,$0,$-0,$-0,$-0,$0,$0,$-0,$2,$1,$0
8,2017-03-31,8.85,$6.47,1.37,$22.63,0.39,$-4.69,0.0,0,0.0,$0.11B,$0.07B,1.51,$0.00B,$0.10B,0.0,$0.35B,$0.16B,44.92%,$0.35B,$0.00B,0.85%,$0.35B,$0.00B,0.85%,$0.35B,$0.02B,5.37%,$0.35B,$-0.00B,-0.28%,$0.35B,$-0.01B,-1.41%,$-0.01B,$0.10B,-5.03%,$-0.01B,$0.10B,-5.12%,$-0.01B,$0.19B,-2.66%,$0.00B,$0.10B,3.02%,$91,$48,$43,$0,$38,$85,$5,$-1,$5,$2,$3,$3,$3,$9,$5,$16,16,$0.17,$0.17,$36,$53,$0,$105,$73,$0,$2,$2,$87,$192,$70,$0,$2,$19,$89,$0,$47,$-13,$104,$192,$3,$4,$3,$7,$7,$-1,$-7,$-2,$-4,$6,$-2,$0,$0,$0,$0,$0,$-0,$-2,$-0,$0,$-0,$-0,$-0,$0,$0,$-0,$3,$1,$0
9,2016-12-31,13.75,$6.25,2.2,$22.95,0.6,$-5.77,0.0,0,0.0,$0.11B,$0.08B,1.33,$0.00B,$0.10B,0.0,$0.36B,$0.16B,45.25%,$0.36B,$0.00B,1.12%,$0.36B,$0.00B,1.12%,$0.36B,$0.02B,5.59%,$0.36B,$-0.00B,-0.28%,$0.36B,$-0.00B,-1.12%,$-0.00B,$0.10B,-4.05%,$-0.00B,$0.10B,-4.11%,$-0.00B,$0.20B,-2.12%,$0.00B,$0.10B,4.05%,$104,$57,$47,$0,$47,$104,$-0,$-3,$-3,$3,$-6,$-6,$-6,$4,$-0,$15,16,$-0.34,$-0.33,$32,$52,$0,$110,$75,$0,$2,$5,$90,$200,$83,$0,$2,$18,$100,$0,$44,$-13,$99,$200,$1,$16,$10,$26,$-2,$1,$-16,$7,$-11,$16,$-27,$0,$0,$1,$0,$1,$-1,$-27,$0,$0,$0,$-2,$-2,$0,$0,$-2,$-13,$3,$0
