,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,7.42,$6.91,1.07,$8.97,0.83,$0.35,21.31,$0.90,8.24,$0.87B,$0.66B,1.32,$0.14B,$0.64B,0.21,$0.90B,$0.86B,95.64%,$0.90B,$0.08B,9.39%,$0.90B,0,0.00%,$0.90B,0,0.00%,$0.90B,$0.08B,8.72%,$0.90B,$0.07B,7.49%,$0.07B,$0.64B,10.17%,$0.07B,$0.53B,12.22%,$0.07B,$1.68B,4.10%,$0.08B,$0.78B,10.57%,$255,$11,$244,$0,$225,$236,$19,$-0,$19,$7,$12,$12,$6,$0,$0,$93,97,$0.07,$0.06,$425,$0,$0,$865,$133,$95,$111,$474,$813,$1678,$657,$136,$213,$377,$1034,$1,$374,$2,$644,$1678,$40,$19,$60,$79,$-48,$-11,$0,$-16,$-76,$44,$-33,$0,$0,$0,$22,$22,$12,$1,$44,$0,$44,$-60,$-60,$-3,$-10,$-29,$16,$11,$-3
1,2018-06-30,9.03,$6.86,1.32,$8.62,1.05,$0.60,14.95,$0.98,9.21,$0.87B,$0.70B,1.23,$0.14B,$0.64B,0.21,$0.88B,$0.85B,95.81%,$0.88B,$0.09B,9.74%,$0.88B,0,0.00%,$0.88B,0,0.00%,$0.88B,$0.08B,8.95%,$0.88B,$0.07B,7.81%,$0.07B,$0.64B,10.89%,$0.07B,$0.53B,13.21%,$0.07B,$1.66B,4.33%,$0.09B,$0.78B,11.18%,$243,$10,$232,$0,$211,$222,$21,$-0,$21,$9,$12,$12,$6,$0,$0,$94,98,$0.07,$0.07,$435,$0,$0,$865,$125,$99,$111,$465,$800,$1664,$702,$136,$88,$323,$1025,$1,$369,$1,$639,$1664,$28,$12,$37,$49,$-24,$-17,$0,$-23,$-64,$13,$-20,$0,$0,$0,$16,$16,$23,$19,$59,$0,$59,$-60,$-60,$-2,$-4,$-6,$26,$7,$-2
2,2018-03-31,9.2,$6.88,1.34,$8.22,1.12,$0.76,12.05,$0.73,12.6,$0.82B,$0.59B,1.39,$0.14B,$0.69B,0.2,$0.86B,$0.83B,95.82%,$0.86B,$0.09B,10.45%,$0.86B,0,0.00%,$0.86B,0,0.00%,$0.86B,$0.08B,9.64%,$0.86B,$0.08B,8.83%,$0.08B,$0.69B,12.50%,$0.08B,$0.57B,15.31%,$0.08B,$1.58B,4.88%,$0.09B,$0.82B,12.11%,$219,$9,$210,$0,$188,$197,$23,$-0,$22,$7,$16,$16,$11,$0,$0,$100,103,$0.11,$0.11,$398,$0,$0,$822,$115,$108,$111,$425,$760,$1582,$590,$136,$105,$307,$897,$1,$364,$1,$685,$1582,$16,$6,$11,$17,$-5,$-5,$0,$-24,$-34,$-2,$-8,$0,$0,$0,$-0,$-0,$29,$21,$-27,$0,$-27,$0,$0,$-1,$-2,$-30,$-11,$3,$-1
3,2017-12-31,7.95,$6.70,1.19,$7.86,1.01,$0.85,9.41,$0.79,10.07,$0.84B,$0.60B,1.4,$0.14B,$0.67B,0.2,$0.83B,$0.80B,95.67%,$0.83B,$0.10B,12.03%,$0.83B,0,0.00%,$0.83B,0,0.00%,$0.83B,$0.09B,11.31%,$0.83B,$0.08B,9.87%,$0.08B,$0.67B,14.46%,$0.08B,$0.56B,17.65%,$0.08B,$1.61B,5.41%,$0.10B,$0.80B,14.25%,$178,$8,$170,$0,$149,$156,$21,$-6,$16,$-37,$53,$53,$44,$0,$0,$99,104,$0.44,$0.43,$409,$0,$0,$836,$112,$120,$110,$428,$770,$1606,$597,$135,$173,$342,$938,$1,$353,$2,$668,$1606,$101,$24,$35,$59,$0,$-3,$0,$-92,$-94,$66,$-23,$0,$-58,$0,$1,$1,$26,$-55,$2,$0,$2,$68,$68,$-3,$-16,$52,$63,$12,$-3
4,2017-09-30,7.35,$5.58,1.32,$8.51,0.86,$1.15,6.38,$0.41,17.92,$0.79B,$0.59B,1.35,$0.14B,$0.54B,0.25,$0.86B,$0.82B,95.93%,$0.86B,$0.10B,11.99%,$0.86B,0,0.00%,$0.86B,0,0.00%,$0.86B,$0.10B,11.53%,$0.86B,$0.04B,5.01%,$0.04B,$0.54B,8.21%,$0.04B,$0.43B,10.00%,$0.04B,$1.53B,2.92%,$0.10B,$0.68B,15.53%,$243,$9,$234,$0,$212,$222,$21,$-2,$20,$8,$12,$12,$8,$0,$0,$98,106,$0.08,$0.08,$338,$0,$0,$789,$112,$407,$113,$105,$737,$1525,$585,$135,$177,$398,$983,$1,$298,$2,$543,$1525,$48,$15,$63,$78,$-30,$-44,$0,$1,$-73,$53,$-14,$0,$-58,$0,$9,$9,$8,$-56,$-2,$0,$-2,$-6,$-6,$-2,$-8,$-18,$-20,$10,$-2
5,2017-06-30,19.97,$5.52,3.62,$8.69,2.3,$1.39,14.4,$0.54,36.98,$0.79B,$0.64B,1.23,$0.14B,$0.53B,0.25,$0.83B,$0.80B,95.78%,$0.83B,$0.12B,14.94%,$0.83B,0,0.00%,$0.83B,0,0.00%,$0.83B,$0.12B,14.58%,$0.83B,$0.05B,6.39%,$0.05B,$0.54B,10.28%,$0.05B,$0.42B,12.31%,$0.05B,$1.51B,3.67%,$0.12B,$0.67B,18.82%,$221,$9,$211,$0,$186,$195,$25,$-0,$25,$9,$16,$16,$13,$0,$0,$98,106,$0.13,$0.12,$339,$0,$0,$786,$117,$396,$112,$102,$729,$1514,$639,$135,$126,$339,$978,$1,$290,$1,$536,$1514,$36,$9,$40,$50,$-15,$-38,$0,$-16,$-68,$17,$-9,$0,$-58,$0,$9,$9,$6,$-52,$23,$0,$23,$-6,$-6,$-1,$-3,$12,$-22,$7,$-1
6,2017-03-31,19.97,$5.32,3.75,$8.88,2.25,$1.75,11.41,$0.43,46.43,$0.78B,$0.57B,1.36,$0.13B,$0.52B,0.26,$0.80B,$0.77B,95.65%,$0.80B,$0.10B,12.81%,$0.80B,0,0.00%,$0.80B,0,0.00%,$0.80B,$0.10B,12.19%,$0.80B,$0.04B,4.98%,$0.04B,$0.52B,7.91%,$0.04B,$0.45B,9.32%,$0.04B,$1.42B,2.84%,$0.10B,$0.66B,15.77%,$189,$9,$180,$0,$147,$156,$33,$0,$33,$13,$20,$20,$17,$0,$0,$99,106,$0.18,$0.16,$332,$0,$0,$781,$96,$86,$75,$377,$634,$1415,$574,$134,$131,$319,$893,$1,$279,$1,$522,$1415,$20,$4,$15,$20,$-4,$-11,$0,$-22,$-37,$3,$-4,$0,$0,$0,$-0,$-0,$9,$4,$-40,$0,$-40,$0,$0,$-1,$-0,$-40,$-33,$3,$-1
7,2016-12-31,19.97,$5.05,3.95,$9.00,2.22,$1.93,10.32,$0.32,62.4,$0.80B,$0.58B,1.39,$0.15B,$0.50B,0.31,$0.78B,$0.75B,95.39%,$0.78B,$0.08B,10.50%,$0.78B,0,0.00%,$0.78B,0,0.00%,$0.78B,$0.08B,9.86%,$0.78B,$0.03B,3.59%,$0.03B,$0.50B,5.62%,$0.03B,$0.42B,6.64%,$0.03B,$1.44B,2.00%,$0.08B,$0.65B,12.62%,$206,$8,$199,$0,$175,$183,$24,$-3,$21,$13,$8,$8,$5,$0,$0,$87,87,$0.06,$0.05,$346,$0,$0,$802,$96,$104,$75,$358,$634,$1436,$578,$152,$153,$363,$941,$1,$259,$1,$495,$1436,$42,$19,$73,$92,$0,$-3,$0,$-49,$-52,$81,$-19,$0,$0,$0,$-0,$-0,$68,$49,$5,$0,$5,$-11,$-11,$-1,$-35,$-42,$88,$12,$-1
8,2016-09-30,20.54,$5.96,3.44,$8.93,2.3,$0.71,29.03,$0.50,41.09,$0.76B,$0.56B,1.36,$0.15B,$0.51B,0.3,$0.78B,$0.74B,94.84%,$0.78B,$0.09B,11.10%,$0.78B,0,0.00%,$0.78B,0,0.00%,$0.78B,$0.08B,10.58%,$0.78B,$0.04B,5.55%,$0.04B,$0.51B,8.68%,$0.04B,$0.43B,10.29%,$0.04B,$1.41B,3.12%,$0.09B,$0.66B,13.31%,$214,$10,$205,$0,$162,$172,$42,$0,$42,$19,$23,$23,$18,$0,$0,$86,87,$0.21,$0.21,$339,$0,$0,$763,$96,$358,$77,$111,$642,$1405,$563,$152,$150,$334,$896,$1,$255,$1,$509,$1405,$33,$14,$54,$68,$-46,$-11,$0,$16,$-40,$61,$-9,$-1,$0,$0,$21,$21,$43,$54,$-20,$0,$-20,$-3,$-3,$-0,$-10,$-34,$82,$10,$-0
9,2016-06-30,15.31,$5.93,2.58,$8.75,1.75,$-0.32,0.0,$0.48,31.89,$0.75B,$0.58B,1.28,$0.15B,$0.50B,0.31,$0.76B,$0.72B,94.74%,$0.76B,$0.07B,9.07%,$0.76B,0,0.00%,$0.76B,0,0.00%,$0.76B,$0.07B,8.54%,$0.76B,$0.04B,5.39%,$0.04B,$0.50B,8.48%,$0.04B,$0.42B,10.10%,$0.04B,$1.39B,3.01%,$0.07B,$0.65B,10.87%,$195,$10,$185,$0,$181,$191,$4,$-2,$2,$-0,$3,$3,$0,$0,$0,$86,86,$0.00,$0.00,$329,$0,$0,$747,$97,$356,$77,$108,$638,$1385,$583,$152,$141,$306,$889,$1,$237,$1,$496,$1385,$10,$6,$42,$48,$-26,$7,$0,$5,$-14,$45,$-6,$0,$0,$0,$9,$9,$27,$30,$3,$0,$3,$-3,$-3,$0,$-3,$-3,$72,$7,$0
