,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.75,$2.27,1.21,$2.17,1.27,$-37.66,0.0,$-11.41,0.0,$0.01B,$0.00B,2.63,$0.00B,$0.01B,0.11,$0.00B,$-0.01B,-175.00%,$0.00B,$-0.02B,-600.00%,$0.00B,$-0.02B,-600.00%,$0.00B,$-0.02B,-575.00%,$0.00B,$-0.02B,-600.00%,$0.00B,$-0.03B,-625.00%,$-0.03B,$0.01B,-454.55%,$-0.03B,$0.01B,-454.55%,$-0.03B,$0.02B,-222.22%,$-0.02B,$0.01B,-369.23%,$1,$2,$-2,$1,$3,$7,$-6,$-0,$-6,$0,$-6,$-6,$-7,$-6,$-6,$3,3,$-2.42,$-2.42,$9,$1,$0,$12,$3,$0,$0,$0,$3,$15,$4,$1,$0,$1,$6,$0,$-214,$0,$9,$15,$-19,$1,$0,$1,$-0,$0,$0,$0,$1,$-17,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-2,$-2,$26,$26,$0,$0,$24,$7,$1,$0
1,2018-06-30,6.0,$1.11,5.42,$3.02,1.99,$-46.62,0.0,$-17.41,0.0,$0.01B,$0.01B,1.2,$0.00B,$0.00B,0.42,$0.00B,$-0.01B,-150.00%,$0.00B,$-0.02B,-600.00%,$0.00B,$-0.02B,-600.00%,$0.00B,$-0.02B,-575.00%,$0.00B,$-0.02B,-600.00%,$0.00B,$-0.02B,-600.00%,$-0.02B,$0.00B,-564.71%,$-0.02B,$0.00B,-564.71%,$-0.02B,$0.01B,-234.15%,$-0.02B,$0.00B,-457.14%,$1,$3,$-2,$1,$3,$7,$-6,$-0,$-6,$0,$-6,$-6,$-6,$-6,$-6,$2,2,$-2.70,$-2.70,$3,$1,$0,$5,$3,$0,$0,$0,$3,$8,$5,$1,$0,$1,$6,$0,$-208,$0,$3,$8,$-13,$0,$0,$1,$-0,$0,$0,$0,$0,$-11,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$-1,$13,$13,$0,$0,$12,$0,$0,$0
2,2018-03-31,8.85,$3.79,2.34,$4.08,2.17,$-52.07,0.0,$-21.02,0.0,$0.01B,$0.01B,2.41,$0.00B,$0.01B,0.13,$0.00B,$-0.01B,-125.00%,$0.00B,$-0.02B,-575.00%,$0.00B,$-0.02B,-575.00%,$0.00B,$-0.02B,-550.00%,$0.00B,$-0.02B,-600.00%,$0.00B,$-0.02B,-600.00%,$-0.02B,$0.01B,-457.14%,$-0.02B,$0.01B,-457.14%,$-0.02B,$0.02B,-200.00%,$-0.02B,$0.01B,-368.00%,$1,$2,$-2,$1,$4,$7,$-6,$-0,$-6,$0,$-6,$-6,$-6,$-6,$-6,$2,2,$-3.33,$-3.33,$9,$0,$0,$12,$3,$0,$0,$0,$3,$15,$5,$1,$0,$1,$6,$0,$-202,$0,$9,$15,$-6,$0,$0,$0,$-0,$0,$0,$-0,$0,$-6,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$-1,$13,$13,$0,$0,$13,$7,$0,$0
3,2017-12-31,20.82,$1.10,18.97,$6.08,3.42,$-54.67,0.0,$-24.02,0.0,$0.00B,$0.01B,0.91,$0.00B,$0.00B,0.89,$0.01B,$-0.00B,-60.00%,$0.01B,$-0.02B,-420.00%,$0.01B,$-0.02B,-420.00%,$0.01B,$-0.02B,-400.00%,$0.01B,$-0.02B,-440.00%,$0.01B,$-0.02B,-440.00%,$-0.02B,$0.00B,-400.00%,$-0.02B,$0.00B,-400.00%,$-0.02B,$0.01B,-172.55%,$-0.02B,$0.00B,-311.11%,$1,$2,$-1,$1,$3,$7,$-6,$-0,$-6,$0,$-6,$-6,$-6,$-5,$-6,$1,1,$-5.36,$-5.36,$2,$0,$0,$4,$3,$0,$0,$0,$3,$7,$5,$1,$0,$1,$6,$0,$-195,$0,$1,$7,$-22,$1,$1,$2,$-1,$0,$0,$0,$0,$-20,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$-2,$-2,$21,$21,$0,$0,$19,$-2,$1,$0
4,2017-09-30,36.9,$4.03,9.15,$9.06,4.07,$-82.34,0.0,$-26.73,0.0,$0.01B,$0.01B,1.41,$0.00B,$0.00B,0.24,$0.01B,$-0.00B,-60.00%,$0.01B,$-0.02B,-380.00%,$0.01B,$-0.02B,-380.00%,$0.01B,$-0.02B,-380.00%,$0.01B,$-0.02B,-400.00%,$0.01B,$-0.02B,-400.00%,$-0.02B,$0.00B,-363.64%,$-0.02B,$0.00B,-363.64%,$-0.02B,$0.01B,-153.85%,$-0.02B,$0.01B,-271.43%,$1,$2,$-1,$1,$4,$7,$-6,$-0,$-6,$-0,$-6,$-6,$-6,$-6,$-6,$1,1,$-5.90,$-5.90,$6,$1,$0,$8,$3,$0,$0,$0,$3,$11,$6,$1,$0,$1,$7,$0,$-190,$0,$4,$11,$-16,$0,$1,$2,$-1,$-0,$1,$0,$0,$-14,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$-2,$-2,$18,$18,$0,$0,$16,$1,$1,$0
5,2017-06-30,41.1,$7.75,5.3,$11.73,3.5,$-109.36,0.0,$-37.84,0.0,$0.01B,$0.01B,2.13,$0.00B,$0.01B,0.13,$0.01B,$-0.00B,-60.00%,$0.01B,$-0.02B,-360.00%,$0.01B,$-0.02B,-360.00%,$0.01B,$-0.02B,-360.00%,$0.01B,$-0.02B,-380.00%,$0.01B,$-0.02B,-380.00%,$-0.02B,$0.01B,-584.62%,$-0.02B,$0.01B,-584.62%,$-0.02B,$0.02B,-172.73%,$-0.02B,$0.01B,-342.86%,$1,$2,$-1,$1,$4,$7,$-5,$-0,$-6,$-0,$-6,$-6,$-6,$-5,$-5,$1,1,$-6.32,$-6.32,$10,$1,$0,$12,$2,$0,$0,$0,$2,$15,$6,$1,$1,$2,$7,$0,$-184,$0,$7,$15,$-10,$0,$1,$1,$-1,$-0,$1,$0,$0,$-9,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$-1,$-1,$16,$16,$0,$0,$15,$5,$1,$0
6,2017-03-31,63.9,$11.87,5.38,$12.92,4.95,$-132.75,0.0,$-49.55,0.0,$0.02B,$0.01B,2.9,$0.00B,$0.01B,0.14,$0.01B,$-0.00B,-60.00%,$0.01B,$-0.02B,-360.00%,$0.01B,$-0.02B,-360.00%,$0.01B,$-0.02B,-340.00%,$0.01B,$-0.02B,-360.00%,$0.01B,$-0.02B,-360.00%,$-0.02B,$0.01B,-1200.00%,$-0.02B,$0.01B,-1200.00%,$-0.02B,$0.02B,-205.71%,$-0.02B,$0.01B,-480.00%,$2,$2,$-0,$1,$3,$6,$-4,$-0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$1,1,$-6.36,$-6.36,$14,$1,$0,$16,$2,$0,$0,$0,$2,$18,$5,$1,$1,$2,$8,$0,$-178,$0,$10,$18,$-4,$0,$0,$0,$-1,$0,$0,$0,$0,$-4,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$-1,$14,$14,$0,$0,$13,$9,$0,$0
7,2016-12-31,23.25,$1.14,20.38,$11.51,2.02,$-145.84,0.0,$-65.77,0.0,$0.01B,$0.00B,1.31,$0.00B,$0.00B,2.89,$0.00B,$-0.00B,-133.33%,$0.00B,$-0.02B,-633.33%,$0.00B,$-0.02B,-633.33%,$0.00B,$-0.02B,-600.00%,$0.00B,$-0.02B,-633.33%,$0.00B,$-0.02B,-633.33%,$-0.02B,$0.00B,1900.00%,$-0.02B,$0.00B,1900.00%,$-0.02B,$0.01B,-316.67%,$-0.02B,$0.00B,-1520.00%,$1,$2,$-1,$1,$3,$5,$-4,$-0,$-4,$-0,$-4,$-4,$-4,$-4,$-4,$0,0,$-0.30,$-0.30,$5,$1,$0,$6,$2,$0,$0,$0,$2,$8,$4,$2,$1,$3,$7,$0,$-174,$0,$1,$8,$-18,$0,$2,$2,$-0,$-0,$0,$0,$1,$-16,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-2,$-2,$14,$14,$0,$0,$12,$-4,$2,$0
8,2016-09-30,47.1,$-16.44,-2.87,$8.62,5.46,$-178.96,0.0,$-79.29,0.0,$0.00B,$0.01B,0.35,$0.00B,$-0.01B,-0.48,$0.00B,$-0.00B,-200.00%,$0.00B,$-0.02B,-1000.00%,$0.00B,$-0.02B,-1000.00%,$0.00B,$-0.02B,-900.00%,$0.00B,$-0.02B,-1000.00%,$0.00B,$-0.02B,-1000.00%,$-0.02B,$-0.01B,8000.00%,$-0.02B,$-0.01B,8000.00%,$-0.02B,$0.00B,-296.30%,$-0.02B,$-0.00B,-888.89%,$1,$2,$-1,$1,$3,$6,$-5,$-0,$-5,$0,$-5,$-5,$-5,$-5,$-5,$0,0,$-17.27,$-17.27,$1,$0,$0,$2,$2,$0,$0,$0,$2,$3,$5,$2,$1,$3,$8,$0,$-169,$0,$-5,$3,$-14,$0,$1,$1,$-0,$-0,$1,$0,$2,$-11,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$-1,$5,$5,$0,$0,$4,$-8,$1,$0
9,2016-06-30,59.85,$-1.53,-39.19,$5.63,10.63,$-190.26,0.0,$-83.79,0.0,$0.01B,$0.00B,1.38,$0.00B,$0.00B,-5.98,$0.00B,$-0.00B,-400.00%,$0.00B,$-0.02B,-1900.00%,$0.00B,$-0.02B,-1900.00%,$0.00B,$-0.02B,-1700.00%,$0.00B,$-0.02B,-1900.00%,$0.00B,$-0.02B,-1900.00%,$-0.02B,$0.00B,-690.91%,$-0.02B,$0.00B,-690.91%,$-0.02B,$0.01B,-200.00%,$-0.02B,$0.00B,-361.90%,$1,$2,$-1,$1,$3,$5,$-5,$-0,$-5,$0,$-5,$-5,$-5,$-4,$-5,$0,0,$-18.18,$-18.18,$4,$0,$0,$5,$1,$0,$0,$0,$1,$6,$4,$3,$1,$3,$7,$0,$-165,$0,$-0,$6,$-9,$0,$1,$1,$-0,$-0,$0,$0,$0,$-8,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$-1,$5,$5,$0,$0,$4,$-5,$1,$0
