,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,72.2,$14.69,4.92,$51.00,1.42,$7.73,9.34,$3.00,24.07,$0.06B,$0.12B,0.49,$0.10B,$0.31B,0.3,$1.10B,$0.82B,74.68%,$1.10B,$0.05B,4.92%,$1.10B,$0.05B,4.92%,$1.10B,$0.13B,11.38%,$1.10B,$0.05B,4.55%,$1.10B,$0.06B,5.83%,$0.06B,$0.31B,22.56%,$0.06B,$0.31B,22.94%,$0.06B,$0.67B,9.42%,$0.05B,$0.41B,13.00%,$270,$69,$202,$0,$175,$262,$8,$-1,$7,$-1,$9,$9,$9,$26,$8,$21,22,$0.40,$0.39,$26,$10,$0,$60,$577,$0,$5,$31,$613,$673,$123,$95,$36,$238,$361,$0,$249,$0,$312,$673,$40,$53,$5,$57,$1,$0,$-4,$1,$-3,$95,$-37,$0,$0,$0,$0,$0,$0,$-37,$0,$-69,$-69,$19,$19,$-7,$-0,$-57,$1,$6,$-7
1,2018-06-30,59.9,$14.05,4.26,$50.01,1.2,$5.82,10.29,$2.72,22.02,$0.06B,$0.13B,0.44,$0.11B,$0.30B,0.37,$1.08B,$0.80B,74.33%,$1.08B,$0.05B,4.47%,$1.08B,$0.05B,4.47%,$1.08B,$0.12B,10.98%,$1.08B,$0.04B,4.09%,$1.08B,$0.06B,5.30%,$0.06B,$0.30B,21.35%,$0.06B,$0.29B,21.73%,$0.06B,$0.67B,8.32%,$0.05B,$0.41B,11.34%,$288,$72,$216,$0,$178,$269,$19,$-1,$18,$1,$17,$17,$17,$37,$19,$21,21,$0.81,$0.79,$19,$10,$0,$56,$582,$0,$5,$31,$617,$674,$128,$110,$33,$250,$378,$0,$229,$0,$295,$674,$32,$35,$3,$38,$1,$0,$-7,$-0,$2,$72,$-29,$0,$0,$0,$0,$0,$0,$-29,$0,$-54,$-54,$10,$10,$-5,$-0,$-48,$-5,$4,$-5
2,2018-03-31,44.73,$13.00,3.44,$48.66,0.92,$4.10,10.92,$2.37,18.87,$0.06B,$0.12B,0.53,$0.16B,$0.27B,0.59,$1.05B,$0.78B,73.98%,$1.05B,$0.04B,3.89%,$1.05B,$0.04B,3.89%,$1.05B,$0.11B,10.45%,$1.05B,$0.04B,3.61%,$1.05B,$0.05B,4.75%,$0.05B,$0.27B,19.25%,$0.05B,$0.26B,19.59%,$0.05B,$0.69B,7.22%,$0.04B,$0.43B,9.50%,$279,$70,$209,$0,$174,$262,$16,$-1,$15,$0,$15,$15,$15,$34,$16,$21,21,$0.71,$0.70,$29,$10,$0,$64,$588,$0,$5,$30,$623,$687,$120,$159,$33,$298,$418,$0,$202,$0,$269,$687,$15,$17,$1,$18,$3,$0,$-3,$-2,$-7,$26,$-14,$0,$0,$0,$0,$0,$0,$-14,$0,$-5,$-5,$0,$0,$-2,$-0,$-7,$4,$2,$-2
3,2017-12-31,36.17,$12.63,2.86,$46.99,0.77,$3.32,10.88,$2.09,17.31,$0.06B,$0.12B,0.49,$0.16B,$0.26B,0.63,$1.03B,$0.76B,73.84%,$1.03B,$0.04B,3.68%,$1.03B,$0.04B,3.68%,$1.03B,$0.11B,10.27%,$1.03B,$0.04B,3.49%,$1.03B,$0.04B,4.26%,$0.04B,$0.26B,17.14%,$0.04B,$0.25B,17.44%,$0.04B,$0.69B,6.32%,$0.04B,$0.42B,8.74%,$261,$68,$193,$0,$164,$250,$11,$-1,$10,$-13,$23,$23,$23,$28,$11,$21,22,$1.12,$1.09,$24,$11,$0,$60,$590,$0,$5,$30,$625,$685,$123,$164,$33,$304,$426,$0,$190,$0,$259,$685,$45,$69,$-5,$64,$-0,$-1,$-1,$-2,$-2,$107,$-53,$0,$0,$0,$0,$0,$0,$-53,$0,$16,$16,$-66,$-66,$-2,$-0,$-53,$2,$7,$-2
4,2017-09-30,30.15,$11.82,2.55,$45.96,0.66,$2.22,13.6,$1.52,19.84,$0.06B,$0.11B,0.56,$0.19B,$0.25B,0.79,$1.04B,$0.77B,73.87%,$1.04B,$0.04B,4.24%,$1.04B,$0.04B,4.24%,$1.04B,$0.11B,10.70%,$1.04B,$0.04B,4.05%,$1.04B,$0.03B,3.28%,$0.03B,$0.25B,13.04%,$0.03B,$0.24B,13.27%,$0.03B,$0.69B,4.87%,$0.04B,$0.44B,10.11%,$247,$66,$181,$0,$160,$245,$2,$-1,$1,$-2,$2,$2,$2,$19,$2,$21,22,$0.11,$0.11,$29,$10,$0,$60,$599,$0,$5,$29,$633,$693,$108,$194,$23,$340,$448,$0,$177,$0,$245,$693,$21,$51,$9,$60,$3,$-0,$-5,$1,$-13,$69,$-53,$0,$0,$0,$0,$0,$0,$-53,$0,$46,$46,$-56,$-56,$0,$-0,$-11,$6,$5,$0
5,2017-06-30,36.89,$12.36,2.98,$44.10,0.84,$2.60,14.19,$1.71,21.57,$0.07B,$0.12B,0.55,$0.17B,$0.27B,0.65,$1.02B,$0.76B,74.12%,$1.02B,$0.05B,4.98%,$1.02B,$0.05B,4.98%,$1.02B,$0.12B,11.43%,$1.02B,$0.05B,4.88%,$1.02B,$0.04B,3.81%,$0.04B,$0.27B,14.09%,$0.04B,$0.26B,14.34%,$0.04B,$0.71B,5.59%,$0.05B,$0.44B,11.87%,$266,$70,$196,$0,$164,$253,$12,$-1,$12,$2,$10,$10,$10,$29,$12,$22,22,$0.45,$0.44,$23,$10,$0,$66,$607,$0,$5,$29,$641,$707,$121,$173,$21,$320,$441,$0,$199,$0,$266,$707,$19,$34,$8,$42,$-8,$-0,$-1,$1,$-9,$52,$-45,$0,$0,$0,$0,$0,$0,$-45,$0,$25,$25,$-31,$-31,$0,$-0,$-7,$-0,$4,$0
6,2017-03-31,40.01,$11.90,3.36,$42.25,0.95,$3.16,12.65,$1.83,21.86,$0.06B,$0.12B,0.5,$0.18B,$0.26B,0.71,$1.01B,$0.75B,74.50%,$1.01B,$0.06B,5.85%,$1.01B,$0.06B,5.85%,$1.01B,$0.12B,12.30%,$1.01B,$0.06B,5.65%,$1.01B,$0.04B,4.27%,$0.04B,$0.26B,14.79%,$0.04B,$0.25B,15.05%,$0.04B,$0.70B,6.22%,$0.06B,$0.44B,13.94%,$258,$65,$192,$0,$162,$245,$13,$-0,$13,$4,$9,$9,$9,$30,$13,$22,22,$0.42,$0.42,$24,$10,$0,$57,$610,$0,$5,$28,$642,$699,$115,$183,$21,$328,$442,$0,$191,$0,$257,$699,$9,$17,$4,$21,$2,$-0,$2,$-0,$-9,$21,$-26,$0,$0,$0,$0,$0,$0,$-26,$0,$35,$35,$-29,$-29,$0,$-0,$6,$1,$2,$0
7,2016-12-31,38.92,$12.31,3.16,$40.55,0.96,$4.25,9.16,$1.88,20.7,$0.06B,$0.13B,0.47,$0.15B,$0.28B,0.54,$0.99B,$0.74B,74.72%,$0.99B,$0.06B,6.24%,$0.99B,$0.06B,6.24%,$0.99B,$0.13B,12.69%,$0.99B,$0.06B,6.04%,$0.99B,$0.05B,4.63%,$0.05B,$0.28B,15.18%,$0.05B,$0.27B,15.44%,$0.05B,$0.69B,6.72%,$0.06B,$0.42B,14.98%,$266,$68,$197,$0,$164,$249,$17,$-0,$16,$3,$13,$13,$13,$33,$17,$24,24,$0.56,$0.55,$23,$10,$0,$59,$601,$0,$5,$27,$633,$691,$126,$148,$21,$291,$416,$0,$209,$0,$275,$691,$46,$64,$16,$80,$10,$-1,$1,$-7,$13,$138,$-105,$0,$0,$0,$0,$0,$0,$-105,$0,$48,$48,$-93,$-93,$0,$0,$-45,$-12,$6,$0
8,2016-09-30,35.2,$13.06,2.69,$38.48,0.91,$4.57,7.71,$1.76,20.0,$0.07B,$0.12B,0.55,$0.11B,$0.31B,0.35,$0.96B,$0.72B,75.10%,$0.96B,$0.06B,6.35%,$0.96B,$0.06B,6.35%,$0.96B,$0.12B,12.92%,$0.96B,$0.06B,6.15%,$0.96B,$0.04B,4.58%,$0.04B,$0.31B,14.05%,$0.04B,$0.30B,14.26%,$0.04B,$0.70B,6.45%,$0.06B,$0.42B,14.80%,$234,$60,$174,$0,$148,$225,$9,$0,$9,$2,$7,$7,$7,$25,$9,$24,24,$0.30,$0.30,$26,$10,$0,$67,$598,$0,$5,$25,$628,$695,$123,$109,$19,$264,$386,$0,$243,$0,$309,$695,$33,$48,$11,$59,$13,$-1,$-3,$3,$17,$109,$-81,$0,$0,$0,$0,$0,$0,$-81,$0,$9,$9,$-45,$-45,$0,$0,$-37,$-9,$5,$0
9,2016-06-30,43.4,$13.33,3.26,$37.77,1.15,$4.97,8.74,$1.94,22.37,$0.07B,$0.11B,0.6,$0.09B,$0.32B,0.28,$0.96B,$0.72B,75.39%,$0.96B,$0.07B,7.23%,$0.96B,$0.07B,7.23%,$0.96B,$0.13B,13.72%,$0.96B,$0.07B,6.91%,$0.96B,$0.05B,5.13%,$0.05B,$0.32B,15.34%,$0.05B,$0.32B,15.57%,$0.05B,$0.68B,7.26%,$0.07B,$0.41B,16.91%,$250,$63,$188,$0,$151,$231,$20,$-0,$19,$5,$14,$14,$14,$36,$20,$24,25,$0.57,$0.56,$23,$9,$0,$68,$584,$0,$5,$24,$612,$680,$114,$91,$19,$244,$358,$0,$257,$0,$322,$680,$25,$32,$9,$41,$10,$-1,$-5,$1,$5,$71,$-50,$0,$0,$0,$0,$0,$0,$-50,$0,$-10,$-10,$-23,$-23,$0,$0,$-33,$-12,$3,$0
