,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,24.05,$8.24,2.92,$18.81,1.28,$4.02,5.98,$1.98,12.15,$0.38B,$0.09B,4.06,$0.00B,$0.40B,0.0,$0.91B,$0.38B,42.04%,$0.91B,$0.14B,14.82%,$0.91B,$0.14B,14.82%,$0.91B,$0.17B,18.55%,$0.91B,$0.14B,15.48%,$0.91B,$0.10B,10.54%,$0.10B,$0.40B,23.41%,$0.10B,$0.40B,23.41%,$0.10B,$0.55B,17.38%,$0.14B,$0.40B,32.93%,$201,$122,$79,$0,$59,$181,$20,$1,$21,$5,$16,$16,$16,$29,$20,$48,49,$0.32,$0.32,$221,$128,$0,$379,$141,$17,$0,$7,$166,$545,$93,$0,$0,$48,$141,$0,$256,$0,$404,$545,$34,$17,$-0,$17,$1,$-10,$17,$-6,$-20,$31,$-6,$0,$0,$0,$4,$4,$0,$-2,$0,$0,$0,$0,$0,$-25,$0,$-25,$4,$0,$-25
1,2018-04-30,22.81,$8.14,2.8,$18.72,1.22,$3.97,5.75,$1.90,12.0,$0.37B,$0.09B,4.05,$0.00B,$0.40B,0.0,$0.91B,$0.38B,41.72%,$0.91B,$0.13B,14.57%,$0.91B,$0.13B,14.57%,$0.91B,$0.17B,18.43%,$0.91B,$0.14B,15.23%,$0.91B,$0.09B,10.04%,$0.09B,$0.40B,21.76%,$0.09B,$0.40B,21.76%,$0.09B,$0.54B,16.26%,$0.13B,$0.40B,31.56%,$205,$125,$80,$0,$56,$182,$23,$1,$25,$6,$18,$18,$18,$32,$23,$48,49,$0.38,$0.38,$223,$118,$0,$368,$146,$18,$0,$7,$171,$538,$91,$0,$0,$48,$139,$0,$253,$-0,$399,$538,$18,$8,$-0,$8,$1,$-0,$-3,$-5,$-7,$19,$-3,$0,$0,$0,$-0,$-0,$0,$-4,$0,$0,$0,$0,$0,$-12,$0,$-12,$3,$0,$-12
2,2018-01-31,19.62,$8.01,2.45,$18.89,1.04,$4.14,4.73,$1.86,10.55,$0.36B,$0.10B,3.68,$0.00B,$0.39B,0.0,$0.91B,$0.38B,41.62%,$0.91B,$0.13B,14.68%,$0.91B,$0.13B,14.68%,$0.91B,$0.17B,18.62%,$0.91B,$0.14B,15.22%,$0.91B,$0.09B,9.75%,$0.09B,$0.39B,20.82%,$0.09B,$0.39B,20.82%,$0.09B,$0.54B,15.59%,$0.13B,$0.39B,31.35%,$281,$148,$133,$0,$73,$220,$61,$3,$63,$21,$42,$42,$42,$69,$61,$48,48,$0.87,$0.86,$216,$118,$0,$361,$150,$21,$0,$7,$178,$538,$98,$0,$0,$49,$147,$0,$247,$-0,$391,$538,$90,$36,$1,$37,$-0,$8,$5,$-17,$-7,$120,$-13,$0,$0,$0,$-4,$-4,$0,$-17,$0,$0,$0,$0,$0,$-134,$0,$-134,$-31,$0,$-134
3,2017-10-31,14.73,$9.13,1.61,$18.88,0.78,$4.38,3.36,$1.73,8.51,$0.41B,$0.09B,4.4,$0.00B,$0.45B,0.0,$0.91B,$0.37B,40.90%,$0.91B,$0.13B,14.04%,$0.91B,$0.13B,14.04%,$0.91B,$0.17B,18.20%,$0.91B,$0.13B,14.58%,$0.91B,$0.08B,9.10%,$0.08B,$0.45B,18.97%,$0.08B,$0.45B,18.97%,$0.08B,$0.59B,14.27%,$0.13B,$0.45B,29.26%,$224,$133,$91,$0,$60,$193,$31,$1,$32,$12,$20,$20,$20,$39,$31,$48,48,$0.41,$0.41,$257,$129,$0,$406,$156,$18,$0,$8,$182,$588,$92,$0,$0,$50,$142,$0,$302,$-0,$446,$588,$48,$27,$-1,$26,$-0,$-3,$16,$-9,$-15,$59,$-11,$0,$0,$0,$-2,$-2,$0,$-13,$0,$0,$0,$0,$0,$-37,$0,$-37,$9,$0,$-37
4,2017-07-31,15.06,$8.95,1.68,$19.20,0.78,$4.17,3.62,$1.80,8.37,$0.39B,$0.09B,4.51,$0.00B,$0.44B,0.0,$0.93B,$0.38B,40.88%,$0.93B,$0.13B,14.46%,$0.93B,$0.13B,14.46%,$0.93B,$0.17B,18.66%,$0.93B,$0.14B,14.89%,$0.93B,$0.09B,9.28%,$0.09B,$0.44B,19.69%,$0.09B,$0.44B,19.69%,$0.09B,$0.57B,14.83%,$0.13B,$0.44B,30.68%,$196,$122,$74,$0,$57,$178,$17,$1,$18,$7,$11,$11,$11,$27,$17,$48,48,$0.24,$0.24,$244,$122,$0,$388,$160,$18,$0,$7,$186,$574,$86,$0,$0,$50,$136,$0,$294,$-0,$437,$574,$28,$19,$-1,$18,$-0,$4,$15,$-8,$-17,$29,$-7,$0,$0,$0,$2,$2,$0,$-6,$0,$0,$0,$0,$0,$-24,$0,$-24,$-1,$0,$-24
5,2017-04-30,16.23,$8.93,1.82,$19.55,0.83,$4.28,3.79,$1.88,8.63,$0.40B,$0.10B,4.11,$0.00B,$0.44B,0.0,$0.94B,$0.39B,40.83%,$0.94B,$0.14B,14.95%,$0.94B,$0.14B,14.95%,$0.94B,$0.18B,19.09%,$0.94B,$0.15B,15.38%,$0.94B,$0.09B,9.54%,$0.09B,$0.44B,20.68%,$0.09B,$0.44B,20.68%,$0.09B,$0.58B,15.48%,$0.14B,$0.44B,32.40%,$212,$131,$82,$0,$57,$187,$25,$1,$26,$10,$16,$16,$16,$35,$25,$48,48,$0.34,$0.34,$261,$119,$0,$396,$165,$15,$0,$7,$187,$584,$97,$0,$0,$51,$147,$0,$295,$-0,$436,$584,$16,$10,$-0,$9,$-0,$6,$7,$-5,$3,$28,$-4,$0,$0,$0,$-1,$-1,$0,$-5,$0,$0,$0,$0,$0,$-12,$0,$-12,$11,$0,$-12
6,2017-01-31,18.11,$8.85,2.05,$20.21,0.9,$3.87,4.68,$2.02,8.97,$0.39B,$0.10B,3.92,$0.00B,$0.43B,0.0,$0.98B,$0.40B,40.82%,$0.98B,$0.15B,15.59%,$0.98B,$0.15B,15.59%,$0.98B,$0.19B,19.59%,$0.98B,$0.16B,16.00%,$0.98B,$0.10B,9.95%,$0.10B,$0.43B,22.41%,$0.10B,$0.43B,22.41%,$0.10B,$0.58B,16.82%,$0.15B,$0.43B,35.12%,$280,$154,$126,$0,$70,$225,$55,$2,$57,$21,$36,$36,$36,$65,$55,$48,48,$0.75,$0.75,$247,$126,$0,$386,$169,$18,$0,$6,$193,$580,$99,$0,$0,$51,$149,$0,$291,$-0,$431,$580,$98,$38,$-1,$37,$4,$24,$-8,$-3,$14,$149,$-31,$0,$0,$0,$3,$3,$0,$-29,$0,$0,$0,$0,$0,$-85,$0,$-85,$35,$0,$-85
7,2016-10-31,17.07,$9.11,1.87,$21.30,0.8,$4.03,4.24,$2.41,7.08,$0.38B,$0.09B,4.38,$0.00B,$0.44B,0.0,$1.03B,$0.43B,41.67%,$1.03B,$0.18B,17.53%,$1.03B,$0.18B,17.53%,$1.03B,$0.22B,21.42%,$1.03B,$0.19B,18.11%,$1.03B,$0.12B,11.20%,$0.12B,$0.44B,26.85%,$0.12B,$0.44B,26.85%,$0.12B,$0.58B,20.00%,$0.18B,$0.44B,42.03%,$239,$142,$97,$0,$60,$202,$37,$0,$37,$14,$23,$23,$23,$46,$37,$48,48,$0.49,$0.48,$213,$148,$0,$382,$175,$20,$0,$5,$200,$582,$87,$0,$0,$51,$138,$0,$303,$-0,$443,$582,$62,$29,$-0,$28,$2,$1,$2,$-9,$-26,$64,$-27,$0,$0,$0,$1,$1,$0,$-26,$0,$0,$0,$0,$0,$-36,$0,$-36,$2,$0,$-36
8,2016-07-31,22.17,$8.86,2.5,$22.15,1.0,$3.72,5.95,$2.67,8.3,$0.37B,$0.10B,3.93,$0.00B,$0.43B,0.0,$1.07B,$0.45B,41.95%,$1.07B,$0.20B,18.63%,$1.07B,$0.20B,18.63%,$1.07B,$0.24B,22.28%,$1.07B,$0.21B,19.29%,$1.07B,$0.13B,11.99%,$0.13B,$0.43B,30.31%,$0.13B,$0.43B,30.31%,$0.13B,$0.58B,22.18%,$0.20B,$0.43B,47.13%,$212,$132,$80,$0,$56,$188,$24,$1,$25,$9,$15,$15,$15,$34,$24,$48,48,$0.32,$0.32,$207,$144,$0,$374,$174,$28,$0,$4,$206,$580,$95,$0,$0,$54,$149,$0,$292,$-0,$431,$580,$39,$20,$-0,$20,$1,$5,$14,$-4,$-14,$44,$-17,$0,$0,$0,$4,$4,$0,$-13,$0,$0,$0,$0,$0,$-24,$0,$-24,$7,$0,$-24
9,2016-04-30,23.21,$8.75,2.65,$22.65,1.02,$3.36,6.91,$2.84,8.17,$0.36B,$0.09B,4.18,$0.00B,$0.43B,0.0,$1.09B,$0.46B,42.40%,$1.09B,$0.21B,19.41%,$1.09B,$0.21B,19.41%,$1.09B,$0.25B,22.99%,$1.09B,$0.22B,19.96%,$1.09B,$0.14B,12.45%,$0.14B,$0.43B,32.91%,$0.14B,$0.43B,32.91%,$0.14B,$0.57B,23.72%,$0.21B,$0.43B,51.30%,$244,$149,$95,$0,$58,$207,$36,$0,$37,$14,$23,$23,$23,$46,$36,$48,48,$0.48,$0.48,$193,$139,$0,$357,$172,$31,$0,$4,$207,$565,$85,$0,$0,$54,$139,$0,$289,$-0,$426,$565,$23,$10,$-0,$10,$1,$11,$-2,$-14,$-20,$12,$-8,$0,$0,$0,$-0,$-0,$-0,$-8,$0,$0,$0,$0,$0,$-12,$0,$-12,$-8,$0,$-12
