,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,1.14,$1.26,0.91,$3.57,0.32,$-0.73,0.0,$-1.64,0.0,$0.00B,$0.00B,0.98,$0.00B,$0.01B,0.53,$0.02B,$0.01B,53.33%,$0.02B,$-0.01B,-40.00%,$0.02B,$-0.01B,-40.00%,$0.02B,0,0.00%,$0.02B,$-0.01B,-40.00%,$0.02B,$-0.01B,-46.67%,$-0.01B,$0.01B,-75.68%,$-0.01B,$-0.00B,311.11%,$-0.01B,$0.01B,-43.75%,$-0.01B,$0.01B,-48.98%,$3,$2,$2,$0,$2,$8,$-5,$0,$-5,$0,$-5,$-5,$-5,$-0,$-5,$4,4,$-1.24,$-1.24,$0,$0,$0,$3,$0,$0,$8,$0,$8,$11,$3,$3,$0,$3,$6,$0,$-61,$-0,$5,$11,$-6,$5,$0,$5,$1,$0,$0,$-1,$-0,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$1,$-0,$1,$0,$0,$-0,$0,$1,$-0,$0,$0
1,2018-03-31,2.06,$2.45,0.84,$3.82,0.54,$-0.70,0.0,$-0.50,0.0,$0.00B,$0.00B,1.06,$0.00B,$0.01B,0.25,$0.02B,$0.01B,50.00%,$0.02B,$-0.00B,-6.25%,$0.02B,$-0.00B,-6.25%,$0.02B,0,0.00%,$0.02B,$-0.00B,-6.25%,$0.02B,$-0.00B,-12.50%,$-0.00B,$0.01B,-18.60%,$-0.00B,$-0.00B,114.29%,$-0.00B,$0.02B,-11.27%,$-0.00B,$0.01B,-7.27%,$4,$2,$2,$0,$2,$4,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$4,4,$-0.18,$-0.18,$1,$0,$0,$4,$0,$0,$13,$0,$13,$17,$4,$3,$0,$3,$7,$0,$-56,$-0,$10,$17,$-1,$0,$0,$1,$0,$0,$0,$-0,$0,$-0,$-0,$0,$0,$0,$0,$0,$0,$-0,$1,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,2017-12-31,2.43,$2.61,0.93,$3.89,0.62,$-0.65,0.0,$-0.47,0.0,$0.01B,$0.00B,1.34,$0.00B,$0.01B,0.29,$0.02B,$0.01B,50.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$-0.00B,-6.25%,$0.02B,$-0.00B,-12.50%,$-0.00B,$0.01B,-17.78%,$-0.00B,$-0.00B,133.33%,$-0.00B,$0.02B,-11.11%,$0.00B,$0.01B,0.00%,$4,$2,$2,$0,$2,$4,$-0,$-0,$-0,$0,$-0,$-0,$-1,$-0,$-0,$4,4,$-0.12,$-0.12,$1,$0,$0,$5,$0,$0,$13,$0,$13,$18,$4,$3,$0,$4,$7,$0,$-55,$-0,$11,$18,$-0,$0,$0,$0,$-0,$0,$0,$-0,$-0,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$1,$0,$1,$0,$0,$0,$0,$1,$0,$0,$0
3,2017-09-30,2.87,$2.68,1.07,$3.94,0.73,$-0.58,0.0,$-0.45,0.0,$0.00B,$0.00B,1.14,$0.00B,$0.01B,0.22,$0.02B,$0.01B,50.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$-0.00B,-6.25%,$0.02B,$-0.00B,-6.25%,$-0.00B,$0.01B,-8.70%,$-0.00B,$-0.00B,80.00%,$-0.00B,$0.02B,-5.56%,$0.00B,$0.01B,0.00%,$4,$2,$2,$0,$2,$4,$-0,$-0,$-0,$0,$-0,$-0,$-0,$-0,$-0,$4,4,$-0.09,$-0.09,$1,$0,$0,$4,$0,$0,$13,$0,$13,$18,$4,$3,$0,$3,$6,$0,$-54,$-0,$11,$18,$-2,$1,$1,$1,$-0,$0,$0,$0,$-1,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$0,$1,$1,$0,$-0,$1,$0,$1,$0
4,2017-06-30,2.8,$2.73,1.02,$4.89,0.57,$-1.84,0.0,$-1.35,0.0,$0.00B,$0.00B,1.12,$0.00B,$0.01B,0.2,$0.02B,$0.01B,50.00%,$0.02B,$-0.00B,-6.25%,$0.02B,$-0.00B,-6.25%,$0.02B,0,0.00%,$0.02B,$-0.01B,-31.25%,$0.02B,$-0.00B,-25.00%,$-0.00B,$0.01B,-34.04%,$-0.00B,$-0.00B,320.00%,$-0.00B,$0.02B,-22.22%,$-0.00B,$0.01B,-7.14%,$4,$2,$2,$0,$2,$4,$-0,$-0,$-0,$0,$-0,$-0,$-0,$-0,$-0,$4,4,$-0.10,$-0.10,$1,$0,$0,$4,$0,$0,$13,$0,$14,$18,$4,$2,$0,$3,$6,$0,$-54,$-0,$11,$18,$-1,$1,$0,$1,$-1,$0,$0,$0,$-1,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$0,$1,$1,$0,$-0,$1,$0,$0,$0
5,2017-03-31,4.17,$2.78,1.5,$5.76,0.72,$-2.45,0.0,$-2.30,0.0,$0.00B,$0.00B,1.14,$0.00B,$0.01B,0.19,$0.02B,$0.01B,50.00%,$0.02B,$-0.00B,-12.50%,$0.02B,$-0.00B,-12.50%,$0.02B,$-0.00B,-6.25%,$0.02B,$-0.01B,-43.75%,$0.02B,$-0.01B,-37.50%,$-0.01B,$0.01B,-54.55%,$-0.01B,$-0.00B,266.67%,$-0.01B,$0.02B,-33.80%,$-0.00B,$0.01B,-14.55%,$4,$2,$2,$0,$2,$4,$-0,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-0,$4,4,$-0.14,$-0.14,$1,$0,$0,$4,$0,$0,$13,$0,$14,$18,$3,$2,$0,$3,$6,$0,$-53,$-0,$12,$18,$-1,$0,$0,$1,$0,$0,$0,$0,$0,$-0,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$0,$1,$1,$0,$-0,$1,$1,$0,$0
6,2016-12-31,3.21,$2.90,1.11,$8.82,0.36,$-3.14,0.0,$-3.15,0.0,$0.00B,$0.00B,1.27,$0.00B,$0.01B,0.2,$0.02B,$0.01B,50.00%,$0.02B,$-0.00B,-18.75%,$0.02B,$-0.00B,-18.75%,$0.02B,$-0.00B,-6.25%,$0.02B,$-0.01B,-43.75%,$0.02B,$-0.01B,-37.50%,$-0.01B,$0.01B,-66.67%,$-0.01B,$-0.00B,141.18%,$-0.01B,$0.02B,-33.80%,$-0.00B,$0.01B,-25.00%,$4,$2,$2,$0,$2,$4,$-0,$-0,$-0,$0,$-0,$-0,$-0,$-0,$-0,$4,4,$-0.12,$-0.12,$1,$0,$0,$4,$0,$0,$13,$0,$14,$18,$3,$2,$0,$3,$6,$0,$-53,$-0,$12,$18,$-0,$0,$0,$0,$-0,$0,$0,$0,$-0,$-0,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$0,$1,$1,$0,$-0,$1,$1,$0,$0
7,2016-09-30,3.95,$3.09,1.28,$11.94,0.33,$-3.77,0.0,$-4.30,0.0,$0.00B,$0.00B,0.97,$0.00B,$0.01B,0.18,$0.02B,$0.01B,50.00%,$0.02B,$-0.00B,-25.00%,$0.02B,$-0.00B,-25.00%,$0.02B,$-0.00B,-12.50%,$0.02B,$-0.01B,-50.00%,$0.02B,$-0.01B,-43.75%,$-0.01B,$0.01B,-96.55%,$-0.01B,$-0.00B,112.00%,$-0.01B,$0.02B,-38.89%,$-0.00B,$0.01B,-34.04%,$4,$2,$2,$0,$2,$5,$-1,$-3,$-4,$-0,$-3,$-3,$-3,$-0,$-1,$2,2,$-0.92,$-0.92,$1,$0,$0,$4,$1,$0,$13,$0,$14,$18,$4,$2,$0,$3,$6,$0,$-52,$-0,$12,$18,$-8,$2,$4,$6,$-0,$0,$0,$-0,$-1,$-3,$-0,$0,$0,$0,$0,$0,$0,$-0,$-1,$0,$-0,$4,$4,$0,$-0,$3,$0,$0,$0
8,2016-06-30,5.3,$3.13,1.7,$15.20,0.35,$-5.65,0.0,$-16.25,0.0,$0.00B,$0.00B,0.66,$0.00B,$0.01B,0.52,$0.02B,$0.01B,47.06%,$0.02B,$-0.02B,-88.24%,$0.02B,$-0.02B,-88.24%,$0.02B,$-0.00B,-11.76%,$0.02B,$-0.02B,-94.12%,$0.02B,$-0.02B,-94.12%,$-0.02B,$0.01B,-278.26%,$-0.02B,$-0.01B,206.45%,$-0.02B,$0.02B,-87.67%,$-0.02B,$0.01B,-130.43%,$4,$2,$2,$0,$2,$5,$-1,$-1,$-2,$0,$-2,$-2,$-2,$-1,$-1,$2,2,$-1.03,$-1.03,$0,$0,$0,$3,$1,$0,$13,$1,$15,$17,$4,$4,$1,$5,$9,$0,$-49,$-0,$8,$17,$-4,$1,$1,$3,$0,$0,$0,$-0,$0,$-2,$-0,$0,$0,$0,$0,$0,$0,$-0,$-1,$0,$-0,$2,$2,$0,$-0,$2,$-0,$0,$0
9,2016-03-31,4.2,$3.79,1.11,$18.96,0.22,$-7.99,0.0,$-16.50,0.0,$0.00B,$0.01B,0.29,$0.00B,$0.00B,0.71,$0.02B,$0.01B,44.44%,$0.02B,$-0.02B,-83.33%,$0.02B,$-0.02B,-83.33%,$0.02B,$-0.00B,-5.56%,$0.02B,$-0.02B,-83.33%,$0.02B,$-0.02B,-83.33%,$-0.02B,$0.00B,-187.50%,$-0.02B,$-0.01B,176.47%,$-0.02B,$0.02B,-68.97%,$-0.02B,$0.01B,-105.26%,$4,$2,$2,$0,$2,$5,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$1,1,$-1.00,$-1.00,$0,$0,$0,$3,$1,$0,$13,$0,$15,$18,$10,$3,$1,$4,$14,$0,$-47,$-0,$4,$18,$-2,$1,$0,$1,$0,$0,$0,$0,$0,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$1,$0,$1,$1,$0,$-0,$1,$-0,$0,$0
