,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,16.9,$13.83,1.22,$3.35,5.04,$3.14,5.38,$0.41,41.22,$4.75B,$4.25B,1.12,$0.52B,$1.04B,0.5,$0.24B,$0.21B,87.50%,$0.24B,$0.06B,26.67%,$0.24B,0,0.00%,$0.24B,0,0.00%,$0.24B,$0.06B,25.83%,$0.24B,$0.03B,12.92%,$0.03B,$1.04B,3.02%,$0.03B,$0.88B,3.61%,$0.03B,$5.87B,0.53%,$0.06B,$1.55B,4.13%,$63,$8,$55,$0,$34,$44,$19,$-2,$17,$4,$12,$12,$12,$0,$0,$71,72,$0.17,$0.17,$843,$0,$0,$4745,$69,$749,$161,$144,$1123,$5868,$4247,$515,$68,$583,$4830,$1,$413,$-28,$1037,$5868,$34,$10,$9,$20,$18,$0,$-0,$-7,$12,$66,$-3,$0,$0,$-31,$144,$113,$86,$197,$-25,$0,$-25,$-11,$-11,$-31,$90,$22,$285,$10,$-31
1,2018-06-30,16.14,$13.65,1.18,$3.27,4.94,$3.09,5.22,$0.37,43.62,$4.59B,$4.16B,1.1,$0.52B,$1.02B,0.5,$0.23B,$0.20B,87.18%,$0.23B,$0.06B,25.64%,$0.23B,0,0.00%,$0.23B,0,0.00%,$0.23B,$0.06B,25.64%,$0.23B,$0.03B,11.97%,$0.03B,$1.02B,2.72%,$0.03B,$0.85B,3.27%,$0.03B,$5.77B,0.48%,$0.06B,$1.54B,3.86%,$60,$7,$53,$0,$34,$44,$16,$0,$16,$4,$12,$12,$12,$0,$0,$71,71,$0.16,$0.16,$587,$0,$0,$4585,$68,$816,$171,$129,$1185,$5770,$4161,$515,$72,$587,$4748,$1,$405,$-29,$1023,$5770,$22,$7,$8,$14,$11,$0,$-0,$-2,$10,$46,$-1,$0,$0,$-21,$68,$47,$-2,$44,$-25,$0,$-25,$-12,$-12,$-27,$4,$-60,$29,$7,$-27
2,2018-03-31,15.44,$13.50,1.14,$3.21,4.81,$3.06,5.04,$0.34,45.4,$4.58B,$4.19B,1.09,$0.52B,$1.02B,0.51,$0.23B,$0.20B,86.96%,$0.23B,$0.06B,25.22%,$0.23B,0,0.00%,$0.23B,0,0.00%,$0.23B,$0.06B,25.22%,$0.23B,$0.03B,10.87%,$0.03B,$1.02B,2.43%,$0.03B,$0.84B,2.91%,$0.03B,$5.79B,0.43%,$0.06B,$1.53B,3.71%,$57,$7,$50,$0,$35,$44,$13,$0,$13,$3,$10,$10,$10,$0,$0,$71,72,$0.13,$0.13,$603,$0,$0,$4581,$69,$843,$172,$124,$1208,$5789,$4188,$515,$70,$585,$4773,$1,$398,$-30,$1016,$5789,$10,$3,$5,$8,$4,$0,$-0,$-6,$0,$18,$-0,$0,$0,$-11,$36,$25,$25,$49,$-25,$0,$-25,$-10,$-10,$-23,$36,$-22,$45,$3,$-23
3,2017-12-31,16.01,$13.65,1.17,$3.19,5.03,$3.12,5.14,$0.32,50.03,$4.57B,$4.15B,1.1,$0.54B,$1.04B,0.52,$0.23B,$0.20B,87.22%,$0.23B,$0.06B,25.11%,$0.23B,0,0.00%,$0.23B,0,0.00%,$0.23B,$0.06B,25.11%,$0.23B,$0.02B,10.13%,$0.02B,$1.04B,2.23%,$0.02B,$0.86B,2.67%,$0.02B,$5.80B,0.39%,$0.06B,$1.58B,3.62%,$60,$8,$52,$0,$34,$44,$16,$0,$16,$19,$-3,$-3,$-3,$0,$0,$71,71,$-0.04,$-0.05,$558,$0,$0,$4566,$71,$871,$172,$120,$1233,$5799,$4150,$540,$73,$613,$4764,$1,$405,$-26,$1035,$5799,$24,$16,$44,$60,$19,$0,$0,$-2,$16,$99,$-2,$0,$0,$5,$195,$201,$-49,$150,$50,$0,$50,$3,$3,$-18,$-14,$21,$271,$15,$-18
4,2017-09-30,16.1,$13.71,1.17,$3.10,5.19,$2.59,6.23,$0.47,34.26,$4.48B,$4.17B,1.08,$0.54B,$1.04B,0.52,$0.22B,$0.19B,87.39%,$0.22B,$0.05B,24.32%,$0.22B,0,0.00%,$0.22B,0,0.00%,$0.22B,$0.05B,23.87%,$0.22B,$0.03B,15.32%,$0.03B,$1.04B,3.31%,$0.03B,$0.87B,3.98%,$0.03B,$5.82B,0.58%,$0.05B,$1.58B,3.47%,$57,$7,$49,$0,$32,$42,$15,$0,$15,$5,$9,$9,$9,$0,$0,$71,71,$0.13,$0.13,$477,$0,$0,$4483,$72,$951,$172,$140,$1334,$5818,$4171,$540,$68,$608,$4779,$1,$413,$-24,$1038,$5818,$27,$12,$12,$24,$16,$0,$0,$-8,$10,$61,$-1,$0,$0,$15,$109,$123,$-37,$85,$50,$0,$50,$2,$2,$-13,$6,$44,$190,$11,$-13
5,2017-06-30,14.49,$13.58,1.07,$3.06,4.73,$2.29,6.33,$0.48,30.19,$4.45B,$4.19B,1.06,$0.54B,$1.03B,0.53,$0.22B,$0.19B,88.13%,$0.22B,$0.05B,24.20%,$0.22B,0,0.00%,$0.22B,0,0.00%,$0.22B,$0.05B,24.20%,$0.22B,$0.04B,15.98%,$0.04B,$1.03B,3.42%,$0.04B,$0.86B,4.11%,$0.04B,$5.83B,0.61%,$0.05B,$1.57B,3.48%,$56,$7,$49,$0,$32,$42,$14,$0,$14,$5,$9,$9,$9,$0,$0,$71,71,$0.13,$0.13,$383,$0,$0,$4452,$73,$990,$172,$142,$1377,$5829,$4185,$540,$73,$614,$4799,$1,$408,$-24,$1030,$5829,$18,$8,$7,$16,$12,$0,$0,$-2,$10,$44,$-1,$0,$0,$-16,$100,$84,$-96,$-12,$50,$0,$50,$4,$4,$-9,$20,$65,$96,$7,$-9
6,2017-03-31,15.4,$13.46,1.14,$2.98,5.17,$2.00,7.69,$0.39,39.49,$4.45B,$4.22B,1.06,$0.54B,$1.03B,0.53,$0.21B,$0.19B,88.73%,$0.21B,$0.05B,24.41%,$0.21B,0,0.00%,$0.21B,0,0.00%,$0.21B,$0.04B,20.66%,$0.21B,$0.03B,13.62%,$0.03B,$1.03B,2.83%,$0.03B,$0.86B,3.41%,$0.03B,$5.86B,0.51%,$0.05B,$1.57B,3.52%,$54,$7,$48,$0,$33,$43,$12,$0,$12,$4,$8,$8,$8,$0,$0,$70,71,$0.11,$0.11,$420,$0,$0,$4450,$74,$1021,$173,$144,$1412,$5862,$4219,$540,$73,$613,$4832,$1,$403,$-25,$1030,$5862,$8,$4,$5,$9,$9,$0,$0,$-8,$4,$22,$-0,$0,$0,$-8,$62,$54,$-55,$-2,$50,$0,$50,$10,$10,$-4,$58,$113,$133,$4,$-4
7,2016-12-31,17.65,$13.40,1.32,$2.76,6.4,$1.82,9.7,$0.35,50.42,$4.27B,$4.16B,1.03,$0.49B,$1.01B,0.48,$0.20B,$0.18B,89.05%,$0.20B,$0.05B,23.88%,$0.20B,0,0.00%,$0.20B,0,0.00%,$0.20B,$0.04B,19.40%,$0.20B,$0.03B,12.94%,$0.03B,$1.01B,2.53%,$0.03B,$0.84B,3.00%,$0.03B,$5.74B,0.48%,$0.05B,$1.50B,3.44%,$55,$7,$48,$0,$32,$42,$13,$0,$12,$5,$8,$8,$8,$0,$0,$72,73,$0.09,$0.09,$287,$0,$0,$4271,$75,$1075,$174,$143,$1468,$5739,$4158,$490,$76,$567,$4725,$1,$400,$-26,$1014,$5739,$25,$18,$16,$34,$-3,$0,$1,$8,$5,$64,$-3,$0,$-80,$-1,$340,$339,$-548,$-292,$300,$0,$300,$-128,$-128,$-9,$117,$280,$53,$9,$-9
8,2016-09-30,14.05,$13.41,1.05,$2.54,5.54,$1.48,9.47,$0.31,45.33,$4.05B,$4.06B,1.0,$0.42B,$1.02B,0.41,$0.19B,$0.17B,89.36%,$0.19B,$0.04B,22.87%,$0.19B,0,0.00%,$0.19B,0,0.00%,$0.19B,$0.04B,18.62%,$0.19B,$0.02B,12.23%,$0.02B,$1.02B,2.18%,$0.02B,$0.85B,2.55%,$0.02B,$5.58B,0.44%,$0.04B,$1.44B,3.20%,$54,$6,$48,$0,$31,$40,$14,$1,$15,$5,$10,$10,$10,$0,$0,$71,72,$0.14,$0.14,$186,$0,$0,$4046,$77,$1131,$174,$152,$1534,$5580,$4063,$415,$78,$494,$4557,$1,$396,$-18,$1023,$5580,$18,$13,$5,$18,$-4,$0,$0,$5,$5,$41,$-3,$0,$-80,$9,$284,$293,$-425,$-214,$225,$0,$225,$-118,$-118,$-4,$22,$125,$-48,$5,$-4
9,2016-06-30,12.1,$13.31,0.91,$2.31,5.24,$1.32,9.15,$0.24,50.4,$3.87B,$4.04B,0.96,$0.37B,$1.03B,0.36,$0.18B,$0.16B,89.20%,$0.18B,$0.04B,21.59%,$0.18B,0,0.00%,$0.18B,0,0.00%,$0.18B,$0.03B,16.48%,$0.18B,$0.02B,10.80%,$0.02B,$1.03B,1.77%,$0.02B,$0.85B,2.03%,$0.02B,$5.51B,0.38%,$0.04B,$1.40B,2.90%,$50,$6,$45,$0,$28,$37,$13,$-9,$5,$2,$3,$3,$3,$0,$0,$71,72,$0.04,$0.04,$103,$0,$0,$3874,$78,$1236,$175,$152,$1640,$5514,$4041,$370,$77,$447,$4488,$1,$391,$-17,$1026,$5514,$8,$9,$3,$12,$-2,$0,$0,$8,$6,$25,$-2,$0,$-80,$-18,$209,$191,$-338,$-229,$180,$0,$180,$-107,$-107,$0,$-0,$73,$-130,$2,$0
