,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,97.28,$55.41,1.76,$27.21,3.58,$-19.41,0.0,$6.26,15.54,$21.87B,$22.66B,0.97,$6.17B,$3.63B,1.7,$1.77B,$1.56B,88.56%,$1.77B,$0.56B,31.48%,$1.77B,0,0.00%,$1.77B,0,0.00%,$1.77B,$0.56B,31.88%,$1.77B,$0.41B,22.99%,$0.41B,$3.63B,11.41%,$0.41B,$2.86B,14.46%,$0.41B,$33.29B,1.22%,$0.56B,$9.80B,5.91%,$471,$62,$409,$0,$255,$319,$152,$0,$152,$35,$118,$118,$117,$0,$0,$65,65,$1.79,$1.79,$2860,$0,$0,$21873,$327,$9559,$765,$765,$11416,$33290,$22655,$6170,$173,$6343,$29664,$0,$3297,$-162,$3626,$33290,$338,$61,$11,$72,$-203,$-848,$67,$186,$-799,$-389,$15,$0,$-14,$0,$122,$122,$-1159,$-1036,$1036,$-195,$841,$-9,$-9,$-91,$-386,$355,$-1071,$6,$-91
1,2018-06-30,93.54,$54.65,1.71,$26.61,3.52,$-16.51,0.0,$5.78,16.18,$22.20B,$23.21B,0.96,$6.07B,$3.58B,1.7,$1.73B,$1.55B,89.75%,$1.73B,$0.53B,30.82%,$1.73B,0,0.00%,$1.73B,0,0.00%,$1.73B,$0.54B,31.23%,$1.73B,$0.38B,21.73%,$0.38B,$3.58B,10.62%,$0.38B,$2.82B,13.45%,$0.38B,$33.83B,1.13%,$0.53B,$9.65B,5.64%,$451,$56,$395,$0,$245,$302,$148,$0,$148,$33,$115,$115,$114,$0,$0,$65,65,$1.75,$1.75,$3368,$0,$0,$22198,$321,$9758,$760,$796,$11635,$33833,$23210,$6074,$167,$6241,$30257,$0,$3213,$-135,$3576,$33833,$221,$40,$2,$42,$-337,$-1175,$-4,$317,$-1199,$-937,$-25,$0,$-14,$0,$55,$55,$-880,$-864,$1057,$-219,$838,$-9,$-9,$-58,$172,$942,$-858,$2,$-58
2,2018-03-31,98.06,$53.73,1.83,$26.11,3.76,$2.15,45.63,$5.38,18.23,$21.71B,$22.91B,0.95,$5.87B,$3.52B,1.67,$1.69B,$1.54B,91.08%,$1.69B,$0.52B,30.79%,$1.69B,0,0.00%,$1.69B,0,0.00%,$1.69B,$0.53B,31.21%,$1.69B,$0.35B,20.63%,$0.35B,$3.52B,9.97%,$0.35B,$2.77B,12.63%,$0.35B,$33.36B,1.07%,$0.52B,$9.39B,5.65%,$421,$46,$376,$0,$238,$285,$136,$0,$136,$31,$105,$105,$106,$0,$0,$65,65,$1.61,$1.61,$3892,$0,$0,$21713,$314,$9805,$752,$777,$11649,$33361,$22908,$5872,$737,$6609,$29844,$0,$3128,$-111,$3517,$33361,$105,$20,$-7,$13,$-36,$-589,$-9,$366,$-266,$-148,$-15,$0,$0,$0,$-17,$-17,$-149,$-181,$544,$-81,$463,$-7,$-7,$-29,$185,$612,$282,$3,$-29
3,2017-12-31,91.0,$53.80,1.69,$25.74,3.54,$2.69,33.81,$5.12,17.77,$20.44B,$22.80B,0.9,$5.28B,$3.52B,1.5,$1.67B,$1.54B,92.09%,$1.67B,$0.51B,30.70%,$1.67B,0,0.00%,$1.67B,0,0.00%,$1.67B,$0.52B,31.12%,$1.67B,$0.33B,19.84%,$0.33B,$3.52B,9.56%,$0.33B,$2.79B,12.12%,$0.33B,$32.27B,1.02%,$0.51B,$8.80B,5.65%,$423,$39,$384,$0,$263,$303,$120,$0,$127,$54,$72,$72,$69,$0,$0,$65,65,$1.10,$1.10,$2780,$0,$0,$20443,$317,$10079,$729,$704,$11829,$32272,$22801,$5280,$162,$5442,$28754,$0,$3048,$-36,$3518,$32272,$336,$83,$51,$134,$394,$-804,$18,$138,$-255,$215,$23,$0,$0,$0,$384,$384,$332,$740,$-11,$127,$116,$-3,$-3,$-116,$-1172,$-1175,$-220,$24,$-116
4,2017-09-30,87.33,$53.69,1.63,$24.74,3.53,$-2.41,0.0,$4.77,18.31,$20.87B,$22.39B,0.93,$6.39B,$3.51B,1.82,$1.60B,$1.49B,92.89%,$1.60B,$0.46B,28.93%,$1.60B,0,0.00%,$1.60B,0,0.00%,$1.60B,$0.46B,28.93%,$1.60B,$0.31B,19.39%,$0.31B,$3.51B,9.12%,$0.31B,$2.78B,11.63%,$0.31B,$33.01B,0.95%,$0.46B,$9.90B,5.19%,$431,$37,$394,$0,$264,$303,$128,$0,$128,$42,$86,$86,$86,$0,$0,$65,65,$1.31,$1.31,$3088,$0,$0,$20867,$320,$10369,$732,$717,$12138,$33006,$22391,$6386,$202,$6588,$29491,$0,$2999,$7,$3514,$33006,$263,$61,$42,$103,$481,$-1020,$-0,$-5,$-544,$-177,$-8,$0,$0,$0,$386,$386,$-45,$333,$958,$146,$1104,$3,$3,$-86,$-1240,$-219,$-64,$17,$-86
5,2017-06-30,82.05,$52.68,1.56,$24.17,3.39,$-7.51,0.0,$4.59,17.87,$20.63B,$22.91B,0.9,$5.38B,$3.45B,1.56,$1.57B,$1.47B,93.69%,$1.57B,$0.44B,28.22%,$1.57B,0,0.00%,$1.57B,0,0.00%,$1.57B,$0.44B,28.22%,$1.57B,$0.30B,19.04%,$0.30B,$3.45B,8.82%,$0.30B,$2.72B,11.16%,$0.30B,$32.26B,0.92%,$0.44B,$8.83B,4.92%,$417,$30,$387,$0,$249,$281,$137,$0,$137,$48,$89,$89,$88,$0,$0,$65,65,$1.35,$1.35,$3082,$0,$0,$20631,$321,$9868,$733,$711,$11633,$32264,$22914,$5377,$206,$5583,$28814,$0,$2942,$8,$3450,$32264,$178,$41,$20,$61,$492,$-473,$-20,$-10,$-10,$228,$21,$0,$0,$0,$410,$410,$235,$667,$65,$53,$118,$1,$1,$-57,$-854,$-792,$103,$9,$-57
6,2017-03-31,75.93,$51.54,1.47,$23.67,3.21,$-7.32,0.0,$4.24,17.91,$20.84B,$23.27B,0.9,$5.38B,$3.37B,1.6,$1.54B,$1.45B,94.22%,$1.54B,$0.40B,26.15%,$1.54B,0,0.00%,$1.54B,0,0.00%,$1.54B,$0.40B,26.15%,$1.54B,$0.28B,17.91%,$0.28B,$3.37B,8.17%,$0.28B,$2.63B,10.24%,$0.28B,$32.63B,0.85%,$0.40B,$8.75B,4.38%,$397,$25,$371,$0,$243,$270,$127,$0,$127,$38,$89,$89,$88,$0,$0,$65,65,$1.35,$1.35,$3444,$0,$0,$20841,$326,$9987,$738,$738,$11788,$32629,$23272,$5384,$189,$5573,$29258,$0,$2883,$-5,$3371,$32629,$89,$21,$6,$28,$429,$-705,$-6,$-2,$-285,$-169,$41,$0,$0,$0,$270,$270,$376,$686,$192,$88,$280,$-0,$-0,$-29,$-538,$-288,$230,$2,$-29
7,2016-12-31,80.12,$50.60,1.58,$23.04,3.48,$-5.80,0.0,$3.53,22.7,$20.70B,$23.62B,0.88,$4.99B,$3.31B,1.51,$1.50B,$1.42B,94.54%,$1.50B,$0.34B,22.49%,$1.50B,0,0.00%,$1.50B,0,0.00%,$1.50B,$0.34B,22.49%,$1.50B,$0.23B,15.30%,$0.23B,$3.31B,6.82%,$0.23B,$2.56B,8.45%,$0.23B,$32.77B,0.71%,$0.34B,$8.30B,3.63%,$359,$22,$338,$0,$264,$287,$72,$0,$72,$22,$50,$50,$49,$0,$0,$65,65,$0.76,$0.76,$2875,$0,$0,$20701,$326,$10297,$743,$706,$12072,$32772,$23621,$4991,$183,$5173,$29466,$0,$2823,$-11,$3306,$32772,$232,$89,$117,$205,$-591,$150,$44,$-132,$-530,$-92,$-1,$0,$56,$0,$351,$351,$-692,$-286,$-688,$-39,$-728,$-54,$-54,$-113,$1167,$272,$-106,$10,$-113
8,2016-09-30,66.15,$52.08,1.27,$22.69,2.92,$-1.03,0.0,$3.66,18.07,$20.50B,$21.90B,0.94,$6.68B,$3.43B,1.95,$1.49B,$1.42B,94.85%,$1.49B,$0.35B,23.63%,$1.49B,0,0.00%,$1.49B,0,0.00%,$1.49B,$0.35B,23.63%,$1.49B,$0.24B,16.06%,$0.24B,$3.43B,7.13%,$0.24B,$2.80B,8.77%,$0.24B,$32.78B,0.75%,$0.35B,$10.11B,3.79%,$397,$21,$375,$0,$267,$290,$107,$0,$107,$32,$75,$75,$74,$0,$0,$65,65,$1.13,$1.13,$3164,$0,$0,$20501,$318,$10620,$628,$712,$12278,$32779,$21900,$6678,$194,$6872,$29347,$0,$2802,$96,$3432,$32779,$182,$67,$120,$187,$-617,$-204,$28,$-67,$-861,$-491,$-28,$0,$-8,$0,$335,$335,$-610,$-311,$935,$-145,$789,$-12,$-12,$-85,$83,$776,$-27,$8,$-85
9,2016-06-30,59.75,$51.66,1.16,$21.87,2.73,$8.40,7.11,$3.62,16.51,$19.53B,$21.49B,0.91,$6.20B,$3.40B,1.82,$1.45B,$1.38B,95.19%,$1.45B,$0.36B,24.48%,$1.45B,0,0.00%,$1.45B,0,0.00%,$1.45B,$0.36B,24.48%,$1.45B,$0.24B,16.51%,$0.24B,$3.40B,7.14%,$0.24B,$2.79B,8.79%,$0.24B,$31.97B,0.77%,$0.36B,$9.61B,4.02%,$388,$20,$368,$0,$269,$291,$97,$0,$97,$30,$66,$66,$65,$0,$0,$65,65,$1.00,$1.00,$2618,$0,$0,$19529,$315,$10858,$617,$652,$12442,$31970,$21487,$6203,$147,$6350,$28568,$0,$2756,$118,$3403,$31970,$107,$45,$98,$143,$-128,$90,$20,$-48,$-65,$185,$79,$0,$-8,$0,$395,$395,$-895,$-429,$405,$-194,$211,$-15,$-15,$-57,$-132,$6,$-237,$6,$-57
10,2016-03-31,51.67,$50.73,1.02,$21.33,2.42,$4.56,11.33,$3.77,13.71,$18.89B,$21.26B,0.89,$5.86B,$3.36B,1.75,$1.43B,$1.37B,95.40%,$1.43B,$0.38B,26.50%,$1.43B,0,0.00%,$1.43B,0,0.00%,$1.43B,$0.38B,26.50%,$1.43B,$0.25B,17.64%,$0.25B,$3.36B,7.52%,$0.25B,$2.73B,9.27%,$0.25B,$31.41B,0.81%,$0.38B,$9.22B,4.50%,$359,$19,$340,$0,$276,$297,$62,$0,$62,$21,$41,$41,$42,$0,$0,$65,65,$0.64,$0.64,$2592,$0,$0,$18887,$311,$10986,$625,$606,$12527,$31414,$21260,$5860,$212,$6073,$28058,$0,$2718,$93,$3356,$31414,$41,$22,$55,$77,$-19,$-132,$-13,$53,$-111,$7,$-37,$0,$-8,$0,$289,$289,$-213,$31,$247,$-73,$173,$1,$1,$-28,$-515,$-369,$-331,$2,$-28
