,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,131.95,$10.57,12.49,$36.38,3.63,$6.45,20.45,$3.14,42.02,$0.97B,$0.57B,1.69,$1.14B,$1.23B,0.93,$4.38B,$1.20B,27.32%,$4.38B,$0.61B,13.91%,$4.38B,$0.61B,13.91%,$4.38B,$0.84B,19.12%,$4.38B,$0.58B,13.16%,$4.38B,$0.46B,10.39%,$0.46B,$1.23B,39.88%,$0.46B,$-0.50B,-79.37%,$0.46B,$3.38B,13.56%,$0.61B,$2.38B,26.51%,$973,$739,$234,$0,$134,$873,$100,$-11,$89,$13,$77,$77,$77,$165,$100,$116,120,$0.66,$0.64,$205,$0,$113,$968,$193,$0,$1729,$493,$2414,$3382,$573,$1144,$208,$1574,$2148,$2,$1850,$-64,$1234,$3382,$77,$65,$9,$74,$-1,$0,$-199,$-41,$-241,$-96,$-16,$0,$0,$0,$0,$0,$-1,$-16,$90,$0,$90,$7,$7,$-43,$0,$54,$-59,$11,$-43
1,2018-06-30,115.1,$9.41,12.23,$35.97,3.2,$6.30,18.27,$3.56,32.33,$0.99B,$0.78B,1.28,$1.05B,$1.09B,0.96,$4.33B,$1.16B,26.81%,$4.33B,$0.59B,13.72%,$4.33B,$0.59B,13.72%,$4.33B,$0.81B,18.64%,$4.33B,$0.56B,12.96%,$4.33B,$0.43B,9.88%,$0.43B,$1.09B,39.19%,$0.43B,$-0.66B,-71.13%,$0.43B,$3.31B,12.91%,$0.59B,$2.15B,26.00%,$1320,$871,$450,$0,$185,$1056,$265,$-7,$258,$51,$207,$207,$207,$321,$265,$117,120,$1.77,$1.72,$264,$0,$112,$991,$204,$0,$1749,$361,$2314,$3305,$777,$1053,$247,$1433,$2210,$2,$1727,$-52,$1094,$3305,$428,$212,$46,$258,$-19,$0,$43,$38,$29,$694,$-98,$-40,$-108,$0,$0,$0,$-3,$-249,$-50,$0,$-50,$-225,$-225,$-166,$-9,$-450,$-7,$55,$-166
2,2018-03-31,109.34,$9.90,11.04,$36.15,3.03,$4.68,23.36,$3.41,32.07,$1.20B,$0.77B,1.57,$1.20B,$1.16B,1.04,$4.36B,$1.15B,26.33%,$4.36B,$0.63B,14.39%,$4.36B,$0.63B,14.39%,$4.36B,$0.83B,19.10%,$4.36B,$0.59B,13.50%,$4.36B,$0.41B,9.37%,$0.41B,$1.16B,38.15%,$0.41B,$-0.56B,-68.17%,$0.41B,$3.49B,12.45%,$0.63B,$2.37B,27.57%,$1072,$803,$269,$0,$139,$942,$130,$-5,$125,$16,$109,$109,$109,$184,$130,$117,121,$0.93,$0.90,$352,$0,$137,$1203,$198,$0,$1722,$362,$2282,$3485,$767,$1203,$232,$1556,$2323,$2,$1563,$-35,$1162,$3485,$221,$156,$3,$158,$-121,$0,$3,$94,$-104,$275,$-71,$-40,$-63,$0,$-4,$-4,$0,$-178,$100,$0,$100,$8,$8,$-123,$-6,$-20,$81,$39,$-123
3,2017-12-31,89.99,$9.21,9.77,$35.64,2.53,$3.76,23.94,$3.14,28.66,$1.05B,$0.59B,1.79,$1.22B,$1.07B,1.14,$4.29B,$1.11B,25.93%,$4.29B,$0.61B,14.14%,$4.29B,$0.61B,14.14%,$4.29B,$0.80B,18.73%,$4.29B,$0.57B,13.25%,$4.29B,$0.38B,8.74%,$0.38B,$1.07B,36.96%,$0.38B,$-0.58B,-59.12%,$0.38B,$3.25B,11.66%,$0.61B,$2.30B,27.54%,$1013,$770,$243,$0,$128,$898,$115,$-12,$104,$41,$62,$62,$62,$167,$115,$117,120,$0.53,$0.52,$367,$0,$110,$1051,$203,$0,$1657,$339,$2199,$3250,$586,$1223,$231,$1590,$2176,$2,$1496,$-38,$1074,$3250,$112,$102,$12,$114,$18,$0,$-9,$46,$-84,$142,$-53,$0,$-30,$0,$-3,$-3,$0,$-85,$120,$0,$120,$1,$1,$-80,$-6,$35,$95,$25,$-80
4,2017-09-30,79.96,$8.91,8.98,$34.57,2.31,$2.71,29.52,$2.87,27.86,$1.03B,$0.61B,1.7,$1.29B,$1.04B,1.25,$4.17B,$1.06B,25.28%,$4.17B,$0.55B,13.20%,$4.17B,$0.55B,13.20%,$4.17B,$0.74B,17.80%,$4.17B,$0.51B,12.25%,$4.17B,$0.34B,8.22%,$0.34B,$1.04B,34.56%,$0.34B,$-0.61B,-52.89%,$0.34B,$3.23B,10.90%,$0.55B,$2.33B,25.67%,$925,$726,$199,$0,$114,$840,$85,$-11,$74,$24,$50,$50,$50,$135,$85,$117,120,$0.43,$0.42,$289,$0,$121,$1034,$208,$0,$1647,$336,$2190,$3225,$609,$1292,$151,$1577,$2187,$2,$1477,$-37,$1038,$3225,$50,$50,$3,$53,$-32,$0,$-166,$3,$-194,$-93,$-36,$0,$-4,$0,$0,$0,$-2,$-41,$190,$0,$190,$-1,$-1,$-38,$-6,$146,$18,$9,$-38
5,2017-06-30,74.42,$8.62,8.64,$34.21,2.18,$2.95,25.25,$2.73,27.26,$0.99B,$0.75B,1.33,$1.10B,$1.00B,1.1,$4.14B,$1.03B,24.93%,$4.14B,$0.53B,12.84%,$4.14B,$0.53B,12.84%,$4.14B,$0.71B,17.23%,$4.14B,$0.49B,11.80%,$4.14B,$0.33B,7.89%,$0.33B,$1.00B,32.84%,$0.33B,$-0.64B,-51.05%,$0.33B,$3.15B,10.63%,$0.53B,$2.11B,25.61%,$1346,$910,$436,$0,$139,$1049,$297,$-12,$285,$98,$187,$187,$187,$346,$297,$118,121,$1.60,$1.54,$271,$0,$129,$990,$198,$0,$1646,$316,$2160,$3150,$745,$1102,$143,$1401,$2146,$2,$1469,$-56,$1004,$3150,$327,$182,$-9,$173,$-44,$0,$16,$-66,$25,$516,$-114,$-90,$-449,$0,$0,$0,$-7,$-659,$85,$0,$85,$-282,$-282,$-152,$37,$-312,$-457,$46,$-152
6,2017-03-31,66.63,$8.05,8.28,$31.08,2.14,$2.60,25.66,$2.56,26.03,$1.12B,$0.89B,1.26,$1.14B,$0.94B,1.21,$3.77B,$0.99B,26.11%,$3.77B,$0.51B,13.39%,$3.77B,$0.51B,13.39%,$3.77B,$0.68B,17.95%,$3.77B,$0.47B,12.38%,$3.77B,$0.31B,8.22%,$0.31B,$0.94B,30.81%,$0.31B,$-0.70B,-59.50%,$0.31B,$3.24B,10.31%,$0.51B,$2.08B,24.82%,$1009,$774,$235,$0,$126,$899,$110,$-3,$106,$30,$76,$76,$76,$156,$110,$118,121,$0.64,$0.63,$270,$0,$188,$1118,$170,$0,$1645,$309,$2124,$3242,$886,$1142,$126,$1414,$2300,$2,$1321,$-61,$942,$3242,$140,$134,$-18,$116,$-115,$0,$43,$2,$-94,$162,$-70,$-90,$-448,$0,$-5,$-5,$-1,$-613,$250,$0,$250,$-167,$-167,$-114,$26,$-5,$-458,$35,$-114
7,2016-12-31,64.7,$8.34,7.76,$28.38,2.28,$2.80,23.11,$2.45,26.41,$0.90B,$0.64B,1.41,$1.08B,$0.99B,1.1,$3.45B,$0.95B,27.58%,$3.45B,$0.50B,14.37%,$3.45B,$0.50B,14.37%,$3.45B,$0.65B,18.83%,$3.45B,$0.45B,13.15%,$3.45B,$0.30B,8.63%,$0.30B,$0.99B,29.90%,$0.30B,$-0.64B,-72.99%,$0.30B,$2.97B,10.54%,$0.50B,$2.07B,25.51%,$893,$708,$185,$0,$126,$834,$59,$-13,$46,$16,$30,$30,$30,$106,$59,$119,122,$0.25,$0.25,$236,$0,$148,$899,$146,$0,$1626,$297,$2068,$2967,$638,$1081,$118,$1343,$1982,$2,$1284,$-61,$986,$2967,$64,$87,$-7,$80,$29,$0,$-2,$-76,$-149,$-6,$-32,$-90,$-428,$0,$-3,$-3,$0,$-553,$190,$0,$190,$-67,$-67,$-74,$21,$70,$-492,$23,$-74
8,2016-09-30,65.82,$8.83,7.46,$26.27,2.51,$3.22,20.43,$2.53,26.02,$0.89B,$0.64B,1.38,$1.00B,$1.05B,0.95,$3.20B,$0.94B,29.42%,$3.20B,$0.51B,15.85%,$3.20B,$0.51B,15.85%,$3.20B,$0.64B,20.08%,$3.20B,$0.47B,14.67%,$3.20B,$0.31B,9.63%,$0.31B,$1.05B,31.25%,$0.31B,$-0.58B,-101.15%,$0.31B,$2.94B,11.52%,$0.51B,$2.05B,27.38%,$895,$718,$177,$0,$111,$829,$66,$-15,$52,$18,$34,$34,$34,$106,$66,$119,122,$0.28,$0.28,$227,$0,$159,$886,$131,$0,$1629,$297,$2057,$2942,$642,$1001,$117,$1249,$1891,$2,$1292,$-49,$1051,$2942,$34,$40,$-20,$20,$44,$0,$-8,$-59,$-141,$-87,$-15,$-90,$-402,$0,$-2,$-2,$0,$-508,$110,$0,$110,$1,$1,$-36,$20,$96,$-500,$9,$-36
9,2016-06-30,63.0,$8.84,7.13,$23.80,2.65,$3.74,16.86,$2.53,24.9,$1.29B,$0.69B,1.86,$0.89B,$1.05B,0.85,$2.90B,$0.92B,31.75%,$2.90B,$0.50B,17.25%,$2.90B,$0.50B,17.25%,$2.90B,$0.62B,21.46%,$2.90B,$0.47B,16.18%,$2.90B,$0.31B,10.63%,$0.31B,$1.05B,32.29%,$0.31B,$-0.16B,-140.80%,$0.31B,$2.87B,12.26%,$0.50B,$1.94B,28.52%,$975,$586,$388,$0,$118,$704,$270,$-8,$263,$93,$170,$170,$170,$309,$270,$118,122,$1.44,$1.40,$728,$0,$108,$1289,$112,$0,$1210,$262,$1584,$2873,$693,$891,$112,$1134,$1827,$2,$1298,$-38,$1046,$2873,$308,$121,$16,$137,$-5,$0,$6,$-63,$8,$438,$-76,$0,$-53,$0,$0,$0,$-8,$-137,$333,$0,$333,$-95,$-95,$-138,$9,$109,$404,$43,$-138
