,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,13.41,$0.00,0.0,$5.05,2.66,$1.48,9.03,$0.26,51.58,$0.77B,$0.41B,1.88,$0.55B,$3.12B,0.18,$1.28B,$0.26B,19.95%,$1.28B,$0.04B,3.04%,$1.28B,$0.04B,3.04%,$1.28B,$0.04B,3.04%,$1.28B,$0.08B,6.39%,$1.28B,$0.07B,5.22%,$0.07B,$3.12B,2.15%,$0.07B,$3.12B,2.15%,$0.07B,$4.31B,1.55%,$0.04B,$3.67B,1.06%,$272,$247,$25,$10,$23,$299,$-27,$13,$-14,$-0,$-14,$-14,$-10,$-27,$-27,$254,254,$-0.04,$-0.04,$366,$129,$0,$766,$1875,$1548,$0,$49,$3547,$4313,$408,$553,$205,$785,$1193,$751,$1763,$0,$3119,$4313,$56,$178,$5,$184,$67,$2,$0,$-28,$-27,$257,$-70,$0,$0,$0,$0,$0,$-3,$-73,$-33,$0,$-33,$0,$0,$-12,$-0,$-44,$140,$0,$-12
1,2018-06-30,13.63,$0.00,0.0,$5.43,2.51,$0.52,26.14,$0.25,54.52,$0.75B,$0.34B,2.2,$0.61B,$3.15B,0.2,$1.38B,$0.32B,23.48%,$1.38B,$0.12B,8.91%,$1.38B,$0.12B,8.91%,$1.38B,$0.12B,8.91%,$1.38B,$0.11B,7.97%,$1.38B,$0.07B,4.71%,$0.07B,$3.15B,2.10%,$0.07B,$3.15B,2.10%,$0.07B,$4.31B,1.51%,$0.12B,$3.76B,3.35%,$323,$255,$68,$8,$28,$303,$20,$25,$45,$6,$39,$39,$41,$20,$20,$254,254,$0.16,$0.16,$359,$137,$7,$752,$1881,$1545,$0,$48,$3553,$4305,$341,$613,$181,$814,$1155,$751,$1792,$0,$3150,$4305,$0,$0,$229,$229,$0,$0,$0,$0,$0,$229,$-52,$0,$0,$0,$0,$0,$-1,$-53,$-23,$0,$-23,$0,$0,$-9,$0,$-32,$144,$0,$-9
2,2018-03-31,15.2,$0.00,0.0,$5.17,2.94,$-0.57,0.0,$0.07,217.17,$0.76B,$0.38B,2.02,$0.63B,$3.10B,0.2,$1.31B,$0.31B,23.59%,$1.31B,$0.12B,9.21%,$1.31B,$0.12B,9.21%,$1.31B,$0.12B,9.21%,$1.31B,$0.07B,5.63%,$1.31B,$0.02B,1.37%,$0.02B,$3.10B,0.58%,$0.02B,$3.10B,0.58%,$0.02B,$4.31B,0.42%,$0.12B,$3.73B,3.33%,$317,$234,$83,$7,$31,$276,$41,$8,$49,$17,$32,$32,$28,$41,$41,$254,254,$0.11,$0.11,$258,$147,$0,$758,$1920,$1512,$0,$51,$3556,$4314,$376,$628,$189,$834,$1210,$751,$1750,$0,$3104,$4314,$0,$0,$78,$78,$0,$0,$0,$0,$0,$78,$-21,$0,$0,$0,$0,$0,$-1,$-22,$-11,$0,$-11,$0,$0,$-1,$0,$-12,$44,$0,$-1
3,2017-12-31,14.05,$0.00,0.0,$5.02,2.8,$-1.01,0.0,$0.24,58.56,$0.70B,$0.52B,1.35,$0.55B,$3.06B,0.18,$1.28B,$0.29B,23.06%,$1.28B,$0.11B,8.24%,$1.28B,$0.11B,8.24%,$1.28B,$0.11B,8.24%,$1.28B,$0.09B,7.22%,$1.28B,$0.06B,4.78%,$0.06B,$3.06B,1.97%,$0.06B,$3.06B,1.97%,$0.06B,$4.33B,1.40%,$0.11B,$3.61B,2.90%,$371,$291,$80,$6,$31,$365,$5,$-3,$2,$-9,$11,$11,$8,$5,$5,$254,254,$0.04,$0.04,$215,$132,$0,$702,$1950,$1537,$0,$54,$3631,$4333,$521,$549,$183,$748,$1269,$751,$1729,$0,$3064,$4333,$0,$0,$213,$213,$0,$0,$0,$0,$0,$213,$-258,$0,$0,$0,$0,$0,$119,$-138,$89,$0,$89,$-22,$-22,$-7,$-0,$60,$134,$0,$-7
4,2017-09-30,12.74,$12.17,1.05,$4.69,2.72,$-0.71,0.0,$-1.39,0.0,$0.65B,$0.54B,1.21,$0.48B,$3.09B,0.16,$1.19B,$0.27B,22.75%,$1.19B,$0.12B,10.41%,$1.19B,$0.12B,10.41%,$1.19B,$0.12B,10.41%,$1.19B,$-0.29B,-24.52%,$1.19B,$-0.35B,-29.64%,$-0.35B,$3.09B,-11.44%,$-0.35B,$3.09B,-11.44%,$-0.35B,$4.31B,-8.14%,$0.12B,$3.57B,3.43%,$369,$276,$93,$4,$26,$311,$57,$-43,$14,$18,$-4,$-4,$-12,$57,$57,$254,254,$-0.05,$-0.05,$185,$141,$12,$650,$1994,$1537,$0,$54,$3655,$4306,$536,$484,$183,$682,$1219,$751,$1728,$0,$3087,$4306,$65,$140,$-5,$135,$19,$-11,$0,$-17,$-69,$138,$-195,$0,$0,$0,$0,$0,$125,$-70,$57,$0,$57,$0,$0,$-19,$-1,$37,$105,$0,$-19
5,2017-06-30,11.45,$0.00,0.0,$4.30,2.67,$-0.47,0.0,$-1.44,0.0,$0.59B,$0.48B,1.24,$0.54B,$3.10B,0.17,$1.09B,$0.24B,22.00%,$1.09B,$0.10B,9.35%,$1.09B,$0.10B,9.35%,$1.09B,$0.10B,9.35%,$1.09B,$-0.30B,-27.22%,$1.09B,$-0.37B,-33.55%,$-0.37B,$3.10B,-11.50%,$-0.37B,$3.10B,-11.50%,$-0.37B,$4.32B,-8.28%,$0.10B,$3.64B,2.73%,$257,$202,$54,$6,$25,$239,$18,$-9,$9,$12,$-4,$-4,$-6,$18,$18,$254,254,$-0.03,$-0.03,$151,$152,$1,$593,$2015,$1582,$0,$52,$3726,$4320,$479,$538,$187,$739,$1218,$751,$1740,$0,$3101,$4320,$0,$0,$49,$49,$0,$0,$0,$0,$0,$49,$-147,$0,$0,$0,$0,$0,$125,$-23,$64,$0,$64,$0,$0,$-18,$-3,$44,$70,$0,$-18
6,2017-03-31,11.94,$12.24,0.98,$4.41,2.71,$0.26,45.63,$-1.20,0.0,$0.62B,$0.58B,1.07,$0.55B,$3.11B,0.18,$1.12B,$0.27B,24.22%,$1.12B,$0.15B,12.96%,$1.12B,$0.15B,12.96%,$1.12B,$0.15B,12.96%,$1.12B,$-0.23B,-20.64%,$1.12B,$-0.31B,-27.26%,$-0.31B,$3.11B,-9.30%,$-0.31B,$3.11B,-9.30%,$-0.31B,$4.46B,-6.77%,$0.15B,$3.66B,3.78%,$278,$211,$67,$2,$25,$253,$25,$42,$67,$-3,$71,$71,$71,$25,$25,$254,254,$0.28,$0.28,$171,$127,$4,$624,$2003,$1589,$0,$51,$3837,$4461,$583,$548,$208,$768,$1352,$751,$1746,$0,$3109,$4461,$0,$0,$19,$19,$0,$0,$0,$0,$0,$19,$-75,$0,$0,$0,$0,$0,$18,$-57,$131,$0,$131,$0,$0,$-2,$-2,$128,$90,$0,$-2
7,2016-12-31,11.18,$11.98,0.93,$4.21,2.66,$0.92,12.13,$-1.28,0.0,$0.50B,$0.45B,1.13,$0.55B,$3.05B,0.18,$1.07B,$0.24B,22.85%,$1.07B,$0.13B,12.45%,$1.07B,$0.13B,12.45%,$1.07B,$0.13B,12.45%,$1.07B,$-0.26B,-23.97%,$1.07B,$-0.32B,-30.34%,$-0.32B,$3.05B,-9.64%,$-0.32B,$3.05B,-9.64%,$-0.32B,$4.27B,-7.15%,$0.13B,$3.60B,3.44%,$287,$230,$57,$12,$30,$263,$24,$-405,$-382,$15,$-396,$-396,$-406,$24,$24,$254,254,$-1.59,$-1.59,$81,$121,$0,$502,$1960,$1547,$0,$52,$3764,$4266,$445,$552,$210,$774,$1219,$751,$1690,$0,$3047,$4266,$0,$0,$391,$391,$0,$0,$0,$0,$0,$391,$-360,$0,$0,$0,$0,$0,$-5,$-365,$-1,$0,$-1,$-9,$-9,$-13,$-2,$-25,$2,$0,$-13
8,2016-09-30,13.69,$13.66,1.0,$4.01,3.42,$0.49,28.05,$-0.83,0.0,$0.57B,$0.41B,1.39,$0.56B,$3.47B,0.16,$1.02B,$0.19B,18.70%,$1.02B,$0.07B,6.50%,$1.02B,$0.07B,6.50%,$1.02B,$0.07B,6.50%,$1.02B,$-0.16B,-15.45%,$1.02B,$-0.21B,-20.77%,$-0.21B,$3.47B,-6.12%,$-0.21B,$3.47B,-6.12%,$-0.21B,$4.64B,-4.59%,$0.07B,$4.03B,1.70%,$269,$207,$62,$6,$22,$234,$35,$-25,$9,$31,$-22,$-22,$-25,$35,$35,$254,254,$-0.10,$-0.10,$117,$139,$4,$571,$1855,$1952,$0,$53,$4063,$4635,$412,$562,$183,$754,$1166,$751,$2104,$0,$3468,$4635,$0,$0,$28,$28,$0,$0,$0,$0,$0,$28,$-23,$0,$0,$0,$0,$0,$0,$-23,$1,$0,$1,$-1,$-1,$-1,$-1,$-1,$3,$0,$-1
9,2016-06-30,11.82,$13.75,0.86,$3.78,3.13,$0.22,54.24,$-0.82,0.0,$0.62B,$0.39B,1.57,$0.57B,$3.49B,0.16,$0.96B,$0.11B,11.06%,$0.96B,$-0.02B,-2.40%,$0.96B,$-0.02B,-2.40%,$0.96B,$-0.02B,-2.40%,$0.96B,$-0.22B,-22.65%,$0.96B,$-0.21B,-21.82%,$-0.21B,$3.49B,-5.97%,$-0.21B,$3.49B,-5.98%,$-0.21B,$4.66B,-4.52%,$-0.02B,$4.07B,-0.59%,$285,$200,$85,$5,$25,$225,$61,$14,$75,$14,$60,$60,$55,$61,$61,$254,254,$0.22,$0.22,$181,$120,$17,$615,$1782,$1967,$0,$49,$4040,$4655,$391,$572,$183,$770,$1161,$752,$2136,$0,$3494,$4655,$0,$0,$205,$205,$0,$0,$0,$0,$0,$205,$-119,$0,$0,$0,$0,$0,$0,$-119,$22,$0,$22,$0,$0,$-4,$-3,$15,$101,$0,$-4
