,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.06,$9.17,0.12,$3.09,0.34,$-0.53,0.0,$-1.01,0.0,$0.04B,$0.06B,0.72,$0.31B,$0.57B,0.55,$0.16B,$0.06B,38.65%,$0.16B,$-0.05B,-28.22%,$0.16B,$-0.05B,-28.22%,$0.16B,$0.04B,21.47%,$0.16B,$-0.08B,-46.01%,$0.16B,$-0.06B,-33.74%,$-0.06B,$0.57B,-9.39%,$-0.06B,$0.57B,-9.39%,$-0.06B,$0.99B,-5.38%,$-0.05B,$0.88B,-5.10%,$35,$23,$12,$0,$5,$48,$-13,$0,$-12,$-6,$-7,$-7,$-7,$6,$-13,$62,62,$-0.11,$-0.11,$7,$0,$5,$42,$889,$1,$0,$0,$943,$985,$59,$309,$51,$360,$419,$834,$-318,$0,$566,$985,$-43,$62,$5,$67,$5,$0,$0,$7,$2,$26,$-28,$0,$0,$0,$0,$0,$-7,$-35,$16,$0,$16,$-0,$-0,$0,$-7,$9,$0,$0,$0
1,2018-06-30,0.99,$9.38,0.11,$3.23,0.31,$-0.61,0.0,$-1.26,0.0,$0.05B,$0.06B,0.8,$0.32B,$0.58B,0.55,$0.16B,$0.06B,36.20%,$0.16B,$-0.06B,-34.97%,$0.16B,$-0.06B,-34.97%,$0.16B,$0.03B,20.86%,$0.16B,$-0.09B,-54.60%,$0.16B,$-0.07B,-40.49%,$-0.07B,$0.58B,-10.97%,$-0.07B,$0.58B,-10.97%,$-0.07B,$1.02B,-6.34%,$-0.06B,$0.90B,-6.27%,$37,$25,$12,$0,$6,$53,$-16,$-21,$-37,$-10,$-27,$-27,$-27,$6,$-16,$55,55,$-0.49,$-0.49,$13,$0,$4,$49,$918,$1,$0,$0,$967,$1016,$62,$320,$55,$375,$437,$845,$-316,$0,$579,$1016,$-37,$43,$12,$55,$3,$0,$0,$6,$2,$21,$-23,$0,$0,$0,$0,$0,$-6,$-29,$15,$0,$15,$0,$0,$0,$-7,$8,$0,$0,$0
2,2018-03-31,1.08,$12.20,0.09,$3.58,0.3,$-0.66,0.0,$-1.81,0.0,$0.06B,$0.07B,0.84,$0.33B,$0.60B,0.54,$0.18B,$0.07B,40.34%,$0.18B,$-0.05B,-26.14%,$0.18B,$-0.05B,-26.14%,$0.18B,$0.05B,26.14%,$0.18B,$-0.08B,-47.16%,$0.18B,$-0.09B,-51.14%,$-0.09B,$0.60B,-14.83%,$-0.09B,$0.60B,-14.83%,$-0.09B,$1.05B,-8.66%,$-0.05B,$0.93B,-5.09%,$47,$26,$21,$0,$5,$53,$-6,$-5,$-11,$-1,$-10,$-10,$-10,$15,$-6,$49,49,$-0.21,$-0.21,$24,$0,$3,$57,$954,$3,$0,$0,$996,$1052,$68,$326,$56,$382,$450,$845,$-294,$0,$602,$1052,$-10,$22,$-1,$21,$6,$0,$0,$-7,$1,$12,$-19,$0,$0,$0,$0,$0,$4,$-15,$4,$0,$4,$0,$0,$0,$-1,$3,$0,$-0,$0
3,2017-12-31,1.72,$12.09,0.14,$3.42,0.5,$-1.07,0.0,$-1.40,0.0,$0.06B,$0.08B,0.81,$0.31B,$0.60B,0.51,$0.17B,$0.07B,40.46%,$0.17B,$-0.05B,-27.17%,$0.17B,$-0.05B,-27.17%,$0.17B,$0.05B,26.59%,$0.17B,$-0.06B,-34.10%,$0.17B,$-0.07B,-40.46%,$-0.07B,$0.60B,-11.25%,$-0.07B,$0.60B,-11.25%,$-0.07B,$1.03B,-6.62%,$-0.05B,$0.90B,-5.19%,$44,$26,$18,$0,$6,$55,$-11,$-4,$-15,$-3,$-11,$-11,$-11,$8,$-11,$49,49,$-0.22,$-0.22,$25,$0,$3,$63,$933,$1,$0,$0,$972,$1034,$78,$306,$54,$360,$437,$824,$-276,$0,$597,$1034,$-70,$93,$20,$113,$-5,$0,$0,$8,$-0,$43,$-58,$0,$0,$0,$3,$3,$-7,$-62,$25,$0,$25,$0,$0,$0,$-6,$20,$0,$1,$0
4,2017-09-30,2.84,$12.71,0.22,$3.59,0.79,$3.74,0.76,$-0.85,0.0,$0.06B,$0.09B,0.59,$0.28B,$0.63B,0.45,$0.17B,$0.07B,41.38%,$0.17B,$-0.04B,-23.56%,$0.17B,$-0.04B,-23.56%,$0.17B,$0.05B,29.89%,$0.17B,$-0.01B,-6.90%,$0.17B,$-0.04B,-22.99%,$-0.04B,$0.63B,-6.29%,$-0.04B,$0.63B,-6.29%,$-0.04B,$1.07B,-3.73%,$-0.04B,$0.91B,-4.50%,$35,$27,$8,$0,$6,$59,$-24,$-2,$-26,$-8,$-18,$-18,$-18,$5,$-24,$49,49,$-0.36,$-0.36,$18,$0,$6,$55,$974,$2,$0,$0,$1010,$1065,$93,$281,$64,$344,$437,$852,$-275,$0,$628,$1065,$-62,$74,$22,$96,$1,$0,$0,$-13,$1,$33,$-39,$0,$0,$0,$3,$3,$6,$-30,$-9,$0,$-9,$0,$0,$0,$5,$-4,$0,$1,$0
5,2017-06-30,2.9,$2.44,1.19,$3.77,0.77,$6.56,0.44,$-0.74,0.0,$0.05B,$0.07B,0.67,$0.27B,$0.60B,0.45,$0.18B,$0.08B,45.25%,$0.18B,$-0.03B,-17.88%,$0.18B,$-0.03B,-17.88%,$0.18B,$0.06B,32.40%,$0.18B,0,0.00%,$0.18B,$-0.03B,-18.44%,$-0.03B,$0.60B,-5.17%,$-0.03B,$0.60B,-5.17%,$-0.03B,$1.01B,-3.00%,$-0.03B,$0.87B,-3.44%,$50,$26,$24,$0,$5,$56,$-5,$-26,$-31,$20,$-51,$-51,$-51,$18,$-5,$49,49,$-1.04,$-1.04,$11,$0,$7,$47,$931,$3,$0,$0,$958,$1005,$70,$273,$61,$334,$404,$795,$-240,$0,$601,$1005,$-42,$45,$22,$67,$0,$0,$0,$-11,$-11,$14,$-18,$0,$0,$0,$3,$3,$-8,$-23,$-4,$0,$-4,$0,$0,$0,$14,$9,$0,$1,$0
6,2017-03-31,3.97,$13.44,0.3,$3.64,1.09,$7.83,0.51,$-0.80,0.0,$0.05B,$0.12B,0.43,$0.27B,$0.66B,0.41,$0.16B,$0.07B,40.85%,$0.16B,$-0.05B,-31.10%,$0.16B,$-0.05B,-31.10%,$0.16B,$0.05B,28.66%,$0.16B,$-0.03B,-16.46%,$0.16B,$-0.03B,-15.24%,$-0.03B,$0.66B,-3.88%,$-0.03B,$0.66B,-3.88%,$-0.03B,$1.12B,-2.15%,$-0.05B,$0.94B,-5.31%,$44,$25,$20,$0,$5,$51,$-7,$20,$13,$3,$10,$10,$10,$15,$-7,$49,55,$0.19,$0.19,$9,$0,$6,$53,$1019,$6,$0,$0,$1070,$1123,$123,$273,$64,$337,$460,$807,$-192,$0,$663,$1123,$10,$22,$-20,$1,$3,$0,$0,$-21,$-5,$6,$-38,$0,$0,$0,$0,$0,$14,$-24,$17,$0,$17,$0,$0,$0,$1,$17,$0,$0,$0
7,2016-12-31,4.72,$13.22,0.36,$3.82,1.23,$8.04,0.59,$-0.65,0.0,$0.04B,$0.10B,0.4,$0.27B,$0.65B,0.42,$0.16B,$0.06B,40.51%,$0.16B,$-0.06B,-36.71%,$0.16B,$-0.06B,-36.71%,$0.16B,$0.05B,28.48%,$0.16B,$-0.03B,-15.82%,$0.16B,$-0.02B,-13.29%,$-0.02B,$0.65B,-3.33%,$-0.02B,$0.65B,-3.33%,$-0.02B,$1.10B,-1.76%,$-0.06B,$0.93B,-5.80%,$45,$26,$20,$0,$5,$50,$-5,$37,$32,$12,$19,$19,$19,$14,$-5,$43,43,$0.50,$0.50,$3,$0,$4,$42,$1001,$0,$0,$0,$1056,$1098,$104,$273,$68,$342,$446,$807,$-202,$0,$652,$1098,$-20,$103,$-52,$51,$14,$0,$0,$-6,$-0,$28,$164,$0,$0,$0,$0,$0,$-9,$156,$-207,$0,$-207,$29,$29,$0,$-6,$-184,$0,$3,$0
8,2016-09-30,4.27,$13.38,0.32,$4.18,1.02,$2.70,1.58,$-7.95,0.0,$0.04B,$0.08B,0.5,$0.35B,$0.64B,0.56,$0.17B,$0.08B,46.11%,$0.17B,$-0.43B,-259.28%,$0.17B,$-0.43B,-259.28%,$0.17B,$0.07B,38.92%,$0.17B,$-0.44B,-261.68%,$0.17B,$-0.31B,-183.83%,$-0.31B,$0.64B,-49.06%,$-0.31B,$0.64B,-49.06%,$-0.31B,$1.17B,-24.56%,$-0.43B,$0.99B,-40.87%,$40,$23,$17,$0,$5,$55,$-15,$1,$-14,$-3,$-11,$-11,$-11,$11,$-15,$45,45,$-0.23,$-0.23,$6,$0,$6,$41,$1069,$1,$0,$0,$1131,$1172,$83,$353,$100,$453,$536,$812,$-222,$0,$636,$1172,$-38,$84,$-21,$63,$0,$0,$0,$-7,$-7,$16,$107,$0,$0,$0,$0,$0,$-13,$94,$-133,$0,$-133,$22,$22,$0,$2,$-110,$0,$2,$0
9,2016-06-30,4.95,$14.73,0.34,$4.89,1.01,$-1.41,0.0,$-8.70,0.0,$0.04B,$0.17B,0.26,$0.37B,$0.63B,0.59,$0.19B,$0.10B,51.32%,$0.19B,$-0.45B,-235.98%,$0.19B,$-0.45B,-235.98%,$0.19B,$0.08B,43.92%,$0.19B,$-0.47B,-247.62%,$0.19B,$-0.33B,-176.72%,$-0.33B,$0.63B,-48.42%,$-0.33B,$0.63B,-48.42%,$-0.33B,$1.25B,-24.37%,$-0.45B,$0.99B,-38.32%,$35,$25,$10,$0,$5,$59,$-24,$-34,$-58,$-15,$-43,$-43,$-43,$7,$-24,$39,39,$-1.09,$-1.09,$4,$0,$6,$44,$1141,$2,$0,$0,$1204,$1248,$170,$367,$85,$451,$622,$799,$-214,$0,$626,$1248,$-28,$58,$-13,$45,$0,$0,$0,$-2,$-2,$14,$32,$0,$0,$0,$0,$0,$-24,$8,$-21,$0,$-21,$-0,$-0,$0,$-1,$-21,$0,$1,$0
