,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,36.75,$9.74,3.77,$19.73,1.86,$4.23,8.7,$2.07,17.75,$2.05B,$2.43B,0.84,$3.23B,$3.82B,0.85,$7.97B,$2.35B,29.47%,$7.97B,$1.02B,12.83%,$7.97B,$1.02B,12.83%,$7.97B,$1.28B,16.03%,$7.97B,$0.85B,10.67%,$7.97B,$0.84B,10.48%,$0.84B,$3.82B,22.02%,$0.84B,$-1.96B,-41.98%,$0.84B,$10.49B,8.00%,$1.02B,$7.05B,14.53%,$1834,$1319,$516,$0,$257,$1566,$268,$-49,$219,$57,$162,$178,$178,$332,$268,$392,394,$0.45,$0.45,$75,$1109,$39,$2047,$1636,$0,$5775,$1028,$8438,$10485,$2433,$3234,$1003,$4237,$6670,$2840,$4842,$-156,$3815,$10485,$178,$64,$-8,$56,$-19,$-115,$50,$-24,$-139,$95,$-69,$0,$30,$0,$0,$0,$0,$-39,$0,$27,$27,$-2,$-2,$-83,$-51,$-110,$-53,$11,$-83
1,2018-05-31,36.85,$9.61,3.83,$19.38,1.9,$4.39,8.39,$1.98,18.61,$1.94B,$2.34B,0.83,$3.23B,$3.76B,0.86,$7.94B,$2.35B,29.62%,$7.94B,$1.03B,13.03%,$7.94B,$1.03B,13.03%,$7.94B,$1.29B,16.25%,$7.94B,$0.88B,11.02%,$7.94B,$0.81B,10.20%,$0.81B,$3.76B,21.26%,$0.81B,$-2.03B,-42.41%,$0.81B,$10.39B,7.81%,$1.03B,$6.99B,14.92%,$1966,$1391,$575,$0,$421,$1832,$134,$-45,$89,$37,$53,$71,$70,$198,$134,$404,407,$0.17,$0.18,$128,$997,$44,$1939,$1620,$0,$5787,$1044,$8451,$10390,$2336,$3232,$1065,$4297,$6633,$2840,$4745,$-111,$3757,$10390,$812,$257,$-166,$92,$-5,$-63,$145,$3,$51,$954,$-244,$0,$-337,$0,$0,$0,$5,$-576,$555,$249,$804,$-952,$-952,$-342,$-16,$-507,$-123,$38,$-342
2,2018-02-28,35.72,$9.68,3.69,$18.82,1.9,$4.82,7.41,$2.16,16.54,$2.06B,$1.99B,1.03,$3.23B,$3.81B,0.85,$7.83B,$2.31B,29.42%,$7.83B,$1.01B,12.91%,$7.83B,$1.01B,12.91%,$7.83B,$1.27B,16.24%,$7.83B,$0.86B,10.98%,$7.83B,$0.89B,11.37%,$0.89B,$3.81B,22.91%,$0.89B,$-2.00B,-50.55%,$0.89B,$10.46B,8.65%,$1.01B,$7.04B,14.66%,$1995,$1396,$599,$0,$330,$1726,$269,$-40,$229,$-91,$320,$349,$363,$333,$269,$399,403,$0.91,$0.90,$133,$1017,$52,$2058,$1627,$0,$5807,$971,$8405,$10463,$1991,$3233,$1430,$4663,$6654,$2840,$4759,$-176,$3810,$10463,$742,$193,$-29,$165,$-26,$-90,$101,$-6,$-64,$842,$-168,$0,$-337,$0,$0,$0,$4,$-501,$327,$324,$651,$-847,$-847,$-258,$-14,$-468,$-119,$27,$-258
3,2017-11-30,36.7,$9.45,3.88,$18.41,1.99,$4.75,7.73,$1.67,21.98,$2.06B,$1.85B,1.11,$3.26B,$3.79B,0.86,$7.82B,$2.33B,29.76%,$7.82B,$1.01B,12.95%,$7.82B,$1.01B,12.95%,$7.82B,$1.28B,16.33%,$7.82B,$0.86B,10.96%,$7.82B,$0.71B,9.05%,$0.71B,$3.79B,17.64%,$0.71B,$-1.97B,-45.28%,$0.71B,$10.40B,6.87%,$1.01B,$7.05B,14.63%,$2173,$1515,$658,$0,$307,$1822,$351,$-38,$313,$110,$204,$224,$224,$415,$351,$407,410,$0.55,$0.54,$84,$1059,$46,$2056,$1642,$0,$5755,$947,$8344,$10400,$1850,$3262,$1502,$4763,$6614,$2840,$4464,$-165,$3787,$10400,$378,$129,$-32,$97,$-110,$-131,$132,$0,$-54,$421,$-117,$0,$-250,$0,$0,$0,$0,$-366,$493,$39,$532,$-576,$-576,$-172,$-14,$-231,$-167,$18,$-172
4,2017-08-31,31.91,$9.50,3.36,$17.85,1.79,$4.99,6.39,$1.41,22.63,$2.13B,$2.05B,1.04,$2.77B,$3.88B,0.71,$7.74B,$2.32B,29.94%,$7.74B,$0.89B,11.53%,$7.74B,$0.89B,11.53%,$7.74B,$1.16B,14.97%,$7.74B,$0.72B,9.31%,$7.74B,$0.61B,7.83%,$0.61B,$3.88B,14.44%,$0.61B,$-1.64B,-46.01%,$0.61B,$10.23B,5.74%,$0.89B,$6.65B,12.57%,$1804,$1285,$519,$0,$260,$1524,$280,$-36,$244,$120,$124,$154,$153,$345,$280,$415,419,$0.37,$0.36,$251,$1069,$39,$2125,$1647,$0,$5525,$928,$8101,$10226,$2054,$2767,$1522,$4289,$6343,$2840,$4313,$-181,$3883,$10226,$153,$65,$-32,$33,$-14,$-138,$68,$-7,$-50,$136,$-39,$0,$0,$0,$0,$0,$0,$-39,$0,$295,$295,$-302,$-302,$-83,$-17,$-107,$0,$8,$-83
5,2017-05-31,37.66,$9.79,3.85,$17.82,2.11,$5.37,7.01,$1.47,25.62,$2.01B,$1.72B,1.17,$2.77B,$4.08B,0.68,$7.83B,$2.34B,29.92%,$7.83B,$0.93B,11.82%,$7.83B,$0.93B,11.82%,$7.83B,$1.19B,15.24%,$7.83B,$0.73B,9.34%,$7.83B,$0.64B,8.16%,$0.64B,$4.08B,15.30%,$0.64B,$-1.44B,-46.81%,$0.64B,$10.10B,5.70%,$0.93B,$6.85B,12.34%,$1862,$1333,$529,$0,$418,$1751,$111,$-38,$74,$-61,$135,$154,$151,$179,$111,$432,436,$0.36,$0.35,$251,$928,$42,$2013,$1633,$0,$5519,$931,$8083,$10096,$1721,$2769,$1529,$4298,$6019,$2840,$4247,$-213,$4078,$10096,$648,$268,$61,$329,$105,$123,$71,$15,$199,$1176,$-229,$0,$163,$0,$0,$0,$-124,$-189,$-1065,$14,$-1050,$-926,$-926,$-415,$822,$-1569,$-547,$36,$-415
6,2017-02-28,40.06,$10.12,3.96,$16.54,2.42,$5.52,7.26,$1.38,29.03,$2.54B,$1.57B,1.62,$2.84B,$4.30B,0.66,$7.28B,$2.25B,30.96%,$7.28B,$0.57B,7.77%,$7.28B,$0.57B,7.77%,$7.28B,$0.83B,11.45%,$7.28B,$0.35B,4.78%,$7.28B,$0.61B,8.37%,$0.61B,$4.30B,14.83%,$0.61B,$-1.20B,-42.25%,$0.61B,$10.50B,5.06%,$0.57B,$7.15B,7.10%,$1981,$1360,$621,$0,$350,$1710,$271,$-46,$226,$68,$158,$180,$180,$338,$271,$432,436,$0.42,$0.41,$684,$1046,$0,$2539,$1656,$0,$5505,$799,$7960,$10499,$1565,$2842,$1788,$4630,$6195,$2840,$4171,$-271,$4304,$10499,$496,$200,$63,$263,$50,$35,$13,$8,$88,$847,$-146,$0,$381,$0,$0,$0,$-124,$111,$-1062,$-10,$-1072,$-528,$-528,$-329,$822,$-1107,$-115,$28,$-329
7,2016-11-30,35.48,$10.40,3.41,$17.01,2.09,$5.25,6.76,$1.43,24.81,$3.35B,$1.75B,1.92,$3.21B,$4.53B,0.71,$7.49B,$2.25B,30.05%,$7.49B,$0.47B,6.23%,$7.49B,$0.47B,6.23%,$7.49B,$0.74B,9.83%,$7.49B,$0.22B,2.91%,$7.49B,$0.63B,8.41%,$0.63B,$4.53B,15.89%,$0.63B,$-0.98B,-36.59%,$0.63B,$11.43B,4.96%,$0.47B,$7.74B,5.61%,$2088,$1441,$648,$0,$418,$1859,$230,$-54,$176,$78,$97,$114,$122,$296,$230,$438,441,$0.28,$0.28,$1443,$1114,$0,$3345,$1669,$0,$5510,$901,$8080,$11425,$1745,$3214,$1939,$5153,$6898,$2840,$4077,$-334,$4527,$11425,$316,$134,$46,$179,$-49,$-32,$72,$0,$47,$542,$-107,$0,$381,$0,$0,$0,$-124,$150,$-556,$-7,$-563,$-123,$-123,$-219,$824,$-81,$644,$18,$-219
8,2016-08-31,34.78,$8.68,4.01,$17.66,1.97,$4.85,7.17,$1.50,23.19,$3.41B,$2.37B,1.44,$4.45B,$3.80B,1.17,$7.77B,$2.27B,29.27%,$7.77B,$0.42B,5.43%,$7.77B,$0.42B,5.43%,$7.77B,$0.68B,8.69%,$7.77B,$0.15B,1.91%,$7.77B,$0.66B,8.54%,$0.66B,$3.80B,17.87%,$0.66B,$-1.84B,-31.35%,$0.66B,$12.84B,4.79%,$0.42B,$8.25B,4.76%,$1896,$1351,$545,$0,$232,$1583,$313,$-58,$255,$169,$86,$99,$186,$380,$313,$439,443,$0.42,$0.42,$795,$1638,$0,$3407,$2737,$0,$5634,$1058,$9429,$12836,$2365,$4451,$2220,$6672,$9036,$2840,$3291,$-364,$3800,$12836,$190,$67,$-9,$58,$15,$-83,$57,$-5,$78,$326,$-56,$0,$486,$0,$0,$0,$-58,$372,$-554,$-3,$-557,$-53,$-53,$-110,$-18,$-738,$-76,$8,$-110
9,2016-05-31,33.92,$8.66,3.92,$19.79,1.71,$4.25,7.97,$-1.77,0.0,$3.58B,$2.53B,1.41,$4.88B,$3.80B,1.29,$8.66B,$2.43B,28.04%,$8.66B,$0.41B,4.67%,$8.66B,$0.41B,4.67%,$8.66B,$0.68B,7.87%,$8.66B,$0.11B,1.25%,$8.66B,$-0.68B,-7.81%,$-0.68B,$3.80B,-18.69%,$-0.68B,$-1.75B,29.24%,$-0.68B,$13.39B,-4.64%,$0.41B,$8.68B,4.38%,$1311,$871,$440,$0,$689,$1560,$-249,$-60,$-309,$-115,$-193,$-190,$121,$-181,$-249,$434,439,$0.29,$0.28,$798,$1044,$156,$3577,$1698,$0,$5542,$1235,$9814,$13391,$2532,$4881,$1877,$7063,$9596,$2840,$3218,$-345,$3795,$13391,$-666,$279,$1987,$2265,$-157,$66,$-118,$11,$-340,$1259,$-242,$0,$-10,$0,$0,$0,$2380,$2127,$-2523,$10,$-2514,$217,$217,$-433,$-4,$-2733,$664,$42,$-433
