,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,23.5,$6.03,3.89,$10.55,2.23,$4.76,4.94,$0.41,57.32,$0.42B,$0.10B,4.39,$0.27B,$0.21B,1.28,$0.38B,$0.15B,40.63%,$0.38B,$0.01B,2.37%,$0.38B,$0.01B,2.37%,$0.38B,$0.04B,10.55%,$0.38B,$0.03B,6.86%,$0.38B,$0.02B,3.96%,$0.02B,$0.21B,7.39%,$0.02B,$0.09B,19.05%,$0.02B,$0.61B,2.92%,$0.01B,$0.48B,2.33%,$96,$56,$40,$8,$25,$92,$4,$-5,$-1,$-0,$-0,$-1,$-1,$12,$4,$35,35,$-0.02,$-0.02,$305,$31,$0,$422,$22,$0,$120,$26,$189,$611,$96,$269,$36,$305,$401,$0,$-13,$-1,$210,$611,$8,$15,$9,$23,$1,$5,$1,$-1,$6,$37,$-6,$0,$0,$-40,$32,$-9,$-0,$-14,$158,$0,$158,$-28,$-28,$0,$-11,$119,$141,$5,$0
1,2018-05-31,21.22,$5.70,3.72,$10.29,2.06,$4.76,4.46,$0.77,27.56,$0.29B,$0.10B,2.91,$0.16B,$0.20B,0.77,$0.37B,$0.15B,40.48%,$0.37B,$0.01B,2.14%,$0.37B,$0.01B,2.14%,$0.37B,$0.04B,10.46%,$0.37B,$0.04B,11.53%,$0.37B,$0.03B,7.51%,$0.03B,$0.20B,14.21%,$0.03B,$0.08B,40.29%,$0.03B,$0.49B,5.94%,$0.01B,$0.36B,2.28%,$95,$57,$38,$7,$26,$95,$-1,$11,$11,$2,$9,$9,$9,$6,$-1,$35,36,$0.24,$0.23,$179,$33,$0,$294,$21,$0,$123,$23,$199,$493,$101,$156,$34,$190,$291,$0,$-12,$-1,$202,$493,$9,$7,$4,$11,$2,$4,$8,$0,$12,$31,$-2,$0,$0,$-9,$24,$14,$-0,$12,$0,$0,$0,$-6,$-6,$0,$-0,$-6,$37,$2,$0
2,2018-02-28,23.4,$5.57,4.2,$10.20,2.29,$4.22,5.54,$0.46,50.87,$0.28B,$0.10B,2.89,$0.15B,$0.20B,0.78,$0.37B,$0.15B,40.98%,$0.37B,$0.01B,2.19%,$0.37B,$0.01B,2.19%,$0.37B,$0.04B,10.66%,$0.37B,$0.03B,7.92%,$0.37B,$0.02B,4.37%,$0.02B,$0.20B,8.42%,$0.02B,$0.07B,27.12%,$0.02B,$0.47B,3.51%,$0.01B,$0.35B,2.34%,$94,$56,$38,$7,$26,$92,$2,$-2,$0,$5,$-4,$-5,$-5,$10,$2,$35,36,$-0.13,$-0.13,$156,$36,$0,$276,$21,$0,$125,$19,$197,$473,$96,$154,$24,$179,$274,$0,$-19,$-0,$199,$473,$17,$30,$17,$48,$-6,$-7,$5,$2,$2,$67,$-8,$0,$0,$-38,$20,$-18,$-0,$-26,$0,$0,$0,$0,$0,$0,$-3,$-2,$39,$9,$0
3,2017-11-30,22.85,$5.65,4.05,$9.99,2.29,$3.10,7.37,$0.49,46.63,$0.27B,$0.10B,2.76,$0.15B,$0.20B,0.76,$0.36B,$0.15B,41.34%,$0.36B,$0.00B,0.56%,$0.36B,$0.00B,0.56%,$0.36B,$0.03B,9.50%,$0.36B,$0.02B,6.70%,$0.36B,$0.02B,4.75%,$0.02B,$0.20B,9.39%,$0.02B,$0.07B,36.56%,$0.02B,$0.48B,3.87%,$0.00B,$0.35B,0.60%,$94,$55,$38,$6,$24,$89,$4,$11,$16,$3,$12,$12,$12,$12,$4,$35,36,$0.33,$0.33,$151,$39,$0,$272,$21,$0,$129,$17,$203,$475,$98,$152,$23,$176,$274,$0,$-15,$-0,$201,$475,$21,$23,$11,$33,$-5,$-9,$12,$-2,$4,$59,$-6,$0,$0,$-17,$10,$-7,$-0,$-13,$0,$0,$0,$0,$0,$0,$-2,$-2,$44,$7,$0
4,2017-08-31,18.54,$5.23,3.54,$9.73,1.9,$2.04,9.11,$0.12,154.5,$0.24B,$0.09B,2.72,$0.15B,$0.19B,0.81,$0.35B,$0.15B,41.79%,$0.35B,0,0.00%,$0.35B,0,0.00%,$0.35B,$0.03B,8.93%,$0.35B,$0.01B,2.02%,$0.35B,$0.00B,0.86%,$0.00B,$0.19B,1.74%,$0.00B,$0.05B,8.11%,$0.00B,$0.45B,0.71%,$0.00B,$0.34B,0.00%,$90,$53,$37,$7,$23,$87,$3,$13,$16,$4,$13,$12,$12,$11,$3,$35,36,$0.35,$0.34,$131,$31,$0,$238,$21,$0,$133,$16,$208,$446,$88,$151,$22,$172,$260,$0,$-26,$-1,$186,$446,$10,$15,$5,$21,$1,$-1,$4,$-2,$6,$36,$-4,$0,$0,$-5,$7,$2,$-0,$-2,$0,$0,$0,$0,$0,$0,$-2,$-2,$33,$4,$0
5,2017-05-31,18.9,$4.92,3.84,$9.70,1.95,$1.57,12.05,$-0.21,0.0,$0.22B,$0.09B,2.56,$0.15B,$0.17B,0.85,$0.35B,$0.15B,42.07%,$0.35B,$0.00B,0.29%,$0.35B,$0.00B,0.29%,$0.35B,$0.03B,9.22%,$0.35B,$-0.01B,-2.02%,$0.35B,$-0.01B,-2.31%,$-0.01B,$0.17B,-4.66%,$-0.01B,$0.04B,-23.19%,$-0.01B,$0.43B,-1.93%,$0.00B,$0.32B,0.31%,$88,$51,$37,$6,$29,$89,$-1,$-2,$-3,$-1,$-2,$-3,$-3,$6,$-1,$35,35,$-0.08,$-0.08,$109,$33,$0,$217,$21,$0,$136,$12,$210,$427,$85,$149,$20,$168,$253,$0,$-39,$-0,$174,$427,$-3,$8,$0,$8,$2,$-3,$3,$2,$5,$11,$-2,$0,$0,$-1,$7,$6,$-0,$4,$0,$0,$0,$0,$0,$0,$-0,$-0,$15,$2,$0
6,2017-02-28,16.21,$4.62,3.51,$9.67,1.68,$1.50,10.82,$-0.20,0.0,$0.21B,$0.08B,2.66,$0.15B,$0.16B,0.9,$0.35B,$0.14B,41.14%,$0.35B,0,0.00%,$0.35B,0,0.00%,$0.35B,$0.03B,8.86%,$0.35B,$-0.01B,-2.00%,$0.35B,$-0.01B,-2.29%,$-0.01B,$0.16B,-4.56%,$-0.01B,$0.02B,-22.38%,$-0.01B,$0.41B,-1.93%,$0.00B,$0.31B,0.00%,$86,$50,$36,$5,$31,$90,$-4,$-2,$-5,$-1,$-4,$-4,$-4,$5,$-4,$36,36,$-0.12,$-0.12,$100,$29,$0,$207,$21,$0,$140,$13,$201,$408,$78,$147,$20,$167,$245,$0,$-48,$-1,$163,$408,$-8,$30,$8,$38,$3,$0,$-5,$2,$-5,$26,$-8,$0,$-117,$-32,$112,$79,$-0,$-46,$0,$0,$0,$-24,$-24,$0,$-2,$-26,$-46,$8,$0
7,2016-11-30,14.54,$4.75,3.06,$9.19,1.58,$2.17,6.71,$0.05,290.8,$0.21B,$0.07B,2.8,$0.15B,$0.17B,0.86,$0.34B,$0.14B,40.60%,$0.34B,$0.01B,2.69%,$0.34B,$0.01B,2.69%,$0.34B,$0.04B,10.45%,$0.34B,$0.00B,0.60%,$0.34B,$0.00B,0.60%,$0.00B,$0.17B,1.10%,$0.00B,$0.03B,2.90%,$0.00B,$0.40B,0.49%,$0.01B,$0.31B,2.78%,$83,$48,$35,$5,$24,$82,$2,$-3,$-1,$0,$-1,$-2,$-2,$9,$2,$36,36,$-0.04,$-0.04,$101,$31,$0,$207,$22,$0,$135,$11,$196,$403,$74,$145,$15,$160,$234,$0,$-44,$-0,$168,$403,$-4,$22,$8,$30,$3,$-2,$-1,$3,$-7,$20,$-6,$0,$-117,$-26,$87,$62,$-0,$-61,$0,$0,$0,$-21,$-21,$0,$-2,$-23,$-64,$6,$0
8,2016-08-31,14.58,$4.98,2.93,$8.88,1.64,$2.71,5.37,$0.20,72.9,$0.22B,$0.08B,2.69,$0.14B,$0.18B,0.79,$0.33B,$0.13B,39.14%,$0.33B,$0.02B,4.89%,$0.33B,$0.02B,4.89%,$0.33B,$0.04B,11.93%,$0.33B,$0.01B,3.06%,$0.33B,$0.01B,2.45%,$0.01B,$0.18B,4.32%,$0.01B,$0.04B,8.23%,$0.01B,$0.42B,2.00%,$0.02B,$0.32B,4.91%,$90,$53,$38,$6,$24,$87,$4,$-2,$2,$1,$1,$1,$1,$12,$4,$36,37,$0.01,$0.01,$117,$28,$0,$221,$22,$0,$138,$11,$199,$420,$82,$143,$14,$157,$239,$0,$-42,$-1,$181,$420,$-2,$15,$4,$19,$2,$2,$2,$4,$3,$19,$-4,$0,$-117,$0,$66,$66,$-1,$-55,$0,$0,$0,$-8,$-8,$0,$-1,$-9,$-45,$4,$0
9,2016-05-31,15.03,$5.14,2.93,$8.33,1.8,$3.00,5.01,$0.29,51.83,$0.22B,$0.08B,2.69,$0.14B,$0.19B,0.75,$0.31B,$0.12B,37.46%,$0.31B,$0.02B,6.51%,$0.31B,$0.02B,6.51%,$0.31B,$0.04B,12.70%,$0.31B,$0.01B,4.56%,$0.31B,$0.01B,3.26%,$0.01B,$0.19B,5.43%,$0.01B,$0.04B,8.23%,$0.01B,$0.43B,2.58%,$0.02B,$0.33B,6.19%,$91,$56,$35,$6,$27,$93,$-2,$-1,$-3,$-1,$-2,$-3,$-3,$5,$-2,$37,37,$-0.07,$-0.07,$118,$28,$0,$222,$19,$0,$146,$11,$204,$426,$83,$141,$13,$154,$237,$0,$-43,$-1,$189,$426,$-3,$7,$2,$9,$5,$2,$-1,$6,$2,$8,$-2,$0,$-117,$0,$38,$38,$-0,$-81,$0,$0,$0,$1,$1,$0,$-0,$1,$-72,$2,$0
