,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,32.14,$6.68,4.81,$111.61,0.29,$71.13,0.45,$1.89,17.01,$2.18B,$1.91B,1.14,$14.46B,$0.52B,27.75,$9.09B,$4.47B,49.19%,$9.09B,$0.55B,6.05%,$9.09B,$0.86B,9.44%,$9.09B,$3.13B,34.38%,$9.09B,$0.27B,2.91%,$9.09B,$0.37B,4.09%,$0.37B,$0.52B,77.46%,$0.37B,$-1.39B,-25.94%,$0.37B,$19.74B,1.92%,$0.55B,$14.98B,3.76%,$2778,$1294,$1484,$0,$336,$2364,$414,$-59,$355,$142,$213,$213,$213,$1109,$499,$79,80,$2.71,$2.68,$605,$0,$657,$2180,$719,$0,$1908,$13869,$17561,$19741,$1908,$14460,$2852,$17312,$19220,$1,$-1103,$-78,$521,$19741,$152,$1747,$-12,$1735,$-140,$0,$0,$132,$208,$2095,$-157,$0,$6688,$0,$-10057,$-10057,$-151,$-3677,$1626,$-4,$1622,$-143,$-143,$0,$-25,$1454,$-133,$18,$0
1,2018-06-30,32.5,$4.65,6.99,$109.43,0.3,$69.41,0.47,$4.80,6.77,$2.22B,$1.86B,1.2,$15.32B,$0.37B,41.18,$9.07B,$4.49B,49.47%,$9.07B,$0.55B,6.09%,$9.07B,$0.85B,9.41%,$9.07B,$3.13B,34.54%,$9.07B,$0.27B,3.02%,$9.07B,$0.40B,4.46%,$0.40B,$0.37B,89.73%,$0.40B,$-1.52B,-27.50%,$0.40B,$20.92B,2.08%,$0.55B,$15.69B,3.81%,$2328,$1175,$1153,$0,$321,$2238,$90,$-52,$38,$12,$26,$26,$26,$778,$170,$81,82,$0.33,$0.32,$489,$0,$832,$2223,$715,$0,$1892,$14969,$18696,$20919,$1856,$15320,$3371,$18691,$20547,$1,$-1316,$-72,$372,$20919,$-61,$1137,$7,$1144,$-68,$0,$0,$14,$38,$1121,$-115,$0,$-28,$0,$-22,$-22,$-3583,$-3748,$2489,$-2,$2487,$-78,$-78,$0,$-20,$2389,$-240,$12,$0
2,2018-03-31,46.84,$5.62,8.34,$107.13,0.44,$69.42,0.67,$4.52,10.36,$2.12B,$1.80B,1.18,$13.96B,$0.46B,30.69,$8.98B,$4.46B,49.70%,$8.98B,$0.53B,5.86%,$8.98B,$0.82B,9.13%,$8.98B,$3.08B,34.31%,$8.98B,$0.25B,2.75%,$8.98B,$0.38B,4.24%,$0.38B,$0.46B,96.64%,$0.38B,$-1.48B,-24.91%,$0.38B,$19.22B,1.96%,$0.53B,$14.42B,3.67%,$1968,$1092,$876,$0,$296,$2042,$-74,$-55,$-129,$-42,$-87,$-87,$-87,$527,$-2,$81,81,$-1.08,$-1.08,$544,$0,$699,$2123,$716,$0,$1934,$13482,$17099,$19222,$1803,$13963,$3001,$16964,$18767,$1,$-1344,$-22,$455,$19222,$-87,$529,$9,$538,$16,$0,$0,$-29,$52,$503,$-57,$0,$-10,$0,$0,$0,$-1669,$-1736,$1047,$-1,$1046,$-14,$-14,$0,$-8,$1024,$-200,$5,$0
3,2017-12-31,43.88,$7.07,6.2,$104.30,0.42,$68.64,0.64,$4.35,10.09,$2.07B,$1.65B,1.26,$12.79B,$0.57B,22.33,$8.85B,$4.38B,49.46%,$8.85B,$0.49B,5.54%,$8.85B,$0.78B,8.77%,$8.85B,$3.02B,34.09%,$8.85B,$0.21B,2.38%,$8.85B,$0.36B,4.08%,$0.36B,$0.57B,114.33%,$0.36B,$-1.35B,-22.67%,$0.36B,$17.70B,1.87%,$0.49B,$13.37B,3.49%,$2019,$1059,$960,$0,$245,$1899,$120,$-119,$1,$-219,$220,$220,$220,$712,$191,$83,85,$2.57,$2.55,$611,$0,$533,$2066,$704,$0,$1923,$12075,$15633,$17699,$1645,$12794,$2687,$15481,$17126,$1,$-1222,$-24,$573,$17699,$361,$2240,$-124,$2116,$-59,$0,$0,$197,$171,$2648,$-197,$0,$9579,$0,$-11599,$-11599,$13,$-2204,$-70,$-4,$-74,$-210,$-210,$0,$-24,$-308,$181,$13,$0
4,2017-09-30,38.06,$4.89,7.78,$100.63,0.38,$66.00,0.58,$1.35,28.19,$2.42B,$1.89B,1.28,$14.13B,$0.40B,35.24,$8.71B,$4.29B,49.31%,$8.71B,$0.40B,4.60%,$8.71B,$0.69B,7.87%,$8.71B,$2.90B,33.30%,$8.71B,$0.17B,1.92%,$8.71B,$0.11B,1.26%,$0.11B,$0.40B,48.30%,$0.11B,$-1.53B,-6.59%,$0.11B,$19.87B,0.57%,$0.40B,$14.53B,2.91%,$2752,$1256,$1496,$0,$320,$2336,$416,$-52,$364,$119,$245,$245,$245,$1115,$494,$83,84,$2.96,$2.91,$814,$0,$750,$2419,$693,$0,$1928,$13267,$17454,$19873,$1892,$14131,$3449,$17580,$19472,$1,$-1442,$-44,$401,$19873,$141,$1719,$64,$1783,$-112,$0,$0,$139,$117,$2041,$-138,$0,$6855,$0,$-9672,$-9672,$-21,$-2976,$1339,$-3,$1336,$-144,$-144,$0,$-17,$1175,$281,$8,$0
5,2017-06-30,27.27,$1.78,15.29,$96.80,0.28,$64.98,0.42,$0.72,37.88,$2.38B,$1.88B,1.27,$14.91B,$0.15B,100.73,$8.61B,$4.24B,49.18%,$8.61B,$0.39B,4.54%,$8.61B,$0.67B,7.83%,$8.61B,$2.86B,33.23%,$8.61B,$0.15B,1.72%,$8.61B,$0.07B,0.86%,$0.07B,$0.15B,30.08%,$0.07B,$-1.76B,-4.50%,$0.07B,$20.83B,0.38%,$0.39B,$15.06B,2.86%,$2238,$1108,$1130,$0,$293,$2174,$64,$-53,$11,$8,$3,$3,$3,$726,$137,$84,85,$0.04,$0.04,$776,$0,$837,$2375,$684,$0,$1910,$14221,$18457,$20832,$1875,$14908,$3901,$18809,$20684,$1,$-1687,$-78,$148,$20832,$-104,$1098,$61,$1159,$-36,$0,$0,$99,$84,$1139,$-86,$0,$-14,$0,$-33,$-33,$-3053,$-3186,$2265,$-1,$2264,$-109,$-109,$0,$-16,$2139,$128,$7,$0
6,2017-03-31,29.58,$1.66,17.83,$94.12,0.31,$63.03,0.47,$1.06,27.91,$2.29B,$2.06B,1.11,$13.01B,$0.14B,92.25,$8.62B,$4.23B,49.04%,$8.62B,$0.47B,5.41%,$8.62B,$0.75B,8.69%,$8.62B,$2.92B,33.91%,$8.62B,$0.20B,2.32%,$8.62B,$0.11B,1.24%,$0.11B,$0.14B,36.43%,$0.11B,$-1.73B,-6.72%,$0.11B,$18.98B,0.56%,$0.47B,$13.15B,3.41%,$1839,$1049,$790,$0,$262,$1949,$-110,$-55,$-165,$-58,$-107,$-107,$-107,$463,$-46,$86,86,$-1.25,$-1.25,$923,$0,$651,$2292,$684,$0,$1872,$12499,$16686,$18978,$2063,$13007,$3767,$16774,$18837,$1,$-1690,$-126,$141,$18978,$-107,$509,$28,$537,$30,$0,$0,$-6,$17,$447,$-42,$0,$0,$0,$-33,$-33,$-984,$-1059,$1023,$0,$1023,$-61,$-61,$0,$-12,$950,$350,$1,$0
7,2016-12-31,36.68,$2.57,14.27,$92.19,0.4,$62.79,0.58,$1.78,20.61,$1.82B,$1.77B,1.03,$12.12B,$0.22B,54.85,$8.66B,$4.28B,49.39%,$8.66B,$0.56B,6.46%,$8.66B,$0.84B,9.74%,$8.66B,$3.01B,34.76%,$8.66B,$0.28B,3.22%,$8.66B,$0.16B,1.88%,$0.16B,$0.22B,46.41%,$0.16B,$-1.66B,-10.53%,$0.16B,$17.64B,0.85%,$0.56B,$12.34B,4.05%,$1879,$1001,$878,$0,$238,$1848,$31,$-74,$-43,$-12,$-31,$-31,$-31,$596,$100,$92,93,$-0.40,$-0.38,$490,$0,$519,$1817,$685,$0,$1877,$11771,$15826,$17643,$1767,$12122,$3533,$15655,$17422,$1,$-1639,$-154,$221,$17643,$163,$2167,$95,$2262,$-65,$0,$0,$273,$215,$2640,$-190,$0,$10449,$0,$-12461,$-12461,$20,$-2182,$-10,$4,$-6,$-398,$-398,$0,$-45,$-449,$3,$27,$0
8,2016-09-30,34.21,$5.33,6.42,$90.17,0.38,$59.65,0.57,$2.07,16.53,$2.44B,$2.05B,1.19,$13.63B,$0.47B,28.75,$8.68B,$4.30B,49.48%,$8.68B,$0.60B,6.90%,$8.68B,$0.89B,10.19%,$8.68B,$3.04B,34.99%,$8.68B,$0.33B,3.75%,$8.68B,$0.19B,2.18%,$0.19B,$0.47B,46.58%,$0.19B,$-1.42B,-12.62%,$0.19B,$19.48B,0.98%,$0.60B,$14.10B,4.31%,$2656,$1219,$1437,$0,$315,$2250,$406,$-61,$345,$136,$209,$209,$209,$1077,$483,$90,92,$2.32,$2.28,$985,$0,$635,$2442,$671,$0,$1898,$13021,$17033,$19475,$2051,$13628,$3322,$16950,$19001,$1,$-1608,$-47,$474,$19475,$194,$1671,$16,$1687,$-149,$0,$0,$256,$230,$2111,$-125,$0,$-4,$0,$0,$0,$-2626,$-2755,$1496,$1,$1497,$-299,$-299,$0,$-35,$1163,$533,$21,$0
9,2016-06-30,32.23,$3.68,8.75,$86.01,0.37,$56.40,0.57,$1.56,20.66,$2.14B,$1.77B,1.21,$14.67B,$0.34B,43.27,$8.60B,$4.23B,49.22%,$8.60B,$0.57B,6.60%,$8.60B,$0.85B,9.90%,$8.60B,$2.99B,34.70%,$8.60B,$0.29B,3.41%,$8.60B,$0.16B,1.91%,$0.16B,$0.34B,37.51%,$0.16B,$-1.56B,-11.21%,$0.16B,$20.48B,0.86%,$0.57B,$15.01B,4.09%,$2243,$1122,$1121,$0,$312,$2104,$139,$-76,$63,$27,$36,$36,$36,$786,$212,$94,95,$0.39,$0.38,$527,$0,$856,$2143,$683,$0,$1900,$14267,$18340,$20483,$1771,$14667,$3706,$18373,$20144,$1,$-1817,$-73,$339,$20483,$-15,$1077,$12,$1089,$-106,$0,$0,$103,$5,$1079,$-89,$0,$5415,$0,$-8500,$-8500,$93,$-3081,$2274,$0,$2274,$-183,$-183,$0,$-27,$2064,$75,$14,$0
