,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,8.22,$6.84,1.2,$3.84,2.14,$1.68,4.89,$0.29,28.34,$0.42B,$0.39B,1.07,$0.03B,$0.05B,0.53,$0.02B,$0.02B,77.27%,$0.02B,$0.00B,18.18%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,18.18%,$0.02B,$0.00B,13.64%,$0.00B,$0.05B,7.74%,$0.00B,$0.05B,7.74%,$0.00B,$0.47B,0.67%,$0.00B,$0.08B,5.67%,$6,$1,$5,$0,$3,$4,$1,$-0,$1,$0,$1,$1,$1,$0,$0,$7,7,$0.13,$0.13,$37,$0,$0,$415,$6,$32,$0,$12,$50,$465,$387,$26,$3,$29,$416,$18,$6,$-1,$49,$465,$2,$1,$0,$1,$-0,$0,$0,$0,$0,$3,$0,$0,$0,$0,$-0,$-0,$-34,$-34,$-8,$0,$-8,$18,$18,$0,$46,$57,$26,$0,$0
1,2018-06-30,8.24,$6.73,1.22,$4.03,2.04,$1.68,4.89,$0.23,35.83,$0.42B,$0.39B,1.07,$0.03B,$0.05B,0.54,$0.02B,$0.02B,76.19%,$0.02B,$0.00B,19.05%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,19.05%,$0.02B,$0.00B,9.52%,$0.00B,$0.05B,5.88%,$0.00B,$0.05B,5.88%,$0.00B,$0.47B,0.46%,$0.00B,$0.07B,5.99%,$6,$1,$4,$0,$3,$5,$1,$-0,$1,$0,$1,$1,$1,$0,$0,$7,7,$0.08,$0.08,$51,$0,$0,$422,$6,$30,$0,$12,$49,$471,$394,$26,$3,$29,$423,$18,$5,$-1,$48,$471,$1,$0,$0,$1,$-0,$0,$0,$0,$0,$2,$0,$0,$0,$0,$2,$2,$-27,$-25,$-8,$0,$-8,$18,$18,$0,$53,$64,$40,$0,$0
2,2018-03-31,9.29,$6.30,1.47,$4.16,2.23,$1.60,5.79,$0.19,48.89,$0.40B,$0.37B,1.07,$0.04B,$0.03B,1.4,$0.02B,$0.02B,80.00%,$0.02B,$0.00B,15.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,15.00%,$0.02B,$0.00B,5.00%,$0.00B,$0.03B,3.39%,$0.00B,$0.03B,3.42%,$0.00B,$0.45B,0.24%,$0.00B,$0.07B,4.80%,$5,$1,$4,$0,$3,$4,$1,$0,$1,$0,$1,$1,$1,$0,$0,$5,5,$0.12,$0.12,$34,$0,$0,$398,$6,$30,$0,$12,$49,$447,$373,$41,$3,$44,$417,$12,$5,$-1,$29,$447,$1,$0,$0,$0,$-0,$0,$0,$-0,$0,$1,$-0,$0,$0,$0,$1,$1,$-20,$-19,$7,$0,$7,$0,$0,$0,$32,$40,$21,$0,$0
3,2017-12-31,9.55,$6.25,1.53,$3.98,2.4,$1.41,6.76,$0.11,86.82,$0.36B,$0.34B,1.05,$0.03B,$0.03B,1.15,$0.02B,$0.02B,78.95%,$0.02B,$0.00B,10.53%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,10.53%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.41B,0.00%,$0.00B,$0.06B,3.39%,$5,$1,$4,$0,$4,$4,$1,$0,$1,$1,$-0,$-0,$-0,$0,$0,$5,5,$-0.08,$-0.06,$11,$0,$0,$357,$6,$32,$0,$11,$50,$407,$341,$33,$3,$37,$377,$12,$5,$-1,$29,$407,$0,$1,$2,$3,$-0,$0,$0,$0,$0,$3,$0,$0,$0,$0,$-5,$-5,$-47,$-52,$9,$0,$9,$0,$0,$0,$22,$31,$-17,$0,$0
4,2017-09-30,8.18,$6.39,1.28,$3.80,2.15,$1.44,5.7,$0.22,37.18,$0.35B,$0.34B,1.04,$0.03B,$0.03B,1.01,$0.02B,$0.02B,83.33%,$0.02B,$0.00B,11.11%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,11.11%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.40B,0.00%,$0.00B,$0.06B,3.54%,$5,$1,$4,$0,$3,$4,$1,$0,$1,$0,$0,$0,$0,$0,$0,$5,5,$0.08,$0.07,$15,$0,$0,$353,$7,$30,$0,$11,$47,$400,$338,$30,$3,$32,$371,$12,$5,$-0,$30,$400,$1,$1,$1,$2,$-0,$0,$0,$-0,$-0,$2,$0,$0,$0,$0,$-2,$-2,$-38,$-39,$6,$0,$6,$0,$0,$0,$19,$25,$-12,$0,$0
5,2017-06-30,7.48,$6.35,1.18,$3.72,2.01,$1.61,4.64,$0.16,46.75,$0.34B,$0.33B,1.03,$0.03B,$0.03B,0.91,$0.02B,$0.02B,88.24%,$0.02B,$0.00B,5.88%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,5.88%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.39B,0.00%,$0.00B,$0.06B,1.89%,$5,$1,$4,$0,$3,$4,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5,5,$0.04,$0.04,$20,$0,$0,$342,$7,$31,$0,$11,$48,$390,$331,$27,$2,$29,$361,$12,$5,$-0,$30,$390,$0,$0,$1,$1,$-0,$0,$-0,$-0,$-1,$1,$-0,$0,$0,$0,$-2,$-2,$-22,$-24,$3,$0,$3,$0,$0,$0,$12,$15,$-8,$0,$0
6,2017-03-31,7.94,$6.31,1.26,$3.70,2.15,$1.93,4.12,$0.20,39.71,$0.34B,$0.32B,1.04,$0.03B,$0.03B,0.92,$0.02B,$0.02B,93.75%,$0.02B,$0.00B,12.50%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,12.50%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.38B,0.00%,$0.00B,$0.06B,3.96%,$4,$1,$3,$0,$3,$4,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5,5,$0.05,$0.04,$27,$0,$0,$336,$7,$28,$0,$12,$47,$382,$324,$27,$3,$30,$353,$12,$4,$-0,$29,$382,$0,$0,$0,$1,$0,$0,$0,$-1,$-0,$0,$-0,$0,$0,$0,$0,$0,$-9,$-9,$3,$0,$3,$0,$0,$0,$5,$8,$-1,$0,$0
7,2016-12-31,6.4,$6.24,1.03,$3.71,1.72,$2.01,3.18,$0.24,26.67,$0.33B,$0.32B,1.05,$0.02B,$0.03B,0.83,$0.02B,$0.02B,100.00%,$0.02B,$0.00B,18.75%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,18.75%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.38B,0.00%,$0.00B,$0.05B,6.15%,$4,$1,$4,$0,$3,$4,$1,$0,$1,$0,$0,$0,$0,$0,$0,$5,5,$0.06,$0.07,$28,$0,$0,$334,$6,$28,$0,$7,$41,$375,$319,$24,$3,$27,$346,$12,$4,$-0,$29,$375,$1,$1,$1,$2,$0,$0,$0,$-0,$0,$3,$0,$0,$0,$0,$-4,$-4,$-17,$-21,$11,$-2,$8,$0,$-3,$-0,$34,$39,$21,$0,$0
8,2016-09-30,6.1,$6.82,0.89,$3.68,1.66,$1.89,3.22,$0.22,27.73,$0.33B,$0.32B,1.03,$0.01B,$0.03B,0.45,$0.02B,$0.02B,100.00%,$0.02B,$0.00B,12.50%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,12.50%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.37B,0.00%,$0.00B,$0.05B,4.30%,$4,$1,$4,$0,$3,$4,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5,5,$0.01,$0.01,$33,$0,$0,$332,$6,$28,$0,$7,$40,$372,$323,$14,$3,$17,$340,$12,$4,$0,$32,$372,$1,$0,$1,$1,$0,$0,$0,$-0,$-0,$2,$1,$0,$0,$0,$-3,$-3,$-10,$-12,$1,$-2,$-1,$0,$0,$-0,$38,$37,$27,$0,$0
9,2016-06-30,5.9,$6.83,0.86,$3.65,1.62,$1.53,3.86,$0.29,20.34,$0.33B,$0.32B,1.03,$0.02B,$0.03B,0.53,$0.02B,$0.02B,100.00%,$0.02B,$0.00B,18.75%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,18.75%,$0.02B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.37B,0.00%,$0.00B,$0.05B,7.02%,$4,$1,$4,$0,$3,$4,$1,$0,$1,$0,$0,$0,$0,$0,$0,$5,5,$0.09,$0.08,$43,$0,$0,$333,$6,$28,$0,$7,$41,$374,$324,$15,$3,$18,$342,$12,$4,$0,$32,$374,$1,$0,$1,$1,$0,$0,$0,$-0,$-0,$2,$1,$0,$0,$0,$-3,$-3,$-1,$-4,$2,$-2,$-0,$0,$0,$-0,$39,$38,$36,$0,$0
