,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,133.64,$110.46,1.21,$70.64,1.89,$23.78,5.62,$10.97,12.18,$26.64B,$101.79B,0.26,$12.15B,$50.93B,0.24,$33.11B,$8.89B,26.87%,$33.11B,$6.05B,18.29%,$33.11B,$6.05B,18.29%,$33.11B,$7.00B,21.13%,$33.11B,$5.29B,15.99%,$33.11B,$5.14B,15.53%,$5.14B,$50.93B,10.06%,$5.14B,$29.46B,17.58%,$5.14B,$167.68B,3.06%,$6.05B,$63.08B,9.57%,$8750,$6499,$2251,$0,$719,$7156,$1594,$-180,$1414,$183,$1231,$1231,$1231,$1820,$1594,$463,466,$2.66,$2.64,$1157,$0,$0,$26644,$0,$102974,$21471,$11693,$141040,$167684,$101787,$12149,$2143,$14963,$116750,$11121,$31491,$-2159,$50934,$167684,$3607,$707,$11,$718,$-1293,$0,$1787,$-129,$547,$3897,$0,$0,$0,$64,$-1591,$-1527,$-600,$-2127,$176,$0,$176,$-646,$-646,$-1001,$47,$-1424,$306,$0,$-1001
1,2018-06-30,127.02,$109.97,1.16,$70.32,1.81,$22.73,5.59,$8.18,15.53,$26.44B,$101.39B,0.26,$12.18B,$50.97B,0.24,$32.97B,$7.35B,22.29%,$32.97B,$4.51B,13.67%,$32.97B,$4.51B,13.67%,$32.97B,$5.46B,16.56%,$32.97B,$3.73B,11.30%,$32.97B,$3.84B,11.65%,$3.84B,$50.97B,7.53%,$3.84B,$29.21B,13.27%,$3.84B,$167.53B,2.29%,$4.51B,$63.16B,7.15%,$8510,$6101,$2409,$0,$747,$6818,$1692,$-180,$1512,$218,$1294,$1294,$1294,$1933,$1692,$465,468,$2.78,$2.76,$1101,$0,$0,$26438,$0,$103042,$21759,$11379,$141096,$167534,$101390,$12184,$2355,$15173,$116563,$11121,$30260,$-1520,$50971,$167534,$2376,$481,$-87,$394,$-951,$0,$698,$-205,$-234,$2197,$0,$0,$0,$401,$-1121,$-720,$-540,$-1260,$276,$0,$276,$-287,$-287,$-661,$23,$-649,$250,$0,$-661
2,2018-03-31,135.98,$110.10,1.24,$69.34,1.96,$21.52,6.32,$8.19,16.6,$26.85B,$101.89B,0.26,$12.79B,$51.29B,0.25,$32.56B,$7.29B,22.39%,$32.56B,$4.54B,13.93%,$32.56B,$4.54B,13.93%,$32.56B,$5.48B,16.84%,$32.56B,$3.72B,11.42%,$32.56B,$3.85B,11.82%,$3.85B,$51.29B,7.58%,$3.85B,$29.16B,13.41%,$3.85B,$168.78B,2.31%,$4.54B,$64.07B,7.23%,$7831,$5717,$2114,$0,$692,$6447,$1384,$-167,$1217,$135,$1082,$1082,$1082,$1624,$1384,$466,469,$2.32,$2.30,$2113,$0,$0,$26846,$0,$103985,$22123,$10984,$141935,$168781,$101893,$12786,$2039,$15601,$117494,$11121,$28965,$-502,$51287,$168781,$1082,$240,$0,$240,$-33,$0,$-725,$-42,$-712,$551,$0,$0,$0,$731,$-1428,$-697,$-184,$-881,$1879,$0,$1879,$-29,$-29,$-330,$47,$1567,$1262,$0,$-330
3,2017-12-31,144.54,$110.32,1.31,$68.54,2.11,$22.49,6.43,$8.20,17.63,$25.40B,$101.55B,0.25,$11.56B,$51.17B,0.23,$32.24B,$7.33B,22.74%,$32.24B,$4.64B,14.39%,$32.24B,$4.64B,14.39%,$32.24B,$5.59B,17.35%,$32.24B,$3.72B,11.54%,$32.24B,$3.86B,11.97%,$3.86B,$51.17B,7.68%,$3.86B,$29.12B,13.69%,$3.86B,$167.02B,2.35%,$4.64B,$62.73B,7.47%,$8015,$5895,$2120,$0,$737,$6631,$1384,$-233,$1151,$-382,$1533,$1533,$1533,$1618,$1384,$467,471,$3.29,$3.26,$851,$0,$0,$25403,$0,$104341,$22054,$10501,$141619,$167022,$101550,$11556,$1737,$14300,$115850,$11121,$27474,$543,$51172,$167022,$3861,$954,$-611,$343,$-1491,$0,$2372,$-82,$434,$4503,$0,$0,$0,$-537,$-1791,$-2328,$-114,$-2442,$-496,$0,$-496,$-650,$-650,$-1308,$135,$-2319,$-257,$0,$-1308
4,2017-09-30,140.32,$108.74,1.29,$69.06,2.03,$24.29,5.78,$8.34,16.82,$25.63B,$102.34B,0.25,$11.56B,$50.47B,0.23,$32.40B,$7.95B,24.53%,$32.40B,$5.41B,16.70%,$32.40B,$5.41B,16.70%,$32.40B,$6.47B,19.97%,$32.40B,$4.44B,13.71%,$32.40B,$3.94B,12.16%,$3.94B,$50.47B,7.94%,$3.94B,$28.21B,14.33%,$3.94B,$167.58B,2.42%,$5.41B,$62.03B,8.78%,$8610,$7904,$706,$0,$714,$8565,$45,$-200,$-155,$-85,$-70,$-70,$-70,$283,$45,$466,466,$-0.15,$-0.15,$1088,$0,$0,$25631,$0,$104326,$22265,$10665,$141947,$167578,$102344,$11559,$1757,$14763,$117107,$11121,$25941,$1069,$50471,$167578,$2328,$720,$-235,$485,$-1325,$0,$2734,$-14,$1133,$3411,$0,$0,$0,$44,$-1325,$-1281,$-60,$-1341,$-495,$0,$-495,$-598,$-598,$-978,$101,$-1970,$105,$0,$-978
5,2017-06-30,142.39,$108.19,1.32,$68.69,2.07,$25.12,5.67,$11.37,12.52,$24.52B,$98.00B,0.25,$11.67B,$50.35B,0.23,$32.31B,$9.83B,30.42%,$32.31B,$7.27B,22.49%,$32.31B,$7.27B,22.49%,$32.31B,$8.59B,26.60%,$32.31B,$6.23B,19.29%,$32.31B,$5.37B,16.61%,$5.37B,$50.35B,10.94%,$5.37B,$28.34B,19.96%,$5.37B,$162.99B,3.33%,$7.27B,$62.02B,11.85%,$8108,$5758,$2350,$0,$706,$6384,$1724,$-219,$1505,$200,$1305,$1305,$1305,$1958,$1724,$468,472,$2.79,$2.77,$1297,$0,$0,$24515,$0,$102108,$22013,$9806,$138473,$162988,$97996,$11667,$1546,$14643,$112639,$11121,$26011,$370,$50349,$162988,$2398,$482,$-206,$276,$-278,$0,$-216,$-139,$-736,$1640,$0,$0,$0,$354,$-129,$225,$-102,$123,$-495,$0,$-495,$-386,$-386,$-646,$84,$-1443,$331,$0,$-646
6,2017-03-31,132.8,$105.35,1.26,$68.27,1.95,$26.21,5.07,$10.14,13.1,$23.90B,$97.10B,0.25,$12.30B,$49.22B,0.25,$32.10B,$9.42B,29.33%,$32.10B,$6.68B,20.80%,$32.10B,$6.68B,20.80%,$32.10B,$8.50B,26.46%,$32.10B,$5.61B,17.47%,$32.10B,$4.79B,14.92%,$4.79B,$49.22B,9.92%,$4.79B,$27.16B,18.50%,$4.79B,$160.97B,2.98%,$6.68B,$61.52B,10.98%,$7510,$5354,$2156,$0,$676,$6024,$1486,$-265,$1221,$128,$1093,$1093,$1093,$1734,$1486,$469,473,$2.33,$2.31,$1063,$0,$0,$23899,$0,$101399,$22061,$9202,$137068,$160967,$97096,$12300,$1072,$14647,$111743,$11121,$24706,$0,$49224,$160967,$1093,$248,$-120,$128,$-97,$0,$-336,$-81,$-323,$1013,$0,$0,$0,$232,$-309,$-77,$11,$-66,$-499,$0,$-499,$-128,$-128,$-324,$93,$-858,$72,$0,$-324
7,2016-12-31,128.13,$103.60,1.24,$67.66,1.89,$26.33,4.87,$8.81,14.54,$23.71B,$96.51B,0.25,$12.61B,$48.28B,0.26,$31.47B,$8.93B,28.36%,$31.47B,$6.05B,19.22%,$31.47B,$6.05B,19.22%,$31.47B,$8.36B,26.57%,$31.47B,$4.95B,15.73%,$31.47B,$4.14B,13.14%,$4.14B,$48.28B,8.72%,$4.14B,$26.18B,16.72%,$4.14B,$159.79B,2.59%,$6.05B,$60.89B,10.07%,$8168,$5433,$2735,$0,$708,$6014,$2154,$-285,$1869,$259,$1610,$1610,$1610,$2496,$2154,$463,466,$3.51,$3.48,$985,$0,$0,$23714,$0,$101033,$22095,$8630,$136072,$159786,$96512,$12610,$1093,$14999,$111511,$11121,$23613,$-314,$48275,$159786,$4135,$2315,$241,$2556,$-974,$0,$591,$18,$-218,$5292,$0,$0,$-14248,$12350,$-3427,$8923,$10,$-5315,$-1,$0,$-1,$167,$167,$-1173,$265,$-742,$-790,$0,$-1173
8,2016-09-30,121.22,$103.96,1.17,$64.36,1.88,$26.73,4.54,$7.48,16.21,$23.01B,$97.95B,0.24,$12.62B,$48.37B,0.26,$27.98B,$7.67B,27.42%,$27.98B,$4.76B,17.01%,$27.98B,$4.76B,17.01%,$27.98B,$6.95B,24.83%,$27.98B,$3.83B,13.69%,$27.98B,$3.21B,11.47%,$3.21B,$48.37B,7.52%,$3.21B,$25.90B,13.34%,$3.21B,$161.81B,2.21%,$4.76B,$60.99B,8.74%,$8527,$5938,$2589,$0,$772,$6623,$1904,$-267,$1637,$277,$1360,$1360,$1360,$2406,$1904,$468,471,$2.90,$2.88,$870,$0,$0,$23006,$0,$102984,$22472,$9110,$138804,$161810,$97950,$12621,$1141,$15488,$113438,$11121,$22003,$1197,$48372,$161810,$2525,$1973,$497,$2470,$-448,$0,$538,$33,$431,$3837,$0,$0,$-14248,$11866,$-1918,$9948,$26,$-4274,$2,$0,$2,$117,$117,$-851,$222,$-510,$-905,$0,$-851
9,2016-06-30,125.41,$101.56,1.23,$61.16,2.05,$26.84,4.67,$6.22,20.16,$22.98B,$97.49B,0.24,$12.63B,$47.23B,0.27,$24.32B,$6.45B,26.52%,$24.32B,$3.59B,14.77%,$24.32B,$3.59B,14.77%,$24.32B,$5.32B,21.88%,$24.32B,$2.85B,11.73%,$24.32B,$2.38B,9.77%,$2.38B,$47.23B,6.28%,$2.38B,$24.30B,10.14%,$2.38B,$160.20B,1.84%,$3.59B,$59.86B,7.56%,$7897,$5960,$1937,$0,$829,$6765,$1132,$-251,$881,$155,$726,$726,$726,$1859,$1132,$468,471,$1.55,$1.54,$1011,$0,$0,$22977,$0,$101804,$22923,$8551,$137226,$160203,$97486,$12631,$1143,$15491,$112977,$11121,$20643,$1181,$47226,$160203,$1165,$1471,$658,$2129,$-266,$0,$265,$12,$78,$2153,$0,$0,$-14248,$11711,$-216,$11495,$81,$-2672,$2,$0,$2,$92,$92,$-530,$167,$-269,$-764,$0,$-530
