,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,55.8,$-2.71,-20.6,$11.30,4.94,$3.74,14.92,$0.33,169.09,$0.36B,$0.07B,4.96,$0.78B,$-0.13B,-6.23,$0.51B,$0.30B,57.70%,$0.51B,$0.09B,16.57%,$0.51B,$0.09B,16.57%,$0.51B,$0.17B,32.36%,$0.51B,$0.04B,7.41%,$0.51B,$0.02B,3.12%,$0.02B,$-0.13B,-14.51%,$0.02B,$-0.13B,-14.51%,$0.02B,$0.76B,2.22%,$0.09B,$0.66B,13.72%,$130,$55,$76,$0,$33,$108,$22,$-11,$11,$3,$8,$8,$8,$43,$22,$45,46,$0.18,$0.18,$285,$0,$0,$359,$381,$0,$0,$11,$399,$757,$72,$784,$27,$811,$883,$0,$-590,$-9,$-126,$757,$22,$61,$13,$74,$-2,$0,$0,$5,$-2,$93,$-39,$0,$0,$0,$0,$0,$0,$-39,$55,$0,$55,$2,$2,$-71,$0,$-15,$38,$13,$-71
1,2018-06-30,52.86,$-2.47,-21.42,$11.18,4.73,$3.56,14.87,$0.23,229.84,$0.30B,$0.08B,3.96,$0.71B,$-0.12B,-6.22,$0.51B,$0.29B,57.11%,$0.51B,$0.08B,16.01%,$0.51B,$0.08B,16.01%,$0.51B,$0.16B,31.62%,$0.51B,$0.03B,6.72%,$0.51B,$0.01B,2.37%,$0.01B,$-0.12B,-12.15%,$0.01B,$-0.12B,-12.15%,$0.01B,$0.70B,1.68%,$0.08B,$0.60B,13.23%,$129,$54,$75,$0,$34,$108,$21,$-12,$9,$3,$7,$7,$7,$42,$21,$45,46,$0.15,$0.14,$224,$0,$0,$297,$383,$0,$0,$12,$403,$700,$75,$713,$27,$740,$815,$0,$-574,$-8,$-115,$700,$13,$41,$8,$49,$-1,$0,$0,$2,$-1,$61,$-27,$0,$0,$0,$0,$0,$0,$-27,$-10,$0,$-10,$1,$1,$-47,$0,$-56,$-23,$8,$-47
2,2018-03-31,42.53,$-2.10,-20.28,$11.00,3.87,$3.40,12.5,$0.19,223.83,$0.31B,$0.07B,4.13,$0.71B,$-0.10B,-7.33,$0.50B,$0.28B,56.94%,$0.50B,$0.08B,15.90%,$0.50B,$0.08B,15.90%,$0.50B,$0.16B,31.39%,$0.50B,$0.03B,6.64%,$0.50B,$0.01B,1.81%,$0.01B,$-0.10B,-10.26%,$0.01B,$-0.10B,-10.26%,$0.01B,$0.72B,1.25%,$0.08B,$0.62B,12.73%,$129,$55,$74,$0,$34,$108,$21,$-11,$10,$3,$7,$7,$7,$41,$21,$45,45,$0.15,$0.15,$236,$0,$0,$308,$386,$0,$0,$12,$409,$716,$74,$712,$27,$739,$814,$0,$-556,$-2,$-97,$716,$7,$20,$3,$23,$1,$0,$0,$1,$-0,$30,$-15,$0,$0,$0,$0,$0,$0,$-15,$-4,$0,$-4,$0,$0,$-23,$0,$-27,$-11,$4,$-23
3,2017-12-31,43.88,$-2.23,-19.67,$10.77,4.08,$3.32,13.23,$0.13,337.57,$0.31B,$0.08B,4.11,$0.71B,$-0.10B,-6.93,$0.49B,$0.28B,56.91%,$0.49B,$0.08B,15.88%,$0.49B,$0.08B,15.88%,$0.49B,$0.15B,31.34%,$0.49B,$0.03B,6.39%,$0.49B,$0.01B,1.24%,$0.01B,$-0.10B,-7.55%,$0.01B,$-0.10B,-7.55%,$0.01B,$0.71B,0.83%,$0.08B,$0.61B,12.32%,$125,$54,$71,$0,$32,$105,$21,$-12,$8,$15,$-6,$-6,$-6,$40,$21,$45,45,$-0.14,$-0.14,$247,$0,$0,$306,$381,$0,$0,$6,$404,$711,$75,$711,$28,$739,$813,$0,$-555,$-5,$-103,$711,$6,$77,$8,$86,$-4,$0,$0,$27,$20,$112,$-46,$0,$0,$0,$0,$0,$0,$-46,$-15,$0,$-15,$-1,$-1,$-82,$0,$-97,$-27,$13,$-82
4,2017-09-30,46.89,$-1.74,-26.89,$10.57,4.43,$3.26,14.4,$0.36,130.24,$0.31B,$0.07B,4.22,$0.71B,$-0.08B,-8.84,$0.48B,$0.27B,56.93%,$0.48B,$0.07B,14.92%,$0.48B,$0.07B,14.92%,$0.48B,$0.15B,30.88%,$0.48B,$0.03B,5.88%,$0.48B,$0.02B,3.36%,$0.02B,$-0.08B,-23.88%,$0.02B,$-0.08B,-23.88%,$0.02B,$0.73B,2.18%,$0.07B,$0.63B,11.20%,$123,$54,$69,$0,$33,$105,$18,$-11,$7,$3,$4,$4,$4,$37,$18,$45,45,$0.08,$0.08,$251,$0,$0,$310,$381,$0,$0,$6,$420,$730,$74,$708,$28,$736,$810,$0,$-527,$-6,$-80,$730,$12,$57,$5,$63,$-4,$0,$0,$11,$6,$80,$-35,$0,$0,$0,$0,$0,$0,$-35,$-12,$0,$-12,$-1,$-1,$-60,$0,$-72,$-24,$10,$-60
5,2017-06-30,38.05,$-1.55,-24.54,$10.37,3.67,$3.06,12.43,$0.36,105.69,$0.31B,$0.07B,4.33,$0.70B,$-0.07B,-9.87,$0.47B,$0.27B,57.08%,$0.47B,$0.07B,14.81%,$0.47B,$0.07B,14.81%,$0.47B,$0.15B,31.12%,$0.47B,$0.03B,5.79%,$0.47B,$0.02B,3.22%,$0.02B,$-0.07B,-26.32%,$0.02B,$-0.07B,-26.32%,$0.02B,$0.73B,2.13%,$0.07B,$0.63B,11.33%,$120,$51,$69,$0,$32,$101,$19,$-11,$8,$4,$4,$4,$4,$38,$19,$45,45,$0.10,$0.10,$256,$0,$0,$313,$377,$0,$0,$7,$419,$732,$72,$702,$29,$731,$804,$0,$-509,$-10,$-71,$732,$8,$38,$2,$40,$-0,$0,$0,$5,$3,$52,$-24,$0,$0,$0,$0,$0,$0,$-24,$-7,$0,$-7,$-1,$-1,$-39,$0,$-47,$-18,$6,$-39
6,2017-03-31,40.4,$-1.40,-28.9,$10.16,3.97,$2.94,13.72,$0.35,115.43,$0.32B,$0.07B,4.59,$0.70B,$-0.06B,-10.97,$0.46B,$0.26B,56.80%,$0.46B,$0.07B,14.91%,$0.46B,$0.07B,14.91%,$0.46B,$0.14B,31.58%,$0.46B,$0.03B,5.92%,$0.46B,$0.02B,3.29%,$0.02B,$-0.06B,-32.26%,$0.02B,$-0.06B,-32.26%,$0.02B,$0.73B,2.21%,$0.07B,$0.63B,11.62%,$117,$51,$67,$0,$31,$99,$19,$-11,$8,$3,$4,$4,$4,$37,$19,$45,45,$0.09,$0.09,$263,$0,$0,$318,$369,$0,$0,$7,$415,$733,$69,$698,$29,$727,$796,$0,$-494,$-16,$-64,$733,$4,$19,$0,$19,$0,$0,$0,$2,$0,$24,$-12,$0,$0,$0,$0,$0,$0,$-12,$-4,$0,$-4,$0,$0,$-19,$0,$-23,$-11,$3,$-19
7,2016-12-31,38.39,$-1.17,-32.79,$9.98,3.85,$2.97,12.91,$0.34,112.92,$0.33B,$0.07B,4.82,$0.70B,$-0.05B,-13.05,$0.45B,$0.25B,56.60%,$0.45B,$0.07B,14.54%,$0.45B,$0.07B,14.54%,$0.45B,$0.14B,31.54%,$0.45B,$0.03B,5.59%,$0.45B,$0.01B,3.13%,$0.01B,$-0.05B,-40.00%,$0.01B,$-0.05B,-40.00%,$0.01B,$0.74B,2.12%,$0.07B,$0.64B,11.47%,$116,$50,$66,$0,$31,$101,$15,$-10,$5,$1,$4,$4,$4,$35,$15,$45,45,$0.08,$0.08,$274,$0,$0,$328,$362,$0,$0,$6,$410,$738,$68,$695,$28,$723,$791,$0,$-479,$-17,$-53,$738,$15,$76,$4,$80,$-3,$0,$0,$6,$13,$108,$-45,$0,$0,$0,$0,$0,$0,$-45,$91,$0,$91,$-3,$-3,$-68,$-11,$8,$71,$11,$-68
8,2016-09-30,33.83,$-0.89,-38.05,$9.74,3.47,$2.64,12.79,$0.31,109.12,$0.20B,$0.06B,3.27,$0.57B,$-0.04B,-14.07,$0.44B,$0.25B,56.42%,$0.44B,$0.07B,15.14%,$0.44B,$0.07B,15.14%,$0.44B,$0.14B,32.11%,$0.44B,$0.03B,5.96%,$0.44B,$0.01B,2.75%,$0.01B,$-0.04B,-48.48%,$0.01B,$-0.04B,-48.48%,$0.01B,$0.62B,1.87%,$0.07B,$0.53B,12.07%,$113,$49,$64,$0,$30,$97,$16,$-10,$6,$3,$3,$3,$3,$35,$16,$45,45,$0.08,$0.08,$148,$0,$0,$202,$371,$0,$0,$8,$415,$618,$62,$570,$27,$596,$658,$0,$-471,$-12,$-40,$618,$11,$56,$1,$57,$-2,$0,$0,$4,$6,$74,$-38,$0,$0,$0,$0,$0,$0,$-38,$-42,$0,$-42,$-1,$-1,$-50,$0,$-92,$-55,$8,$-50
9,2016-06-30,36.43,$-0.65,-56.03,$9.52,3.83,$2.54,14.36,$0.30,121.44,$0.21B,$0.07B,3.16,$0.57B,$-0.03B,-19.23,$0.43B,$0.24B,56.34%,$0.43B,$0.07B,15.49%,$0.43B,$0.07B,15.49%,$0.43B,$0.14B,32.39%,$0.43B,$0.03B,6.10%,$0.43B,$0.01B,2.82%,$0.01B,$-0.03B,-82.76%,$0.01B,$-0.03B,-82.76%,$0.01B,$0.63B,1.83%,$0.07B,$0.54B,11.83%,$110,$48,$62,$0,$30,$92,$18,$-10,$8,$3,$4,$4,$4,$37,$18,$44,45,$0.09,$0.09,$155,$0,$0,$208,$371,$0,$0,$8,$418,$626,$66,$565,$25,$590,$656,$0,$-457,$-13,$-29,$626,$8,$37,$-1,$36,$-1,$0,$0,$0,$8,$51,$-29,$0,$0,$0,$0,$0,$0,$-29,$-39,$0,$-39,$1,$1,$-33,$0,$-71,$-49,$5,$-33
