,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,8.73,$6.55,1.33,$23.25,0.38,$2.41,3.62,$0.85,10.27,$0.21B,$0.09B,2.24,$0.08B,$0.24B,0.35,$0.84B,$0.22B,26.08%,$0.84B,$0.01B,0.60%,$0.84B,$0.01B,0.60%,$0.84B,$0.02B,2.03%,$0.84B,$-0.00B,-0.12%,$0.84B,$0.03B,3.83%,$0.03B,$0.24B,13.50%,$0.03B,$0.04B,93.43%,$0.03B,$0.46B,6.94%,$0.01B,$0.32B,1.53%,$201,$149,$52,$0,$44,$198,$3,$-1,$1,$1,$-0,$-0,$-0,$6,$3,$36,36,$-0.01,$-0.01,$28,$0,$2,$206,$13,$0,$200,$20,$251,$457,$92,$83,$45,$128,$220,$0,$-64,$-1,$237,$457,$4,$9,$11,$19,$3,$0,$0,$-2,$-1,$22,$-3,$0,$-0,$0,$0,$0,$0,$-4,$-9,$0,$-9,$-5,$-5,$0,$-2,$-16,$3,$2,$0
1,2018-06-30,11.25,$6.53,1.72,$23.95,0.47,$2.58,4.36,$1.05,10.71,$0.21B,$0.09B,2.33,$0.09B,$0.24B,0.38,$0.86B,$0.23B,26.19%,$0.86B,$0.01B,1.16%,$0.86B,$0.01B,1.16%,$0.86B,$0.02B,2.55%,$0.86B,$0.01B,0.58%,$0.86B,$0.04B,4.52%,$0.04B,$0.24B,16.96%,$0.04B,$0.04B,177.27%,$0.04B,$0.46B,8.46%,$0.01B,$0.33B,3.10%,$205,$151,$54,$0,$45,$200,$4,$-1,$3,$1,$2,$2,$2,$7,$4,$36,36,$0.04,$0.04,$33,$0,$1,$206,$14,$0,$202,$19,$254,$459,$88,$90,$43,$134,$222,$0,$-64,$-1,$237,$459,$4,$6,$6,$12,$9,$0,$0,$-2,$2,$18,$-2,$0,$-0,$0,$0,$0,$0,$-2,$-3,$0,$-3,$-5,$-5,$0,$-1,$-9,$7,$1,$0
2,2018-03-31,11.11,$6.49,1.71,$24.05,0.46,$2.76,4.03,$1.14,9.75,$0.20B,$0.09B,2.32,$0.09B,$0.24B,0.39,$0.87B,$0.23B,26.41%,$0.87B,$0.01B,1.38%,$0.87B,$0.01B,1.38%,$0.87B,$0.02B,2.77%,$0.87B,$0.01B,0.92%,$0.87B,$0.04B,4.84%,$0.04B,$0.24B,18.98%,$0.04B,$0.03B,160.00%,$0.04B,$0.46B,9.51%,$0.01B,$0.33B,4.00%,$210,$157,$54,$0,$46,$206,$4,$-1,$3,$1,$2,$2,$2,$7,$4,$36,36,$0.05,$0.05,$33,$0,$1,$203,$14,$0,$203,$19,$256,$460,$88,$92,$44,$136,$224,$0,$-65,$-2,$236,$460,$2,$3,$2,$5,$13,$0,$0,$-1,$6,$13,$-1,$0,$-0,$0,$0,$0,$0,$-1,$-1,$0,$-1,$-3,$-3,$0,$-1,$-5,$7,$0,$0
3,2017-12-31,12.76,$6.63,1.92,$23.92,0.53,$2.42,5.26,$1.01,12.63,$0.21B,$0.10B,2.21,$0.09B,$0.24B,0.39,$0.87B,$0.23B,26.36%,$0.87B,$0.01B,1.27%,$0.87B,$0.01B,1.27%,$0.87B,$0.02B,2.54%,$0.87B,$0.00B,0.46%,$0.87B,$0.04B,4.39%,$0.04B,$0.24B,17.99%,$0.04B,$0.03B,129.91%,$0.04B,$0.47B,9.07%,$0.01B,$0.33B,3.99%,$220,$161,$58,$0,$46,$226,$-6,$-1,$-8,$-36,$28,$28,$28,$-3,$-6,$35,36,$0.80,$0.77,$26,$0,$1,$209,$14,$0,$205,$19,$259,$468,$95,$92,$43,$135,$230,$0,$-67,$-1,$238,$468,$39,$11,$-7,$4,$10,$0,$0,$3,$3,$46,$-5,$0,$-86,$0,$0,$0,$0,$-91,$56,$0,$56,$-2,$-2,$-1,$-2,$51,$5,$4,$-1
4,2017-09-30,14.23,$5.74,2.48,$23.98,0.59,$1.96,7.26,0,0.0,$0.20B,$0.09B,2.14,$0.10B,$0.21B,0.46,$0.87B,$0.23B,26.27%,$0.87B,$0.03B,3.00%,$0.87B,$0.03B,3.00%,$0.87B,$0.04B,4.38%,$0.87B,$0.01B,0.58%,$0.87B,$0.00B,0.23%,$0.00B,$0.21B,1.05%,$0.00B,$-0.01B,9.41%,$0.00B,$0.46B,0.50%,$0.03B,$0.31B,10.29%,$228,$168,$60,$0,$47,$220,$8,$-1,$7,$0,$7,$7,$7,$11,$8,$36,36,$0.19,$0.19,$11,$0,$2,$202,$14,$0,$221,$19,$255,$457,$94,$95,$43,$153,$247,$0,$-95,$-1,$209,$457,$11,$7,$12,$19,$3,$0,$0,$1,$-1,$29,$-4,$0,$-86,$0,$0,$0,$0,$-90,$56,$0,$56,$0,$0,$0,$-4,$52,$-10,$3,$0
5,2017-06-30,12.91,$5.53,2.34,$23.57,0.55,$2.03,6.37,$0.03,430.33,$0.20B,$0.09B,2.24,$0.04B,$0.20B,0.18,$0.86B,$0.23B,26.43%,$0.86B,$0.03B,3.16%,$0.86B,$0.03B,3.16%,$0.86B,$0.04B,4.44%,$0.86B,$0.01B,1.52%,$0.86B,$0.01B,1.05%,$0.01B,$0.20B,5.08%,$0.01B,$0.05B,33.96%,$0.01B,$0.38B,2.40%,$0.03B,$0.24B,11.55%,$209,$153,$57,$0,$47,$203,$6,$-0,$6,$1,$5,$5,$5,$9,$6,$36,36,$0.14,$0.13,$190,$0,$1,$201,$14,$0,$150,$18,$182,$382,$90,$35,$42,$91,$181,$0,$-102,$-1,$202,$382,$4,$4,$10,$14,$16,$0,$0,$1,$8,$26,$-3,$0,$0,$0,$0,$0,$0,$-3,$-7,$0,$-7,$0,$0,$0,$-2,$-9,$13,$2,$0
6,2017-03-31,14.36,$5.38,2.67,$23.98,0.6,$1.73,8.29,$-0.64,0.0,$0.19B,$0.08B,2.33,$0.04B,$0.20B,0.19,$0.85B,$0.22B,26.51%,$0.85B,$0.00B,0.47%,$0.85B,$0.00B,0.47%,$0.85B,$0.02B,1.78%,$0.85B,$-0.02B,-2.01%,$0.85B,$-0.01B,-1.54%,$-0.01B,$0.20B,-7.99%,$-0.01B,$0.05B,-110.64%,$-0.01B,$0.37B,-3.55%,$0.00B,$0.23B,1.74%,$208,$154,$53,$0,$47,$204,$3,$-5,$-1,$0,$-2,$-2,$-2,$5,$3,$33,36,$-0.06,$-0.08,$13,$0,$2,$186,$13,$0,$151,$19,$182,$368,$80,$36,$43,$93,$173,$0,$-107,$-1,$196,$368,$-2,$2,$6,$9,$11,$0,$0,$-0,$-5,$1,$-1,$0,$0,$0,$0,$0,$0,$-1,$-6,$0,$-6,$0,$0,$0,$-2,$-8,$-7,$1,$0
7,2016-12-31,15.61,$4.69,3.33,$23.72,0.66,$1.77,8.84,$-0.47,0.0,$0.21B,$0.10B,2.12,$0.09B,$0.15B,0.56,$0.83B,$0.22B,26.62%,$0.83B,$0.01B,0.72%,$0.83B,$0.01B,0.72%,$0.83B,$0.02B,2.16%,$0.83B,$0.00B,0.48%,$0.83B,$0.01B,0.96%,$0.01B,$0.15B,5.19%,$0.01B,$0.00B,-228.57%,$0.01B,$0.39B,2.20%,$0.01B,$0.24B,2.63%,$223,$165,$58,$0,$46,$214,$9,$-16,$-7,$1,$-8,$-8,$-8,$13,$9,$32,36,$-0.25,$0.38,$21,$0,$2,$206,$13,$0,$152,$18,$183,$388,$97,$85,$42,$139,$237,$0,$-104,$-1,$152,$388,$9,$11,$23,$34,$-31,$0,$0,$-2,$-12,$30,$-7,$0,$-3,$0,$0,$0,$0,$-10,$2,$0,$2,$-1,$-1,$-1,$-2,$-2,$18,$3,$-1
8,2016-09-30,11.78,$4.82,2.44,$23.58,0.5,$1.61,7.32,$-0.42,0.0,$0.18B,$0.09B,2.17,$0.07B,$0.16B,0.44,$0.80B,$0.21B,26.62%,$0.80B,$0.00B,0.37%,$0.80B,$0.00B,0.37%,$0.80B,$0.01B,1.62%,$0.80B,$0.01B,0.75%,$0.80B,$0.01B,1.24%,$0.01B,$0.16B,6.61%,$0.01B,$0.01B,-78.43%,$0.01B,$0.37B,2.79%,$0.00B,$0.23B,1.33%,$215,$157,$58,$0,$46,$206,$9,$6,$15,$1,$14,$14,$14,$11,$9,$32,36,$0.44,$0.22,$27,$0,$2,$183,$12,$0,$150,$18,$181,$365,$85,$70,$38,$121,$205,$0,$-96,$-1,$159,$365,$16,$7,$8,$15,$-4,$0,$0,$-1,$1,$32,$-5,$0,$1,$0,$0,$0,$-2,$-6,$2,$0,$2,$0,$0,$0,$-3,$-2,$24,$3,$0
9,2016-06-30,13.92,$4.37,3.18,$23.74,0.59,$1.39,10.03,$-0.48,0.0,$0.16B,$0.07B,2.22,$0.08B,$0.14B,0.54,$0.79B,$0.21B,26.37%,$0.79B,$0.00B,0.13%,$0.79B,$0.00B,0.13%,$0.79B,$0.01B,1.40%,$0.79B,$-0.01B,-0.89%,$0.79B,$0.00B,0.13%,$0.00B,$0.14B,0.68%,$0.00B,$-0.01B,-5.88%,$0.00B,$0.34B,0.28%,$0.00B,$0.22B,0.45%,$199,$145,$55,$0,$45,$216,$-17,$-7,$-24,$-7,$-17,$-17,$-17,$-14,$-17,$32,32,$-0.54,$-0.54,$10,$0,$2,$164,$11,$0,$151,$17,$180,$344,$74,$78,$36,$126,$200,$0,$-110,$-1,$144,$344,$2,$6,$11,$17,$0,$0,$0,$-1,$-6,$13,$-3,$0,$0,$0,$0,$0,$-2,$-4,$2,$0,$2,$0,$0,$0,$-3,$-1,$8,$2,$0
