,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,31.92,$0.00,0.0,$59.05,0.54,$1.07,29.78,$4.33,7.37,$3.09B,$11.32B,0.27,$3.69B,$9.07B,0.41,$17.11B,$2.92B,17.05%,$17.11B,$1.83B,10.72%,$17.11B,$2.14B,12.50%,$17.11B,$2.14B,12.50%,$17.11B,$2.19B,12.81%,$17.11B,$1.58B,9.23%,$1.58B,$9.07B,18.17%,$1.58B,$7.45B,22.45%,$1.58B,$35.22B,4.68%,$1.83B,$12.77B,14.38%,$4918,$3915,$1003,$0,$353,$4485,$434,$28,$461,$104,$358,$358,$324,$446,$446,$294,294,$1.10,$1.10,$571,$336,$484,$3087,$25266,$668,$1621,$191,$32137,$35223,$11317,$3694,$11097,$14835,$26151,$2127,$3934,$-272,$9072,$35223,$0,$0,$0,$0,$0,$0,$0,$0,$6,$3098,$-2076,$0,$0,$0,$-4,$-4,$116,$-1964,$304,$0,$304,$0,$0,$-557,$-1015,$-1268,$-127,$0,$-557
1,2018-03-31,36.42,$0.00,0.0,$57.46,0.63,$-4.83,0.0,$6.13,5.94,$2.54B,$10.87B,0.23,$4.76B,$9.28B,0.51,$16.55B,$2.96B,17.85%,$16.55B,$1.95B,11.78%,$16.55B,$2.25B,13.59%,$16.55B,$2.25B,13.59%,$16.55B,$2.46B,14.88%,$16.55B,$1.78B,10.72%,$1.78B,$9.28B,21.05%,$1.78B,$7.54B,26.29%,$1.78B,$35.78B,5.44%,$1.95B,$14.04B,15.70%,$4208,$3706,$502,$0,$319,$3876,$333,$102,$435,$96,$339,$339,$312,$344,$344,$284,284,$1.10,$1.10,$453,$344,$666,$2541,$25907,$549,$1740,$158,$33240,$35781,$10868,$4762,$10854,$15637,$26505,$2276,$4209,$-409,$9276,$35781,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1003,$-649,$0,$0,$0,$0,$0,$6,$-644,$-112,$0,$-112,$0,$0,$-183,$-351,$-646,$-298,$0,$-183
2,2017-09-30,24.19,$0.00,0.0,$56.45,0.43,$-5.94,0.0,$6.58,3.68,$2.82B,$11.06B,0.26,$3.84B,$8.71B,0.44,$15.94B,$3.22B,20.19%,$15.94B,$1.99B,12.49%,$15.94B,$2.29B,14.34%,$15.94B,$2.29B,14.34%,$15.94B,$2.55B,15.96%,$15.94B,$1.86B,11.67%,$1.86B,$8.71B,24.31%,$1.86B,$7.04B,31.16%,$1.86B,$33.53B,6.02%,$1.99B,$12.55B,18.10%,$4420,$3451,$969,$0,$349,$3698,$721,$51,$773,$193,$580,$580,$535,$735,$735,$285,285,$1.87,$1.87,$660,$360,$606,$2821,$23964,$504,$1662,$168,$30704,$33525,$11064,$3840,$9905,$13756,$24820,$2169,$4011,$-398,$8706,$33525,$0,$0,$0,$0,$0,$0,$0,$0,$291,$2178,$-2836,$0,$284,$0,$-3,$-3,$20,$-2534,$2598,$0,$2598,$0,$0,$-442,$-1405,$751,$395,$0,$-442
3,2017-03-31,27.97,$0.00,0.0,$55.89,0.5,$8.23,3.4,$4.17,6.71,$2.35B,$9.96B,0.24,$3.92B,$7.74B,0.51,$14.97B,$5.69B,38.04%,$14.97B,$4.71B,31.50%,$14.97B,$4.99B,33.37%,$14.97B,$6.74B,45.05%,$14.97B,$5.22B,34.85%,$14.97B,$1.20B,8.02%,$1.20B,$7.74B,16.95%,$1.20B,$6.12B,22.43%,$1.20B,$30.49B,3.94%,$4.71B,$11.66B,37.76%,$3563,$3119,$443,$0,$282,$3217,$346,$178,$523,$90,$433,$433,$409,$613,$613,$297,297,$1.38,$1.38,$336,$332,$381,$2354,$25681,$457,$1613,$151,$28136,$30489,$9962,$3924,$8853,$12790,$22752,$2101,$3886,$-392,$7737,$30489,$0,$0,$0,$0,$0,$0,$0,$0,$83,$375,$-773,$0,$0,$0,$355,$355,$7,$-412,$641,$0,$641,$0,$0,$-145,$-388,$108,$76,$0,$-145
4,2016-09-30,22.29,$0.00,0.0,$64.47,0.35,$7.38,3.02,$3.89,5.73,$2.67B,$10.49B,0.25,$3.38B,$8.02B,0.42,$15.81B,$6.39B,40.41%,$15.81B,$5.17B,32.68%,$15.81B,$5.18B,32.76%,$15.81B,$6.12B,38.69%,$15.81B,$5.06B,32.00%,$15.81B,$1.03B,6.50%,$1.03B,$8.02B,15.42%,$1.03B,$6.31B,21.05%,$1.03B,$30.73B,3.40%,$5.17B,$11.40B,41.88%,$4361,$3320,$1041,$0,$320,$3813,$549,$183,$732,$172,$560,$560,$519,$557,$557,$288,288,$1.80,$1.80,$206,$341,$593,$2666,$25381,$453,$1711,$164,$28067,$30733,$10487,$3384,$8840,$12228,$22716,$2170,$4015,$-377,$8017,$30733,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2883,$-3585,$0,$0,$0,$0,$0,$28,$-3557,$-130,$0,$-130,$0,$0,$-376,$1,$-505,$-1163,$0,$-376
5,2016-03-31,25.65,$0.00,0.0,$63.58,0.4,$8.11,3.16,$3.39,7.57,$2.20B,$12.59B,0.18,$2.26B,$6.16B,0.37,$15.06B,$8.96B,59.49%,$15.06B,$8.23B,54.64%,$15.06B,$8.23B,54.67%,$15.06B,$9.98B,66.28%,$15.06B,$7.94B,52.71%,$15.06B,$0.84B,5.56%,$0.84B,$6.16B,13.67%,$0.84B,$4.42B,19.49%,$0.84B,$29.00B,2.80%,$8.23B,$8.42B,59.51%,$3599,$2833,$766,$0,$293,$3223,$376,$141,$517,$84,$433,$433,$398,$381,$381,$260,260,$1.53,$1.53,$199,$318,$590,$2202,$23973,$440,$1744,$294,$26799,$29002,$12585,$2259,$7993,$10253,$22839,$2009,$3017,$-419,$6163,$29002,$0,$0,$0,$0,$0,$0,$0,$0,$0,$892,$-856,$0,$0,$0,$0,$0,$2,$-855,$-698,$0,$-698,$0,$0,$-123,$-414,$-1235,$-1195,$0,$-123
6,2015-12-31,27.08,$0.00,0.0,$64.15,0.42,$6.46,4.19,$2.87,9.43,$3.71B,$11.97B,0.31,$12.03B,$6.43B,1.87,$15.11B,$8.84B,58.53%,$15.11B,$8.17B,54.10%,$15.11B,$8.17B,54.10%,$15.11B,$9.92B,65.67%,$15.11B,$7.76B,51.37%,$15.11B,$0.69B,4.59%,$0.69B,$6.43B,11.86%,$0.69B,$4.57B,17.38%,$0.69B,$31.86B,2.35%,$8.17B,$18.46B,56.75%,$3443,$0,$3443,$0,$0,$0,$3443,$0,$3443,$0,$3443,$-125,$-125,$5191,$3443,$231,231,$-0.54,$-0.54,$1467,$331,$96,$3713,$30058,$3871,$1854,$941,$36763,$31859,$11970,$12034,$1429,$13464,$25434,$2114,$3905,$0,$6425,$31859,$912,$1747,$0,$1747,$0,$0,$0,$0,$113,$3914,$-1177,$0,$-3978,$0,$0,$-60,$742,$-4473,$0,$587,$1236,$0,$459,$0,$-499,$1783,$1243,$0,$0
7,2015-09-30,28.79,$0.00,0.0,$63.12,0.46,$-13.00,0.0,$4.29,6.71,$2.78B,$9.83B,0.28,$5.00B,$6.05B,0.83,$15.16B,$8.90B,58.68%,$15.16B,$8.23B,54.26%,$15.16B,$8.23B,54.26%,$15.16B,$8.23B,54.26%,$15.16B,$7.81B,51.54%,$15.16B,$1.04B,6.85%,$1.04B,$6.05B,18.76%,$1.04B,$4.24B,28.28%,$1.04B,$29.36B,3.67%,$8.23B,$11.06B,66.77%,$4404,$3266,$1138,$0,$339,$3605,$798,$-449,$367,$52,$315,$236,$236,$-13,$798,$214,214,$1.10,$1.10,$157,$362,$1622,$2778,$0,$395,$1819,$156,$2670,$29362,$9833,$5003,$8472,$13475,$23308,$2101,$927,$0,$6054,$29362,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2779,$-3248,$0,$0,$0,$0,$-49,$86,$-3210,$0,$0,$701,$0,$0,$-295,$-48,$359,$-71,$0,$0
8,2015-06-30,39.93,$0.00,0.0,$59.29,0.67,$6.19,6.45,$4.50,8.87,$2.79B,$10.59B,0.26,$11.51B,$5.85B,1.97,$15.00B,$8.43B,56.16%,$15.00B,$7.71B,51.39%,$15.00B,$7.71B,51.39%,$15.00B,$8.52B,56.79%,$15.00B,$7.81B,52.06%,$15.00B,$1.14B,7.57%,$1.14B,$5.85B,21.92%,$1.14B,$3.96B,34.37%,$1.14B,$29.29B,4.15%,$7.71B,$17.35B,63.78%,$3609,$0,$3609,$0,$0,$0,$3609,$0,$3609,$0,$3609,$328,$328,$4420,$3609,$254,254,$1.30,$1.30,$143,$372,$1602,$2793,$0,$409,$1888,$4240,$6565,$29293,$10588,$11509,$1351,$12860,$23448,$2081,$0,$0,$5845,$29293,$770,$811,$0,$811,$0,$0,$0,$0,$0,$1682,$-2112,$0,$-68,$0,$0,$0,$308,$-1872,$0,$-2922,$-657,$0,$0,$-6,$3699,$114,$-86,$0,$0
9,2015-03-31,30.74,$0.00,0.0,$58.67,0.52,$7.89,3.9,$3.34,9.2,$3.09B,$9.78B,0.32,$5.64B,$5.09B,1.11,$14.85B,$8.27B,55.71%,$14.85B,$7.56B,50.89%,$14.85B,$7.56B,50.89%,$14.85B,$7.56B,50.89%,$14.85B,$7.66B,51.57%,$14.85B,$0.84B,5.67%,$0.84B,$5.09B,17.28%,$0.84B,$3.21B,28.03%,$0.84B,$27.63B,3.21%,$7.56B,$10.73B,66.87%,$3650,$2999,$652,$0,$329,$3328,$322,$19,$341,$53,$287,$255,$255,$322,$322,$253,253,$1.01,$1.01,$263,$369,$1363,$3085,$0,$411,$1878,$82,$2691,$27634,$9783,$5643,$7119,$12766,$22549,$2066,$331,$0,$5085,$27634,$0,$0,$0,$0,$0,$0,$0,$0,$0,$417,$-800,$0,$0,$0,$0,$0,$-49,$-849,$0,$813,$0,$0,$0,$-100,$-244,$469,$35,$0,$0
