,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,10.5,$1.39,7.57,$2.35,4.48,$-1.61,0.0,$-0.49,0.0,$0.02B,$0.01B,2.86,$0.00B,$0.02B,0.01,$0.03B,$0.01B,40.63%,$0.03B,$-0.01B,-21.88%,$0.03B,$-0.01B,-21.88%,$0.03B,$-0.01B,-18.75%,$0.03B,$-0.01B,-21.88%,$0.03B,$-0.01B,-21.88%,$-0.01B,$0.02B,-35.44%,$-0.01B,$0.02B,-42.42%,$-0.01B,$0.03B,-27.18%,$-0.01B,$0.02B,-35.44%,$9,$7,$3,$2,$3,$12,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$14,14,$-0.16,$-0.16,$7,$6,$0,$22,$2,$0,$3,$0,$6,$28,$8,$0,$0,$1,$8,$0,$-55,$0,$20,$28,$-5,$1,$0,$1,$-6,$-2,$0,$-0,$-4,$-8,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$11,$11,$0,$0,$11,$3,$0,$0
1,2018-06-30,11.1,$1.55,7.15,$2.30,4.83,$-1.69,0.0,$-0.38,0.0,$0.02B,$0.01B,3.53,$0.00B,$0.02B,0.02,$0.03B,$0.01B,45.16%,$0.03B,$-0.01B,-19.35%,$0.03B,$-0.01B,-19.35%,$0.03B,$-0.00B,-12.90%,$0.03B,$-0.01B,-19.35%,$0.03B,$-0.01B,-19.35%,$-0.01B,$0.02B,-32.43%,$-0.01B,$0.02B,-39.34%,$-0.01B,$0.03B,-25.53%,$-0.01B,$0.02B,-32.43%,$9,$6,$3,$2,$3,$10,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$14,14,$-0.12,$-0.12,$10,$6,$0,$24,$2,$0,$3,$0,$6,$29,$7,$0,$0,$1,$7,$0,$-52,$0,$22,$29,$-2,$0,$0,$1,$-5,$-2,$0,$0,$-3,$-5,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$11,$11,$0,$0,$11,$6,$0,$0
2,2018-03-31,8.0,$1.68,4.76,$2.02,3.96,$-1.81,0.0,$-0.44,0.0,$0.02B,$0.00B,5.17,$0.00B,$0.02B,0.0,$0.03B,$0.01B,50.00%,$0.03B,$-0.01B,-23.08%,$0.03B,$-0.01B,-23.08%,$0.03B,$-0.00B,-15.38%,$0.03B,$-0.01B,-23.08%,$0.03B,$-0.01B,-23.08%,$-0.01B,$0.02B,-35.82%,$-0.01B,$0.02B,-44.44%,$-0.01B,$0.03B,-28.24%,$-0.01B,$0.02B,-35.82%,$8,$4,$4,$2,$2,$8,$-1,$0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$13,13,$-0.05,$-0.05,$12,$6,$0,$23,$2,$0,$3,$1,$6,$29,$4,$0,$0,$0,$5,$0,$-51,$0,$24,$29,$-1,$0,$0,$0,$-2,$-1,$0,$-0,$-2,$-2,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$11,$11,$0,$0,$11,$9,$0,$0
3,2017-12-31,8.2,$1.06,7.72,$1.95,4.2,$-1.96,0.0,$-0.52,0.0,$0.01B,$0.00B,3.51,$0.00B,$0.01B,0.01,$0.02B,$0.01B,50.00%,$0.02B,$-0.01B,-29.17%,$0.02B,$-0.01B,-29.17%,$0.02B,$-0.01B,-20.83%,$0.02B,$-0.01B,-29.17%,$0.02B,$-0.01B,-29.17%,$-0.01B,$0.01B,-46.67%,$-0.01B,$0.01B,-57.14%,$-0.01B,$0.02B,-36.36%,$-0.01B,$0.01B,-46.67%,$6,$3,$3,$3,$2,$8,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$12,12,$-0.16,$-0.16,$4,$4,$0,$11,$2,$0,$3,$1,$6,$17,$3,$0,$0,$0,$4,$0,$-50,$0,$13,$17,$-6,$1,$0,$2,$1,$-1,$0,$-1,$-0,$-5,$-1,$0,$0,$0,$0,$0,$-1,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-7,$0,$0
4,2017-09-30,6.2,$1.21,5.11,$1.87,3.32,$-2.11,0.0,$-0.57,0.0,$0.01B,$0.00B,3.55,$0.00B,$0.02B,0.01,$0.02B,$0.01B,50.00%,$0.02B,$-0.01B,-36.36%,$0.02B,$-0.01B,-36.36%,$0.02B,$-0.01B,-22.73%,$0.02B,$-0.01B,-36.36%,$0.02B,$-0.01B,-36.36%,$-0.01B,$0.02B,-50.00%,$-0.01B,$0.01B,-57.14%,$-0.01B,$0.02B,-39.51%,$-0.01B,$0.02B,-50.00%,$8,$4,$4,$2,$2,$8,$-1,$0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$12,12,$-0.05,$-0.05,$2,$5,$0,$14,$2,$0,$3,$0,$6,$19,$4,$0,$0,$0,$4,$0,$-48,$0,$15,$19,$-4,$1,$0,$1,$-2,$-2,$0,$-0,$-4,$-7,$-1,$0,$-1,$0,$0,$0,$0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-9,$0,$0
5,2017-06-30,6.05,$1.25,4.83,$1.59,3.81,$-1.98,0.0,$-0.71,0.0,$0.01B,$0.00B,3.66,$0.00B,$0.02B,0.0,$0.02B,$0.01B,50.00%,$0.02B,$-0.01B,-50.00%,$0.02B,$-0.01B,-50.00%,$0.02B,$-0.01B,-38.89%,$0.02B,$-0.01B,-50.00%,$0.02B,$-0.01B,-50.00%,$-0.01B,$0.02B,-52.17%,$-0.01B,$0.01B,-56.25%,$-0.01B,$0.02B,-42.35%,$-0.01B,$0.02B,-52.17%,$4,$2,$2,$2,$2,$6,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$12,12,$-0.18,$-0.18,$4,$5,$0,$14,$2,$0,$3,$0,$5,$20,$4,$0,$0,$0,$4,$0,$-47,$0,$15,$20,$-4,$1,$0,$1,$-1,$-2,$0,$-0,$-3,$-5,$-1,$0,$-1,$0,$0,$0,$0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-7,$0,$0
6,2017-03-31,5.3,$1.41,3.75,$1.59,3.33,$-1.90,0.0,$-1.39,0.0,$0.02B,$0.00B,4.53,$0.00B,$0.02B,0.0,$0.02B,$0.01B,52.94%,$0.02B,$-0.01B,-52.94%,$0.02B,$-0.01B,-52.94%,$0.02B,$-0.01B,-41.18%,$0.02B,$-0.01B,-52.94%,$0.02B,$-0.02B,-88.24%,$-0.02B,$0.02B,-95.24%,$-0.02B,$0.02B,-98.36%,$-0.02B,$0.02B,-76.92%,$-0.01B,$0.02B,-57.14%,$6,$3,$3,$2,$2,$8,$-2,$0,$-2,$0,$-2,$-2,$-2,$-1,$-2,$12,12,$-0.13,$-0.13,$6,$4,$0,$16,$2,$0,$3,$0,$5,$21,$4,$0,$0,$0,$4,$0,$-45,$0,$17,$21,$-2,$0,$0,$1,$-2,$-0,$0,$-0,$-3,$-4,$-0,$0,$-1,$0,$0,$0,$0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-5,$0,$0
7,2016-12-31,6.8,$1.43,4.76,$1.76,3.86,$-1.85,0.0,$-1.29,0.0,$0.02B,$0.00B,5.32,$0.00B,$0.02B,0.0,$0.02B,$0.01B,50.00%,$0.02B,$-0.01B,-38.89%,$0.02B,$-0.01B,-38.89%,$0.02B,$-0.01B,-33.33%,$0.02B,$-0.01B,-38.89%,$0.02B,$-0.01B,-72.22%,$-0.01B,$0.02B,-82.54%,$-0.01B,$0.02B,-82.54%,$-0.01B,$0.02B,-67.53%,$-0.01B,$0.02B,-44.44%,$4,$3,$2,$2,$2,$7,$-3,$0,$-3,$0,$-3,$-3,$-3,$-2,$-3,$11,11,$-0.18,$-0.18,$11,$3,$0,$18,$2,$0,$0,$1,$2,$21,$3,$0,$0,$0,$3,$0,$-44,$0,$17,$21,$-13,$1,$6,$7,$-1,$0,$0,$-0,$-1,$-7,$-0,$0,$0,$0,$0,$0,$-1,$-1,$0,$0,$0,$13,$13,$0,$0,$13,$5,$0,$0
8,2016-09-30,7.4,$1.63,4.53,$1.82,4.07,$-1.07,0.0,$-1.15,0.0,$0.02B,$0.00B,6.77,$0.00B,$0.02B,0.0,$0.02B,$0.01B,50.00%,$0.02B,$-0.01B,-27.78%,$0.02B,$-0.01B,-27.78%,$0.02B,$-0.01B,-27.78%,$0.02B,$-0.01B,-27.78%,$0.02B,$-0.01B,-61.11%,$-0.01B,$0.02B,-68.75%,$-0.01B,$0.02B,-68.75%,$-0.01B,$0.02B,-57.14%,$-0.01B,$0.02B,-31.25%,$4,$2,$2,$2,$2,$6,$-2,$0,$-2,$0,$-2,$-2,$-2,$-2,$-2,$11,11,$-0.19,$-0.19,$12,$3,$0,$21,$2,$0,$0,$0,$2,$23,$3,$0,$0,$0,$3,$0,$-41,$0,$20,$23,$-11,$1,$6,$7,$-2,$0,$0,$0,$-2,$-6,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$13,$13,$0,$0,$13,$7,$0,$0
9,2016-06-30,8.19,$0.95,8.66,$2.20,3.73,$-0.87,0.0,$-1.01,0.0,$0.01B,$0.00B,2.94,$0.00B,$0.01B,0.0,$0.02B,$0.01B,47.62%,$0.02B,$-0.00B,-19.05%,$0.02B,$-0.00B,-19.05%,$0.02B,$-0.00B,-14.29%,$0.02B,$-0.00B,-19.05%,$0.02B,$-0.01B,-42.86%,$-0.01B,$0.01B,-58.06%,$-0.01B,$0.01B,-58.06%,$-0.01B,$0.01B,-46.75%,$-0.00B,$0.01B,-25.81%,$3,$2,$2,$2,$2,$6,$-2,$0,$-2,$6,$-8,$-8,$-8,$-2,$-2,$10,10,$-0.86,$-0.86,$1,$3,$0,$10,$2,$0,$0,$0,$2,$13,$4,$0,$0,$0,$4,$0,$-39,$0,$9,$13,$-9,$1,$6,$7,$-2,$0,$0,$0,$-2,$-4,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$-4,$0,$0
