,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.07,$-0.01,-235.23,0.0,0.0,$-0.96,0.0,$-0.59,0.0,$0.04B,$0.01B,7.24,$0.00B,$-0.00B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$-0.05B,$-0.00B,-533.33%,$-0.05B,$-0.00B,-533.33%,$-0.05B,$0.04B,-112.28%,$-0.03B,$-0.00B,-322.22%,$0,$0,$0,$6,$2,$8,$-8,$3,$-4,$0,$-4,$-4,$-4,$-8,$-8,$77,77,$-0.06,$-0.06,$38,$0,$0,$39,$1,$0,$0,$0,$1,$41,$5,$0,$35,$36,$42,$0,$-205,$-0,$-1,$41,$-44,$1,$23,$24,$0,$0,$0,$0,$1,$-19,$-0,$0,$0,$33,$-20,$13,$0,$13,$0,$0,$0,$12,$12,$0,$-1,$10,$4,$1,$0
1,2018-06-30,2.21,$-0.10,-22.74,0.0,0.0,$-1.01,0.0,$-0.61,0.0,$0.04B,$0.01B,7.52,$0.00B,$-0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.05B,inf%,$0.00B,$-0.05B,inf%,$-0.05B,$-0.01B,-255.56%,$-0.05B,$-0.01B,-255.56%,$-0.05B,$0.04B,-99.46%,$-0.03B,$-0.01B,-155.56%,$0,$0,$0,$5,$2,$7,$-7,$-13,$-20,$0,$-20,$-20,$-20,$-7,$-7,$74,74,$-0.27,$-0.27,$33,$0,$0,$35,$1,$0,$0,$0,$1,$37,$5,$0,$39,$39,$44,$0,$-201,$-0,$-7,$37,$-39,$0,$26,$26,$0,$0,$0,$-0,$-0,$-13,$-0,$0,$0,$22,$-11,$11,$0,$11,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$1,$0
2,2018-03-31,1.63,$0.17,9.57,0.0,0.0,$-1.15,0.0,$-0.41,0.0,$0.04B,$0.00B,10.62,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.01B,-128.89%,$-0.03B,$0.01B,-128.89%,$-0.03B,$0.04B,-67.05%,$-0.03B,$0.01B,-120.00%,$0,$0,$0,$5,$2,$7,$-7,$-12,$-19,$0,$-19,$-19,$-19,$-7,$-7,$74,74,$-0.26,$-0.26,$40,$0,$0,$42,$1,$0,$0,$0,$1,$43,$4,$0,$26,$27,$31,$0,$-181,$-0,$13,$43,$-19,$0,$13,$13,$0,$0,$0,$0,$-1,$-7,$-0,$0,$0,$7,$-4,$3,$0,$3,$0,$0,$0,$0,$0,$0,$0,$0,$-4,$0,$0
3,2017-12-31,1.01,$0.42,2.38,0.0,0.0,$-1.20,0.0,$-0.30,0.0,$0.05B,$0.00B,11.02,$0.00B,$0.03B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.03B,-70.33%,$-0.02B,$0.03B,-70.33%,$-0.02B,$0.05B,-39.51%,$-0.03B,$0.03B,-114.29%,$0,$0,$0,$4,$3,$7,$-7,$3,$-5,$0,$-5,$-5,$-5,$-7,$-7,$56,56,$-0.04,$-0.04,$47,$0,$0,$49,$1,$0,$0,$0,$1,$50,$4,$0,$14,$15,$19,$0,$-162,$-0,$31,$50,$-16,$1,$-9,$-8,$0,$0,$0,$-1,$-1,$-25,$0,$0,$0,$44,$-53,$-9,$0,$-9,$0,$0,$0,$40,$40,$0,$-3,$37,$3,$2,$0
4,2017-09-30,1.11,$0.48,2.31,0.0,0.0,$-1.64,0.0,$-0.23,0.0,$0.05B,$0.00B,18.37,$0.00B,$0.04B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.04B,-50.00%,$-0.01B,$0.04B,-50.00%,$-0.01B,$0.06B,-26.67%,$-0.03B,$0.04B,-130.00%,$0,$0,$0,$5,$2,$7,$-7,$5,$-2,$0,$-2,$-2,$-2,$-6,$-7,$65,65,$-0.02,$-0.02,$53,$0,$0,$54,$1,$0,$0,$0,$1,$55,$3,$0,$16,$17,$20,$0,$-157,$-0,$35,$55,$-11,$1,$-7,$-6,$0,$0,$0,$-1,$-2,$-19,$0,$0,$0,$28,$-46,$-17,$0,$-17,$0,$0,$0,$40,$40,$0,$-3,$37,$0,$1,$0
5,2017-06-30,1.45,$0.27,5.45,0.0,0.0,$-1.91,0.0,$-0.49,0.0,$0.02B,$0.00B,6.59,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.01B,-118.75%,$-0.02B,$0.01B,-118.75%,$-0.02B,$0.03B,-53.90%,$-0.03B,$0.01B,-168.75%,$0,$0,$0,$4,$2,$6,$-6,$3,$-3,$0,$-3,$-3,$-3,$-6,$-6,$42,42,$-0.07,$-0.07,$22,$0,$0,$24,$1,$0,$0,$0,$1,$25,$4,$0,$10,$11,$14,$0,$-155,$-0,$11,$25,$-9,$0,$-2,$-2,$0,$0,$0,$-1,$-2,$-13,$0,$0,$0,$16,$-2,$14,$0,$14,$0,$0,$0,$0,$0,$0,$0,$0,$1,$1,$0
6,2017-03-31,1.8,$0.33,5.53,0.0,0.0,$-2.09,0.0,$-0.77,0.0,$0.03B,$0.00B,6.86,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.01B,-155.22%,$-0.03B,$0.01B,-155.22%,$-0.03B,$0.03B,-75.36%,$-0.03B,$0.01B,-185.07%,$0,$0,$0,$4,$2,$6,$-6,$-0,$-6,$0,$-6,$-6,$-6,$-6,$-6,$42,42,$-0.15,$-0.15,$29,$0,$0,$30,$1,$0,$0,$0,$1,$32,$4,$0,$13,$14,$18,$0,$-152,$-0,$14,$32,$-6,$0,$0,$1,$0,$0,$0,$-0,$-0,$-6,$0,$0,$0,$7,$0,$7,$0,$7,$0,$0,$0,$0,$0,$0,$0,$0,$1,$0,$0
7,2016-12-31,1.75,$0.47,3.74,0.0,0.0,$-2.18,0.0,$-0.94,0.0,$0.04B,$0.00B,8.19,$0.00B,$0.02B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.02B,-152.63%,$-0.03B,$0.02B,-152.63%,$-0.03B,$0.04B,-85.93%,$-0.03B,$0.02B,-178.95%,$0,$0,$0,$4,$2,$7,$-7,$7,$1,$0,$1,$1,$1,$-7,$-7,$34,34,$0.10,$0.10,$35,$0,$0,$36,$1,$0,$0,$0,$1,$38,$4,$0,$13,$14,$18,$0,$-146,$-0,$20,$38,$-29,$1,$-2,$-2,$0,$0,$0,$0,$1,$-29,$-0,$0,$0,$28,$-36,$-9,$0,$-9,$0,$0,$0,$35,$35,$0,$-3,$32,$-6,$2,$0
8,2016-09-30,2.48,$0.45,5.56,0.0,0.0,$-2.26,0.0,$-1.23,0.0,$0.04B,$0.01B,6.91,$0.00B,$0.02B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$-0.04B,$0.02B,-174.71%,$-0.04B,$0.02B,-174.71%,$-0.04B,$0.05B,-114.29%,$-0.03B,$0.02B,-156.32%,$0,$0,$0,$6,$2,$8,$-8,$-3,$-11,$0,$-11,$-11,$-11,$-8,$-8,$37,37,$-0.28,$-0.28,$43,$0,$0,$44,$1,$0,$0,$0,$2,$46,$6,$0,$20,$21,$27,$0,$-147,$-0,$19,$46,$-29,$1,$4,$5,$0,$0,$0,$0,$3,$-21,$-0,$0,$0,$23,$-33,$-10,$0,$-10,$0,$0,$0,$35,$35,$0,$-3,$32,$1,$2,$0
9,2016-06-30,2.89,$0.50,5.78,0.0,0.0,$-2.33,0.0,$-1.17,0.0,$0.02B,$0.01B,2.83,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.01B,-137.50%,$-0.03B,$0.01B,-137.50%,$-0.03B,$0.02B,-110.92%,$-0.03B,$0.01B,-133.33%,$0,$0,$0,$7,$3,$10,$-10,$0,$-10,$0,$-10,$-10,$-10,$-10,$-10,$27,27,$-0.35,$-0.35,$19,$0,$0,$21,$1,$0,$0,$0,$2,$22,$7,$0,$0,$1,$8,$0,$-136,$0,$14,$22,$-19,$1,$1,$2,$0,$0,$0,$-0,$3,$-13,$-0,$0,$0,$16,$-2,$14,$0,$14,$0,$0,$0,$0,$0,$0,$0,$0,$1,$2,$0
